No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--M-183PM2000012--------------,10150,0,14 Agt 2020,0,10325,10150,10275,125,1581600,16211562500,1396,834.7,10275,82700,10250,11300,1924688333,1924688333,1924688333,207100,63100,475200,4874627100,2
2,ABBA,Mahaka Media Tbk.,--U-210000000095---E----------,50,0,14 Agt 2020,0,50,50,50,0,46100,2305000,11,87.7,50,4327500,0,0,2755125000,2755125000,2755125000,0,0,0,0,0
3,ABDA,Asuransi Bina Dana Arta Tbk.,XDU-210500000084--------------,6900,0,14 Agt 2020,0,0,0,6900,0,0,0,0,1575.3,6900,800000,0,0,620806680,620806680,620806680,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,--U-110500000098--------------,1000,0,14 Agt 2020,0,1000,1000,1000,0,5600,5600000,8,26.7,1000,7300,960,2200,2753165000,2753165000,2753165000,0,0,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,--M-1XKEMA000093--------------,1635,0,14 Agt 2020,0,1625,1575,1600,-35,20932000,33447753000,7153,1951.2,1600,687200,1595,711800,17150000000,17150000000,17150000000,16271800,5225500,3350462,5347339770,2
6,ACST,Acset Indonusa Tbk.,--U-113000000062--------------,260,0,14 Agt 2020,0,266,246,258,-2,1124900,290214400,177,10.8,260,37000,258,158700,700000000,700000000,700000000,0,26200,44332100,11526346000,1
7,ADES,Akasha Wira International Tbk.,--U-213000000051--------------,1135,0,14 Agt 2020,0,1220,1115,1170,35,315800,374387500,289,60.8,1170,20900,1165,3000,589896800,589896800,589896800,3000,3500,0,0,0
8,ADHI,Adhi Karya (Persero) Tbk.,--M-18AF80000062--------------,600,0,14 Agt 2020,0,605,600,600,0,4495700,2702305500,769,471.2,605,1799100,600,4200,3560849376,3560849376,3560849376,137000,10000,0,0,0
9,ADMF,Adira Dinamika Multi Finance Tbk.,--U-110F00000082--------------,7725,0,14 Agt 2020,0,7825,7725,7750,25,74800,580840000,122,333.3,7775,1000,7750,51400,1000000000,1000000000,1000000000,21000,18600,0,0,0
10,ADMG,Polychem Indonesia Tbk,--U-113000000034--------------,105,0,14 Agt 2020,0,115,106,108,3,6916500,765896400,1671,9.6,108,14400,107,132500,3889179559,3889179559,3889179559,0,0,0,0,0
11,ADRO,Adaro Energy Tbk.,--M-1XDCU1000021--------------,1115,0,14 Agt 2020,0,1125,1100,1115,0,39456900,43823048000,4135,101.4,1115,1532900,1110,118100,31985962000,31985962000,31985962000,17773600,14816700,574,638370,14
12,AGAR,Asia Sejahtera Mina Tbk.,--U-213000000091--------------,490,0,14 Agt 2020,0,510,510,510,20,100,51000,1,463.6,490,100,0,0,1000000000,1000000000,1000000000,0,0,0,0,0
13,AGII,Aneka Gas Industri Tbk.,--M-113500000034--------------,525,0,14 Agt 2020,0,530,510,520,-5,113800,58804000,95,47.3,525,1700,515,2000,3066660000,3066660000,3066660000,0,0,0,0,0
14,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,--M-115500000081--------------,268,0,14 Agt 2020,0,286,268,280,12,76345900,21215513000,4054,457.5,280,10758900,278,973100,21129857328,21129857328,21129857328,254000,445700,0,0,0
15,AGRS,Bank IBK Indonesia Tbk.,--U-210500000081--------------,156,0,14 Agt 2020,0,163,156,160,4,51200,8080700,28,145.5,160,1800,157,30700,11154923542,11154923542,11728776913,0,0,0,0,0
16,AHAP,Asuransi Harta Aman Pratama Tbk.,--U-210000000084--------------,52,0,14 Agt 2020,0,54,51,52,0,39600,2076600,20,196.1,52,25300,51,300,2940000000,2940000000,2940000000,0,0,0,0,0
17,AIMS,Akbar Indo Makmur Stimec Tbk,--U-210000000091--------------,180,0,14 Agt 2020,0,242,169,172,-8,29100,6168000,39,137.6,172,2500,169,1200,220000000,220000000,220000000,0,0,0,0,0
18,AISA,Tiga Pilar Sejahtera Food Tbk.,--U-110000000051---E----------,168,0,14 Agt 2020,0,0,0,168,0,0,0,0,20.4,0,0,0,0,4787500000,4787500000,4787500000,0,0,0,0,0
19,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-210000000094--------------,50,0,14 Agt 2020,0,0,0,50,0,0,0,0,75.9,50,1946100,0,0,6449463636,6449463636,6449463636,0,0,34600,346000,1
20,AKPI,Argha Karya Prima Industry Tbk.,--U-213000000035--------------,288,0,14 Agt 2020,0,354,280,288,0,210700,60832800,31,38.0,300,10000,288,97600,680000000,680000000,680000000,0,0,0,0,0
21,AKRA,AKR Corporindo Tbk.,XDM-1S3XM0000091--------------,2840,0,14 Agt 2020,0,2860,2810,2810,-30,13112800,37254263000,1304,2239.6,2820,6600,2810,67800,4014694920,4014694920,4014694920,277400,159900,0,0,0
22,AKSI,Maming Enam Sembilan Mineral Tbk.,--U-213000000074--------------,294,0,14 Agt 2020,0,302,276,294,0,80800,24164400,24,147.0,300,10800,294,8000,720000000,720000000,720000000,0,0,0,0,0
23,ALDO,Alkindo Naratama Tbk.,--U-213000000038--------------,386,0,14 Agt 2020,0,390,370,386,0,14100,5250400,17,282.9,426,54000,370,1600,1100000000,1100000000,1100000000,0,0,0,0,0
24,ALKA,Alakasa Industrindo Tbk,--U-213000000033--------------,332,0,14 Agt 2020,0,0,0,332,0,0,0,0,55.9,322,1600,0,0,507665055,507665055,507665055,0,0,0,0,0
25,ALMI,Alumindo Light Metal Industry Tbk.,--U-210000000033---E----------,230,0,14 Agt 2020,0,232,228,228,-2,92900,21234200,14,35.1,234,1000,228,82600,616000000,616000000,616000000,0,0,0,0,0
26,ALTO,Tri Banyan Tirta Tbk.,--U-110000000051--------------,400,0,14 Agt 2020,0,400,380,380,-20,600,230000,4,189.9,380,800,372,500,2191870558,2191870558,2191870558,0,0,0,0,0
27,AMAG,Asuransi Multi Artha Guna Tbk.,--U-210500000084--------------,222,0,14 Agt 2020,0,234,218,228,6,214000,48063000,69,217.1,228,186000,222,6800,5001552516,5001552516,5001552516,0,0,0,0,0
28,AMAN,Makmur Berkah Amanda Tbk.,--U-113000000061--------------,196,0,14 Agt 2020,0,250,196,216,20,1552500,316482600,84,196.4,216,79500,214,138700,3873500000,715000000,3873500000,0,0,0,0,0
29,AMAR,Bank Amar Indonesia Tbk.,--U-210500000081--------------,356,0,14 Agt 2020,0,366,344,346,-10,300800,105833400,90,198.9,358,7000,348,3500,7954749000,7930000000,7954749000,0,0,0,0,0
30,AMFG,Asahimas Flat Glass Tbk.,--U-110500000032--------------,2630,0,14 Agt 2020,0,2630,2630,2630,0,600,1578000,3,107.3,2800,184600,2600,3000,434000000,434000000,434000000,0,0,0,0,0
31,AMIN,Ateliers Mecaniques D Indonesie Tbk.,--U-213000000041--------------,244,0,14 Agt 2020,0,264,260,260,16,1000,260600,5,203.1,260,17000,234,400,1080000000,1080000000,1080000000,0,0,0,0,0
32,AMOR,Ashmore Asset Management Indonesia Tbk.,--U-210500000083--------------,1995,0,14 Agt 2020,0,1990,1950,1990,-5,1700,3343000,5,104.7,1990,400,1950,1200,1111111200,1109269200,1111111200,100,500,0,0,0
33,AMRT,Sumber Alfaria Trijaya Tbk.,--M-110500000093--------------,725,0,14 Agt 2020,0,725,715,725,0,330500,238260500,179,1850.0,725,32200,720,371600,41524501700,41524501700,41524501700,140000,200,0,0,0
34,ANDI,Andira Agro Tbk.,--U-213000000012--------------,50,0,14 Agt 2020,0,50,50,50,0,13300,665000,17,125.0,50,23707100,0,0,9350000000,9350000000,9350000000,0,0,1000,35000,1
35,ANJT,Austindo Nusantara Jaya Tbk.,--U-113500000012--------------,515,0,14 Agt 2020,0,520,515,520,5,200,103500,2,43.3,580,3500,525,700,3354175000,3354175000,3354175000,0,0,0,0,0
36,ANTM,Aneka Tambang Tbk.,--M-1SDQV0000023--------------,770,0,14 Agt 2020,0,805,775,785,15,209371300,166096206000,12838,517.6,790,1662800,785,1673500,24030764725,24030764725,24030764725,15808700,11476300,0,0,0
37,APEX,Apexindo Pratama Duta Tbk.,--U-210000000022--------------,143,0,14 Agt 2020,0,154,144,150,7,19300,2863200,29,9.6,150,4600,145,200,2659850000,2659850000,2659850000,0,0,0,0,0
38,APIC,Pacific Strategic Financial Tbk.,--U-210500000089--------------,840,0,14 Agt 2020,0,845,820,825,-15,34821500,29149083500,3224,877.5,825,151800,820,15100,11766313488,11766313488,11766313488,392900,1088500,0,0,0
39,APII,Arita Prima Indonesia Tbk.,--U-213000000091--------------,167,0,14 Agt 2020,0,168,161,161,-6,14400,2365700,17,73.2,170,1000,161,2000,1075760000,1075760000,1075760000,0,0,0,0,0
40,APLI,Asiaplast Industries Tbk.,--U-113000000035--------------,120,0,14 Agt 2020,0,120,120,120,0,900,108000,2,100.0,120,27900,0,0,1362671400,1362671400,1362671400,0,0,0,0,0
41,APLN,Agung Podomoro Land Tbk.,--M-1835F0000061--------------,112,0,14 Agt 2020,0,113,110,110,-2,6125500,676774900,416,30.1,111,642900,110,2929200,22699326779,22699326779,23351383226,1046000,0,0,0,0
42,ARGO,Argo Pantes Tbk,--U-210000000043---E----------,1690,0,14 Agt 2020,0,1700,1700,1700,10,400,680000,1,42.7,1700,900,1580,100,335557450,335557450,335557450,0,0,0,0,0
43,ARII,Atlas Resources Tbk.,--U-213500000021--M-----------,450,0,14 Agt 2020,0,450,420,448,-2,2500,1083800,5,29.9,450,36100,424,2000,3000000000,3000000000,3000000000,400,0,1111100,499995000,1
44,ARKA,Arkha Jayanti Persada Tbk.,--U-210000000041--------------,288,0,14 Agt 2020,0,360,268,340,52,2205700,618264600,239,144.1,340,71700,268,1100,2000000000,2000000000,2000000000,0,0,0,0,0
45,ARMY,Armidian Karyatama Tbk.,--U-210000000061--M--L--------,50,0,14 Agt 2020,0,0,0,50,0,0,0,0,16.7,0,0,0,0,9006250000,9006250000,9006250000,0,0,0,0,0
46,ARNA,Arwana Citramulia Tbk.,--M-113500000032--------------,442,0,14 Agt 2020,0,442,430,442,0,1028200,453677000,45,3004.1,442,90200,440,1000,7341430976,7341430976,7341430976,0,1000,0,0,0
47,ARTA,Arthavest Tbk,--U-213000000094--------------,280,0,14 Agt 2020,0,284,284,284,4,300,85200,1,164.7,318,600,284,2500,446674175,446674175,446674175,0,0,0,0,0
48,ARTI,Ratu Prabu Energi Tbk,--U-110000000022-----L--------,50,0,14 Agt 2020,0,0,0,50,0,0,0,0,12.3,0,0,0,0,7840000000,7840000000,7840000000,0,0,0,0,0
49,ARTO,Bank Jago Tbk.,--U-210500000081--------------,2650,0,14 Agt 2020,0,2670,2600,2620,-30,58800,154004000,41,13204.3,2640,5000,2620,3300,10747687500,10747687500,10747687500,3000,0,0,0,0
50,ASBI,Asuransi Bintang Tbk.,XDU-210000000084--------------,288,0,14 Agt 2020,0,270,270,270,-18,100,27000,1,205.0,296,1000,276,500,348386472,348386472,348386472,0,0,0,0,0
51,ASDM,Asuransi Dayin Mitra Tbk.,--U-110000000084--------------,950,0,14 Agt 2020,0,0,0,950,0,0,0,0,280.6,950,1900,910,1000,192000000,192000000,192000000,0,0,0,0,0
52,ASGR,Astra Graphia Tbk.,--U-113000000097--------------,725,0,14 Agt 2020,0,730,710,725,0,387900,279255500,152,150.3,725,19000,715,6200,1348780500,1348780500,1348780500,0,4400,0,0,0
53,ASII,Astra International Tbk.,--M-1XNAQ1000042--------------,5400,0,14 Agt 2020,0,5450,5350,5375,-25,15337700,82768595000,4716,3843.8,5375,155100,5350,413200,40483553140,40483553140,40483553140,6805100,7841400,14361680,77720146600,5
54,ASJT,Asuransi Jasa Tania Tbk.,--U-210000000084--------------,118,0,14 Agt 2020,0,117,110,110,-8,50000,5621800,42,73.3,116,18200,110,69200,600000000,600000000,600000000,0,0,0,0,0
55,ASMI,Asuransi Kresna Mitra Tbk.,--U-110500000084--------------,1185,0,14 Agt 2020,0,1190,1175,1185,0,22300,26327500,31,2194.4,1190,400,1185,1800,8958380460,8958380460,8958380460,0,0,0,0,0
56,ASPI,Andalan Sakti Primaindo Tbk.,--U-213000000061--------------,174,0,14 Agt 2020,0,178,162,163,-11,11971600,2028991800,1453,155.2,163,50500,162,1423500,680000000,330005000,680000000,0,0,0,0,0
57,ASRI,Alam Sutera Realty Tbk.,--M-113510000061--------------,119,0,14 Agt 2020,0,121,118,118,-1,13918700,1657317900,777,112.4,119,311100,118,2226500,19649411888,19649411888,19649411888,1676100,20000,0,0,0
58,ASRM,Asuransi Ramayana Tbk.,CAU-210000000084--------------,2060,0,14 Agt 2020,0,2080,2050,2060,0,3800,7812000,5,803.8,2060,300,1960,100,234064634,234064634,234064634,0,0,0,0,0
59,ASSA,Adi Sarana Armada Tbk.,--M-180500000074--------------,600,0,14 Agt 2020,0,610,590,590,-10,7754300,4622552000,784,151.3,595,28000,590,30200,3397500000,3397500000,3397500000,339300,11700,98200,58429000,2
60,ATIC,Anabatic Technologies Tbk.,--U-110500000097--------------,600,0,14 Agt 2020,0,600,560,560,-40,10000,5616500,11,80.0,615,200,560,6700,2315361355,2315361355,2315361355,0,0,0,0,0
61,AUTO,Astra Otoparts Tbk.,--M-113500000042--------------,910,0,14 Agt 2020,0,925,910,915,5,1272500,1166678500,338,827.5,920,288900,915,70100,4819733000,4819733000,4819733000,54700,15000,0,0,0
62,AYLS,Agro Yasa Lestari Tbk.,--U-213000000091--------------,50,0,14 Agt 2020,0,0,0,50,0,0,0,0,50.0,50,20173500,0,0,853423200,258703200,853423200,0,0,0,0,0
63,BABP,Bank MNC Internasional Tbk.,--U-210500000081--------------,50,0,14 Agt 2020,0,50,50,50,0,2300,115000,4,57.4,50,36007200,0,0,25061669637,25061669637,25061669637,0,0,0,0,0
64,BACA,Bank Capital Indonesia Tbk.,--U-210500000081--------------,404,0,14 Agt 2020,0,404,400,400,-4,47000,18801000,18,294.9,402,9700,400,3400,7000477807,7000477807,7000477807,11000,0,0,0,0
65,BAJA,Saranacentral Bajatama Tbk.,--U-210000000033--------------,58,0,14 Agt 2020,0,62,54,56,-2,1078500,64036300,146,22.4,57,7500,56,390800,1800000000,1800000000,1800000000,0,0,0,0,0
66,BALI,Bali Towerindo Sentra Tbk.,--U-213500000075--------------,890,0,14 Agt 2020,0,855,855,855,-35,200,171000,1,1068.8,885,4400,840,3100,3934592500,3934592500,3934592500,0,0,0,0,0
67,BAPA,Bekasi Asri Pemula Tbk.,--U-113000000061--------------,50,0,14 Agt 2020,0,0,0,50,0,0,0,0,33.3,50,875100,0,0,661784520,661784520,661784520,0,0,0,0,0
68,BAPI,Bhakti Agung Propertindo Tbk.,--U-213000000061--------------,50,0,14 Agt 2020,0,50,50,50,0,600,30000,2,33.3,50,86252200,0,0,5591740000,1677522000,5591740000,0,0,0,0,0
69,BATA,Sepatu Bata Tbk.,--U-113000000044--------------,635,0,14 Agt 2020,0,630,630,630,-5,100,63000,1,8171.2,630,2000,620,2000,1300000000,1300000000,1300000000,0,0,0,0,0
70,BAYU,Bayu Buana Tbk,--U-213000000094--------------,1050,0,14 Agt 2020,0,1050,1005,1050,0,1000,1032000,3,129.5,1050,800,1010,500,353220780,353220780,353220780,0,0,0,0,0
71,BBCA,Bank Central Asia Tbk.,--M-1UQNCA000081--------------,31500,0,14 Agt 2020,0,32025,31200,32025,525,11463200,364320375000,9288,18300.0,32025,187500,31925,119500,24408459900,24408459900,24408459900,5620800,8901600,726811,22879032925,54
72,BBHI,Bank Harda Internasional Tbk.,--U-210000000081--------------,158,0,14 Agt 2020,0,161,148,161,3,38700,6162300,46,128.8,161,5100,160,5500,4142587477,4142587477,4142587477,0,0,3340000,668000000,1
73,BBKP,Bank Bukopin Tbk.,--M-180500000081--------------,196,0,14 Agt 2020,0,199,195,196,0,57955100,11386619900,1601,58.8,196,513800,195,5550800,16149545524,16149545524,16149545525,1574500,70000,100000,20000000,1
74,BBLD,Buana Finance Tbk.,--U-210000000082--------------,420,0,14 Agt 2020,0,420,392,392,-28,8800,3455200,14,155.8,392,9100,0,0,1645796054,1645796054,1645796054,0,0,0,0,0
75,BBMD,Bank Mestika Dharma Tbk.,--U-110500000081--------------,1500,0,14 Agt 2020,0,1600,1500,1580,80,12200,19018500,14,114.5,1575,500,1410,300,4049189100,4049189100,4049189100,0,0,0,0,0
76,BBNI,Bank Negara Indonesia (Persero) Tbk.,--M-1UQSP7000081--------------,5075,0,14 Agt 2020,0,5100,5000,5000,-75,57145100,287586415000,13255,24.0,5025,679900,5000,346400,18462169893,18462169893,18462169893,22952300,9292100,9967168,50145721000,30
77,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,--M-1UQSPA000081--------------,3330,0,14 Agt 2020,0,3350,3280,3340,10,99152200,329965757000,10883,3817.1,3340,2191900,3330,424300,122112351900,122112351900,122112351900,36771500,45074000,6260239,20800345392,13
78,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--U-110000000074--------------,50,0,14 Agt 2020,0,0,0,50,0,0,0,0,21.7,0,0,0,0,5367076248,5367076248,5367076248,0,0,0,0,0
79,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,--U-213000000061--------------,127,0,14 Agt 2020,0,133,126,128,1,13589500,1756034600,2072,106.7,128,53900,127,54300,4800000000,1300050000,4800000000,0,0,7045000,849820000,3
80,BBTN,Bank Tabungan Negara (Persero) Tbk.,--M-1HQRL0000081--------------,1455,0,14 Agt 2020,0,1470,1435,1450,-5,27089600,39251168500,5384,189.1,1455,126000,1450,17700,10484100000,10484100000,10484100000,1317200,2032000,773820,1120539727,17
81,BBYB,Bank Yudha Bhakti Tbk.,XDU-110500000081--------------,294,0,14 Agt 2020,0,294,280,280,-14,10000,2808400,9,285.1,290,200,278,1000,6595177287,6595177287,7407342340,0,0,0,0,0
82,BCAP,MNC Kapital Indonesia Tbk.,--M-110500000089--------------,142,0,14 Agt 2020,0,142,138,142,0,1051500,146995000,208,402.7,142,79200,141,127300,39760851927,39760851927,39760851927,0,568500,0,0,0
83,BCIC,Bank JTrust Indonesia Tbk.,--U-210500000081--------------,700,0,14 Agt 2020,0,0,0,700,0,0,0,0,52.5,0,0,875,12100,9912003256,9912003256,9912003256,0,0,0,0,0
84,BCIP,Bumi Citra Permai Tbk.,--U-213000000061--------------,50,0,14 Agt 2020,0,51,50,50,0,902100,45105400,64,45.5,50,321900,0,0,1429915525,1429915525,1429915525,0,0,0,0,0
85,BDMN,Bank Danamon Indonesia Tbk.,--U-185591000081--------------,2800,0,14 Agt 2020,0,2830,2770,2770,-30,1069000,2987231000,387,1.6,2780,125800,2770,1300,9675817341,9675817341,9675817341,284400,2400,0,0,0
86,BEEF,Estika Tata Tiara Tbk.,--M-213000000013--------------,193,0,14 Agt 2020,0,194,191,193,0,1055200,203602000,191,56.8,193,97800,192,329400,1884312565,1884299065,1884312565,0,0,0,0,0
87,BEKS,Bank Pembangunan Daerah Banten Tbk.,--U-210500000081--------------,50,0,14 Agt 2020,0,50,50,50,0,16300,815000,9,217.3,50,707141000,0,0,63468336053,63468336053,63468336053,0,0,12927000,645577000,3
88,BELL,Trisula Textile Industries Tbk.,--U-213500000043--------------,158,0,14 Agt 2020,0,160,157,159,1,8457400,1337520100,478,530.0,160,79300,159,123600,7250000000,7250000000,7250000000,0,0,44303800,7000000400,1
89,BESS,Batulicin Nusantara Maritim Tbk.,--U-210000000074--------------,310,0,14 Agt 2020,0,318,312,316,6,1679300,527937800,335,301.0,316,106900,314,1000,3400000000,700000000,3400000000,0,0,0,0,0
90,BEST,Bekasi Fajar Industrial Estate Tbk.,--M-183500000061--------------,122,0,14 Agt 2020,0,125,121,122,0,40119100,4937776500,1116,71.8,122,5191900,121,3303100,9647311150,9647311150,9647311150,3912600,328200,0,0,0
91,BFIN,BFI Finance  Indonesia Tbk.,--M-110500000082--------------,340,0,14 Agt 2020,0,352,338,342,2,12680600,4366156400,522,1752.6,344,592200,342,1800300,15967115620,15967115620,15967115620,5266200,952700,0,0,0
92,BGTG,Bank Ganesha Tbk.,--U-210000000081--------------,50,0,14 Agt 2020,0,51,50,50,0,700400,35503400,57,48.5,51,720000,50,738800,11063309400,11063309400,11063309400,0,0,0,0,0
93,BHAT,Bhakti Multi Artha Tbk.,--U-210500000084--------------,452,0,14 Agt 2020,0,476,450,456,4,150296000,70412109800,4268,442.7,458,8000,456,124900,5000000000,2000000000,5000000000,0,2000,125500000,56475000000,1
94,BHIT,MNC Investama Tbk.,--M-110500000098--------------,50,0,14 Agt 2020,0,50,50,50,0,27900,1395000,7,146.2,50,47353800,0,0,67767400934,67767400934,67767400934,0,0,5000000,140000000,1
95,BIKA,Binakarya Jaya Abadi Tbk.,--U-210000000061--------------,199,0,14 Agt 2020,0,199,198,198,-1,1100,218800,3,19.8,198,400,0,0,592280000,592280000,592280000,0,0,0,0,0
