No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--M-1M3PM10000D232------------,12700,0,28 Mar 2022,0,13000,12700,12950,250,2621700,33909900000,2473,1052.0,12950,48300,12925,9300,1924688333,1924688333,1004302372,714200,1380900,0,0,0
2,ABBA,Mahaka Media Tbk.,--U-2100000000E614------------,296,0,28 Mar 2022,0,300,292,294,-2,7116300,2100238000,1044,649.5,296,293000,292,1889600,3935892857,3935892857,2177729519,157200,74100,2777539,499960920,2
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U-2105000000G412------------,6400,0,28 Mar 2022,0,0,0,6400,0,0,0,0,1461.1,6725,100,6000,100,620806680,620806680,388004175,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,--M-1115000000C311------------,1625,0,28 Mar 2022,0,1680,1625,1675,50,855200,1417976000,390,44.7,1680,131200,1675,419800,2753165000,2753165000,1442383144,179700,97100,1500,1980000,1
5,ACES,Ace Hardware Indonesia Tbk.,--M-187EMN6000E743------------,1005,0,28 Mar 2022,0,1015,1000,1015,10,19443600,19594203000,2653,1237.8,1015,34600,1010,601300,17150000000,17150000000,10962280000,6583800,4346600,0,0,0
6,ACST,Acset Indonusa Tbk.,--U-1105000000J211------------,194,0,28 Mar 2022,0,195,190,192,-2,4393300,846605900,429,14.2,193,22000,192,192500,12675160000,12675160000,6426306120,205300,366800,0,0,0
7,ADCP,Adhi Commuter Properti Tbk.,--U-1130000000H111------------,93,0,28 Mar 2022,0,95,91,93,0,27309500,2531905300,2547,71.5,93,1368800,92,10278100,22222222200,22222222200,10222222200,7745900,0,0,0,0
8,ADES,Akasha Wira International Tbk.,--U-2135000000D212------------,3630,0,28 Mar 2022,0,3660,3600,3660,30,83500,301907000,77,190.1,3660,26600,3650,5100,589896800,589896800,265335581,0,0,0,0,0
9,ADHI,Adhi Karya (Persero) Tbk.,--M-1835K52000J211------------,735,0,28 Mar 2022,0,745,735,740,5,4457600,3286462500,1060,581.2,740,691900,735,338300,3560849376,3560849376,2471229467,141200,1569800,0,0,0
10,ADMF,Adira Dinamika Multi Finance Tbk.,--U-1115200000G211------------,8375,0,28 Mar 2022,0,8425,8350,8375,0,125200,1048830000,187,360.2,8400,93800,8375,13300,1000000000,1000000000,447500000,7500,2700,0,0,0
