,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Periode
171,CNTX,0.81,18,03 Agt 2020,31 Agt 2020,102147800,433100,64,43--,202008
172,COCO,-3.7,18,03 Agt 2020,31 Agt 2020,96310000,125200,176,51--,202008
173,COWL,0.0,18,03 Agt 2020,31 Agt 2020,0,0,0,61--,202008
174,CPIN,1.2,18,03 Agt 2020,31 Agt 2020,1071817242500,172471600,79883,36--,202008
175,CPRI,0.0,18,03 Agt 2020,31 Agt 2020,35700000,714000,41,61--,202008
176,CPRO,0.0,18,03 Agt 2020,31 Agt 2020,21520000,430400,46,36--,202008
177,CSAP,-6.06,18,03 Agt 2020,31 Agt 2020,3494463000,11435300,354,93--,202008
178,CSIS,-1.96,18,03 Agt 2020,31 Agt 2020,436950000,8560800,1196,62--,202008
179,CSMI,0.96,18,03 Agt 2020,31 Agt 2020,230652700,1121400,168,94--,202008
180,CSRA,17.95,18,03 Agt 2020,31 Agt 2020,48862889000,130759800,23123,12--,202008
181,CTBN,0.0,18,03 Agt 2020,31 Agt 2020,0,0,0,33--,202008
182,CTRA,17.56,18,03 Agt 2020,31 Agt 2020,626222688000,881303800,64500,61--,202008
183,CTTH,0.0,18,03 Agt 2020,31 Agt 2020,167373500,3338300,177,24--,202008
184,DADA,-8.97,18,03 Agt 2020,31 Agt 2020,89201074200,1178920600,38305,61--,202008
185,DART,7.41,18,03 Agt 2020,31 Agt 2020,6160400,26100,19,61--,202008
186,DAYA,-17.54,18,03 Agt 2020,31 Agt 2020,1891000,3900,7,93--,202008
187,DEAL,2.33,18,03 Agt 2020,31 Agt 2020,12380171600,145694200,10182,74--,202008
188,DEFI,-4.76,18,03 Agt 2020,31 Agt 2020,433304500,246200,318,82--,202008
189,DEWA,0.0,18,03 Agt 2020,31 Agt 2020,21240000,424800,36,21--,202008
190,DFAM,0.58,18,03 Agt 2020,31 Agt 2020,45531200,130300,101,94--,202008
191,DGIK,0.0,18,03 Agt 2020,31 Agt 2020,530000,10600,21,62--,202008
192,DIGI,9.86,18,03 Agt 2020,31 Agt 2020,6893500,3600,17,97--,202008
193,DILD,-0.56,18,03 Agt 2020,31 Agt 2020,40781411200,222664700,12934,61--,202008
194,DIVA,-6.93,18,03 Agt 2020,31 Agt 2020,6113026500,3062800,2124,93--,202008
195,DKFT,-7.14,18,03 Agt 2020,31 Agt 2020,26801544500,215116000,13277,23--,202008
