,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Periode
0,AALI,6.03,17,05 Jun 2023,27 Jun 2023,104947392500,14261000,13694,D232,202306
1,ABBA,-1.09,17,05 Jun 2023,27 Jun 2023,8628641000,91685100,6275,E614,202306
2,ABDA,0.0,17,05 Jun 2023,27 Jun 2023,0,0,0,G412,202306
3,ABMM,10.43,17,05 Jun 2023,27 Jun 2023,101976441000,33933800,17978,C311,202306
4,ACES,7.14,17,05 Jun 2023,27 Jun 2023,1331558964500,2003474500,170764,E743,202306
5,ACST,-0.78,17,05 Jun 2023,27 Jun 2023,5907233800,45482400,8426,J211,202306
6,ADCP,0.0,17,05 Jun 2023,27 Jun 2023,12313617300,202706200,43524,H111,202306
7,ADES,2.42,17,05 Jun 2023,27 Jun 2023,9470727500,1112800,1951,D212,202306
8,ADHI,33.14,17,05 Jun 2023,27 Jun 2023,334675335400,766375600,84611,J211,202306
9,ADMF,10.98,17,05 Jun 2023,27 Jun 2023,37832645000,3395300,3358,G211,202306
10,ADMG,-3.5,17,05 Jun 2023,27 Jun 2023,476462000,3406600,2137,B111,202306
11,ADMR,18.59,17,05 Jun 2023,27 Jun 2023,408005239000,473410200,79064,A121,202306
12,ADRO,9.31,17,05 Jun 2023,27 Jun 2023,1890869481000,851576900,152694,A121,202306
13,AGAR,-12.03,17,05 Jun 2023,27 Jun 2023,2768000,11100,66,D231,202306
14,AGII,-2.08,17,05 Jun 2023,27 Jun 2023,10973475500,5775300,4807,B111,202306
15,AGRO,9.09,17,05 Jun 2023,27 Jun 2023,225795308400,590206700,60073,G111,202306
16,AGRS,9.52,17,05 Jun 2023,27 Jun 2023,11964122500,134510800,7540,G111,202306
17,AHAP,3.64,17,05 Jun 2023,27 Jun 2023,4241776500,69524000,3888,G412,202306
18,AIMS,-5.41,17,05 Jun 2023,27 Jun 2023,75521200,349700,518,A121,202306
19,AISA,0.0,17,05 Jun 2023,27 Jun 2023,9016967300,62956900,14751,D222,202306
20,AKKU,0.0,17,05 Jun 2023,27 Jun 2023,735610000,14712200,11837,E512,202306
21,AKPI,-5.34,17,05 Jun 2023,27 Jun 2023,326719500,329000,454,B113,202306
22,AKRA,4.03,17,05 Jun 2023,27 Jun 2023,1064056349000,733683300,92365,A112,202306
23,AKSI,-7.21,17,05 Jun 2023,27 Jun 2023,232028900,1113000,724,K211,202306
24,ALDO,-1.64,17,05 Jun 2023,27 Jun 2023,1646937000,2723400,939,B131,202306
25,ALKA,-0.56,17,05 Jun 2023,27 Jun 2023,158099200,440300,473,B141,202306
26,ALMI,-6.61,17,05 Jun 2023,27 Jun 2023,262882800,1181900,558,B141,202306
27,ALTO,0.0,17,05 Jun 2023,27 Jun 2023,10340000,206800,136,D212,202306
28,AMAG,-3.21,17,05 Jun 2023,27 Jun 2023,4357623200,11763300,1936,G412,202306
29,AMAN,-29.69,17,05 Jun 2023,27 Jun 2023,81686687100,475028400,41662,H111,202306
30,AMAR,-3.33,17,05 Jun 2023,27 Jun 2023,46415204000,154615900,11123,G111,202306
31,AMFG,5.42,17,05 Jun 2023,27 Jun 2023,10925557500,2020600,1331,C121,202306
32,AMIN,-13.43,17,05 Jun 2023,27 Jun 2023,1514929500,12975200,3452,C143,202306
33,AMMS,-8.7,17,05 Jun 2023,27 Jun 2023,860637900,19284100,2285,D231,202306
