,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Periode
0,AALI,-1.53,21,01 Jul 2022,29 Jul 2022,403057052500,42604200,42583,D232,202207
1,ABBA,3.45,21,01 Jul 2022,29 Jul 2022,383600299600,1635820900,137043,E614,202207
2,ABDA,8.05,21,01 Jul 2022,29 Jul 2022,27822500,4600,16,G412,202207
3,ABMM,17.49,21,01 Jul 2022,29 Jul 2022,157317289000,67299100,27902,C311,202207
4,ACES,-7.79,21,01 Jul 2022,29 Jul 2022,606848913500,825356900,99183,E743,202207
5,ACST,-1.24,21,01 Jul 2022,29 Jul 2022,9094280900,57375600,6062,J211,202207
6,ADCP,-5.13,21,01 Jul 2022,29 Jul 2022,29433606300,391529100,26816,H111,202207
7,ADES,-7.49,21,01 Jul 2022,29 Jul 2022,27794140000,4503900,6982,D212,202207
8,ADHI,-3.9,21,01 Jul 2022,29 Jul 2022,139299051500,190128900,34933,J211,202207
9,ADMF,1.87,21,01 Jul 2022,29 Jul 2022,14117810000,1763200,2875,G211,202207
10,ADMG,0.0,21,01 Jul 2022,29 Jul 2022,19276054700,105581800,20782,B111,202207
11,ADMR,16.77,21,01 Jul 2022,29 Jul 2022,4053884816500,2403084000,331021,A121,202207
12,ADRO,13.64,21,01 Jul 2022,29 Jul 2022,6171099949000,2085416200,277337,A121,202207
13,AGAR,-1.88,21,01 Jul 2022,29 Jul 2022,89291000,301600,616,D231,202207
14,AGII,10.7,21,01 Jul 2022,29 Jul 2022,332482859500,145041700,62101,B111,202207
15,AGRO,19.86,21,01 Jul 2022,29 Jul 2022,939249757500,1232418600,148097,G111,202207
16,AGRS,-1.67,21,01 Jul 2022,29 Jul 2022,19751598600,167738700,12176,G111,202207
17,AHAP,89.29,21,01 Jul 2022,29 Jul 2022,67636055700,725118900,53487,G412,202207
18,AIMS,-0.79,21,01 Jul 2022,29 Jul 2022,504011800,1878900,1552,A121,202207
19,AISA,-4.05,21,01 Jul 2022,29 Jul 2022,14814048000,102653100,10180,D222,202207
20,AKKU,0.0,21,01 Jul 2022,29 Jul 2022,361305000,7226100,3810,E512,202207
21,AKPI,-1.34,21,01 Jul 2022,29 Jul 2022,1102654500,828800,1284,B113,202207
22,AKRA,21.36,21,01 Jul 2022,29 Jul 2022,1261011388500,1198693400,123841,A112,202207
23,AKSI,-4.86,21,01 Jul 2022,29 Jul 2022,556184600,1954300,1620,K211,202207
24,ALDO,-4.71,21,01 Jul 2022,29 Jul 2022,23509835500,28654500,7261,B131,202207
25,ALKA,-2.67,21,01 Jul 2022,29 Jul 2022,955021800,3237800,1715,B141,202207
26,ALMI,0.67,21,01 Jul 2022,29 Jul 2022,55271200,188400,307,B141,202207
27,ALTO,-3.02,21,01 Jul 2022,29 Jul 2022,745263700,3775400,4306,D212,202207
28,AMAG,-16.36,21,01 Jul 2022,29 Jul 2022,7435937000,17998500,6018,G412,202207
29,AMAN,0.0,21,01 Jul 2022,29 Jul 2022,1750054600,3445700,398,H111,202207
30,AMAR,-2.65,21,01 Jul 2022,29 Jul 2022,116444694800,379454900,43050,G111,202207
31,AMFG,0.0,21,01 Jul 2022,29 Jul 2022,60880325000,10312000,7820,C121,202207
32,AMIN,-1.53,21,01 Jul 2022,29 Jul 2022,337498200,2696500,981,C143,202207
33,AMOR,0.0,21,01 Jul 2022,29 Jul 2022,101818000,75600,182,G311,202207
34,AMRT,-8.09,21,01 Jul 2022,29 Jul 2022,2282701317000,1196829700,185981,D113,202207
35,ANDI,0.0,21,01 Jul 2022,29 Jul 2022,118195000,2363900,198,D232,202207
36,ANJT,-2.3,21,01 Jul 2022,29 Jul 2022,25790551000,31385900,9096,D232,202207
37,ANTM,8.61,21,01 Jul 2022,29 Jul 2022,4298749307500,2461214800,455894,B146,202207
38,APEX,-4.07,21,01 Jul 2022,29 Jul 2022,1546908200,4826800,3129,A131,202207
39,APIC,6.44,21,01 Jul 2022,29 Jul 2022,137809433500,131572500,11246,G511,202207
40,APII,-5.88,21,01 Jul 2022,29 Jul 2022,5524268500,28690500,5845,C143,202207
41,APLI,11.58,21,01 Jul 2022,29 Jul 2022,124534000,625200,280,B113,202207
42,APLN,0.91,21,01 Jul 2022,29 Jul 2022,11435182200,104080200,7063,H111,202207
43,ARCI,3.73,21,01 Jul 2022,29 Jul 2022,14676673400,45393700,7562,B143,202207
44,ARGO,-6.02,21,01 Jul 2022,29 Jul 2022,30818000,25200,138,E413,202207
45,ARII,-7.89,21,01 Jul 2022,29 Jul 2022,1411316700,7092400,2150,A121,202207
46,ARKA,0.0,21,01 Jul 2022,29 Jul 2022,632970000,12659400,4302,C143,202207
47,ARMY,0.0,21,01 Jul 2022,29 Jul 2022,0,0,0,H111,202207
48,ARNA,0.5,21,01 Jul 2022,29 Jul 2022,44829480000,45743800,14000,C121,202207
49,ARTA,28.8,21,01 Jul 2022,29 Jul 2022,1059145000,453600,533,E512,202207
50,ARTI,0.0,21,01 Jul 2022,29 Jul 2022,0,0,0,A132,202207
51,ARTO,15.57,21,01 Jul 2022,29 Jul 2022,4025156962500,425454000,204054,G111,202207
52,ASBI,-1.29,21,01 Jul 2022,29 Jul 2022,797692200,2665800,705,G412,202207
53,ASDM,0.0,21,01 Jul 2022,29 Jul 2022,107884000,114800,322,G412,202207
54,ASGR,-3.78,21,01 Jul 2022,29 Jul 2022,6675421000,7517400,2458,C224,202207
55,ASHA,110.13,21,01 Jul 2022,29 Jul 2022,1656058482800,6185731100,330048,D231,202207
56,ASII,-4.53,21,01 Jul 2022,29 Jul 2022,6708529970000,1091507500,159083,C311,202207
57,ASJT,0.0,21,01 Jul 2022,29 Jul 2022,401543900,3125600,681,G412,202207
58,ASLC,30.28,21,01 Jul 2022,29 Jul 2022,321796680200,1974356800,92182,E745,202207
59,ASMI,-0.77,21,01 Jul 2022,29 Jul 2022,1676067500,13000700,628,G412,202207
60,ASPI,15.38,21,01 Jul 2022,29 Jul 2022,8640834700,99650700,9094,H111,202207
61,ASRI,-1.78,21,01 Jul 2022,29 Jul 2022,71119959000,440857400,39922,H111,202207
62,ASRM,5.1,21,01 Jul 2022,29 Jul 2022,43715000,27400,90,G412,202207
63,ASSA,-2.05,21,01 Jul 2022,29 Jul 2022,390521186000,235178500,62627,K132,202207
64,ATAP,2.73,21,01 Jul 2022,29 Jul 2022,35723425800,292979100,60514,H111,202207
65,ATIC,5.26,21,01 Jul 2022,29 Jul 2022,831622400,2212400,1581,I121,202207
66,AUTO,2.19,21,01 Jul 2022,29 Jul 2022,33628832500,29494600,11197,E111,202207
67,AVIA,4.91,21,01 Jul 2022,29 Jul 2022,772321610500,867007900,45600,B113,202207
68,AYLS,-6.86,21,01 Jul 2022,29 Jul 2022,42292532000,251705800,45037,B121,202207
69,BABP,12.5,21,01 Jul 2022,29 Jul 2022,162350463200,1275942600,69983,G111,202207
70,BACA,8.45,21,01 Jul 2022,29 Jul 2022,83070408000,543416700,43742,G111,202207
71,BAJA,-4.52,21,01 Jul 2022,29 Jul 2022,1414543500,8384600,3234,B144,202207
