,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Periode
0,AALI,-9.84,22,01 Sep 2022,30 Sep 2022,400686550000,44969900,42586,D232,202209
1,ABBA,-13.71,22,01 Sep 2022,30 Sep 2022,152175340600,671937800,63834,E614,202209
2,ABDA,5.7,22,01 Sep 2022,30 Sep 2022,23725000,4100,27,G412,202209
3,ABMM,44.0,22,01 Sep 2022,30 Sep 2022,766659125000,195105300,72668,C311,202209
4,ACES,-15.28,22,01 Sep 2022,30 Sep 2022,588547463000,893348800,98345,E743,202209
5,ACST,-14.56,22,01 Sep 2022,30 Sep 2022,117534884800,556207900,76287,J211,202209
6,ADCP,6.58,22,01 Sep 2022,30 Sep 2022,98891683200,1200430700,75387,H111,202209
7,ADES,2.87,22,01 Sep 2022,30 Sep 2022,31885010000,4301300,6010,D212,202209
8,ADHI,-11.73,22,01 Sep 2022,30 Sep 2022,292448360000,358337500,59216,J211,202209
9,ADMF,1.84,22,01 Sep 2022,30 Sep 2022,19929687500,2392600,3549,G211,202209
10,ADMG,-4.02,22,01 Sep 2022,30 Sep 2022,2159697000,12763400,1941,B111,202209
11,ADMR,4.96,22,01 Sep 2022,30 Sep 2022,5832521395500,3268652500,405294,A121,202209
12,ADRO,11.86,22,01 Sep 2022,30 Sep 2022,9163796310000,2330280900,321175,A121,202209
13,AGAR,-1.35,22,01 Sep 2022,30 Sep 2022,68235200,223100,677,D231,202209
14,AGII,12.44,22,01 Sep 2022,30 Sep 2022,348484364000,152696600,51703,B111,202209
15,AGRO,-21.99,22,01 Sep 2022,30 Sep 2022,334802199000,510061700,79071,G111,202209
16,AGRS,-23.08,22,01 Sep 2022,30 Sep 2022,58791933700,543402700,49882,G111,202209
17,AHAP,-33.59,22,01 Sep 2022,30 Sep 2022,216496874900,1711401900,115725,G412,202209
18,AIMS,-2.42,22,01 Sep 2022,30 Sep 2022,118170400,477000,558,A121,202209
19,AISA,11.56,22,01 Sep 2022,30 Sep 2022,83327140900,509553100,38677,D222,202209
20,AKKU,0.0,22,01 Sep 2022,30 Sep 2022,250425000,5008500,1500,E512,202209
21,AKPI,6.86,22,01 Sep 2022,30 Sep 2022,2677806500,1629300,1700,B113,202209
22,AKRA,12.5,22,01 Sep 2022,30 Sep 2022,1829366934000,1396441100,155819,A112,202209
23,AKSI,3.95,22,01 Sep 2022,30 Sep 2022,6936104600,21210000,9041,K211,202209
24,ALDO,-6.43,22,01 Sep 2022,30 Sep 2022,9117735000,12693400,5043,B131,202209
25,ALKA,0.0,22,01 Sep 2022,30 Sep 2022,767190800,2634400,742,B141,202209
26,ALMI,18.79,22,01 Sep 2022,30 Sep 2022,3681215400,9220800,4897,B141,202209
27,ALTO,-5.24,22,01 Sep 2022,30 Sep 2022,258225400,1422800,810,D212,202209
28,AMAG,-0.55,22,01 Sep 2022,30 Sep 2022,512631200,1411000,1232,G412,202209
29,AMAN,7.75,22,01 Sep 2022,30 Sep 2022,13399435000,20452300,3423,H111,202209
30,AMAR,-8.09,22,01 Sep 2022,30 Sep 2022,53732354200,213126500,25221,G111,202209
31,AMFG,-14.04,22,01 Sep 2022,30 Sep 2022,26476808000,4789300,4658,C121,202209
32,AMIN,9.17,22,01 Sep 2022,30 Sep 2022,859372300,6272000,2275,C143,202209
33,AMMS,-20.0,22,01 Sep 2022,30 Sep 2022,834945659400,5287084700,236684,D231,202209
34,AMOR,6.15,22,01 Sep 2022,30 Sep 2022,567585000,416000,450,G311,202209
35,AMRT,9.63,22,01 Sep 2022,30 Sep 2022,4536693144000,2027850100,127596,D113,202209
36,ANDI,0.0,22,01 Sep 2022,30 Sep 2022,30810000,616200,412,D232,202209
37,ANJT,-13.17,22,01 Sep 2022,30 Sep 2022,34600928500,43371300,11414,D232,202209
38,ANTM,-2.51,22,01 Sep 2022,30 Sep 2022,4494786583000,2235897300,389814,B146,202209
39,APEX,-0.57,22,01 Sep 2022,30 Sep 2022,18678485600,41877600,14155,A131,202209
