,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Periode
0,AALI,-18.52,22,02 Jan 2020,31 Jan 2020,311321100000,24197900,29360,,202001
1,ABBA,-28.3,22,02 Jan 2020,31 Jan 2020,29244209700,300253600,34456,,202001
2,ABDA,-2.51,22,02 Jan 2020,31 Jan 2020,13372500,1900,8,,202001
3,ABMM,-5.56,22,02 Jan 2020,31 Jan 2020,13941000,9400,22,,202001
4,ACES,15.05,22,02 Jan 2020,31 Jan 2020,742043370000,480968700,90691,,202001
5,ACST,-6.19,22,02 Jan 2020,31 Jan 2020,1672061000,1728400,630,,202001
6,ADES,-7.18,22,02 Jan 2020,31 Jan 2020,991152000,1010100,502,,202001
7,ADHI,-12.34,22,02 Jan 2020,31 Jan 2020,150855800500,131317700,27160,,202001
8,ADMF,-3.37,22,02 Jan 2020,31 Jan 2020,33198360000,3247700,1556,,202001
9,ADMG,-6.99,22,02 Jan 2020,31 Jan 2020,2060745000,11535900,1262,,202001
10,ADRO,-21.22,22,02 Jan 2020,31 Jan 2020,1851069820500,1279097400,142124,,202001
11,AGAR,-3.03,22,02 Jan 2020,31 Jan 2020,1215267800,3172600,781,,202001
12,AGII,-15.11,22,02 Jan 2020,31 Jan 2020,1825898000,2981600,1098,,202001
13,AGRO,-22.73,22,02 Jan 2020,31 Jan 2020,12204867800,65789300,9461,,202001
14,AGRS,16.3,22,02 Jan 2020,31 Jan 2020,252760000,1642700,637,,202001
15,AHAP,-3.33,22,02 Jan 2020,31 Jan 2020,2390696400,37604600,4954,,202001
16,AIMS,0.0,22,02 Jan 2020,31 Jan 2020,0,0,0,,202001
17,AISA,0.0,22,02 Jan 2020,31 Jan 2020,0,0,0,,202001
18,AKKU,0.0,22,02 Jan 2020,31 Jan 2020,5530000,110600,98,,202001
19,AKPI,-8.11,22,02 Jan 2020,31 Jan 2020,34912400,87700,65,,202001
20,AKRA,-16.2,22,02 Jan 2020,31 Jan 2020,967469726000,275762400,42336,,202001
21,AKSI,-61.4,22,02 Jan 2020,31 Jan 2020,1113357700,1534300,694,,202001
22,ALDO,7.48,22,02 Jan 2020,31 Jan 2020,226990000,553800,203,,202001
23,ALKA,-2.87,22,02 Jan 2020,31 Jan 2020,26003200,65300,99,,202001
24,ALMI,-2.23,22,02 Jan 2020,31 Jan 2020,167129000,520300,84,,202001
25,ALTO,-2.01,22,02 Jan 2020,31 Jan 2020,66033994800,171108200,440,,202001
26,AMAG,2.7,22,02 Jan 2020,31 Jan 2020,11353600,39900,63,,202001
27,AMFG,-2.92,22,02 Jan 2020,31 Jan 2020,2334928000,691500,230,,202001
28,AMIN,30.13,22,02 Jan 2020,31 Jan 2020,267943600,761900,240,,202001
29,AMRT,-9.09,22,02 Jan 2020,31 Jan 2020,24176872000,28510400,648,,202001
30,ANDI,0.0,22,02 Jan 2020,31 Jan 2020,42762942200,767751300,29756,,202001
31,ANJT,-13.5,22,02 Jan 2020,31 Jan 2020,355844500,401600,79,,202001
32,ANTM,-14.29,22,02 Jan 2020,31 Jan 2020,1474455888000,1776096000,148050,,202001
33,APEX,-27.75,22,02 Jan 2020,31 Jan 2020,399757800,1521700,193,,202001
34,APIC,1.45,22,02 Jan 2020,31 Jan 2020,233645407000,333842900,25931,,202001
35,APII,18.48,22,02 Jan 2020,31 Jan 2020,153872700,753500,235,,202001
36,APLI,-5.59,22,02 Jan 2020,31 Jan 2020,382632400,2371800,536,,202001
37,APLN,-18.64,22,02 Jan 2020,31 Jan 2020,60601339100,363258900,19561,,202001
38,APOL,0.0,22,02 Jan 2020,31 Jan 2020,0,0,0,,202001
39,ARGO,0.0,22,02 Jan 2020,31 Jan 2020,0,0,0,,202001
40,ARII,4.26,22,02 Jan 2020,31 Jan 2020,95433500,137300,26,,202001
41,ARKA,-4.31,22,02 Jan 2020,31 Jan 2020,60961018500,29872000,21581,,202001
42,ARMY,0.0,22,02 Jan 2020,31 Jan 2020,0,0,0,,202001
43,ARNA,-1.38,22,02 Jan 2020,31 Jan 2020,7032210400,16427300,1102,,202001
44,ARTA,-33.33,22,02 Jan 2020,31 Jan 2020,4665000,12500,24,,202001
45,ARTI,0.0,22,02 Jan 2020,31 Jan 2020,3100000,62000,43,,202001
46,ARTO,15.81,22,02 Jan 2020,31 Jan 2020,2186352000,685500,862,,202001
47,ASBI,-4.55,22,02 Jan 2020,31 Jan 2020,2460600,8700,40,,202001
48,ASDM,-8.26,22,02 Jan 2020,31 Jan 2020,5617500,5300,26,,202001
49,ASGR,0.0,22,02 Jan 2020,31 Jan 2020,5684334500,5732600,1328,,202001
50,ASII,-8.3,22,02 Jan 2020,31 Jan 2020,3731374212500,543493500,107732,,202001
51,ASJT,0.84,22,02 Jan 2020,31 Jan 2020,1443181800,11750100,1223,,202001
52,ASMI,5.06,22,02 Jan 2020,31 Jan 2020,3404027500,2662100,915,,202001
53,ASRI,-16.81,22,02 Jan 2020,31 Jan 2020,45102497400,197336900,16570,,202001
54,ASRM,0.5,22,02 Jan 2020,31 Jan 2020,3204000,1600,12,,202001
55,ASSA,-22.97,22,02 Jan 2020,31 Jan 2020,98333116500,151852400,6986,,202001
56,ATIC,9.38,22,02 Jan 2020,31 Jan 2020,3017500,4600,12,,202001
57,AUTO,-3.23,22,02 Jan 2020,31 Jan 2020,33127984500,26395000,7455,,202001
58,BABP,0.0,22,02 Jan 2020,31 Jan 2020,8655000,173100,127,,202001
59,BACA,3.33,22,02 Jan 2020,31 Jan 2020,41976405200,135832100,18155,,202001
60,BAJA,16.13,22,02 Jan 2020,31 Jan 2020,10725208800,131530000,14678,,202001
61,BALI,-25.69,22,02 Jan 2020,31 Jan 2020,1551884500,1902600,300,,202001
62,BAPA,-28.17,22,02 Jan 2020,31 Jan 2020,17484590500,263988100,329,,202001
63,BAPI,0.0,22,02 Jan 2020,31 Jan 2020,226195000,4523900,365,,202001
64,BATA,-7.58,22,02 Jan 2020,31 Jan 2020,750401500,1259900,354,,202001
65,BAYU,-12.71,22,02 Jan 2020,31 Jan 2020,1291081000,1226500,416,,202001
66,BBCA,-3.07,22,02 Jan 2020,31 Jan 2020,10519239862500,310331200,166449,,202001
67,BBHI,-7.2,22,02 Jan 2020,31 Jan 2020,292408400,2468500,613,,202001
68,BBKP,0.0,22,02 Jan 2020,31 Jan 2020,49305114000,200232200,14525,,202001
69,BBLD,3.47,22,02 Jan 2020,31 Jan 2020,336600,800,5,,202001
70,BBMD,-16.43,22,02 Jan 2020,31 Jan 2020,51973000,21000,14,,202001
71,BBNI,-8.28,22,02 Jan 2020,31 Jan 2020,3010275962500,396134700,103375,,202001
72,BBRI,1.36,22,02 Jan 2020,31 Jan 2020,10709579930000,2351590900,190341,,202001
73,BBRM,0.0,22,02 Jan 2020,31 Jan 2020,10575000,211500,16,,202001
74,BBTN,-11.79,22,02 Jan 2020,31 Jan 2020,513127101000,247950100,54965,,202001
75,BBYB,-2.82,22,02 Jan 2020,31 Jan 2020,1154329600,4283200,276,,202001
76,BCAP,-5.33,22,02 Jan 2020,31 Jan 2020,5788185400,39625700,27553,,202001
77,BCIC,0.0,22,02 Jan 2020,31 Jan 2020,0,0,0,,202001
78,BCIP,-21.88,22,02 Jan 2020,31 Jan 2020,3437794700,66993200,2248,,202001
79,BDMN,-11.9,22,02 Jan 2020,31 Jan 2020,200742941000,51567900,27962,,202001
80,BEEF,-10.89,22,02 Jan 2020,31 Jan 2020,35838745000,88070600,13200,,202001
81,BEKS,0.0,22,02 Jan 2020,31 Jan 2020,42590000,851800,199,,202001
82,BELL,7.69,22,02 Jan 2020,31 Jan 2020,2332873500,4339200,671,,202001
83,BEST,-22.69,22,02 Jan 2020,31 Jan 2020,50565485200,255840300,17295,,202001
84,BFIN,-2.68,22,02 Jan 2020,31 Jan 2020,1359159000,2444600,604,,202001
85,BGTG,-22.73,22,02 Jan 2020,31 Jan 2020,2299235700,40904900,2903,,202001
86,BHIT,1.56,22,02 Jan 2020,31 Jan 2020,43554956300,671005400,40098,,202001
87,BIKA,-5.1,22,02 Jan 2020,31 Jan 2020,59452300,322100,96,,202001
88,BIMA,0.0,22,02 Jan 2020,31 Jan 2020,265428000,5098500,869,,202001
89,BINA,8.14,22,02 Jan 2020,31 Jan 2020,11671290000,13451600,1319,,202001
90,BIPI,0.0,22,02 Jan 2020,31 Jan 2020,14745000,294900,137,,202001
91,BIPP,0.0,22,02 Jan 2020,31 Jan 2020,128088800,2474100,696,,202001
92,BIRD,-5.62,22,02 Jan 2020,31 Jan 2020,54746945000,21146000,4286,,202001
93,BISI,-4.76,22,02 Jan 2020,31 Jan 2020,2326782000,2302200,1152,,202001
94,BJBR,-16.88,22,02 Jan 2020,31 Jan 2020,281288426500,252861800,53330,,202001
95,BJTM,-8.76,22,02 Jan 2020,31 Jan 2020,207487741000,333212500,21974,,202001
96,BKDP,-4.92,22,02 Jan 2020,31 Jan 2020,43843700,734400,171,,202001
97,BKSL,-31.76,22,02 Jan 2020,31 Jan 2020,143207534800,1934595300,39244,,202001
98,BKSW,-27.22,22,02 Jan 2020,31 Jan 2020,19371700,118300,87,,202001
99,BLTA,0.0,22,02 Jan 2020,31 Jan 2020,245000,4900,12,,202001
100,BLTZ,40.0,22,02 Jan 2020,31 Jan 2020,93348000,24000,47,,202001
