,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Periode
0,AALI,5.26,22,01 Agt 2019,30 Agt 2019,324549377500,30511100,22385,,201908
1,ABBA,-9.03,22,01 Agt 2019,30 Agt 2019,69413256800,459798400,34549,,201908
2,ABDA,0.0,22,01 Agt 2019,30 Agt 2019,1375000,200,2,,201908
3,ABMM,-1.63,22,01 Agt 2019,30 Agt 2019,15639000,9100,46,,201908
4,ACES,-5.99,22,01 Agt 2019,30 Agt 2019,435000141500,248395700,85752,,201908
5,ACST,-9.09,22,01 Agt 2019,30 Agt 2019,4995960500,4028500,1969,,201908
6,ADES,-4.41,22,01 Agt 2019,30 Agt 2019,3061896500,2773200,1468,,201908
7,ADHI,-10.1,22,01 Agt 2019,30 Agt 2019,243242432500,173470900,34406,,201908
8,ADMF,0.0,22,01 Agt 2019,30 Agt 2019,48910995000,4618400,1261,,201908
9,ADMG,-9.68,22,01 Agt 2019,30 Agt 2019,5702396000,24007100,3707,,201908
10,ADRO,-11.42,22,01 Agt 2019,30 Agt 2019,1541460668000,1407692100,128931,,201908
11,AGII,-8.21,22,01 Agt 2019,30 Agt 2019,3621146000,5652800,1363,,201908
12,AGRO,-7.14,22,01 Agt 2019,30 Agt 2019,26602741000,100270000,12302,,201908
13,AGRS,-23.08,22,01 Agt 2019,30 Agt 2019,2097641800,8389700,2682,,201908
14,AHAP,-3.57,22,01 Agt 2019,30 Agt 2019,122738800,2202000,331,,201908
15,AIMS,0.0,22,01 Agt 2019,30 Agt 2019,0,0,0,,201908
16,AISA,0.0,22,01 Agt 2019,30 Agt 2019,0,0,0,,201908
17,AKKU,0.0,22,01 Agt 2019,30 Agt 2019,52815000,1056300,1370,,201908
18,AKPI,-0.92,22,01 Agt 2019,30 Agt 2019,75581800,174200,141,,201908
19,AKRA,6.75,22,01 Agt 2019,30 Agt 2019,558768765000,140861600,39762,,201908
20,AKSI,4.68,22,01 Agt 2019,30 Agt 2019,24299200,71200,76,,201908
21,ALDO,-7.0,22,01 Agt 2019,30 Agt 2019,911650400,2433200,368,,201908
22,ALKA,18.18,22,01 Agt 2019,30 Agt 2019,212155600,437400,189,,201908
23,ALMI,-4.95,22,01 Agt 2019,30 Agt 2019,14394000,30400,41,,201908
24,ALTO,-1.04,22,01 Agt 2019,30 Agt 2019,1231918800,3193100,57,,201908
25,AMAG,0.0,22,01 Agt 2019,30 Agt 2019,9463200,31500,35,,201908
26,AMFG,-5.66,22,01 Agt 2019,30 Agt 2019,1078695500,216800,96,,201908
27,AMIN,-7.26,22,01 Agt 2019,30 Agt 2019,69493200,195700,164,,201908
