,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Periode
0,AALI,-6.0,22,02 Oct 2023,31 Oct 2023,122419262500,17015300,16147,D232,202310
1,ABBA,-8.75,22,02 Oct 2023,31 Oct 2023,115981732700,1424330200,68053,E614,202310
2,ABDA,-1.64,22,02 Oct 2023,31 Oct 2023,600000,100,1,G412,202310
3,ABMM,-3.05,22,02 Oct 2023,31 Oct 2023,258107861000,63660500,34682,A121,202310
4,ACES,6.67,22,02 Oct 2023,31 Oct 2023,1276224790500,1578253200,129340,E743,202310
5,ACST,-13.37,22,02 Oct 2023,31 Oct 2023,433034007200,1993824200,121035,J211,202310
6,ADCP,-3.45,22,02 Oct 2023,31 Oct 2023,14920342700,257258100,27786,H111,202310
7,ADES,1.65,22,02 Oct 2023,31 Oct 2023,18356422500,1733800,2811,D212,202310
8,ADHI,-15.55,22,02 Oct 2023,31 Oct 2023,211658650600,464333100,49837,J211,202310
9,ADMF,-0.95,22,02 Oct 2023,31 Oct 2023,23901767500,2269900,3612,G211,202310
10,ADMG,-2.65,22,02 Oct 2023,31 Oct 2023,2192064100,14332600,3517,B111,202310
11,ADMR,-15.71,22,02 Oct 2023,31 Oct 2023,1814036248500,1488677400,187701,A121,202310
12,ADRO,-10.18,22,02 Oct 2023,31 Oct 2023,2698077298000,994011200,236041,A121,202310
13,AEGS,-17.19,22,02 Oct 2023,31 Oct 2023,8628148700,143152100,11586,E111,202310
14,AGAR,-20.59,22,02 Oct 2023,31 Oct 2023,1197000,8200,31,D231,202310
15,AGII,-11.52,22,02 Oct 2023,31 Oct 2023,7938807500,4653900,3069,B111,202310
16,AGRO,-26.32,22,02 Oct 2023,31 Oct 2023,57694616400,214278500,29666,G111,202310
17,AGRS,-5.81,22,02 Oct 2023,31 Oct 2023,10987346000,131098300,5141,G111,202310
18,AHAP,-3.7,22,02 Oct 2023,31 Oct 2023,57559227500,494740100,33352,G412,202310
19,AIMS,17.99,22,02 Oct 2023,31 Oct 2023,12483047000,39613800,6925,A121,202310
20,AISA,12.82,22,02 Oct 2023,31 Oct 2023,54024607000,428411400,48535,D222,202310
21,AKKU,0.0,22,02 Oct 2023,31 Oct 2023,234920000,4698400,2188,E512,202310
22,AKPI,-9.43,22,02 Oct 2023,31 Oct 2023,1676188500,2327700,5239,B113,202310
23,AKRA,-3.56,22,02 Oct 2023,31 Oct 2023,1252806254500,864902700,126483,A112,202310
24,AKSI,-1.76,22,02 Oct 2023,31 Oct 2023,3702993900,18816200,7415,K211,202310
25,ALDO,-1.34,22,02 Oct 2023,31 Oct 2023,3105917500,4187100,791,B131,202310
26,ALKA,-16.28,22,02 Oct 2023,31 Oct 2023,493226600,844100,1279,B141,202310
27,ALMI,-2.8,22,02 Oct 2023,31 Oct 2023,277168100,1272400,805,B141,202310
28,ALTO,0.0,22,02 Oct 2023,31 Oct 2023,16895000,337900,157,D212,202310
29,AMAG,-2.35,22,02 Oct 2023,31 Oct 2023,3708262200,11154600,529,G412,202310
30,AMAN,21.26,22,02 Oct 2023,31 Oct 2023,138440129400,797562200,84589,H111,202310
31,AMAR,8.22,22,02 Oct 2023,31 Oct 2023,18234923400,58292200,5057,G111,202310
32,AMFG,4.55,22,02 Oct 2023,31 Oct 2023,10704415000,1921800,1144,C121,202310
33,AMIN,7.26,22,02 Oct 2023,31 Oct 2023,4353280500,30795200,8591,C143,202310
34,AMMN,9.7,22,02 Oct 2023,31 Oct 2023,7805016100000,1220107000,208838,B142,202310
35,AMMS,-11.36,22,02 Oct 2023,31 Oct 2023,1032259300,26100400,2517,D231,202310
36,AMOR,2.69,22,02 Oct 2023,31 Oct 2023,251937500,268100,215,G311,202310
37,AMRT,-2.36,22,02 Oct 2023,31 Oct 2023,1295555751000,453239900,97960,D113,202310
38,ANDI,0.0,22,02 Oct 2023,31 Oct 2023,40555000,811100,38,D232,202310
39,ANJT,-5.77,22,02 Oct 2023,31 Oct 2023,27275296500,36682000,6651,D232,202310
40,ANTM,-6.06,22,02 Oct 2023,31 Oct 2023,1335781345000,748927700,191310,B146,202310
41,APEX,-9.57,22,02 Oct 2023,31 Oct 2023,135056399000,544042300,70114,A131,202310
42,APIC,-0.46,22,02 Oct 2023,31 Oct 2023,499277586500,453845800,9080,G511,202310
43,APII,-0.52,22,02 Oct 2023,31 Oct 2023,775077800,3992300,512,C143,202310
44,APLI,4.63,22,02 Oct 2023,31 Oct 2023,609891000,1286900,421,B113,202310
45,APLN,-11.26,22,02 Oct 2023,31 Oct 2023,87835815300,588802600,28508,H111,202310
46,ARCI,14.71,22,02 Oct 2023,31 Oct 2023,269077774200,672434200,66170,B143,202310
47,ARGO,7.19,22,02 Oct 2023,31 Oct 2023,203504500,284900,441,E413,202310
48,ARII,-1.96,22,02 Oct 2023,31 Oct 2023,7161140600,19852000,5220,A121,202310
49,ARKA,0.0,22,02 Oct 2023,31 Oct 2023,791850000,15837000,7849,C143,202310
50,ARKO,0.71,22,02 Oct 2023,31 Oct 2023,47548560500,66703800,10048,J411,202310
51,ARMY,0.0,22,02 Oct 2023,31 Oct 2023,0,0,0,H111,202310
52,ARNA,-14.29,22,02 Oct 2023,31 Oct 2023,74992775500,108846000,17823,C121,202310
53,ARTA,33.78,22,02 Oct 2023,31 Oct 2023,108493000,60800,214,E512,202310
54,ARTI,0.0,22,02 Oct 2023,31 Oct 2023,0,0,0,A132,202310
55,ARTO,-22.03,22,02 Oct 2023,31 Oct 2023,643717090000,361104400,103259,G111,202310
56,ASBI,3.25,22,02 Oct 2023,31 Oct 2023,975635500,1589100,357,G412,202310
57,ASDM,4.74,22,02 Oct 2023,31 Oct 2023,515660500,509300,700,G412,202310
58,ASGR,-2.06,22,02 Oct 2023,31 Oct 2023,41222629500,44440100,9202,C224,202310
59,ASHA,0.0,22,02 Oct 2023,31 Oct 2023,218920000,4378400,1014,D231,202310
60,ASII,-7.23,22,02 Oct 2023,31 Oct 2023,6536746702500,1107447800,190107,C311,202310
61,ASJT,6.84,22,02 Oct 2023,31 Oct 2023,2227932800,17719600,1491,G412,202310
62,ASLC,-17.71,22,02 Oct 2023,31 Oct 2023,35725753300,397575300,37922,E745,202310
63,ASMI,12.0,22,02 Oct 2023,31 Oct 2023,13972131200,217193800,19074,G412,202310
64,ASPI,-41.47,22,02 Oct 2023,31 Oct 2023,32372454400,75194300,9902,H111,202310
65,ASRI,-9.29,22,02 Oct 2023,31 Oct 2023,34003005800,196633500,24645,H111,202310
66,ASRM,0.0,22,02 Oct 2023,31 Oct 2023,2796000,1700,8,G412,202310
67,ASSA,-18.59,22,02 Oct 2023,31 Oct 2023,170737920500,196707600,41064,K132,202310
68,ATAP,-4.92,22,02 Oct 2023,31 Oct 2023,3717280200,59133000,9421,H111,202310
69,ATIC,-1.13,22,02 Oct 2023,31 Oct 2023,482359400,1385800,378,I121,202310
70,AUTO,-13.21,22,02 Oct 2023,31 Oct 2023,415158412000,145561400,74450,E111,202310
71,AVIA,-10.71,22,02 Oct 2023,31 Oct 2023,150729158600,291355300,31932,B113,202310
72,AWAN,15.2,22,02 Oct 2023,31 Oct 2023,74965257200,304020700,32275,I111,202310
73,AXIO,31.47,22,02 Oct 2023,31 Oct 2023,12806718700,71505000,9456,I221,202310
74,AYLS,-4.76,22,02 Oct 2023,31 Oct 2023,3201581400,50446200,9193,B121,202310
75,BABP,-15.79,22,02 Oct 2023,31 Oct 2023,36795743100,523354600,41123,G111,202310
76,BABY,-29.17,22,02 Oct 2023,31 Oct 2023,56107804300,249008700,32361,E741,202310
77,BACA,0.0,22,02 Oct 2023,31 Oct 2023,27957435300,213856000,3113,G111,202310
78,BAJA,-5.26,22,02 Oct 2023,31 Oct 2023,40710383600,252104800,58123,B144,202310
79,BALI,-1.73,22,02 Oct 2023,31 Oct 2023,14767379500,16910700,754,J321,202310
80,BANK,-3.26,22,02 Oct 2023,31 Oct 2023,308942583000,298744300,16717,G111,202310
81,BAPA,-7.04,22,02 Oct 2023,31 Oct 2023,2496999100,35778800,11036,H111,202310
82,BAPI,0.0,22,02 Oct 2023,31 Oct 2023,0,0,0,H111,202310
83,BATA,-13.3,22,02 Oct 2023,31 Oct 2023,708725600,3525800,183,E412,202310
84,BAUT,0.0,22,02 Oct 2023,31 Oct 2023,38105000,762100,188,E743,202310
85,BAYU,28.92,22,02 Oct 2023,31 Oct 2023,22798216000,15450100,4863,E513,202310
86,BBCA,-0.85,22,02 Oct 2023,31 Oct 2023,13931201017500,1553892100,377521,G111,202310
87,BBHI,-21.38,22,02 Oct 2023,31 Oct 2023,24334920500,18393400,8233,G111,202310
88,BBKP,-16.13,22,02 Oct 2023,31 Oct 2023,131214656400,1572044100,42658,G111,202310
89,BBLD,15.62,22,02 Oct 2023,31 Oct 2023,597736000,861200,548,G211,202310
90,BBMD,1.3,22,02 Oct 2023,31 Oct 2023,14767000,7700,15,G111,202310
91,BBNI,-53.61,22,02 Oct 2023,31 Oct 2023,5886486231500,1043150500,205425,G111,202310
92,BBRI,-5.07,22,02 Oct 2023,31 Oct 2023,14496810208500,2827305000,413940,G111,202310
93,BBRM,-8.0,22,02 Oct 2023,31 Oct 2023,2794690500,39131200,4809,A122,202310
94,BBSI,15.76,22,02 Oct 2023,31 Oct 2023,1070910000,301200,545,G111,202310
95,BBSS,-11.54,22,02 Oct 2023,31 Oct 2023,11120953800,98393200,8576,H111,202310
96,BBTN,0.41,22,02 Oct 2023,31 Oct 2023,295995258500,240645000,44617,G111,202310
97,BBYB,-27.74,22,02 Oct 2023,31 Oct 2023,112879037200,414967900,36798,G111,202310
98,BCAP,-1.92,22,02 Oct 2023,31 Oct 2023,47231575600,926427400,10990,G511,202310
99,BCIC,-12.95,22,02 Oct 2023,31 Oct 2023,2110849300,16727300,2908,G111,202310
