,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Periode
0,AALI,-13.88,21,02 Jun 2021,30 Jun 2021,354618257500,42247100,33317,D232,202106
1,ABBA,-3.25,21,02 Jun 2021,30 Jun 2021,347523202400,1471062200,91871,E614,202106
2,ABDA,0.0,21,02 Jun 2021,30 Jun 2021,19065000,2700,10,G412,202106
3,ABMM,-3.03,21,02 Jun 2021,30 Jun 2021,3889664500,4616700,2205,C311,202106
4,ACES,-16.39,21,02 Jun 2021,30 Jun 2021,471864977500,340292400,80687,E743,202106
5,ACST,-12.61,21,02 Jun 2021,30 Jun 2021,61940506600,271112800,24651,J211,202106
6,ADES,-2.5,21,02 Jun 2021,30 Jun 2021,5594433000,2945500,2518,D212,202106
7,ADHI,-22.56,21,02 Jun 2021,30 Jun 2021,265926294000,301895100,57174,J211,202106
8,ADMF,1.87,21,02 Jun 2021,30 Jun 2021,11971575000,1484600,2862,G211,202106
9,ADMG,11.18,21,02 Jun 2021,30 Jun 2021,12081944100,72226600,12164,B111,202106
10,ADRO,1.26,21,02 Jun 2021,30 Jun 2021,2815458414000,2189586500,228347,A121,202106
11,AGAR,-7.44,21,02 Jun 2021,30 Jun 2021,52795600,125900,266,D231,202106
12,AGII,22.48,21,02 Jun 2021,30 Jun 2021,685874214000,526671000,112776,B111,202106
13,AGRO,111.41,21,02 Jun 2021,30 Jun 2021,5291317680500,3969396100,451010,G111,202106
14,AGRS,-54.55,21,02 Jun 2021,30 Jun 2021,78086672900,295244300,44444,G111,202106
15,AHAP,-4.55,21,02 Jun 2021,30 Jun 2021,4065426600,61329600,5985,G412,202106
16,AIMS,-19.73,21,02 Jun 2021,30 Jun 2021,2633450500,6174600,4467,A121,202106
17,AISA,-17.8,21,02 Jun 2021,30 Jun 2021,57390602700,257246600,15581,D222,202106
18,AKKU,0.0,21,02 Jun 2021,30 Jun 2021,20565000,411300,162,E512,202106
19,AKPI,10.38,21,02 Jun 2021,30 Jun 2021,552528500,973100,732,B113,202106
20,AKRA,-2.78,21,02 Jun 2021,30 Jun 2021,290222795000,91432000,31565,A112,202106
21,AKSI,-22.24,21,02 Jun 2021,30 Jun 2021,227415700,435000,418,K211,202106
22,ALDO,-22.91,21,02 Jun 2021,30 Jun 2021,181231453000,198377200,29170,B131,202106
23,ALKA,1.65,21,02 Jun 2021,30 Jun 2021,907666000,3466600,1323,B141,202106
24,ALMI,0.0,21,02 Jun 2021,30 Jun 2021,191332400,765600,279,B141,202106
25,ALTO,2.78,21,02 Jun 2021,30 Jun 2021,59604400,155700,103,D212,202106
26,AMAG,12.16,21,02 Jun 2021,30 Jun 2021,6680616800,20768100,3113,G412,202106
27,AMAN,17.48,21,02 Jun 2021,30 Jun 2021,5832969400,18878000,1562,H111,202106
28,AMAR,-6.11,21,02 Jun 2021,30 Jun 2021,19478047000,72067500,9995,G111,202106
29,AMFG,-18.86,21,02 Jun 2021,30 Jun 2021,2814934000,735900,314,C121,202106
30,AMIN,7.14,21,02 Jun 2021,30 Jun 2021,4622376400,17455600,7795,C143,202106
31,AMOR,-12.06,21,02 Jun 2021,30 Jun 2021,163326540000,44698100,21271,G311,202106
32,AMRT,38.12,21,02 Jun 2021,30 Jun 2021,2870114620000,2421084100,215265,D113,202106
33,ANDI,0.0,21,02 Jun 2021,30 Jun 2021,130375000,2607500,545,D232,202106
34,ANJT,-7.75,21,02 Jun 2021,30 Jun 2021,413284000,614400,543,D232,202106
35,ANTM,-6.12,21,02 Jun 2021,30 Jun 2021,4452554501000,1885141500,281145,B146,202106
36,APEX,-18.59,21,02 Jun 2021,30 Jun 2021,4560506500,5670000,4458,A131,202106
37,APIC,11.41,21,02 Jun 2021,30 Jun 2021,170846767500,219715900,41097,G511,202106
38,APII,-1.07,21,02 Jun 2021,30 Jun 2021,663262000,3620300,1225,C143,202106
39,APLI,-1.98,21,02 Jun 2021,30 Jun 2021,715981000,3566900,286,B113,202106
40,APLN,-8.11,21,02 Jun 2021,30 Jun 2021,124010000100,796825500,40975,H111,202106
41,ARGO,0.0,21,02 Jun 2021,30 Jun 2021,316822500,176300,367,E413,202106
42,ARII,-27.37,21,02 Jun 2021,30 Jun 2021,7385500600,22356100,7451,A121,202106
43,ARKA,0.0,21,02 Jun 2021,30 Jun 2021,46245000,924900,244,C143,202106
44,ARMY,0.0,21,02 Jun 2021,30 Jun 2021,0,0,0,H111,202106
45,ARNA,3.52,21,02 Jun 2021,30 Jun 2021,17625013500,23567300,5642,C121,202106
46,ARTA,91.34,21,02 Jun 2021,30 Jun 2021,4104943400,7199600,5221,E512,202106
47,ARTI,0.0,21,02 Jun 2021,30 Jun 2021,11445000,228900,140,A132,202106
48,ARTO,12.14,21,02 Jun 2021,30 Jun 2021,7419466517500,561951600,291552,G111,202106
49,ASBI,0.0,21,02 Jun 2021,30 Jun 2021,3952953200,12190800,3549,G412,202106
50,ASDM,-2.12,21,02 Jun 2021,30 Jun 2021,462490000,500100,685,G412,202106
51,ASGR,-3.29,21,02 Jun 2021,30 Jun 2021,6111823000,8035600,2121,C224,202106
52,ASII,-5.9,21,02 Jun 2021,30 Jun 2021,4672149802500,919839000,177424,C311,202106
53,ASJT,2.75,21,02 Jun 2021,30 Jun 2021,1050380200,4704800,981,G412,202106
54,ASMI,19.57,21,02 Jun 2021,30 Jun 2021,871277500,1217200,461,G412,202106
55,ASPI,-3.85,21,02 Jun 2021,30 Jun 2021,12835105100,225464400,10464,H111,202106
56,ASRI,-11.6,21,02 Jun 2021,30 Jun 2021,177716872800,955282200,61810,H111,202106
57,ASRM,5.35,21,02 Jun 2021,30 Jun 2021,95375500,59000,121,G412,202106
58,ASSA,2.71,21,02 Jun 2021,30 Jun 2021,794788858000,340581700,70247,K132,202106
59,ATAP,-3.6,21,02 Jun 2021,30 Jun 2021,1837059800,16006900,4207,H111,202106
60,ATIC,180.71,21,02 Jun 2021,30 Jun 2021,11717952000,7642300,5465,I121,202106
61,AUTO,-5.65,21,02 Jun 2021,30 Jun 2021,23495330000,20601700,9257,E111,202106
62,AYLS,-28.0,21,02 Jun 2021,30 Jun 2021,24952229900,272218600,28869,B121,202106
63,BABP,50.0,21,02 Jun 2021,30 Jun 2021,5147909569700,15991418800,793792,G111,202106
64,BACA,-5.66,21,02 Jun 2021,30 Jun 2021,1076649799400,2479869900,179717,G111,202106
65,BAJA,-30.04,21,02 Jun 2021,30 Jun 2021,60228513000,151816100,27742,B144,202106
66,BALI,4.1,21,02 Jun 2021,30 Jun 2021,11716652500,18864900,6290,J321,202106
67,BANK,0.94,21,02 Jun 2021,30 Jun 2021,3558360208000,1146357300,177991,G111,202106
