Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
AALI,--S1K--1,10050,0,23 Jul 2019,10150,10025,10050,0,784100,7895362500,783
ABBA,--U9---2,162,0,23 Jul 2019,166,156,157,-5,22630400,3664170600,1639
ABDA,--U8---2,7000,0,23 Jul 2019,0,0,7000,0,0,0,0
ABMM,--U9---1,1930,0,23 Jul 2019,1800,1800,1800,-130,100,180000,1
ACES,--S9KB-1,1725,0,23 Jul 2019,1820,1730,1780,55,10988200,19569688500,3129
ACST,--U6---1,1405,0,23 Jul 2019,1405,1315,1350,-55,249500,342051500,94
ADES,--U5---2,1115,0,23 Jul 2019,1130,1095,1110,-5,57400,63383000,48
ADHI,--S6LKO1,1585,1595,23 Jul 2019,1605,1550,1560,-25,11366000,17791429500,1917
ADMF,--U8---1,10250,0,23 Jul 2019,10350,10250,10250,0,63500,653945000,26
ADMG,--U3---1,276,0,23 Jul 2019,280,262,272,-4,3058500,826481400,433
ADRO,--S2BXO1,1285,1285,23 Jul 2019,1295,1265,1275,-10,31996500,40885621000,2959
AGII,--S3---1,620,0,23 Jul 2019,630,615,615,-5,85000,52392000,48
AGRO,--M8K--1,294,0,23 Jul 2019,300,292,296,2,2107800,620170400,366
AGRS,--U8---2,282,0,23 Jul 2019,282,282,282,0,200,56400,2
AHAP,--U8---2,57,0,23 Jul 2019,59,56,58,1,28300,1596500,17
AIMS,--U9---2,180,0,23 Jul 2019,0,0,180,0,0,0,0
AISA,--U5---1,168,0,23 Jul 2019,0,0,168,0,0,0,0
AKKU,--U9---2,50,0,23 Jul 2019,0,0,50,0,0,0,0
AKPI,--U3---2,432,0,23 Jul 2019,432,428,428,-4,70600,30237200,20
AKRA,--S9XXO1,4110,4120,23 Jul 2019,4150,4050,4070,-40,5816700,23856797000,1848
AKSI,--U7---2,298,0,23 Jul 2019,300,268,276,-22,1800,534400,4
ALDO,XDU3---2,340,0,23 Jul 2019,342,340,340,0,1500,511000,4
ALKA,--U3---2,396,0,23 Jul 2019,450,352,382,-14,9700,3824400,13
ALMI,--U3---2,494,0,23 Jul 2019,0,0,494,0,0,0,0
ALTO,--U5---1,388,0,23 Jul 2019,380,380,380,-8,3500,1330000,2
AMAG,--U8---2,312,0,23 Jul 2019,0,0,312,0,0,0,0
AMFG,XDU3---1,5300,0,23 Jul 2019,0,0,5300,0,0,0,0
AMIN,XDU4---2,376,0,23 Jul 2019,378,378,378,2,100,37800,1
AMRT,--U9---1,935,0,23 Jul 2019,945,930,930,-5,35600,33322500,42
ANDI,--U1---2,2000,0,23 Jul 2019,2000,1990,2000,0,1000,1999000,2
ANJT,--U1---1,930,0,23 Jul 2019,930,915,930,0,21000,19515000,5
ANTM,--S2BXO1,960,950,23 Jul 2019,970,940,940,-20,82880700,79038452500,4508
APEX,--U2---2,700,0,23 Jul 2019,0,0,700,0,0,0,0
APIC,--U8---2,640,0,23 Jul 2019,650,640,645,5,27070400,17458521500,2924
APII,--U9---2,166,0,23 Jul 2019,176,156,167,1,21300,3452100,23
APLI,--U3---1,100,0,23 Jul 2019,109,100,109,9,17700,1850800,23
APLN,--M6K--1,210,0,23 Jul 2019,218,210,212,2,38121300,8146305400,3351
APOL,--U7---1,50,0,23 Jul 2019,50,50,50,0,100,5000,1
ARGO,--U4---2,825,0,23 Jul 2019,0,0,825,0,0,0,0
ARII,--U2---2,805,0,23 Jul 2019,780,755,780,-25,70200,54106000,11
ARKA,--U4---2,1165,0,23 Jul 2019,1195,1015,1015,-150,654900,720402000,240
ARMY,--U6---2,260,0,23 Jul 2019,262,250,256,-4,18270000,4677501200,83
ARNA,--S3---1,500,0,23 Jul 2019,510,496,500,0,743300,371329400,58
ARTA,--U9---2,390,0,23 Jul 2019,410,400,400,10,200,81000,2
ARTI,--U2---1,50,0,23 Jul 2019,50,50,50,0,1200,60000,5
ARTO,--U8---2,171,0,23 Jul 2019,171,170,171,0,148100,25275100,6
ASBI,XDU8---2,340,0,23 Jul 2019,340,340,340,0,400,136000,1
ASDM,XDU8---1,1095,0,23 Jul 2019,1090,1085,1085,-10,800,869000,4
ASGR,--U9---1,1180,0,23 Jul 2019,1190,1170,1180,0,28300,33446000,47
ASII,--S4BXO1,7100,7150,23 Jul 2019,7200,7125,7150,50,25156100,180034085000,4406
ASJT,XDU8---2,230,0,23 Jul 2019,232,228,230,0,16600,3827800,12
ASMI,--U8---1,825,0,23 Jul 2019,840,825,840,15,855600,710259500,427
ASRI,--S6K--1,344,0,23 Jul 2019,348,344,346,2,3789000,1306894400,428
ASRM,--U8---2,2290,0,23 Jul 2019,2450,2350,2450,160,1600,3845000,5
ASSA,--S7---1,840,0,23 Jul 2019,860,840,840,0,1083700,921742000,81
ATIC,XDU9---1,785,0,23 Jul 2019,800,780,800,15,7100,5645000,12
ATPK,--U2---2,194,0,23 Jul 2019,0,0,194,0,0,0,0
AUTO,--M4---1,1445,0,23 Jul 2019,1450,1440,1440,-5,322800,465014000,151
BABP,--U8---2,50,0,23 Jul 2019,50,50,50,0,7300,365000,17
BACA,--U8---2,278,0,23 Jul 2019,286,286,286,8,100,28600,1
BAJA,--U3---2,95,0,23 Jul 2019,97,95,96,1,367800,35093700,29
BALI,--U7---2,1695,0,23 Jul 2019,1705,1670,1700,5,254200,431676500,75
BAPA,--U6---1,92,0,23 Jul 2019,91,91,91,-1,1400,127400,4
BATA,XDU4---1,630,0,23 Jul 2019,650,600,650,20,22900,14555000,16
BAYU,--U9---2,1270,0,23 Jul 2019,1265,1260,1260,-10,2600,3283000,5
BBCA,--S8B3O1,31450,31200,23 Jul 2019,31450,31025,31175,-275,7825900,243667565000,5956
BBHI,--U8---2,158,0,23 Jul 2019,159,153,159,1,500,78900,3
BBKP,--S8K--1,304,0,23 Jul 2019,308,304,306,2,1947200,593999000,350
BBLD,--U8---2,470,0,23 Jul 2019,0,0,470,0,0,0,0
BBMD,--U8---1,1970,0,23 Jul 2019,1975,1975,1975,5,1700,3357500,2
BBNI,--S8B3O1,8850,8900,23 Jul 2019,8925,8625,8625,-225,41237800,360411062500,5824
BBRI,--S8B3O1,4500,4500,23 Jul 2019,4500,4470,4490,-10,43317300,194209218000,6190
BBRM,--U7---1,50,0,23 Jul 2019,0,0,50,0,0,0,0
BBTN,--S8LKO1,2440,2450,23 Jul 2019,2470,2440,2470,30,16006700,39353771000,2348
BBYB,--U8---1,286,0,23 Jul 2019,286,280,286,0,39300,11168200,27
BCAP,--U8---1,228,0,23 Jul 2019,228,224,226,-2,13700,3093800,14
BCIC,--U8---2,450,0,23 Jul 2019,0,0,450,0,0,0,0
BCIP,--S6---2,83,0,23 Jul 2019,84,83,83,0,1615900,135015400,69
BDMN,--U8KB-1,5075,0,23 Jul 2019,5175,5000,5050,-25,5902000,29819385000,2277
BEEF,--S1---2,276,0,23 Jul 2019,286,272,280,4,38585600,10778252800,1055
BEKS,--U8---2,50,0,23 Jul 2019,50,50,50,0,7500,375000,15
BELL,--M4---2,446,0,23 Jul 2019,550,446,540,94,121500,60229500,63
BEST,--S6K--1,306,0,23 Jul 2019,316,302,304,-2,20048800,6140469800,1209
BFIN,--U8---2,585,0,23 Jul 2019,605,575,590,5,590700,351229000,83
BGTG,--S8---2,74,0,23 Jul 2019,74,70,74,0,1203100,87633300,98
BHIT,--S9---1,85,0,23 Jul 2019,86,81,82,-3,35000300,2904937900,645
BIKA,--U6---2,204,0,23 Jul 2019,216,199,214,10,2300,485900,7
BIMA,--U4---2,50,0,23 Jul 2019,50,50,50,0,300,15000,2
BINA,--U8---1,930,0,23 Jul 2019,940,920,925,-5,91400,84202500,20
BIPI,--U2---2,51,0,23 Jul 2019,51,50,50,-1,175775500,8803070300,1528
BIPP,--U6---2,70,0,23 Jul 2019,71,68,70,0,70700,4931000,25
BIRD,--S7---1,2850,0,23 Jul 2019,2870,2830,2860,10,190500,543943000,245
BISI,--U1---1,1405,0,23 Jul 2019,1420,1400,1405,0,585200,820602000,120
BJBR,--U8K--1,1640,0,23 Jul 2019,1665,1640,1650,10,9384200,15485935000,607
BJTM,--S8K--1,630,0,23 Jul 2019,635,625,625,-5,2676000,1687277000,608
BKDP,--U6---2,57,0,23 Jul 2019,59,57,59,2,7500,429000,9
BKSL,--S6K--1,138,0,23 Jul 2019,140,136,138,0,41043600,5678432800,746
BKSW,--U8---2,185,0,23 Jul 2019,185,185,185,0,100,18500,1
BLTA,--U7---1,50,0,23 Jul 2019,50,50,50,0,3100,155000,3
BLTZ,--U9---2,3800,0,23 Jul 2019,0,0,3800,0,0,0,0
BLUE,--U9---2,740,0,23 Jul 2019,760,615,615,-125,1945700,1392296000,400
BMAS,XDU8---2,300,0,23 Jul 2019,300,300,300,0,2200,660000,6
BMRI,--S8B3O1,7775,7825,23 Jul 2019,7850,7700,7700,-75,37490900,291281640000,5501
BMSR,--U9---1,117,0,23 Jul 2019,111,102,102,-15,400,41700,4
BMTR,--S9K--1,396,0,23 Jul 2019,400,392,392,-4,20217400,7988776000,1234
BNBA,XDU8---1,284,0,23 Jul 2019,292,280,282,-2,286100,80848800,28
BNBR,--U9---2,50,0,23 Jul 2019,50,50,50,0,7600,380000,4
BNGA,--M8K--1,1140,0,23 Jul 2019,1150,1130,1150,10,1504700,1724622000,314
BNII,--M8---1,258,0,23 Jul 2019,260,254,254,-4,850400,217815800,87
BNLI,--M8K--1,935,0,23 Jul 2019,945,925,930,-5,7385800,6897074000,679
BOGA,--U9---2,730,0,23 Jul 2019,730,720,725,-5,8763500,6362837500,523
BOLA,--U9---2,370,0,23 Jul 2019,370,366,370,0,914100,335737000,86
BOLT,--U4---2,870,0,23 Jul 2019,870,860,860,-10,112200,96820000,138
BORN,--U2---2,50,0,23 Jul 2019,0,0,50,0,0,0,0
BOSS,--U2---2,1785,0,23 Jul 2019,1790,1650,1700,-85,19400,33532000,23
BPFI,--U8---2,895,0,23 Jul 2019,900,900,900,5,5000,4500000,1
BPII,--U8---2,7600,0,23 Jul 2019,0,0,7600,0,0,0,0
BPTR,--U7---1,98,0,23 Jul 2019,100,96,97,-1,1228500,119501900,119
BRAM,--U4---1,11200,0,23 Jul 2019,0,0,11200,0,0,0,0
BRIS,--M8---1,505,0,23 Jul 2019,510,505,505,0,1929900,975717000,281
BRMS,--U2---2,50,0,23 Jul 2019,50,50,50,0,2591300,129565000,50
BRNA,--U3---2,1075,0,23 Jul 2019,0,0,1075,0,0,0,0
BRPT,--S3XXO1,3860,3870,23 Jul 2019,3890,3810,3870,10,14042800,53963323000,2937
BSDE,--S6XXO1,1455,1470,23 Jul 2019,1480,1455,1460,5,6171200,9027004500,1008
BSIM,--U8---1,605,0,23 Jul 2019,605,605,605,0,100,60500,1
BSSR,--U2---2,1700,0,23 Jul 2019,1710,1690,1690,-10,3000,5087000,9
BSWD,--U8---2,1750,0,23 Jul 2019,0,0,1750,0,0,0,0
BTEK,--U5---2,75,0,23 Jul 2019,89,73,75,0,62936700,4905872900,3431
BTEL,--U7---1,50,0,23 Jul 2019,0,0,50,0,0,0,0
BTON,--M3---2,244,0,23 Jul 2019,242,234,242,-2,3800,915400,11
BTPN,--U8K--1,3300,0,23 Jul 2019,3380,3190,3280,-20,570600,1878449000,190
BTPS,--S8I--1,3280,0,23 Jul 2019,3480,3240,3480,200,28198100,94935252000,5881
BUDI,XDU5---1,101,0,23 Jul 2019,105,100,102,1,17763600,1837966600,4557
BUKK,--U7---2,1760,0,23 Jul 2019,1750,1700,1740,-20,19200,33110500,30
BULL,--S7---1,194,0,23 Jul 2019,198,194,195,1,30046300,5872014500,521
BUMI,--S2K--2,116,0,23 Jul 2019,118,115,116,0,62571000,7260550600,1084
BUVA,--U9---2,98,0,23 Jul 2019,99,96,97,-1,24203400,2350562500,418
BVIC,--U8---1,167,0,23 Jul 2019,168,168,168,1,80100,13456800,3
BWPT,--U1---1,149,0,23 Jul 2019,151,149,150,1,1216800,182421600,117
BYAN,XDU2---1,17150,0,23 Jul 2019,17150,17150,17150,0,100,1715000,1
CAKK,--U3---2,120,0,23 Jul 2019,121,119,120,0,2906000,348686200,129
CAMP,XDU5---1,515,0,23 Jul 2019,515,500,510,-5,3368000,1707471000,268
