Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
AALI,--S1K--1,10475,0,05 Jul 2019,10475,10350,10375,-100,497500,5177617500,612
ABBA,--U9---2,157,0,05 Jul 2019,163,148,149,-8,50980000,7881795100,3498
ABDA,--U8---2,7000,0,05 Jul 2019,0,0,7000,0,0,0,0
ABMM,--U9---1,1990,0,05 Jul 2019,1950,1900,1900,-90,2600,4955000,6
ACES,--S9KB-1,1870,0,05 Jul 2019,1860,1825,1825,-45,8636400,15904814000,1933
ACST,--U6---1,1370,0,05 Jul 2019,1450,1400,1430,60,181300,259265500,79
ADES,--U5---2,1100,0,05 Jul 2019,1120,1100,1115,15,64100,71610500,54
ADHI,--S6LKO1,1615,1620,05 Jul 2019,1630,1580,1585,-30,6460800,10336940500,1651
ADMF,--U8---1,9875,0,05 Jul 2019,9875,9800,9850,-25,307900,3024277500,31
ADMG,--U3---1,276,0,05 Jul 2019,278,270,272,-4,981700,268010800,197
ADRO,--S2BXO1,1420,1435,05 Jul 2019,1470,1415,1415,-5,70628300,101844289000,5246
AGII,XDS3---1,560,0,05 Jul 2019,600,550,580,20,1255600,734571500,264
AGRO,--M8K--1,304,0,05 Jul 2019,308,300,302,-2,3671200,1116240000,675
AGRS,--U8---2,290,0,05 Jul 2019,320,272,272,-18,80100,24502200,36
AHAP,--U8---2,58,0,05 Jul 2019,63,56,60,2,117700,7044100,37
AIMS,--U9---2,180,0,05 Jul 2019,0,0,180,0,0,0,0
AISA,--U5---1,168,0,05 Jul 2019,0,0,168,0,0,0,0
AKKU,--U9---2,50,0,05 Jul 2019,0,0,50,0,0,0,0
AKPI,--U3---2,424,0,05 Jul 2019,428,410,428,4,15700,6611600,23
AKRA,--S9XXO1,4260,4280,05 Jul 2019,4290,4140,4150,-110,4352700,18276788000,1722
AKSI,--U7---2,270,0,05 Jul 2019,292,290,290,20,11700,3393600,14
ALDO,CDU3---2,360,0,05 Jul 2019,378,340,370,10,87600,30536800,42
ALKA,--U3---2,342,0,05 Jul 2019,398,342,378,36,8400,2922600,12
ALMI,--U3---2,488,0,05 Jul 2019,500,484,500,12,82200,40952800,29
ALTO,--U5---1,392,0,05 Jul 2019,392,392,392,0,1000,392000,1
AMAG,--U8---2,314,0,05 Jul 2019,312,312,312,-2,400,124800,1
AMFG,XDU3---1,5250,0,05 Jul 2019,5225,5200,5200,-50,40300,209567500,6
AMIN,XDU4---2,368,0,05 Jul 2019,0,0,368,0,0,0,0
AMRT,--U9---1,885,0,05 Jul 2019,915,885,910,25,233900,211580000,135
ANDI,--U1---2,2050,0,05 Jul 2019,2050,2010,2050,0,2517300,5160142000,29
ANJT,--U1---1,915,0,05 Jul 2019,915,915,915,0,7900,7228500,9
ANTM,--S2BXO1,820,820,05 Jul 2019,825,810,810,-10,27266000,22226912500,3306
APEX,--U2---2,700,0,05 Jul 2019,0,0,700,0,0,0,0
APIC,--U8---2,580,0,05 Jul 2019,590,580,585,5,11453900,6690117500,1712
APII,--U9---2,163,0,05 Jul 2019,172,152,152,-11,146200,23398200,38
APLI,--U3---1,96,0,05 Jul 2019,99,92,93,-3,26200,2428700,11
APLN,--M6K--1,242,0,05 Jul 2019,246,224,228,-14,53585600,12529741200,2442
APOL,--U7---1,50,0,05 Jul 2019,0,0,50,0,0,0,0
ARGO,--U4---2,825,0,05 Jul 2019,0,0,825,0,0,0,0
ARII,--U2---2,800,0,05 Jul 2019,800,800,800,0,15000,12000000,3
ARMY,--U6---2,282,0,05 Jul 2019,284,272,284,2,3950500,1107272800,50
ARNA,--S3---1,496,0,05 Jul 2019,500,496,498,2,10700,5332400,9
ARTA,--U9---2,400,0,05 Jul 2019,0,0,400,0,0,0,0
ARTI,--U2---1,50,0,05 Jul 2019,50,50,50,0,700,35000,1
ARTO,--U8---2,159,0,05 Jul 2019,159,156,159,0,1200,187800,3
ASBI,CDU8---2,338,0,05 Jul 2019,340,338,340,2,34100,11580200,9
ASDM,XDU8---1,1055,0,05 Jul 2019,1050,1010,1015,-40,1900,1959500,10
ASGR,--U9---1,1245,0,05 Jul 2019,1245,1200,1220,-25,150300,183481000,94
