Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
AALI,--S1K--1,11300,0,27 Mar 2019,11500,11225,11300,0,579300,6542722500,640
ABBA,--U9---2,90,0,27 Mar 2019,98,90,95,5,58956800,5582160700,2684
ABDA,--U8---2,5750,0,27 Mar 2019,0,0,5750,0,0,0,0
ABMM,--U9---1,1980,0,27 Mar 2019,2120,2030,2080,100,900,1875000,4
ACES,--S9K--1,1780,0,27 Mar 2019,1810,1760,1800,20,5436200,9729161500,2710
ACST,--U6---1,1560,0,27 Mar 2019,1590,1565,1570,10,23300,36760500,32
ADES,--U5---2,1085,0,27 Mar 2019,1085,1055,1055,-30,95900,101917000,80
ADHI,--S6LKO1,1545,1550,27 Mar 2019,1585,1550,1585,40,5592400,8792957500,1272
ADMF,--U8---1,10550,0,27 Mar 2019,10625,10500,10525,-25,336600,3570527500,100
ADMG,--M3---1,346,0,27 Mar 2019,346,342,346,0,1197500,410419200,71
ADRO,--S2BXO1,1365,1380,27 Mar 2019,1380,1335,1345,-20,35248900,47438038500,5710
AGII,--S3---1,570,0,27 Mar 2019,580,565,565,-5,242300,137848500,69
AGRO,--M8K--1,324,0,27 Mar 2019,330,322,326,2,919600,298465400,175
AGRS,--U8---2,342,0,27 Mar 2019,350,342,350,8,3600,1232000,7
AHAP,--U8---2,69,0,27 Mar 2019,66,61,65,-4,258300,16578100,31
AIMS,--U9---2,180,0,27 Mar 2019,0,0,180,0,0,0,0
AISA,--U5---1,168,0,27 Mar 2019,0,0,168,0,0,0,0
AKKU,--U9---2,50,0,27 Mar 2019,50,50,50,0,100,5000,1
AKPI,--U3---2,620,0,27 Mar 2019,675,620,640,20,1700,1065000,4
AKRA,--S9XXO1,4780,4820,27 Mar 2019,4860,4710,4850,70,11319000,54212887000,3374
AKSI,--U7---2,372,0,27 Mar 2019,380,320,366,-6,30700,10610400,39
ALDO,--U3---2,358,0,27 Mar 2019,358,338,352,-6,42800,15168200,26
ALKA,--U3---2,400,0,27 Mar 2019,400,400,400,0,400,160000,2
