Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
AALI,--S1K--1,10650,0,20 Agt 2019,10800,10375,10400,-250,495500,5185945000,507
ABBA,--U9---2,152,0,20 Agt 2019,161,151,153,1,49865700,7785152700,2700
ABDA,--U8---2,6750,0,20 Agt 2019,0,0,6750,0,0,0,0
ABMM,--U9---1,1895,0,20 Agt 2019,0,0,1895,0,0,0,0
ACES,--S9KB-1,1770,0,20 Agt 2019,1820,1770,1790,20,17395100,31442673000,4954
ACST,--U6---1,1250,0,20 Agt 2019,1255,1230,1255,5,22700,28382500,34
ADES,--U5---2,1080,0,20 Agt 2019,1075,1055,1055,-25,64300,68156500,49
ADHI,--S6K--1,1450,0,20 Agt 2019,1480,1420,1420,-30,15409700,22336915500,2955
ADMF,--U8---1,10600,0,20 Agt 2019,10600,10500,10600,0,146200,1539080000,26
ADMG,--U3---1,232,0,20 Agt 2019,234,228,230,-2,448800,103007400,103
ADRO,--S2BXO1,1045,1060,20 Agt 2019,1060,1030,1050,5,39251200,41059365500,4510
AGII,--S3---1,620,0,20 Agt 2019,630,620,625,5,269700,169235000,41
AGRO,--M8---1,252,0,20 Agt 2019,264,252,256,4,4073900,1050429800,530
AGRS,--U8---2,312,0,20 Agt 2019,388,312,324,12,375400,125018600,284
AHAP,--U8---2,57,0,20 Agt 2019,57,55,55,-2,76800,4252400,18
AIMS,--U9---2,180,0,20 Agt 2019,0,0,180,0,0,0,0
AISA,--U5---1,168,0,20 Agt 2019,0,0,168,0,0,0,0
AKKU,--U9---2,50,0,20 Agt 2019,50,50,50,0,73600,3680000,108
AKPI,--U3---2,438,0,20 Agt 2019,422,420,420,-18,600,252600,2
AKRA,XDS9XXO1,4040,4090,20 Agt 2019,4100,3990,4010,-30,6790400,27562782000,1733
AKSI,--U7---2,356,0,20 Agt 2019,376,366,366,10,1900,696400,3
ALDO,--U3---2,368,0,20 Agt 2019,368,368,368,0,800,294400,3
ALKA,--U3---2,494,0,20 Agt 2019,492,472,492,-2,116900,57512600,4
ALMI,--U3---2,496,0,20 Agt 2019,0,0,496,0,0,0,0
ALTO,--U5---1,388,0,20 Agt 2019,388,388,388,0,1000,388000,1
AMAG,--U8---2,308,0,20 Agt 2019,308,308,308,0,1000,308000,1
AMFG,--U3---1,5200,0,20 Agt 2019,5100,5100,5100,-100,4500,22950000,7
AMIN,--U4---2,344,0,20 Agt 2019,344,342,344,0,400,137200,2
AMRT,--U9---1,895,0,20 Agt 2019,885,880,880,-15,85500,75342500,48
ANDI,--U1---2,2130,0,20 Agt 2019,2110,2110,2110,-20,1300,2743000,2
ANJT,--U1---1,810,0,20 Agt 2019,810,810,810,0,2600,2106000,2
ANTM,--S2BXO1,1085,1080,20 Agt 2019,1080,1035,1050,-35,117148500,123397078000,6718
APEX,--U2---2,575,0,20 Agt 2019,525,450,525,-50,200,97500,2
APIC,--U8---2,675,0,20 Agt 2019,675,665,665,-10,26146600,17459903500,2971
APII,--U9---2,164,0,20 Agt 2019,0,0,164,0,0,0,0
APLI,--U3---1,118,0,20 Agt 2019,118,111,118,0,300,34700,3
APLN,--M6K--1,199,0,20 Agt 2019,202,192,199,0,45043800,8862753500,1877
APOL,--U7---1,50,0,20 Agt 2019,50,50,50,0,200000,10000000,2
ARGO,--U4---2,825,0,20 Agt 2019,0,0,825,0,0,0,0
ARII,--U2---2,750,0,20 Agt 2019,0,0,750,0,0,0,0
ARKA,--U4---2,1220,0,20 Agt 2019,1300,1220,1280,60,597600,746229000,685
ARMY,--U6---2,232,0,20 Agt 2019,226,214,214,-18,27961200,6305318800,148
ARNA,--S3---1,540,0,20 Agt 2019,555,535,540,0,489700,265737500,15
ARTA,--U9---2,340,0,20 Agt 2019,400,340,390,50,10500,4049200,16
ARTI,--U2---1,50,0,20 Agt 2019,50,50,50,0,100,5000,1
ARTO,--U8---2,665,0,20 Agt 2019,0,0,665,0,0,0,0
ASBI,--U8---2,312,0,20 Agt 2019,312,310,310,-2,200,62200,2
ASDM,--U8---1,1015,0,20 Agt 2019,0,0,1015,0,0,0,0
ASGR,--U9---1,1075,0,20 Agt 2019,1100,1075,1075,0,20300,21913500,33
ASII,--S4BXO1,6425,6475,20 Agt 2019,6500,6375,6425,0,29465900,189119660000,5305
ASJT,--U8---2,216,0,20 Agt 2019,216,216,216,0,500,108000,4
ASMI,--U8---1,915,0,20 Agt 2019,925,915,920,5,1566000,1440732500,477
ASRI,--S6K--1,318,0,20 Agt 2019,322,314,316,-2,2325000,736004800,445
ASRM,--U8---2,2350,0,20 Agt 2019,0,0,2350,0,0,0,0
ASSA,--S7---1,795,0,20 Agt 2019,815,795,810,15,989300,797677500,75
ATIC,--U9---1,860,0,20 Agt 2019,0,0,860,0,0,0,0
ATPK,--U2---2,194,0,20 Agt 2019,0,0,194,0,0,0,0
AUTO,--M4---1,1345,0,20 Agt 2019,1360,1340,1350,5,651200,878509000,214
BABP,--U8---2,50,0,20 Agt 2019,50,50,50,0,6700,335000,5
BACA,--U8---2,270,0,20 Agt 2019,274,272,274,4,2400,653400,4
BAJA,--U3---2,84,0,20 Agt 2019,87,83,84,0,123300,10324800,15
BALI,--U7---2,1665,0,20 Agt 2019,1660,1635,1660,-5,256700,424409500,95
BAPA,--U6---1,84,0,20 Agt 2019,90,87,88,4,28600,2527500,21
BATA,--U4---1,660,0,20 Agt 2019,670,640,650,-10,6300,4114500,19
BAYU,--U9---2,1355,0,20 Agt 2019,1400,1140,1400,45,1900,2624500,7
BBCA,--S8B3O1,30075,30175,20 Agt 2019,30175,29925,29925,-150,11678700,349754415000,4732
BBHI,--U8---2,170,0,20 Agt 2019,176,170,170,0,5800,995000,5
BBKP,--S8---1,294,0,20 Agt 2019,298,284,284,-10,7660700,2209566400,808
BBLD,--U8---2,470,0,20 Agt 2019,0,0,470,0,0,0,0
BBMD,--U8---1,2600,0,20 Agt 2019,0,0,2600,0,0,0,0
BBNI,--S8B3O1,7875,7925,20 Agt 2019,7925,7725,7750,-125,17175900,133759185000,4695
BBRI,--S8B3O1,4180,4180,20 Agt 2019,4200,4090,4100,-80,102619200,423374622000,16535
BBRM,--U7---1,50,0,20 Agt 2019,0,0,50,0,0,0,0
BBTN,--S8LKO1,2300,2300,20 Agt 2019,2320,2220,2230,-70,13408000,30176686000,2956
BBYB,--U8---1,284,0,20 Agt 2019,288,278,288,4,25400,7133200,8
BCAP,--U8---1,216,0,20 Agt 2019,216,216,216,0,5900,1274400,4
BCIC,--U8---2,450,0,20 Agt 2019,0,0,450,0,0,0,0
BCIP,--S6---2,83,0,20 Agt 2019,84,82,83,0,1416200,117538100,56
BDMN,--U8KB-1,5175,0,20 Agt 2019,5250,5050,5050,-125,3049300,15494562500,1718
BEEF,--S1---2,352,0,20 Agt 2019,370,330,330,-22,21485500,7269065800,2089
BEKS,--U8---2,50,0,20 Agt 2019,50,50,50,0,57700,2885000,9
BELL,--M4---2,505,0,20 Agt 2019,515,505,515,10,298400,151514500,48
BEST,--S6K--1,318,0,20 Agt 2019,322,308,314,-4,16272400,5118620800,1363
BFIN,--U8---2,585,0,20 Agt 2019,585,555,555,-30,208600,117650500,72
BGTG,--S8---2,74,0,20 Agt 2019,75,72,72,-2,5170900,376444800,245
BHIT,--S9K--1,74,0,20 Agt 2019,74,73,73,-1,9399400,687455300,189
BIKA,--U6---2,192,0,20 Agt 2019,0,0,192,0,0,0,0
BIMA,--U4---2,50,0,20 Agt 2019,50,50,50,0,100,5000,1
BINA,--U8---1,910,0,20 Agt 2019,910,880,910,0,5600,4931000,2
BIPI,--U2---2,50,0,20 Agt 2019,50,50,50,0,11500,575000,11
BIPP,--U6---2,67,0,20 Agt 2019,80,67,68,1,54700,3734800,10
BIRD,--S7---1,2730,0,20 Agt 2019,2740,2680,2680,-50,516300,1396137000,119
BISI,--U1---1,1395,0,20 Agt 2019,1400,1390,1395,0,203800,284052000,31
BJBR,--U8K--1,1565,0,20 Agt 2019,1630,1565,1585,20,11241600,17889674000,1107
BJTM,--S8K--1,630,0,20 Agt 2019,635,625,630,0,5348500,3367375000,461
BKDP,--U6---2,57,0,20 Agt 2019,57,56,56,-1,7100,402700,4
BKSL,--S6K--1,132,0,20 Agt 2019,134,131,132,0,38723500,5123530800,3398
BKSW,--U8---2,192,0,20 Agt 2019,192,190,190,-2,200,38200,2
BLTA,--U7---1,50,0,20 Agt 2019,50,50,50,0,5200,260000,4
BLTZ,--U9---2,4000,0,20 Agt 2019,0,0,4000,0,0,0,0
BLUE,--U9---2,740,0,20 Agt 2019,715,615,635,-105,322400,212250000,232
BMAS,--U8---2,300,0,20 Agt 2019,300,300,300,0,200,60000,1
BMRI,--S8B3O1,7350,7425,20 Agt 2019,7450,7300,7375,25,37698100,278802120000,7029
BMSR,--U9---1,85,0,20 Agt 2019,85,81,82,-3,22100,1808800,11
BMTR,--S9K--1,352,0,20 Agt 2019,356,344,348,-4,14913100,5203550400,1325
BNBA,--U8---1,282,0,20 Agt 2019,284,282,284,2,486300,138100800,9
BNBR,--U9---2,50,0,20 Agt 2019,50,50,50,0,2200,110000,2
BNGA,--M8K--1,1080,0,20 Agt 2019,1090,1060,1065,-15,5056200,5390058500,313
BNII,--M8---1,240,0,20 Agt 2019,244,240,240,0,580900,139869000,82
BNLI,--M8K--1,1025,0,20 Agt 2019,1035,985,995,-30,63559100,63712663000,2812
BOGA,--U9---2,740,0,20 Agt 2019,755,745,750,10,6598700,4950982000,1030
BOLA,--U9---2,372,0,20 Agt 2019,370,366,370,-2,246800,90703200,59
BOLT,--U4---2,875,0,20 Agt 2019,880,875,875,0,88100,77230500,81
BORN,--U2---2,50,0,20 Agt 2019,0,0,50,0,0,0,0
BOSS,--U2---2,865,0,20 Agt 2019,870,815,815,-50,884700,733793000,258
BPFI,--U8---2,1075,0,20 Agt 2019,1075,1020,1075,0,3000,3076500,6
BPII,--U8---2,8000,0,20 Agt 2019,0,0,8000,0,0,0,0
BPTR,--U7---1,99,0,20 Agt 2019,99,97,97,-2,288400,28048400,50
BRAM,--U4---1,7550,0,20 Agt 2019,0,0,7550,0,0,0,0
BRIS,--M8K--1,472,0,20 Agt 2019,478,470,470,-2,1712400,807521600,626
BRMS,--U2---2,50,0,20 Agt 2019,50,50,50,0,6241100,312055000,37
BRNA,--U3---2,1050,0,20 Agt 2019,0,0,1050,0,0,0,0
BRPT,--S3XXO1,740,740,20 Agt 2019,750,720,725,-15,44381100,32515199500,3684
BSDE,--S6XXO1,1360,1385,20 Agt 2019,1385,1330,1330,-30,10214900,13662130500,1629
BSIM,--U8---1,585,0,20 Agt 2019,590,585,585,0,86600,50661500,7
BSSR,--U2---2,1500,0,20 Agt 2019,1430,1410,1425,-75,13000,18361000,17
BSWD,--U8---2,1750,0,20 Agt 2019,0,0,1750,0,0,0,0
BTEK,--U5---2,80,0,20 Agt 2019,80,75,75,-5,55280300,4248476500,504
BTEL,--U7---1,50,0,20 Agt 2019,0,0,50,0,0,0,0
BTON,--U3---2,212,0,20 Agt 2019,220,210,212,0,192600,40809600,34
BTPN,--U8---1,3410,0,20 Agt 2019,3400,3320,3400,-10,66300,222805000,130
BTPS,--S8XXO1,3350,3380,20 Agt 2019,3440,3200,3200,-150,52177900,176096818000,7906
BUDI,--U5---1,102,0,20 Agt 2019,102,100,102,0,1218700,123099200,27
BUKK,--U7---2,1690,0,20 Agt 2019,1720,1695,1710,20,400,683500,3
BULL,--S7---1,198,0,20 Agt 2019,199,193,194,-4,26305900,5138061800,441
BUMI,--S2K--2,94,0,20 Agt 2019,96,94,95,1,77309100,7343085600,1324
BUVA,--U9---2,89,0,20 Agt 2019,89,88,88,-1,334300,29605400,47
BVIC,--U8---1,163,0,20 Agt 2019,164,163,163,0,45000,7355000,15
BWPT,--U1K--1,137,0,20 Agt 2019,139,136,138,1,6975200,959505300,281
BYAN,--U2---1,16400,0,20 Agt 2019,0,0,16400,0,0,0,0
CAKK,--U3---2,121,0,20 Agt 2019,122,119,120,-1,2536400,304806200,160
CAMP,--U5---1,540,0,20 Agt 2019,545,525,535,-5,1024200,543868000,208
CANI,--U7---2,188,0,20 Agt 2019,186,160,186,-2,6500,1101500,9
CARS,--S9---1,234,0,20 Agt 2019,234,230,234,0,885300,205612600,65
CASA,--U8---2,402,0,20 Agt 2019,402,396,400,-2,8075000,3218738200,925
CASS,--U7---2,645,0,20 Agt 2019,650,650,650,5,23500,15275000,5
CCSI,--U4---2,266,0,20 Agt 2019,298,268,292,26,52375100,14885246400,4996
CEKA,--U5---1,1565,0,20 Agt 2019,1630,1565,1580,15,36100,57035000,36
CENT,--M7---2,85,0,20 Agt 2019,86,84,84,-1,2162500,184073900,72
CFIN,--S8---1,314,0,20 Agt 2019,316,310,314,0,1124300,350293600,80
CINT,--U5---2,272,0,20 Agt 2019,274,274,274,2,150600,41264400,21
CITA,--U2---2,1950,0,20 Agt 2019,2070,2000,2000,50,11000,22210000,5
CITY,--U6---1,202,0,20 Agt 2019,202,202,202,0,100,20200,1
CKRA,--U2---2,76,0,20 Agt 2019,0,0,76,0,0,0,0
CLAY,--U9---2,4630,0,20 Agt 2019,4670,4640,4640,10,3391700,15795034000,3211
CLEO,--M5K--1,610,0,20 Agt 2019,665,610,635,25,63095200,40099792500,6778
CLPI,--U9---2,815,0,20 Agt 2019,810,800,800,-15,5300,4249000,4
CMNP,--U7---1,1400,0,20 Agt 2019,1400,1385,1400,0,48100,66940500,14
CMPP,--U7---2,184,0,20 Agt 2019,0,0,184,0,0,0,0
CNKO,--U9---1,50,0,20 Agt 2019,50,50,50,0,4300,215000,5
CNTB,--U4---2,250,0,20 Agt 2019,0,0,250,0,0,0,0
CNTX,--U4---2,466,0,20 Agt 2019,0,0,466,0,0,0,0
COCO,--S5---2,920,0,20 Agt 2019,925,925,925,5,2903900,2686107500,433
COWL,--U6---2,200,0,20 Agt 2019,240,206,220,20,472000,101833600,236
CPIN,--S3BXO1,4700,4720,20 Agt 2019,4720,4600,4610,-90,7884800,36502722000,3713
CPRI,--U6---2,66,0,20 Agt 2019,68,65,66,0,4418000,291385000,280
CPRO,--U3---1,50,0,20 Agt 2019,50,50,50,0,100,5000,1
CSAP,--U9---1,480,0,20 Agt 2019,484,480,482,2,222800,107396400,40
CSIS,--U6---2,93,0,20 Agt 2019,95,92,94,1,380500,35463100,96
CTBN,--U3---1,4300,0,20 Agt 2019,0,0,4300,0,0,0,0
CTRA,--S6XXO1,1240,1245,20 Agt 2019,1275,1225,1265,25,30759200,38770949000,2644
CTTH,--U2---2,93,0,20 Agt 2019,95,90,94,1,115700,10648800,12
DART,--U6---1,348,0,20 Agt 2019,346,328,346,-2,3100,1018600,2
DAYA,--U9---2,304,0,20 Agt 2019,380,268,360,56,36800,11208000,52
DEAL,--U7---2,1385,0,20 Agt 2019,1465,1370,1450,65,30246100,42870340000,3304
DEFI,--U8---2,1910,0,20 Agt 2019,1910,1910,1910,0,400,764000,1
DEWA,--U2---1,50,0,20 Agt 2019,50,50,50,0,1300,65000,1
DFAM,--U9---2,910,0,20 Agt 2019,920,905,915,5,505700,460508000,369
DGIK,--U6---1,50,0,20 Agt 2019,0,0,50,0,0,0,0
DIGI,--U9---2,1685,0,20 Agt 2019,2000,1685,2000,315,13100,22387000,14
DILD,--S6---1,414,0,20 Agt 2019,420,412,414,0,1119600,463609600,215
DIVA,--U9---2,3980,0,20 Agt 2019,3990,3930,3950,-30,204800,811552000,73
DKFT,--U2---2,262,0,20 Agt 2019,282,248,248,-14,60300800,15768475600,4761
DLTA,--U5---1,7075,0,20 Agt 2019,7150,7025,7150,75,900,6397500,6
DMAS,--M6K--1,310,0,20 Agt 2019,314,308,310,0,8461700,2617305400,863
DNAR,--U8---1,270,0,20 Agt 2019,272,268,272,2,4600,1242000,10
DNET,--U9---2,3090,0,20 Agt 2019,3080,3000,3080,-10,2600,8000000,3
DOID,--S2K--1,376,0,20 Agt 2019,378,366,366,-10,5861000,2165633800,690
DPNS,--U3---1,288,0,20 Agt 2019,284,280,280,-8,13200,3714000,7
DPUM,--U9---1,117,0,20 Agt 2019,117,111,113,-4,9600,1085500,9
DSFI,--S1---1,124,0,20 Agt 2019,124,123,123,-1,1796700,222546900,25
DSNG,--S1---1,350,0,20 Agt 2019,352,344,344,-6,387500,134488000,44
DSSA,--U2---1,19975,0,20 Agt 2019,0,0,19975,0,0,0,0
DUCK,--U9---1,1495,0,20 Agt 2019,1505,1460,1505,10,234800,344899000,47
DUTI,--U6---2,6775,0,20 Agt 2019,0,0,6775,0,0,0,0
DVLA,--U5---1,2260,0,20 Agt 2019,2260,2220,2220,-40,3900,8801000,11
DWGL,--U9---2,172,0,20 Agt 2019,190,172,188,16,1627100,294661400,423
DYAN,--S9---1,128,0,20 Agt 2019,133,126,129,1,3115000,401799600,146
EAST,--U9---2,216,0,20 Agt 2019,226,210,212,-4,24237700,5236180000,2428
ECII,--U9---2,1120,0,20 Agt 2019,1120,1110,1120,0,90100,100911000,15
EKAD,--U3---1,870,0,20 Agt 2019,875,860,870,0,150200,130456000,47
ELSA,--S2K--1,332,0,20 Agt 2019,352,334,348,16,85453700,29488413400,3543
ELTY,--U6---1,50,0,20 Agt 2019,0,0,50,0,0,0,0
EMDE,--U6---2,238,0,20 Agt 2019,238,238,238,0,50000,11900000,2
EMTK,--U9---1,7300,0,20 Agt 2019,7275,7275,7275,-25,22200,161505000,2
ENRG,--U2---2,54,0,20 Agt 2019,55,54,54,0,8573000,467504500,180
ENVY,--U9---2,1285,0,20 Agt 2019,1400,1280,1335,50,54706400,73121777000,3929
EPMT,--U9---2,2340,0,20 Agt 2019,0,0,2340,0,0,0,0
ERAA,--S9XXO1,1930,1935,20 Agt 2019,1965,1865,1875,-55,39544700,75185208000,8088
ERTX,--U4---2,120,0,20 Agt 2019,120,113,120,0,40700,4668800,13
ESSA,--S2K--1,270,0,20 Agt 2019,278,264,264,-6,5773700,1563903600,778
ESTI,--M4---1,93,0,20 Agt 2019,94,93,94,1,686300,64294100,80
ETWA,--U3---1,65,0,20 Agt 2019,66,66,66,1,100,6600,1
EXCL,--S7XXO1,3250,3250,20 Agt 2019,3310,3230,3250,0,10764600,35083490000,3268
FAST,--U9---2,2710,0,20 Agt 2019,2710,2420,2610,-100,500,1305000,4
FASW,--U3---1,8175,0,20 Agt 2019,0,0,8175,0,0,0,0
FILM,--U9---1,930,0,20 Agt 2019,940,900,900,-30,31100,28152000,48
FINN,--U8---2,50,0,20 Agt 2019,0,0,50,0,0,0,0
FIRE,--U2---2,2350,0,20 Agt 2019,2750,2250,2350,0,37314300,98960847000,2674
FISH,--U9---2,2890,0,20 Agt 2019,2500,2500,2500,-390,100,250000,1
FITT,--U9---2,100,0,20 Agt 2019,101,98,99,-1,1349300,133101600,115
FMII,--U6---2,560,0,20 Agt 2019,0,0,560,0,0,0,0
FOOD,--U5---2,152,0,20 Agt 2019,159,150,152,0,7319500,1129025200,851
FORU,--U9---2,89,0,20 Agt 2019,102,100,100,11,8800,893400,7
FORZ,--U6---1,930,0,20 Agt 2019,935,840,935,5,4513600,4022018000,831
FPNI,--U3---2,136,0,20 Agt 2019,140,126,137,1,778600,106725000,124
FREN,--U7---1,165,0,20 Agt 2019,170,165,167,2,81452300,13607009800,4678
FUJI,--U8---2,118,0,20 Agt 2019,120,118,118,0,343200,40535600,170
GAMA,--U6---1,50,0,20 Agt 2019,50,50,50,0,33000,1650000,1
GDST,--U3---2,86,0,20 Agt 2019,88,83,85,-1,357300,30396700,84
GDYR,--U4---1,1985,0,20 Agt 2019,0,0,1985,0,0,0,0
GEMA,--U9---2,370,0,20 Agt 2019,370,368,368,-2,62000,22820000,2
GEMS,--U2---1,2550,0,20 Agt 2019,0,0,2550,0,0,0,0
GGRM,--M5LKO1,76625,76000,20 Agt 2019,77000,75950,77000,375,1145200,87748235000,3114
GHON,--U7---1,1350,0,20 Agt 2019,1350,1350,1350,0,100,135000,1
GIAA,--U7K--1,505,0,20 Agt 2019,515,498,505,0,17831800,9010192600,2109
GJTL,--S4K--1,675,0,20 Agt 2019,680,670,675,0,787800,531971000,91
GLOB,--U9---2,486,0,20 Agt 2019,500,474,492,6,9200,4525200,23
GMFI,--M4---1,208,0,20 Agt 2019,220,206,210,2,11576500,2479624400,589
GMTD,--U6---2,19900,0,20 Agt 2019,19900,19900,19900,0,200,3980000,2
GOLD,--U7---2,234,0,20 Agt 2019,240,234,238,4,50100,11941000,23
GOLL,--U1---2,50,0,20 Agt 2019,0,0,50,0,0,0,0
GOOD,--U5---1,1615,0,20 Agt 2019,1640,1610,1640,25,523700,850708500,246
