Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq,year,month
AALI,--S1K--1,12525,0,04 Mar 2019,12900,12600,12825,300,528600,6779967500,1079,2019,03
ABBA,--U9---2,101,0,04 Mar 2019,103,100,103,2,5190900,528725200,395,2019,03
ABDA,--U8---2,5225,0,04 Mar 2019,0,0,5225,0,0,0,0,2019,03
ABMM,--U9---1,2200,0,04 Mar 2019,2150,2150,2150,-50,100,215000,1,2019,03
ACES,--S9K--1,1800,0,04 Mar 2019,1810,1785,1805,5,6104700,10955418500,2155,2019,03
ACST,--U6---1,1600,0,04 Mar 2019,1610,1580,1600,0,816800,1306815000,220,2019,03
ADES,--U5---2,990,0,04 Mar 2019,1005,990,995,5,24200,24067000,24,2019,03
ADHI,--S6LKO1,1515,1515,04 Mar 2019,1545,1515,1535,20,6500800,9958380000,1148,2019,03
ADMF,--U8---1,10675,0,04 Mar 2019,10700,10600,10650,-25,62800,669952500,44,2019,03
ADMG,--M3---1,346,0,04 Mar 2019,356,340,356,10,695300,243510000,124,2019,03
ADRO,--S2BXO1,1310,1330,04 Mar 2019,1420,1325,1410,100,144915900,201847353500,9230,2019,03
AGII,--S3---1,600,0,04 Mar 2019,620,585,595,-5,492900,292457500,138,2019,03
AGRO,--M8K--1,338,0,04 Mar 2019,340,330,336,-2,2793300,931173600,426,2019,03
AGRS,--U8---2,366,0,04 Mar 2019,386,366,376,10,40600,15428800,11,2019,03
AHAP,--U8---2,66,0,04 Mar 2019,69,56,66,0,320900,20256000,38,2019,03
AIMS,--U9---2,180,0,04 Mar 2019,0,0,180,0,0,0,0,2019,03
AISA,--U5---1,168,0,04 Mar 2019,0,0,168,0,0,0,0,2019,03
AKKU,--U9---2,50,0,04 Mar 2019,50,50,50,0,500,25000,2,2019,03
AKPI,--U3---2,600,0,04 Mar 2019,645,600,645,45,20200,12255000,13,2019,03
AKRA,--S9XXO1,5550,5525,04 Mar 2019,5575,5325,5500,-50,4295700,23349632500,1549,2019,03
AKSI,--U7---2,400,0,04 Mar 2019,400,360,360,-40,13400,4953600,23,2019,03
ALDO,--U3---2,575,0,04 Mar 2019,432,432,432,-143,358500,154872000,330,2019,03
ALKA,--U3---2,422,0,04 Mar 2019,428,420,428,6,1300,551400,9,2019,03
ALMI,--U3---2,605,0,04 Mar 2019,605,600,600,-5,498000,298825000,9,2019,03
ALTO,--U5---1,394,0,04 Mar 2019,394,394,394,0,1000,394000,1,2019,03
AMAG,--U8---2,300,0,04 Mar 2019,300,280,288,-12,5700,1626000,14,2019,03
AMFG,--U3---1,4800,0,04 Mar 2019,5400,4800,5250,450,22700,120810000,24,2019,03
AMIN,--U4---2,486,0,04 Mar 2019,488,482,486,0,154000,74735600,26,2019,03
AMRT,--S9---1,825,0,04 Mar 2019,850,835,850,25,79500,66895000,45,2019,03
ANDI,--U1---2,1605,0,04 Mar 2019,1605,1575,1585,-20,541100,862421000,52,2019,03
ANJT,--U1---1,1020,0,04 Mar 2019,1020,1000,1020,0,165400,168402000,59,2019,03
ANTM,--S2XXO1,1055,1060,04 Mar 2019,1075,1045,1050,-5,100864600,107167091500,7829,2019,03
APEX,--U2---2,1200,0,04 Mar 2019,0,0,1200,0,0,0,0,2019,03
APIC,--U8---2,505,0,04 Mar 2019,505,505,505,0,4234500,2138422500,440,2019,03
APII,--U9---2,184,0,04 Mar 2019,193,175,192,8,8700,1611400,11,2019,03
APLI,--U3---1,84,0,04 Mar 2019,85,84,85,1,11800,1002900,4,2019,03
APLN,--S6K--1,179,0,04 Mar 2019,182,178,179,0,6171200,1106680700,403,2019,03
APOL,--U7---1,58,0,04 Mar 2019,0,0,58,0,0,0,0,2019,03
ARGO,--U4---2,825,0,04 Mar 2019,0,0,825,0,0,0,0,2019,03
ARII,--U2---2,840,0,04 Mar 2019,825,800,825,-15,288800,234296500,49,2019,03
ARMY,--U6---2,344,0,04 Mar 2019,344,324,334,-10,135401900,45537939400,186,2019,03
ARNA,--S3---1,482,0,04 Mar 2019,490,482,482,0,65500,31782400,29,2019,03
ARTA,--U9---2,700,0,04 Mar 2019,730,710,730,30,300,215000,3,2019,03
ARTI,--U2---1,50,0,04 Mar 2019,50,50,50,0,52000,2600000,5,2019,03
ARTO,--U8---2,165,0,04 Mar 2019,165,165,165,0,200,33000,1,2019,03
ASBI,--U8---2,348,0,04 Mar 2019,348,322,326,-22,4200,1382200,14,2019,03
ASDM,--U8---1,1100,0,04 Mar 2019,1090,1090,1090,-10,700,763000,1,2019,03
ASGR,--U9---1,1430,0,04 Mar 2019,1465,1450,1460,30,816800,1191773000,127,2019,03
ASII,--S4BXO1,7225,7200,04 Mar 2019,7275,7150,7150,-75,31484700,226413555000,7403,2019,03
ASJT,--U8---2,288,0,04 Mar 2019,296,286,286,-2,20300,5865000,13,2019,03
ASMI,--U8---1,660,0,04 Mar 2019,660,655,660,0,1454400,959901500,45,2019,03
ASRI,--S6K--1,322,0,04 Mar 2019,332,322,326,4,8737600,2842750200,733,2019,03
ASRM,--U8---2,2300,0,04 Mar 2019,0,0,2300,0,0,0,0,2019,03
ASSA,--S7---1,860,0,04 Mar 2019,925,860,900,40,35756000,32421893500,1068,2019,03
ATIC,--U9---1,900,0,04 Mar 2019,870,810,815,-85,19700,16151000,12,2019,03
ATPK,--U2---2,194,0,04 Mar 2019,0,0,194,0,0,0,0,2019,03
AUTO,--M4---1,1635,0,04 Mar 2019,1655,1610,1625,-10,366300,594938500,252,2019,03
BABP,--U8---2,50,0,04 Mar 2019,51,50,50,0,12246300,612444400,303,2019,03
BACA,--U8---2,280,0,04 Mar 2019,294,278,278,-2,3400,962800,18,2019,03
BAJA,--U3---2,109,0,04 Mar 2019,110,108,108,-1,144100,15677300,38,2019,03
BALI,--U7---2,1330,0,04 Mar 2019,1330,1300,1300,-30,7022800,9340321000,18,2019,03
BAPA,--U6---1,103,0,04 Mar 2019,106,103,104,1,175900,18339600,34,2019,03
BATA,--U4---1,555,0,04 Mar 2019,555,555,555,0,1400,777000,3,2019,03
BAYU,--U9---2,1905,0,04 Mar 2019,1860,1790,1790,-115,10700,19448500,17,2019,03
BBCA,--S8B3O1,27700,27600,04 Mar 2019,27700,27575,27675,-25,12782100,353634707500,4855,2019,03
BBHI,--U8---2,169,0,04 Mar 2019,170,168,169,0,48600,8207500,19,2019,03
BBKP,--S8K--1,400,0,04 Mar 2019,400,392,396,-4,6265100,2479123400,544,2019,03
BBLD,--U8---2,444,0,04 Mar 2019,444,444,444,0,1600,710400,3,2019,03
BBMD,--U8---1,1380,0,04 Mar 2019,0,0,1380,0,0,0,0,2019,03
BBNI,--S8B3O1,8975,8900,04 Mar 2019,9000,8875,8950,-25,14274100,127908212500,4461,2019,03
BBNP,--U8---1,2200,0,04 Mar 2019,0,0,2200,0,0,0,0,2019,03
BBRI,--S8B3O1,3870,3900,04 Mar 2019,3920,3880,3880,10,57026900,221775957000,5720,2019,03
BBRM,--U7---1,50,0,04 Mar 2019,50,50,50,0,2100,105000,2,2019,03
BBTN,--S8LKO1,2350,2370,04 Mar 2019,2410,2350,2390,40,27497000,65580174000,3959,2019,03
BBYB,--S8---1,262,0,04 Mar 2019,260,260,260,-2,79200,20592000,17,2019,03
BCAP,--U8---1,180,0,04 Mar 2019,180,166,180,0,170300,30238500,52,2019,03
BCIC,--U8---2,450,0,04 Mar 2019,0,0,450,0,0,0,0,2019,03
BCIP,--U6---2,88,0,04 Mar 2019,91,88,90,2,2537700,227245300,325,2019,03
BDMN,--S8KB-1,7900,0,04 Mar 2019,8025,7700,7800,-100,2349000,18410782500,1811,2019,03
BEEF,--U1---2,197,0,04 Mar 2019,202,197,199,2,3097900,618754300,437,2019,03
BEKS,--U8---2,50,0,04 Mar 2019,50,50,50,0,62400,3120000,45,2019,03
BELL,--M4---2,236,0,04 Mar 2019,238,236,236,0,382300,90986200,21,2019,03
BEST,--S6K--1,250,0,04 Mar 2019,256,246,250,0,5833000,1462534400,1516,2019,03
BFIN,--U8---2,635,0,04 Mar 2019,645,630,630,-5,2433400,1544843500,68,2019,03
BGTG,--S8---2,88,0,04 Mar 2019,90,88,88,0,4330700,383724400,200,2019,03
BHIT,--S9---1,91,0,04 Mar 2019,94,91,92,1,26890200,2488366300,627,2019,03
BIKA,--U6---2,244,0,04 Mar 2019,256,256,256,12,500,128000,2,2019,03
BIMA,--U4---2,54,0,04 Mar 2019,55,54,54,0,171800,9328900,11,2019,03
BINA,--U8---1,645,0,04 Mar 2019,650,620,620,-25,19300,12436500,5,2019,03
BIPI,--U2---2,50,0,04 Mar 2019,50,50,50,0,1254200,62710000,14,2019,03
BIPP,--U6---2,75,0,04 Mar 2019,76,76,76,1,100,7600,1,2019,03
BIRD,--S7---1,3000,0,04 Mar 2019,3020,2960,2960,-40,31900,95260000,31,2019,03
BISI,--U1---1,1400,0,04 Mar 2019,1435,1400,1425,25,98900,140031000,64,2019,03
BJBR,--U8K--1,2050,0,04 Mar 2019,2070,2030,2040,-10,10183300,20891394000,427,2019,03
