kalender,jumlah emiten,Last Trading Date
20231222,906,22 Dec 2023
20231227,906,27 Dec 2023
20231228,906,28 Dec 2023
20231229,906,29 Dec 2023
20240102,906,22 Jan 2024
20240103,906,02 Jan 2024
20240104,906,03 Jan 2024
20240105,907,04 Jan 2024
20240108,908,05 Jan 2024
20240109,909,08 Jan 2024
20240110,911,09 Jan 2024
20240111,913,10 Jan 2024
20240112,913,11 Jan 2024
20240115,913,12 Jan 2024
20240116,912,15 Jan 2024
20240117,912,16 Jan 2024
20240118,913,17 Jan 2024
20240119,913,18 Jan 2024
20240122,913,19 Jan 2024
20240123,913,23 Jan 2024
20240124,913,24 Jan 2024
20240125,913,25 Jan 2024
20240126,913,26 Jan 2024
20240129,913,29 Jan 2024
20240130,914,30 Jan 2024
20240131,914,31 Jan 2024
20240201,914,01 Feb 2024
20240202,914,02 Feb 2024
20240205,914,05 Feb 2024
20240206,914,06 Feb 2024
20240207,918,07 Feb 2024
20240212,921,12 Feb 2024
20240213,922,13 Feb 2024
20240215,923,15 Feb 2024
20240216,923,16 Feb 2024
20240219,923,19 Feb 2024
20240220,923,20 Feb 2024
20240221,923,21 Feb 2024
20240222,923,22 Feb 2024
