Stock Code,Tahun,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Agu,Sep,Okt,Nov,Des
BTEL,2020,0,0,0,0,0,0,0,0,0,0,0,0
BTEL,2021,0,0,0,0,0,0,0,0,0,0,0,0
BTEL,2022,0,0,0,0,0,0,0,0,0,0,0,0
BTEL,2023,0,0,0,0,0,0,0,0,0,0,0,0
BTON,2019,20.87,-0.72,-7.25,-1.56,-13.49,7.34,-2.56,-11.4,2.97,-2.88,0,3.96
BTON,2020,-6.19,-18.78,-21.88,20,-0.67,27.52,-5.26,-5.56,3.53,18.18,8.65,32.74
BTON,2021,0,-5.33,2.82,10.96,29.63,5.24,-0.45,10.45,4.94,-11.37,-9.73,5.39
BTON,2022,-4.65,-3.9,-8.12,7.73,-10.26,-17.14,15.86,16.07,-0.51,13.4,0.91,-2.7
BTON,2023,-1.85,-1.89,-2.88,5.94,0.47,0.47,-0.93,-4.67,4.9,0.47,-6.05,9.9
BTPN,2019,10.17,-2.37,-2.7,03.06,-1.08,-1.36,-8.56,-1.81,0,-1.54,-1.56,3.17
BTPN,2020,-10.46,-6.87,-29.52,-4.71,1.1,17.39,06.02,3.49,-9.28,06.05,14.04,19.62
BTPN,2021,-15.43,9.89,-1.73,-1.76,0.36,2.86,-1.74,-1.06,-1.07,0.36,-4.32,-1.5
BTPN,2022,-1.91,2.72,1.14,-3.37,-2.33,-0.79,0.4,-1.2,-0.81,04.07,3.12,0.38
BTPN,2023,-8.3,3.7,-0.79,2,1.57,4.63,0.74,0.37,-1.46,-5.93,5.91,-2.6
BTPS,2019,10.58,3.27,7.8,11.76,15.38,21.05,-8.12,1.58,2.48,16.36,3.12,7.32
BTPS,2020,3.76,-14.74,-43.35,2.82,31.51,10.42,8.49,13.04,-15.9,12.8,11.62,-9.2
BTPS,2021,-9.33,20.59,-15.12,-6.03,-11.31,-0.69,-17.71,18.14,23.93,9.8,-6.3,0.28
BTPS,2022,-2.79,3.16,-8.08,4.55,-11.59,-7.54,-0.35,5.34,-7.77,08.06,8.47,-12.81
BTPS,2023,-8.24,-8.59,-6.41,-2.28,-11.21,8.95,2.9,1.41,-11.81,-17.32,05.08,2.11
BUAH,2022,,,,,,,,35.31,69.52,-17.98,13.7,7.23
BUAH,2023,28.09,-27.63,38.18,12.28,9.77,6.76,4.33,-10.22,9.61,13.96,10.26,9.56
BUDI,2019,7.29,1.94,-5.71,04.04,-1.94,3.96,-2.86,0,-1.96,0,0,3
BUDI,2020,-4.85,-5.1,-10.75,9.64,-4.4,-1.15,4.65,11.11,-7,5.38,02.04,-1
BUDI,2021,-1.01,7.14,1.9,16.82,52,-15.26,27.95,-7.77,-10.53,7.65,-3.83,1.7
BUDI,2022,-8.38,2.44,26.19,2.83,9.17,-0.84,-6.78,4.55,-13.04,6,0,6.6
BUDI,2023,-4.42,-2.78,-1.9,0.97,6.73,5.41,0.85,1.69,5.83,-3.94,4.92,8.59
BUKA,2021,,,,,,,,11.18,-8.99,-19.19,-21.58,-21.1
BUKA,2022,-17.21,-5.06,13.02,0,-23.04,-4.08,4.26,02.04,-9.33,1.47,3.62,-8.39
BUKA,2023,10.69,-9.66,-5.34,-4.84,-10.17,0,1.89,7.41,-6.03,-3.67,-0.95,3.85
BUKK,2019,7.37,0.49,-0.49,-2.94,-0.51,-2.54,-11.46,-14.71,24.14,-5.56,-8.82,-9.68
BUKK,2020,0,-32.14,22.11,-11.21,-14.56,-13.64,-7.89,13.57,-11.95,0,27.14,24.16
BUKK,2021,-26.7,9.26,-2.26,20.23,-4.81,-1.01,0,02.04,3,0.49,23.19,-4.71
BUKK,2022,0.41,-7.79,0,-2.22,-3.18,-7.04,-1.01,03.06,12.87,-2.63,-1.8,10.09
BUKK,2023,-5,-3.51,-12.27,10.88,-2.8,-4.33,6.53,24.06,-9.13,-3.77,-6.09,1.85
BULL,2019,12.82,18.18,15.38,9.44,-3.05,4.71,5,-8.1,1.55,-3.57,-5.29,-9.5
BULL,2020,9.26,-15.82,1.34,17.88,22.47,41.28,5.19,-12.35,5.63,10.67,-6.02,12.18
BULL,2021,5.14,-16.85,-3.27,04.05,-3.25,-5.37,-12.06,04.03,5.43,-5.88,-1.56,-5.56
BULL,2022,-38.66,-21.92,38.6,0,5.7,-7.19,-5.81,15.75,-7.1,-1.91,1.3,14.1
BULL,2023,-15.73,-11.33,0,-9.02,-11.57,-7.48,-1.01,0,-24.49,2.7,39.47,45.28
BUMI,2019,63.11,-10.71,-18,0,-4.07,0.85,-9.24,-12.96,-4.26,-5.56,-23.53,1.54
BUMI,2020,-19.7,-5.66,0,0,0,0,0,0,0,0,34,7.46
BUMI,2021,-1.39,-14.08,-3.28,6.78,-4.76,0,-5,-5.26,22.22,09.09,-8.33,1.52
BUMI,2022,13.43,-28.95,5.56,-1.75,3.57,15.52,68.66,48.67,-18.45,37.96,-3.7,-11.54
BUMI,2023,-4.97,-11.11,-6.62,-4.72,-20.66,19.79,11.3,7.81,-0.72,-17.52,-9.73,-16.67
BUVA,2019,-16.99,-7.6,-15.82,-19.55,7.48,-13.91,-4.04,-8.42,-5.75,4.88,-8.14,-6.33
BUVA,2020,-24.32,57.14,-34.09,0,1.72,-3.39,-1.75,-7.14,1.92,-1.89,15.38,-8.33
BUVA,2021,-9.09,14,31.58,6.67,-16.25,-5.97,-4.76,0,0,0,0,0
BUVA,2022,0,0,0,0,0,0,0,0,0,0,0,0
BUVA,2023,0,0,0,0,0,0,-38.33,29.73,-12.5,16.67,22.45,1.67
BVIC,2019,-10.53,8.24,-9.24,-2.99,6.79,-2.31,-2.37,16.97,-10.36,-4.62,0,-49.09
BVIC,2020,-19.05,-19.12,3.64,-1.75,23.21,-1.45,-13.24,16.95,-8.7,58.73,5,8.57
BVIC,2021,-3.51,134.55,-34.11,-0.59,-4.73,-1.86,11.39,-6.82,-7.93,-10.6,31.11,15.25
BVIC,2022,-21.08,-2.48,9.55,-8.72,-2.55,-13.73,0.76,2.26,-8.82,8.87,-1.48,-19.55
BVIC,2023,1.87,-4.59,-10.58,-2.15,3.3,01.06,11.58,-1.89,-4.81,-10.1,4.49,6.45
BWPT,2019,21.95,-17,-4.82,1.27,-4.37,5.88,-11.73,-9.09,-3.08,-3.17,-22.13,65.26
BWPT,2020,-26.75,-25.22,-17.44,12.68,-3.75,15.58,33.71,-7.56,-18.18,6.67,30.21,15.2
BWPT,2021,-21.53,4.42,-5.93,3.6,-9.57,-17.31,1.16,-13.79,13.33,07.06,-10.99,-8.64
BWPT,2022,-1.35,19.18,-10.34,0,-3.85,-8,1.45,1.43,-7.04,03.03,1.47,-5.8
BWPT,2023,4.62,-1.47,-13.43,3.45,-10,0,5.56,5.26,-1.67,-5.08,-1.79,-1.82
BYAN,2019,-4.4,-0.13,-0.4,0.53,-0.53,3.17,-13.33,-3.55,1.84,-17.17,0.36,15.22
BYAN,2020,-4.4,0,-4.61,0,-0.34,-13.32,5.59,-2.84,-1.56,-1.58,24.5,-0.16
BYAN,2021,-6.3,-6.9,-7.59,16.63,-2.75,-3.89,5.88,2.95,98.65,-11.71,6.35,-2.35
BYAN,2022,36.3,02.04,15.45,-1.96,26.53,44.96,-12.8,-6.4,5.3,9.7,26.67,-77.44
BYAN,2023,-4.29,-4.48,8.2,3.49,-30.23,3.33,28.06,-5.42,0.53,-3.44,5.76,3.24
CAKK,2019,5.32,46.46,76.55,-53.12,-10,3.7,7.14,-6.67,-4.46,-10.28,-35.42,12.9
CAKK,2020,-14.29,-15,-1.96,0,0,0,0,0,0,0,6,-1.89
CAKK,2021,30.77,-11.76,33.33,-3.75,-7.79,-5.63,5.97,-4.23,47.06,2,-3.92,0
CAKK,2022,-13.27,1.18,1.16,1.15,-1.14,11.49,128.87,-10.36,6.53,12.26,-4.2,-11.4
CAKK,2023,-5.94,-8.95,04.05,-4.44,-11.05,25.49,-11.98,5.33,7.87,-16.15,-0.62,15.62
CAMP,2019,12.72,29.49,25.74,-2.36,-7.26,-4.35,-6.36,-0.97,-9.41,-6.93,-7.44,-6.03
CAMP,2020,-13.9,-33.54,-26.64,22.93,6.74,0,-4.37,29.95,5.47,-4.44,0,17.05
CAMP,2021,-17.22,-2.4,-4.1,0.85,16.95,-7.25,1.56,28.46,-12.57,1.37,-2.03,0
CAMP,2022,-4.14,-2.88,-2.22,3.79,2.92,0,19.86,-12.43,-2.7,0.69,0,5.52
CAMP,2023,5.88,5.56,-5.85,5.59,1.18,11.05,-1.05,-7.41,0,-4,1.79,17.54
CANI,2019,-28.41,1.59,-1.04,-12.11,-5.99,0,0.64,1.9,30.43,-25.24,-6.37,10.2
CANI,2020,-1.85,8.18,14.53,4.57,7.77,-16.67,-32.97,25,-23.87,-3.39,-7.02,5.66
CANI,2021,251.79,-37.06,-29.44,3.43,-3.31,-29.71,-15.45,25.96,1.53,9.77,11.64,-7.98
CANI,2022,-10,16.3,-11.46,-0.72,-4.35,-16.67,-10,-3.03,-6.25,-12.22,13.92,-10
CANI,2023,2.47,7.23,2.25,8.79,08.08,-1.87,-10.48,-1.06,-9.68,-8.33,-35.06,0
CARE,2020,,,230.1,-5.29,-3.73,3.23,6.25,-0.59,10.65,-10.7,13.77,-15.26
CARE,2021,-6.83,5.33,6.96,-7.1,3.18,08.02,5.71,13.51,2.86,06.02,4.37,7.74
CARE,2022,2.91,5.66,-5.36,-1.89,4.81,-8.26,0,-4.4,5.65,0.99,-5.49,-1.24
CARE,2023,3.78,-2.83,2.92,-2.02,0,-3.31,10.04,0,-6.8,0,-61.46,-13.51
CARS,2019,-3.93,-2.23,3.42,-4.41,0,-90.38,-0.8,-1.61,-1.64,-5.83,-0.88,-16.96
CARS,2020,-49.46,-1.06,-46.24,8,-7.41,0,0,0,0,0,0,0
CARS,2021,0,0,0,0,0,0,0,0,0,0,0,0
CARS,2022,0,0,0,0,0,0,0,38,30.43,1.11,-1.1,-6.67
CARS,2023,11.9,-4.26,-2.22,-4.55,-8.33,12.99,6.9,5.38,13.27,1.8,-1.77,-9.91
CASA,2019,-1.94,0,-0.66,3.31,16.03,2.76,-3.23,11.11,-1,-2.02,5.67,1.95
CASA,2020,0,-4.31,7.5,-9.77,-5.15,8.7,-2.5,-0.51,-0.52,0,0.52,-3.09
CASA,2021,-4.26,19.44,-10.7,-1.56,0.53,3.68,02.03,-3.98,02.07,6.6,18.57,6.43
CASA,2022,2.83,0.92,4.55,0.87,0.86,19.66,15,6.83,-9.88,-1.94,-2.63,-2.7
CASA,2023,1.39,-3.42,-0.71,-3.57,1.48,-1.46,-1.48,-4.51,-9.45,-3.48,11.71,0
CASH,2020,,,,,34.29,14.89,4.63,5.31,-2.52,-0.86,-14.43,-4.88
CASH,2021,-22.22,-7.14,-5.33,10,-15.91,-29.73,2.88,-9.81,-25.39,73.61,74.4,-38.07
CASH,2022,-8.89,18.7,-29.45,-17.48,-1.76,-3.59,8.7,-9.14,-2.52,-1.94,-13.16,03.03
CASH,2023,-36.76,-4.65,-20.73,43.08,-11.83,-2.44,-17.5,03.03,27.94,70.11,-7.43,-19.71
CASS,2019,-2.82,0,0,1.45,4.29,0,-8.22,-5.97,2.38,-4.65,0.81,0
CASS,2020,-10.48,2.7,-5.26,-2.78,-64.19,0,17.02,-0.91,-3.67,-3.81,3.96,28.57
CASS,2021,-17.78,15.32,38.28,18.08,-4.78,-11.06,1.13,-7.82,35.76,28.35,-16.52,-2.5
CASS,2022,-20.09,-7.49,6.94,-4.32,24.29,-11.82,1.55,1.52,-0.5,7.54,1.4,-4.15
CASS,2023,1.44,2.84,-4.15,-0.96,9.71,3.1,22.32,18.42,-7.41,12,1.43,26.76
CBMF,2020,,,,-20,-5.47,70.25,6.8,49.09,10.98,-9.89,76.83,-1.72
CBMF,2021,-21.4,3.12,-39.39,-50,0,-58.57,-8.62,-3.77,86.27,2.11,-10.31,12.64
CBMF,2022,-21.43,-16.88,1.56,-10.77,-6.9,-7.41,2,1.96,-3.85,0,0,0
CBMF,2023,0,0,0,0,0,0,0,0,0,0,0,0
CBPE,2023,-1.33,1.35,0,-2.67,-0.68,-8.28,0.75,-4.48,0,4.69,-3.73,5.43
CBRE,2023,-11.11,-37.5,-8.33,-9.09,0,6,-5.66,0,0,0,0,0
CBUT,2022,,,,,,,,,,,23.91,154.97
CBUT,2023,-8.72,-4.77,6.6,-3.96,-1.55,26.7,11.57,22.22,-6.06,-32.9,-3.85,-11.75
CCSI,2019,,,,,,-12.8,-0.92,47.22,-5.03,-9.27,-13.87,9.32
CCSI,2020,-0.78,-12.5,-16.96,35.48,-1.59,0,-3.23,10,-4.55,-9.52,6.14,0
CCSI,2021,-8.26,2.7,1.75,25,-4.14,79.14,-6.02,6.41,17.47,3.42,14.85,25
CCSI,2022,6.21,6.49,-6.1,-4.55,02.04,-4.67,-1.4,-1.42,-6.47,7.69,0,-0.71
CCSI,2023,0.72,-5,0.75,-2.24,-2.29,0.78,-7.75,2.52,-7.38,-11.5,7,-12.15
CEKA,2019,-23.64,-1.9,2.43,25.59,-1.89,17.31,4.26,-5.66,0,4.67,-4.78,11.71
CEKA,2020,-7.19,-5.16,-18.37,25.83,12.91,17.01,-9.77,11.11,-16.25,3.88,2.3,0.28
CEKA,2021,-3.64,6.4,01.09,0.54,6.72,-10.33,0,1.12,-0.28,5.85,-0.53,-0.53
CEKA,2022,0,0.8,-1.85,10.75,28.16,-8.33,1.65,-3.66,-7.59,-9.36,-0.76,0.51
CEKA,2023,2.53,-1.48,1,-0.5,-1,-2.26,0,0,-5.14,1.36,0.8,-2.12
CENT,2019,5.81,-2.2,3.37,-5.43,-1.15,4.65,-3.33,-5.75,-2.44,-2.5,-20.51,17.74
CENT,2020,-9.59,-10.61,-13.56,9.8,-3.57,50,35.8,33.64,-9.52,-3.01,2.33,7.58
CENT,2021,5.63,25.33,51.06,-5.63,-10.45,-0.83,29.41,18.18,-23.08,15,-14.29,-15.94
CENT,2022,-11.21,-5.83,22.68,-13.45,-3.88,-4.55,-9.52,5.26,-18.33,-2.72,0.7,-22.22
CENT,2023,0,-7.14,-10.58,-12.9,-18.52,-3.03,12.5,0,1.39,-5.48,-10.14,-11.29
CFIN,2019,3.82,7.36,-4.57,-0.6,-6.63,0,2.58,-3.14,-2.6,-2.67,-10.96,11.54
CFIN,2020,-13.1,-6.35,-21.61,-7.03,11.05,7.85,-7.28,0.52,0.52,-2.59,8.51,14.71
CFIN,2021,-4.27,11.61,-1.6,26.02,0.65,-8.97,-1.41,-0.71,-6.47,3.85,-0.74,-6.72
CFIN,2022,-1.6,2.44,-1.59,-1.61,-4.1,23.08,5.56,0.66,-3.27,35.81,-12.94,-14.29
CFIN,2023,8,0.62,7.98,14.2,0.5,37.38,17.12,-11.54,-4.35,-11.64,2.47,-1.61
CHEM,2022,,,,,,,-22.67,-1.72,-9.65,18.45,-17.21,57.43
CHEM,2023,-3.14,-1.3,-22.37,1.69,-10.83,3.74,-2.7,5.56,6.14,5.79,-3.12,-3.23
CHIP,2023,,203.75,200.41,12.67,-0.61,-9.48,6.42,5.71,21.92,9.85,26.46,-19.5
CINT,2019,-4.93,-5.93,15.75,02.04,-3.33,-8.97,5.3,-6.47,-0.77,-3.88,1.61,19.84
CINT,2020,-13.25,03.05,3.7,-3.57,-6.67,0.79,1.57,-6.2,-2.48,-2.54,1.74,2.56
CINT,2021,-8.33,10,-0.83,0,-10.83,-7.94,3.55,-5.88,-0.52,47.64,-11.35,0.8
CINT,2022,-11.9,-0.9,5.45,-3.45,7.14,-5,0.88,-1.74,0,-1.77,1.8,3.54
CINT,2023,-7.69,-0.93,-0.93,-1.89,-2.88,0.99,-1.96,-7,-2.69,-1.1,-1.12,-6.78
CITA,2019,-10.33,-9.09,-6.67,-3.57,11.11,6.67,12.19,10.86,-3.52,0.26,-6.75,-2.51
CITA,2020,13.14,-4.04,-14.47,1.54,03.03,5.88,10.56,-3.02,23.83,-0.42,-4.62,31.28
CITA,2021,-6.04,6.43,-7.05,01.08,-5.36,13.21,5,-5.08,-5.69,-0.35,01.07,13.38
CITA,2022,-9.94,-3.45,7.86,-0.66,3.67,-3.54,1,0,-2.97,0.34,6.78,22.86
CITA,2023,-5.68,6.85,-6.67,-2.75,-17.23,-9.56,-6.42,-2.02,-1.23,-10.42,-3.72,1.93
CITY,2019,-7.54,-2.17,-2.78,-12,-7.14,-20.28,-11.4,-1.98,-3.54,-8.9,-24.71,-12.21
CITY,2020,4.35,-58.33,10,-5.45,0,0,1.92,103.77,-0.93,-2.8,-9.62,-7.45
CITY,2021,102.3,19.32,-19.05,25.88,-26.17,-5.06,-1.33,-10.81,8.33,2.1,17.81,1.74
CITY,2022,-17.14,02.07,02.03,2.65,-0.65,-2.6,9.33,-9.15,0,-2.01,-0.68,-2.07
CITY,2023,-33.1,-5.26,15.56,-36.54,-10.61,-13.56,0,-1.96,0,66,34.94,-43.75
CKRA,2019,0,0,0,0,0,0,0,0,0,0,0,0
CKRA,2020,0,0,0,0,0,0,0,0,,,,
CLAY,2019,844.44,8.24,72.28,-0.95,1.27,0,30.82,15.87,6.33,-5.17,-16.67,-12.1
CLAY,2020,-23.03,-4.38,-15.27,13.06,-24.3,-4.74,14.92,-5.53,-1.27,-4.38,-8.89,-21.01
CLAY,2021,8.61,-13.79,-13.6,-15.74,-9.34,11.52,-10.87,-4.88,5.13,1.22,0.6,-1.8
CLAY,2022,-7.93,12.58,-7.65,-7.01,-2.05,0,-2.1,-5,-4.51,18.9,-4.64,0
CLAY,2023,-38.61,-14.48,29.63,-28.16,-19.32,-0.7,-14.89,0.83,-17.36,0,-10,-27.78
CLEO,2019,-0.7,-0.71,-1.43,16.67,18.01,2.11,35.31,12.38,-8.47,0.93,-6.42,-0.98
CLEO,2020,-2.97,-12.24,-13.49,18.82,5.43,0,10.52,-1.94,-11.68,6.73,1.68,3.31
CLEO,2021,-4,-0.83,-3.36,0,-2.61,-7.59,10.63,-0.87,0.44,0,-3.07,6.33
CLEO,2022,-9.79,4.72,-2.25,2.3,4.95,2.15,-2.52,0,7.76,44,-13.19,-11.2
CLEO,2023,-16.04,1.29,0,6.99,1.98,17.48,09.09,06.06,-3.57,-5.19,2.34,8.4
CLPI,2019,7.81,1.45,0,12.14,-4.46,3.33,7.74,-4.19,0,-1.88,-4.46,2.67
CLPI,2020,-5.84,-1.38,-32.59,45.23,-5.71,12.88,-4.7,9.15,-16.77,3.88,7.46,4.86
CLPI,2021,-1.99,12.84,-2.4,2.45,8.38,2.21,34.05,-15.32,-1.9,0.97,-0.96,-0.49
CLPI,2022,-0.98,-0.49,2.97,4.81,1.83,1.8,-7.52,-11,-1.08,3.8,-1.05,-1.06
CLPI,2023,0.53,2.13,-1.56,-1.59,5.91,04.06,-3.9,-0.51,-2.04,2.6,0,0
CMNP,2019,05.08,1.12,-8.82,04.03,-4.26,02.02,7.94,8.82,37.16,-6.65,-7.65,6
CMNP,2020,7.82,-8,-13.04,-6.87,-9.06,9.96,-33.56,9.6,1.38,-6.36,22.33,22.22
CMNP,2021,-12.34,16.67,27.62,-1.49,-1.26,-13.04,-0.29,-3.54,-24.16,2.42,9.45,43.88
CMNP,2022,-15,17.35,11.28,-0.9,-5,-10.05,7.98,-1.48,-1,-2.02,-4.12,17.74
CMNP,2023,-13.93,-2.12,-5.69,0,-2.59,1.47,-2.03,-3.86,-4.63,5.18,-3.08,5.71
CMNT,2021,,,,,,,,,41.18,6.77,-0.49,8.33
CMNT,2022,0,-1.36,7.8,-7.66,-17.05,10,4.55,-1.45,-19.12,0.61,-1.2,10.37
CMNT,2023,4.97,-7.37,3.98,-1.64,-12.78,10.19,4.62,16.02,-2.86,-7.84,2.13,11.46
CMPP,2019,17.31,-7.38,2.65,-14.22,-2.01,0.51,-5.61,-0.54,0,0,0,0
CMPP,2020,0,0,0,0,0,0,0,0,0,0,0,0
CMPP,2021,0,0,0,0,0,0,0,0,0,0,0,0
CMPP,2022,146.74,17.84,42.99,-28.1,-34.55,-40.56,24.3,-16.54,3.6,-4.35,-11.82,-1.03
CMPP,2023,-9.38,-0.57,-23.7,-6.06,14.52,-1.41,10.71,0.65,-5.13,-11.49,3.82,-8.09
CMRY,2021,,,,,,,,,,,,10.39
CMRY,2022,-8.82,13.23,-0.28,16.86,-4.89,7.97,6.43,-2.24,0.69,5,1.52,-9.38
CMRY,2023,6.59,-1.77,3.82,2.81,-8.84,-3.23,0.48,-4.51,-1.24,-4.79,-5.29,12.01
CNKO,2019,0,0,0,0,0,0,0,0,0,0,0,0
CNKO,2020,0,0,0,0,0,0,0,0,0,0,0,0
CNKO,2021,0,0,0,0,0,0,0,0,0,0,0,0
CNKO,2022,0,0,0,0,0,0,0,0,0,0,0,0
CNKO,2023,0,0,0,0,0,0,0,0,0,0,0,0
CNMA,2023,,,,,,,,0.74,10.29,-7.33,-1.44,-1.46
CNTB,2019,0,0,0,0,0,0,0,0,0,0,0,0
CNTB,2020,0,0,0,0,0,0,0,0,0,0,0,0
CNTB,2021,0,0,0,0,0,0,0,0,0,0,0,0
CNTB,2022,0,0,0,0,0,0,0,0,0,0,0,0
CNTB,2023,0,0,0,0,0,0,0,0,0,0,0,0
CNTX,2019,-4.66,18.89,2.8,-10.91,-6.12,19.57,-9.45,-6.83,03.02,-8.37,-6.39,-17.56
CNTX,2020,1.78,-9.88,-14.84,-1.52,0,0,-4.62,0.81,-8.8,-2.63,1.8,-3.54
CNTX,2021,-12.84,-5.26,14.44,-2.91,1,-6.44,1.59,-2.6,-1.6,01.09,75.27,-3.07
CNTX,2022,-27.22,19.13,-15.33,0,-0.86,-12.17,63.37,-1.21,3.68,-8.88,-9.74,-20.86
CNTX,2023,09.09,-13.33,-2.88,10.89,-24.11,-28.24,0,0,0,0,0,0
COAL,2022,,,,,,,,,340,-46.36,-18.22,-24.35
COAL,2023,-19.86,17.09,-1.46,20,-41.36,-4.21,-2.2,-43.82,10,-9.09,8,-7.41
COCO,2019,,,314.14,9.15,3.35,0,0,-0.54,0.54,-0.54,-4.35,3.41
COCO,2020,-6.04,4.68,-1.68,4.55,-9.78,1.2,-3.57,-3.7,16.67,1.65,0,-24.32
COCO,2021,-32.86,-40,-11.35,-1.6,7.32,13.64,12,-11.31,-15.44,3.17,-4.62,16.13
COCO,2022,09.03,-12.74,-5.11,-10,-11.11,-14.9,22.03,13.89,6.5,3.82,-2.94,1.52
COCO,2023,-11.94,-5.93,17.12,-6.15,-2.46,-1.68,-4.27,-11.16,-24.62,5.33,16.46,-4.89
COWL,2019,0.96,-26.07,-7.69,-10.42,-15.5,-1.83,4.67,-3.57,-6.48,0.99,-75.49,0
COWL,2020,0,0,0,0,0,0,0,0,0,0,0,0
COWL,2021,0,0,0,0,0,0,0,0,0,0,0,0
COWL,2022,0,0,0,0,0,0,0,0,0,0,0,0
COWL,2023,0,0,0,0,0,0,0,0,0,0,0,0
CPIN,2019,2.42,-1.35,-12.33,-17.58,-7.11,-3.47,13.64,-6.51,6.47,17.76,6.75,-3.35
CPIN,2020,2.31,-14.29,-13.33,-6.88,25.54,-3.46,11.66,1.2,-9.92,03.08,3.85,7.41
CPIN,2021,-11.88,6.96,13.82,0.71,-4.26,-7.41,-2,4.49,0.39,-3.5,-2.02,-2.06
CPIN,2022,5.88,-7.94,-2.59,-8.85,4.85,11.11,-6.67,4.91,-3.83,-1.33,2.24,-0.88
CPIN,2023,3.1,-7.73,-7.16,-8.02,7.84,6.57,-1.9,0,4.83,6.91,-10.34,-3.37
CPRI,2019,,,,-16,-32.38,5.63,-2.67,-21.92,-7.02,-1.89,-3.85,0
CPRI,2020,0,0,0,0,0,0,0,0,0,0,0,0
CPRI,2021,0,0,0,0,0,0,0,0,0,0,0,0
CPRI,2022,0,0,0,0,0,0,0,0,0,0,0,0
CPRI,2023,0,0,0,0,0,0,0,0,0,0,0,0
CPRO,2019,0,0,0,0,0,0,0,0,0,0,0,0
CPRO,2020,0,0,0,0,0,0,0,0,0,0,0,0
CPRO,2021,0,0,0,0,0,0,0,0,0,0,124,-15.18
CPRO,2022,-15.79,18.75,-5.26,-18.89,1.37,-18.92,15,-4.35,-10.61,-1.69,-3.45,-5.36
CPRO,2023,1.89,-7.41,0,0,2,1.96,1.92,15.09,-4.92,-8.62,0,-3.77
CRAB,2022,,,,,,,,56,-6.84,-3.67,2.86,1.85
CRAB,2023,-4.55,5.71,2.7,0,0.88,3.48,-1.68,1.71,1.68,4.13,3.17,10
CRSN,2023,,,,,,,-8,-0.87,-4.39,-2.75,-8.49,32.99
CSAP,2019,0.92,4.55,2.61,0.85,-4.2,3.51,-13.56,-6.67,-3.36,-2.61,0,0.45
CSAP,2020,-2.67,-2.28,-11.68,-7.94,0.57,0,-5.71,-6.06,-1.29,4.58,8.13,11.56
CSAP,2021,-4.15,5.95,2.55,1.49,-9.8,10.33,2.96,27.99,2.8,0.91,-3.6,-8.41
CSAP,2022,03.06,-1.39,-0.8,15.38,0.88,4.35,15,27.54,-6.25,-1.21,-2.45,2.52
CSAP,2023,-10.43,4.11,1.97,-6.45,-4.83,0,-5.07,-0.76,-18.46,5.66,11.61,-3.2
CSIS,2019,43.67,-84.58,78.57,-10.4,-27.68,23.46,1,-9.9,6.59,0,-3.09,-8.51
CSIS,2020,-6.98,-37.5,0,0,0,0,2,-1.96,0,0,6,22.64
CSIS,2021,-12.31,0,36.84,17.95,-10.87,-9.76,-2.7,-1.39,35.21,6.25,43.14,3.42
CSIS,2022,-29.8,-11.32,-11.7,4.82,-5.75,-7.32,1.32,3.9,-6.25,0,-1.33,-2.7
CSIS,2023,-8.33,-6.06,-8.06,-5.26,7.41,3.45,3.33,-3.23,-3.33,-8.62,-3.77,0
CSMI,2020,,,,-8.16,5.56,8.42,0.97,0.96,45.71,69.93,-1.92,5.88
CSMI,2021,84.26,35.18,27.51,22.45,41.43,-2.69,23.88,-6.98,-1.8,5.81,2.89,2.25
CSMI,2022,1.37,-26.83,3.33,63.8,-18.6,-9.95,-5.97,0,0,0,0,0
CSMI,2023,0,0,0,0,0,0,0,0,0,0,-0.63,-7.99
CSRA,2020,332,5.56,-30.18,-31.66,-8.09,-6.4,33.33,17.95,-13.59,3.77,10.91,2.73
CSRA,2021,-25.53,8.57,-3.29,02.04,6.67,-10,11.11,-1.25,35.44,-7.94,21.32,4.6
CSRA,2022,19,25.21,-7.38,7.25,10.81,-14.63,2.14,-6.29,-8.21,0.81,-5.65,-2.56
CSRA,2023,6.14,09.09,-18.18,-2.78,-20,10.95,6.87,-0.8,2.23,1.98,-3.69,-4.84
CTBN,2019,0,0,0,0,0,0,0,0,0,-24.88,0,-2.48
CTBN,2020,0,-24.76,0,3.38,0,0,0,0,0,24.9,12.42,-6.4
CTBN,2021,-9.01,-8.87,42.32,-18.95,-8.77,22.78,-15.36,9.93,7.48,-9.28,-18.53,-5.88
CTBN,2022,9.58,-9.51,0.84,0.83,3.31,-2.8,-11.52,-11.63,-20.26,25.74,-19.69,4.25
CTBN,2023,11.6,-2.25,-24.14,-1.52,53.08,11.56,-3.15,-6.98,-28.75,-5.61,-10.78,19.58
CTRA,2019,-3.47,-10.26,14.29,13,-13.27,17.35,7.39,-11.34,-3.65,5.21,-9.46,3.48
CTRA,2020,-13.94,5.59,-53.02,22.75,5.5,06.09,7.38,17.56,-16.23,27.91,12.12,6.49
CTRA,2021,-8.63,28.33,-5.19,4.11,-5.7,-13.49,-6.99,1.16,6.86,14.97,-2.33,-7.62
CTRA,2022,-9.79,5.71,12.43,2.4,-7.51,-12.69,7.56,2.7,0,-1.05,7.45,-6.93
CTRA,2023,3.72,1.54,0.51,0,7.54,-0.93,5.19,2.24,-10.53,8.82,1.8,3.54
CTTH,2019,-5.04,-2.65,2.73,-2.65,-2.73,-4.67,-2.94,-1.01,-10.2,-4.55,-30.95,20.69
