Stock Code,Tahun,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Agu,Sep,Okt,Nov,Des
ADMR,2022,1170,-1.57,83.2,19.21,-18.32,-29.15,16.77,-7.05,4.96,-3.89,-5.78,3.99
ADMR,2023,-3.24,-20.73,-0.77,-14.73,-29.09,18.59,0,47.03,-4.04,-15.71,20.45,2.64
ADRO,2019,14.4,-5.76,2.67,-2.97,-0.77,05.02,-6.62,-11.42,14.67,1.55,-6.11,26.42
ADRO,2020,-21.22,-5.71,-14.29,-7.07,19.57,-9.55,09.05,0,4.61,-0.88,23.56,2.88
ADRO,2021,-16.08,-1.67,-0.42,5.96,-4.42,1.26,10.79,-5.62,39.68,-4.55,1.19,32.35
ADRO,2022,-0.44,9.38,9.8,24.16,-2.1,-12.54,13.64,8.92,11.86,0.51,-2.76,-0.52
ADRO,2023,-23.12,01.01,-3.01,7.93,-34.82,9.31,08.07,10.79,6.74,-10.18,2.34,-9.16
AEGS,2023,,,,,,,,,-36,-17.19,9.43,77.59
AGAR,2019,,,,,,,,,,,,260
AGAR,2020,-3.03,10.94,0.94,4.19,8.93,-0.41,2.47,2.41,-1.96,0,-10,-11.56
AGAR,2021,04.02,-0.48,-7.77,36.84,-17.31,-7.44,0,-5.53,-3.72,-4.42,-1.73,8.24
AGAR,2022,-3.26,5.62,-4.26,-7.22,4.19,-8.05,-1.88,-5.73,-1.35,02.05,02.01,-8.55
AGAR,2023,0.72,-3.57,-3.7,-3.85,6.4,-12.03,-23.5,-3.91,-1.16,-20.59,-13.33,-9.4
AGII,2019,-5.88,-4.69,-8.2,-1.79,-3.64,13.21,11.67,-8.21,0.81,-4.03,-1.68,18.8
AGII,2020,-15.11,-11.02,2.86,-18.89,-6.85,29.9,2.83,-8.62,-0.4,30.04,39.53,0
AGII,2021,44.44,4.62,-15.81,-2.62,-2.24,22.48,34.08,-26.54,21.67,-9.38,10.34,-5.31
AGII,2022,-5.94,01.05,11.46,41.43,-3.52,-1.83,10.7,-12.18,12.44,-12.77,10.73,-14.54
AGII,2023,2.58,5.53,-2.38,-6.83,0.52,-2.08,05.05,-5.06,-5.07,-11.52,-6.03,2.7
AGRO,2019,09.03,-0.59,-4.76,1.25,-12.96,3.55,-4.11,-7.14,-16.15,-1.83,-34.58,41.43
AGRO,2020,-22.73,-27.45,-11.71,01.02,21.21,1.67,90.16,63.79,-18.95,20.78,45.16,91.67
AGRO,2021,-22.22,68.32,-24.72,-9.8,0,111.41,28.53,-6,-4.68,-5.8,0.95,-15.02
AGRO,2022,-29.56,9.8,-11.43,-14.92,-10.43,-25.4,19.86,-16.57,-21.99,8.18,-20,-15.13
AGRO,2023,8.91,-8.18,-4.46,10.36,-17.37,09.09,0.52,-9.33,-13.14,-26.32,31.25,5.44
AGRS,2019,68.91,-9.95,-11.6,-3.75,1.3,-3.85,-13.33,-23.08,-12,1.14,-8.43,-17.18
AGRS,2020,16.3,-1.27,-6.45,-28.97,2.91,-9.43,61.46,22.58,-6.32,-2.81,-9.83,30.77
AGRS,2021,2.94,70.48,12.29,-15.92,43.2,-54.55,20,2.27,-23.7,-2.91,-11.5,-6.21
AGRS,2022,-5.42,-5.73,-1.35,-14.38,1.6,-5.51,-1.67,-0.85,-23.08,5.56,5.26,-10
AGRS,2023,1.11,-1.1,-6.67,2.38,-2.33,9.52,2.17,-5.32,-3.37,-5.81,6.17,-3.49
AHAP,2019,-18.82,0,-5.8,-1.54,-7.81,0,-5.08,-3.57,22.22,4.55,-14.49,1.69
AHAP,2020,-3.33,-12.07,-1.96,0,14,-12.28,6,3.77,-7.27,11.76,1.75,20.69
AHAP,2021,-17.14,6.9,25.81,-8.97,-7.04,-4.55,-6.35,0,18.64,-7.14,0,13.85
AHAP,2022,-8.11,-2.94,03.03,-5.88,-3.12,-9.68,89.29,20.75,-33.59,11.76,-14.74,-4.94
AHAP,2023,-19.48,16.13,-25,-1.85,3.77,3.64,0,61.4,17.39,-3.7,-10.58,0
AIMS,2019,0,0,0,0,0,0,0,0,0,0,0,0
AIMS,2020,0,0,0,0,0,0,0,-13.89,-3.87,-12.08,17.56,-3.9
AIMS,2021,0,-6.76,46.38,121.78,-0.45,-19.73,17.32,-17.14,-8.62,57.23,-2.8,-17.28
AIMS,2022,-7.96,-3.78,-21.35,-5,-0.75,-4.55,-0.79,-0.8,-2.42,-6.61,0,-8.85
AIMS,2023,36.89,4.96,-4.05,-4.23,-18.38,-5.41,76.19,-22.7,-2.8,17.99,29.27,102.83
AISA,2019,0,0,0,0,0,0,0,0,0,0,0,0
AISA,2020,0,0,0,0,0,0,0,-6.55,36.31,0,32.71,37.32
AISA,2021,-38.46,29.17,-11.61,5.84,-18.62,-17.8,6.19,-0.97,-0.98,8.91,-5.45,-7.69
AISA,2022,-8.85,9.14,-4.19,-4.92,-12.64,-2.63,-4.05,3.52,11.56,6.1,-4.02,-14.37
AISA,2023,3.5,4.73,-2.58,-1.32,-4.7,0,2.11,-8.97,-11.36,12.82,17.42,-7.1
AKKU,2019,0,0,0,0,0,0,0,0,0,0,0,0
AKKU,2020,0,0,0,0,0,0,0,0,0,0,0,0
AKKU,2021,0,0,0,0,0,0,0,0,0,0,0,0
AKKU,2022,0,0,0,0,0,0,0,0,0,0,0,0
AKKU,2023,0,0,0,0,0,0,0,0,0,0,0,0
AKPI,2019,-4,-5.56,-11.03,-2.48,-18.31,-8.71,-1.36,-0.92,-6.98,-5,-7.37,5.11
AKPI,2020,-8.11,8.24,-30.43,59.38,-7.35,-16.93,-7.01,6.16,-9.68,2.14,30.07,49.19
AKPI,2021,-17.12,7.39,-12.55,31.94,-7.02,10.38,11.11,-3.85,-5.6,31.36,10.97,31.4
AKPI,2022,-3.54,-6.42,-2.45,-4.52,83.68,-14.61,-1.34,04.08,6.86,-9.17,-12.46,-6.15
AKPI,2023,-1.23,-0.83,4.6,-4.4,-13.81,-5.34,01.03,-4.06,-15.87,-9.43,-0.69,3.5
AKRA,2019,22.38,5.71,-14.95,-5.72,-10.56,2.76,-2.2,6.75,-11.01,4.21,-14.14,16.18
AKRA,2020,-16.2,-19.94,-25.47,21.52,-2.08,08.09,13.39,0.69,-12.07,5.1,8.58,9.28
AKRA,2021,-10.69,18.66,-4.45,1.55,-0.92,-2.78,14.29,08.06,12.08,-2.06,-7.03,3.53
AKRA,2022,-82.24,3.42,20.53,17.58,4.67,-8.04,21.36,-4,12.5,15.56,-11.22,01.08
AKRA,2023,-6.43,5.73,11.91,4.52,-15.74,04.03,-2.46,01.08,10.36,-3.56,-3.69,2.79
AKSI,2019,-2.03,-0.52,-8.85,-15.43,-13.51,9.38,22.14,4.68,101.12,15.28,18.07,16.84
AKSI,2020,-61.4,-33.48,-17.01,-31.15,-30.36,365.81,-50.46,2.96,05.04,23.29,9.44,05.08
AKSI,2021,43.72,23.53,02.04,-5.33,-11.97,-22.24,-13.17,0.47,-4.72,22.28,-15.79,112.74
AKSI,2022,-30.51,-7.32,-18.25,-41.2,18.25,-11.11,-4.86,10.95,3.95,-7.59,6.85,-7.05
AKSI,2023,-1.38,-4.2,-4.38,-11.45,-4.31,-7.21,-1.94,-15.84,0,-1.76,-4.79,-11.32
ALDO,2019,0,14.18,-55.82,3.55,1.14,3.95,8.7,-7,2.69,0,5.24,6.47
ALDO,2020,7.48,4.35,-2.92,-9.87,-2.38,-10.73,6.56,-3.08,4.23,6.6,-7.14,46.15
ALDO,2021,-18.25,-3.43,11.11,66,7.83,-22.91,-7.97,17.32,5.37,-5.1,36.91,-1.96
ALDO,2022,31,-15.65,-5.43,-8.61,0,-10.99,-4.71,-13.58,-6.43,23.66,0.62,-1.23
ALDO,2023,1.24,-1.84,-9.38,-4.83,-11.59,-1.64,13.33,-0.74,10.37,-1.34,11.56,13.41
ALKA,2019,24.67,20.32,-11.56,1.51,-4.95,-1.04,15.79,18.18,-15,12.67,4.42,-19.62
ALKA,2020,-2.87,-26.11,24.67,14.44,-6.54,7.5,-16.28,-24.44,-16.18,-7.89,37.14,-9.03
ALKA,2021,-6.11,-5.69,6.9,-3.23,0.83,1.65,-8.13,-1.77,8.11,2.5,-0.81,4.92
ALKA,2022,12.5,-3.47,4.32,3.45,3.33,-3.23,-2.67,-0.68,0,0.69,-8.22,-0.75
ALKA,2023,58.65,-11.37,-10.16,15.48,-7.22,-0.56,143.02,-24.71,-1.53,-16.28,-1.85,-8.3
ALMI,2019,37.5,09.09,25.83,-36.16,3.73,-4,5.21,-4.95,-21.25,-0.53,-22.87,23.45
ALMI,2020,-2.23,-42.86,4,15.38,-10.83,6.54,-9.65,2.91,-6.13,20.6,4.17,-0.8
ALMI,2021,04.03,1.55,-9.16,0.84,0,0,12.5,-8.89,-3.25,-1.68,5.13,21.95
ALMI,2022,-4,0,-5.56,2.94,1.43,4.93,0.67,10,18.79,-13.78,-18.93,-0.73
ALMI,2023,-1.47,-5.22,-0.79,-2.38,-1.63,-6.61,-1.77,-3.6,0,-2.8,9.62,-15.79
ALTO,2019,-5,3.68,0.51,-1.52,1.54,-1.52,-1.54,-1.04,0,0,-0.53,5.29
ALTO,2020,-2.01,2.56,-0.5,-1.01,0.51,-2.53,-11.92,1.76,-13.29,3.33,-4.52,04.05
ALTO,2021,10.39,1.18,4.65,-10,11.11,2.78,-11.35,-0.61,-1.23,-6.21,-7.28,0
ALTO,2022,-4.29,-0.75,-18.05,-3.67,-2.86,-2.45,-3.02,-1.04,-5.24,-11.6,-30,-55.36
ALTO,2023,0,0,0,0,0,0,0,0,0,0,0,0
AMAG,2019,-4.91,-3.23,0.67,-0.66,5.33,0,-2.53,0,-0.65,1.31,-2.58,-1.99
AMAG,2020,2.7,-1.32,-1.33,-3.38,-6.29,2.24,-9.49,-16.94,-5.83,0.52,7.69,7.62
AMAG,2021,0,1.77,6.96,13.82,5.71,12.16,-18.07,12.5,8.5,0.6,4.19,-3.45
AMAG,2022,8.93,01.09,4.86,01.03,2.55,6.47,-16.36,1.68,-0.55,1.1,0.55,-2.17
AMAG,2023,2.22,3.8,-1.05,0.53,-1.58,-3.21,-4.97,-0.58,-0.58,-2.35,-8.43,-4.61
AMAN,2020,,,127.27,-21.2,-3.55,3.16,0,25.51,13.82,-7.86,18.6,1.96
AMAN,2021,3.21,-8.7,-0.68,-1.37,-0.69,17.48,28.57,4.63,-0.88,8.48,09.05,-0.94
AMAN,2022,0,0,0,0,-0.95,-2.88,0,27.72,7.75,3.6,-2.78,0.71
AMAN,2023,0,-4.96,-54.93,-26.49,-13.51,-29.69,-9.63,2.46,1.6,21.26,-18.83,-4
AMAR,2020,148.28,-50,-10.65,-11.4,14.04,49.74,28.08,-3.74,-16.67,1.33,4.61,-10.69
AMAR,2021,-13.38,9.76,5.93,-2.8,-5.76,-6.11,17.89,4.14,-9.27,4.38,4.9,29.33
AMAR,2022,34.02,-32.69,14.86,0,-17.91,-8.48,-2.65,-7.48,-8.09,25.6,22.29,-39.58
AMAR,2023,-0.86,27.83,04.08,-1.96,0,-3.33,3.45,-10.67,8.96,8.22,-1.9,3.23
AMFG,2019,24.12,4.8,14.58,2.73,-3.54,-5.96,3.41,-5.66,-14.8,-6.1,-15.5,1.48
AMFG,2020,-2.92,-9.91,-16.67,17.2,6.48,5.77,-18.18,-5.19,-8.98,2.58,12.97,0
AMFG,2021,3.7,18.93,11.11,2.7,15.79,-18.86,4.48,05.09,-1.79,-5.19,24.66,-2.42
AMFG,2022,-3.15,13.95,15.82,16.3,9.47,-17.99,0,-3.8,-14.04,18.88,2.58,-7.11
AMFG,2023,-0.45,04.07,-10.43,0.97,-2.4,5.42,14.95,-10.16,-0.45,4.55,2.17,0.43
AMIN,2019,6.54,5.7,-18.67,10.2,-7.41,-7.5,-3.24,-7.26,-11.45,12.24,-3.64,-1.89
AMIN,2020,30.13,-9.36,-22.83,40.85,0,-34,1.52,-7.46,10.48,9.49,-6.67,-8.57
AMIN,2021,3.91,-10.53,-13.45,-3.88,-1.01,7.14,-6.19,-2.03,-2.59,9.57,3.88,-11.21
AMIN,2022,3.16,-13.27,-4.12,-11.04,-4.14,-5.76,-1.53,-6.98,9.17,03.05,-13.33,-10.26
AMIN,2023,56.19,-28.66,-12.82,13.73,15.52,-13.43,7.76,3.2,-3.88,7.26,28.57,-6.43
AMMN,2023,,,,,,,65.78,61.21,30.79,9.7,10.77,-9.03
AMMS,2022,,,,,,,,35,-20,-49.07,-9.09,-14
AMMS,2023,-4.65,-9.76,51.35,-5.36,-13.21,-8.7,-9.52,7.89,7.32,-11.36,12.82,-9.09
AMOR,2020,42.11,-15.93,4.85,-10.08,-7.24,1.76,-2.48,7.61,-1.42,8.61,14.98,11.49
AMOR,2021,9.28,-2.2,07.07,19.52,0,-12.06,-6.57,12.54,-0.27,2.45,6.91,-53.48
AMOR,2022,-6.42,-2.57,-3.23,-2.42,-3.42,-13.18,0,-9.63,6.15,-19.69,26.92,1.14
AMOR,2023,4.49,-20.79,1.36,10.71,-7.66,-2.62,-1.79,-2.28,-13.08,2.69,2.62,0
AMRT,2019,-13.9,2.48,09.09,13.89,-9.27,-1.61,4.92,-7.29,11.8,-10.05,-5.03,3.53
AMRT,2020,-9.09,-3.12,3.23,8.75,4.6,-12.64,-6.92,-3.38,-6.99,2.26,4.41,12.68
AMRT,2021,-2.5,30.77,-11.76,5.56,-4.74,38.12,8,0,2.22,-13.41,-1.26,2.97
AMRT,2022,-4.12,-6.44,39.45,12.5,6.43,12.09,-8.09,16.27,9.63,17.99,9.57,-14.24
AMRT,2023,6.79,2.47,-0.69,0.69,-8.97,-2.27,4.65,7.41,02.07,-2.36,-0.69,02.09
ANDI,2019,-4.75,-14.17,07.03,-7.43,9.26,13.56,4.48,4.29,-10.96,-17.95,-95.94,-23.08
ANDI,2020,0,0,0,0,0,0,0,0,0,0,0,6
ANDI,2021,-1.89,-3.85,0,0,0,0,0,0,0,0,0,0
ANDI,2022,0,0,0,0,0,0,0,0,0,0,0,0
ANDI,2023,0,0,0,0,0,0,0,0,0,0,0,0
ANJT,2019,-8.7,-2.86,-0.98,-7.92,-1.61,-0.55,-1.1,-12.78,4.46,0,9.15,11.73
ANJT,2020,-13.5,-16.76,-15.28,-18.03,-13.6,12.96,21.93,-9.24,-8.89,19.92,10.17,13.08
ANJT,2021,-12.93,3.91,-1.5,1.53,6.77,-7.75,-3.05,11.81,3.52,14.97,14.79,02.06
ANJT,2022,4.55,0.48,-1.92,-5.88,3.12,-12.12,-2.3,-1.76,-13.17,3.45,-4,-7.64
ANJT,2023,5.26,7.86,-9.93,2.21,-2.88,5.19,14.08,-4.94,1.3,-5.77,-2.72,4.2
ANTM,2019,26.14,5.18,-12.81,-2.26,-16.18,16.55,10.65,14.44,-8.88,-8.72,-15.73,12
ANTM,2020,-14.29,-20.14,-21.74,13.33,4.9,13.08,20.66,12.33,-14.02,49.65,8.53,69
ANTM,2021,14.73,27.93,-20.77,10.67,-1.61,-6.12,9.57,-5.16,-4.18,2.18,-1.71,-2.17
ANTM,2022,-21.33,25.42,9.91,6.56,-3.46,-28.29,8.61,1.79,-2.51,-4.9,7.59,0
ANTM,2023,16.37,-13.85,05.03,0.48,-9.76,2.9,1.79,0.25,-8.79,-6.06,02.05,-2.01
APEX,2019,-38.39,15.94,-22.5,-1.61,-8.2,-16.67,0,-25,11.43,-22.74,-26.99,4.85
APEX,2020,-27.75,-48,23.08,-16.25,-33.58,126.97,-18.32,-13.33,-6.29,19.4,3.12,148.48
APEX,2021,74.39,-26.57,17.14,66.67,-23.9,-18.59,-0.79,-15.87,1.89,2.78,-3.6,58.88
APEX,2022,-27.65,13.01,-17.99,-17.54,-6.81,-21.46,-4.07,6.67,-0.57,-0.57,-12.07,-44.44
APEX,2023,12.35,-12.57,-8.38,-8.5,7.14,3.33,20,-16.67,48.39,-9.57,0,-20.19
APIC,2019,-1.85,-4.72,10.89,5.36,-11.86,10.58,14.78,5.3,7.91,-2.67,-11.64,6.98
APIC,2020,1.45,0,2.86,6.94,34.42,-18.36,-1.18,5.39,-3.41,4.71,-6.74,-5.42
APIC,2021,-1.27,5.81,-9.15,-1.34,1.36,11.41,0.6,4.19,-1.72,13.45,12.37,2.29
APIC,2022,-5.38,9.48,-8.23,3.3,5.48,-12.55,6.44,11.16,-6.28,2.23,-2.18,0.89
APIC,2023,-0.44,0,8.89,3.67,-12.6,-1.35,-0.91,2.3,-1.35,-0.46,05.05,0
APII,2019,-2.15,1.1,3.26,-7.89,-1.14,-1.16,-1.17,-2.37,5.45,4.6,-1.1,2.22
APII,2020,18.48,0,0.92,-9.55,10.55,-8.18,14.85,-32.76,-7.69,7.64,2.58,-3.14
APII,2021,10.39,2.35,0.57,2.29,4.47,-1.07,-5.95,3.45,1.67,-1.09,2.76,18.28
APII,2022,-8.18,-4.46,-6.22,17.13,-3.77,0,-5.88,2.6,-4.06,7.94,0,-3.43
APII,2023,-0.51,0,-1.53,-0.52,0.52,-2.07,01.06,0.52,0.52,-0.52,02.08,-4.59
APLI,2019,11.9,-6.38,-3.41,-1.18,7.14,8.89,22.45,0,-18.33,22.45,29.17,15.48
APLI,2020,-5.59,-17.75,0.72,-8.57,8.59,-24.46,11.43,-1.71,-6.96,16.82,12.8,40.43
APLI,2021,-4.04,2.11,4.12,-2.97,03.06,-1.98,01.01,5,-0.95,-1.92,5.88,-4.63
APLI,2022,-4.37,0,4.57,-0.97,-3.43,-3.55,11.58,-3.77,5.88,14.81,-22.58,45.83
APLI,2023,-7.86,16.28,3.33,3.87,5.59,18.24,29.35,0.96,2.86,4.63,-0.88,7.14
APLN,2019,25,-5.79,-3.35,0,-4.62,45.45,-15.83,-7.92,36.56,-15.75,-18.22,1.14
APLN,2020,-18.64,-9.72,-30.77,16.67,-6.67,16.33,2.63,0,-18.8,16.84,52.25,11.24
APLN,2021,-17.02,12.18,-10.29,-2.55,-3.27,-8.11,-5.15,-4.65,6.5,5.34,-6.52,-5.43
APLN,2022,-6.56,0.88,2.61,-3.39,-3.51,0,0.91,7.21,05.04,23.2,5.19,-4.94
APLN,2023,-3.25,1.34,-8.61,-2.9,0.75,4.44,12.77,-10.06,5.59,-11.26,-5.22,1.57
APOL,2019,0,0,0,0,0,-13.79,0,0,0,0,0,0
APOL,2020,0,0,0,0,,,,,,,,
ARCI,2021,,,,,,0,-13.33,-5.38,-8.13,7.96,-9.84,2.73
ARCI,2022,-17.17,5.56,-3.24,-17.57,-3.05,-15.71,3.73,9.58,-8.2,-4.17,4.35,-1.19
ARCI,2023,0.6,-1.2,03.03,0.59,-4.68,4.91,1.75,1.72,-3.95,14.71,-3.08,7.94
ARGO,2019,0,0,0,0,0,0,0,0,0,0,0,0
ARGO,2020,0,0,0,0,0,-1.82,83.33,13.8,-2.37,-1.21,22.09,-1.76
ARGO,2021,-8.95,1.4,-21.33,42.25,-29.46,0,29.12,-0.54,-7.1,0.29,-12.02,9.33
