No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--M-1M3EM00000D232------------,8775,0,27 May 2021,0,8950,8800,8825,50,1860900,16490987500,1402,716.9,8850,2800,8825,103800,1924688333,1924688333,1924688333,381400,350700,0,0,0
2,ABBA,Mahaka Media Tbk.,--U-2100000000E614-E----------,222,0,27 May 2021,0,242,222,234,12,76829400,18017770400,4920,410.5,236,1397100,234,881100,2755125000,2755125000,2755125000,2759400,5471400,0,0,0
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U-2105000000G412------------,7050,0,27 May 2021,0,0,0,7050,0,0,0,0,1609.5,7050,3600,0,0,620806680,620806680,620806680,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,--U-1105000000C311------------,820,0,27 May 2021,0,825,780,785,-35,175200,141013500,99,20.9,790,500,785,31800,2753165000,2753165000,2753165000,0,800,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,--MO1U7PMN0000E743------------,1410,1425,27 May 2021,1425,1470,1415,1470,60,13263700,19220790000,2427,1792.7,1470,162500,1455,15000,17150000000,17150000000,17150000000,6581600,11831700,5905212,8367524160,3
6,ACST,Acset Indonusa Tbk.,--U-1105000000J211------------,234,0,27 May 2021,0,244,234,242,8,9837700,2364187400,1312,17.9,242,100300,240,421900,6425160000,6425160000,6425160000,945000,2610200,0,0,0
7,ADES,Akasha Wira International Tbk.,--U-2130000000D212------------,1885,0,27 May 2021,0,2050,1875,2000,115,867500,1706367500,443,103.9,2000,40600,1970,2100,589896800,589896800,589896800,10000,0,0,0,0
8,ADHI,Adhi Karya (Persero) Tbk.,--M-1135400000J211------------,1000,0,27 May 2021,0,1025,985,990,-10,11758600,11744506500,2470,777.5,990,575000,985,550700,3560849376,3560849376,3560849376,6746900,481900,2000,2500000,1
9,ADMF,Adira Dinamika Multi Finance Tbk.,--U-110F000000G211------------,8025,0,27 May 2021,0,8075,7950,8000,-25,26200,210005000,84,344.1,8050,2500,8025,900,1000000000,1000000000,1000000000,200,0,0,0,0
10,ADMG,Polychem Indonesia Tbk,--U-1130000000B111------------,158,0,27 May 2021,0,162,158,160,2,616400,98804100,137,14.3,160,221500,159,61500,3889179559,3889179559,3889179559,0,0,0,0,0
