No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--M-1M3EM2000012--------------,13000,0,06 Jan 2021,0,13350,12275,12750,-250,5823000,74990907500,6010,1035.8,12750,442800,12725,1100,1924688333,1924688333,1924688333,351300,392500,479900,6228426500,18
2,ABBA,Mahaka Media Tbk.,--U-210000000095---E----------,78,0,06 Jan 2021,0,81,76,77,-1,32318400,2533973300,1138,135.1,78,124100,77,1073200,2755125000,2755125000,2755125000,1530000,13500,0,0,0
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U-210500000084--------------,5575,0,06 Jan 2021,0,0,0,5575,0,0,0,0,1272.8,5975,100,0,0,620806680,620806680,620806680,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,--U-110500000098--------------,765,0,06 Jan 2021,0,765,750,750,-15,518800,393915000,93,20.0,750,100000,745,33100,2753165000,2753165000,2753165000,0,0,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,--MO1UKPMN000093--------------,1760,1760,06 Jan 2021,1760,1780,1690,1730,-30,14464700,25337072000,6104,2109.8,1750,500,1730,899600,17150000000,17150000000,17150000000,3376200,8345300,50,88750,1
6,ACST,Acset Indonusa Tbk.,--U-110000000062--------------,434,0,06 Jan 2021,0,458,424,436,2,114451700,50678596800,6744,32.2,438,333200,436,773700,6425160000,6425160000,6425160000,12606100,9750700,0,0,0
7,ADES,Akasha Wira International Tbk.,--U-213000000051--------------,1485,0,06 Jan 2021,0,1485,1440,1470,-15,74600,108828000,79,76.4,1475,3200,1450,1700,589896800,589896800,589896800,0,0,0,0,0
8,ADHI,Adhi Karya (Persero) Tbk.,--M-183580000062--------------,1675,0,06 Jan 2021,0,1810,1580,1795,120,135375600,233946496500,18549,1409.7,1795,1789300,1790,236200,3560849376,3560849376,3560849376,6389600,18914100,1082500,1870395000,2
9,ADMF,Adira Dinamika Multi Finance Tbk.,--U-110F00000082--------------,8750,0,06 Jan 2021,0,8850,8725,8725,-25,125100,1099907500,228,375.3,8750,2000,8725,2800,1000000000,1000000000,1000000000,400,0,0,0,0
10,ADMG,Polychem Indonesia Tbk,--U-113000000034--------------,206,0,06 Jan 2021,0,208,192,200,-6,22007600,4316007100,2172,17.9,202,27300,200,536700,3889179559,3889179559,3889179559,0,0,0,0,0
11,ADRO,Adaro Energy Tbk.,--MO1XDCU1000021--------------,1425,1415,06 Jan 2021,1410,1420,1340,1375,-50,203948800,282095829000,24746,125.0,1380,431900,1375,3427000,31985962000,31985962000,31985962000,59132700,50720500,2814445,3953071440,9
12,AGAR,Asia Sejahtera Mina Tbk.,--U-213000000091--------------,440,0,06 Jan 2021,0,438,410,422,-18,1300,559200,7,383.6,410,7100,0,0,1000000000,1000000000,1000000000,0,0,0,0,0
13,AGII,Aneka Gas Industri Tbk.,--M-113500000034--------------,945,0,06 Jan 2021,0,1010,945,1000,55,2396200,2384857000,586,90.9,1000,969000,995,108000,3066660000,3066660000,3066660000,554000,6600,0,0,0
14,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,--M-110500000081--------------,1040,0,06 Jan 2021,0,1200,1040,1135,95,526373900,593765081500,38907,1854.3,1140,608600,1135,1811800,21129857328,21129857328,21129857328,13381700,12659300,200001,217000200,2
15,AGRS,Bank IBK Indonesia Tbk.,--U-210500000081--------------,198,0,06 Jan 2021,0,206,195,202,4,388600,77414700,104,183.6,202,7800,200,500,11154923542,11154923542,11728776913,0,36000,0,0,0
16,AHAP,Asuransi Harta Aman Pratama Tbk.,--U-210000000084--------------,62,0,06 Jan 2021,0,60,58,58,-4,212800,12347900,66,218.7,58,39600,0,0,2940000000,2940000000,2940000000,0,0,0,0,0
17,AIMS,Akbar Indo Makmur Stimec Tbk,--U-213000000091--------------,139,0,06 Jan 2021,0,159,139,139,0,4100,577700,16,111.2,139,1700,134,1000,220000000,220000000,220000000,0,0,0,0,0
18,AISA,Tiga Pilar Sejahtera Food Tbk.,--U-110000000051---E----------,376,0,06 Jan 2021,0,392,364,376,0,52896900,20113555800,3268,45.8,378,716200,376,80400,9311800000,9311800000,9311800000,6177000,4851400,300000,75000000,1
19,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-213000000094--------------,50,0,06 Jan 2021,0,50,50,50,0,2600,130000,9,75.9,50,2858300,0,0,6449463636,6449463636,6449463636,0,0,0,0,0
20,AKPI,Argha Karya Prima Industry Tbk.,--U-213000000035--------------,550,0,06 Jan 2021,0,550,520,550,0,6500,3410000,10,72.6,550,1100,520,3400,680000000,680000000,680000000,0,0,0,0,0
21,AKRA,AKR Corporindo Tbk.,--MO1X3XM4000091--------------,3230,3280,06 Jan 2021,3280,3330,3140,3180,-50,33896800,110090924000,4493,2534.5,3190,95500,3180,79000,4014694920,4014694920,4014694920,1052100,1587300,88000,280632000,1
22,AKSI,Maming Enam Sembilan Mineral Tbk.,--U-213000000074--------------,450,0,06 Jan 2021,0,456,434,456,6,260700,114975000,73,228.0,456,32500,454,20000,720000000,720000000,720000000,0,0,0,0,0
23,ALDO,Alkindo Naratama Tbk.,--U-213000000038--------------,530,0,06 Jan 2021,0,530,498,498,-32,427000,224026500,16,365.0,494,200,0,0,1100000000,1100000000,1100000000,0,0,0,0,0
24,ALKA,Alakasa Industrindo Tbk,--U-213000000033--------------,248,0,06 Jan 2021,0,304,238,240,-8,30500,7928600,47,40.4,278,300,240,400,507665055,507665055,507665055,0,0,0,0,0
25,ALMI,Alumindo Light Metal Industry Tbk.,--U-210000000033---E----------,250,0,06 Jan 2021,0,260,236,260,10,7900,1918200,16,40.0,260,500,242,10200,616000000,616000000,616000000,0,0,0,0,0
26,ALTO,Tri Banyan Tirta Tbk.,--U-110000000051--------------,310,0,06 Jan 2021,0,310,292,310,0,500,153200,2,154.9,302,55300,300,5000,2191870558,2191870558,2191870558,0,0,0,0,0
27,AMAG,Asuransi Multi Artha Guna Tbk.,--U-210500000084--------------,230,0,06 Jan 2021,0,234,226,230,0,321900,72996400,49,219.0,230,14800,228,6000,5001552516,5001552516,5001552516,0,267900,0,0,0
28,AMAN,Makmur Berkah Amanda Tbk.,--U-113000000061--------------,314,0,06 Jan 2021,0,316,314,316,2,210400,66076000,19,287.3,316,123900,314,36800,3873500000,3873500000,3873500000,0,0,0,0,0
29,AMAR,Bank Amar Indonesia Tbk.,--U-210500000081--------------,294,0,06 Jan 2021,0,294,280,280,-14,15800,4483400,25,160.9,288,4600,282,300,7954749000,7954749000,7954749000,0,0,0,0,0
30,AMFG,Asahimas Flat Glass Tbk.,--U-110500000032--------------,2700,0,06 Jan 2021,0,2700,2700,2700,0,9000,24300000,5,110.2,2800,100,2700,2000,434000000,434000000,434000000,0,0,0,0,0
31,AMIN,Ateliers Mecaniques D Indonesie Tbk.,--U-213000000041--------------,270,0,06 Jan 2021,0,270,270,270,0,800,216000,3,210.9,270,18500,260,8400,1080000000,1080000000,1080000000,0,0,0,0,0
32,AMOR,Ashmore Asset Management Indonesia Tbk.,--U-210500000083--------------,2970,0,06 Jan 2021,0,2990,2960,2960,-10,622500,1848988000,336,155.8,2970,8000,2960,11000,1111111200,1109269200,1111111200,100,0,0,0,0
33,AMRT,Sumber Alfaria Trijaya Tbk.,--M-110500000093--------------,785,0,06 Jan 2021,0,800,740,780,-5,1461800,1135103000,505,1990.4,785,28900,780,100,41524501700,41524501700,41524501700,35400,437300,0,0,0
34,ANDI,Andira Agro Tbk.,--U-213000000012--------------,51,0,06 Jan 2021,0,61,50,59,8,265614100,15070469900,6397,147.5,59,2444000,58,2112100,9350000000,9350000000,9350000000,1882800,0,0,0,0
35,ANJT,Austindo Nusantara Jaya Tbk.,--U-113500000012--------------,735,0,06 Jan 2021,0,735,710,710,-25,22000,15766000,38,59.2,725,200,710,8600,3354175000,3354175000,3354175000,0,0,0,0,0
36,ANTM,Aneka Tambang Tbk.,--MO1SDWV0000023--------------,2230,2270,06 Jan 2021,2280,2290,2130,2220,-10,629211500,1399320285000,80942,1463.7,2220,1479000,2210,2643600,24030764725,24030764725,24030764725,30640900,24094300,1761957,3701395120,10
37,APEX,Apexindo Pratama Duta Tbk.,--U-210000000022--------------,370,0,06 Jan 2021,0,462,372,462,92,374800,170285400,257,29.6,0,0,462,213200,2659850000,2659850000,2659850000,0,0,0,0,0
38,APIC,Pacific Strategic Financial Tbk.,--U-210500000089--------------,810,0,06 Jan 2021,0,815,785,795,-15,10149400,8088600000,1606,845.6,800,10600,795,72900,11766313488,11766313488,11766313488,245500,140200,300000,244500000,1
39,APII,Arita Prima Indonesia Tbk.,--U-213000000091--------------,158,0,06 Jan 2021,0,160,158,158,0,281500,44477600,18,71.8,160,50300,158,2100,1075760000,1075760000,1075760000,0,0,0,0,0
40,APLI,Asiaplast Industries Tbk.,--U-113000000035--------------,200,0,06 Jan 2021,0,200,188,188,-12,378600,72758300,34,156.7,193,20900,186,50400,1362671400,1362671400,1362671400,0,0,0,0,0
41,APLN,Agung Podomoro Land Tbk.,--M-180550000061--------------,194,0,06 Jan 2021,0,210,183,210,16,227803000,45962090900,5688,57.5,212,2459200,210,9564100,22699326779,22699326779,23351383226,11657600,6932600,0,0,0
42,ARGO,Argo Pantes Tbk,--U-210000000043---E----------,1830,0,06 Jan 2021,0,1900,1705,1880,50,6600,11923000,17,47.2,1880,100,1875,100,335557450,335557450,335557450,500,0,0,0,0
43,ARII,Atlas Resources Tbk.,--U-213500000021--------------,378,0,06 Jan 2021,0,398,352,352,-26,497400,176639000,104,23.5,352,18200,0,0,3000000000,3000000000,3000000000,0,0,0,0,0
44,ARKA,Arkha Jayanti Persada Tbk.,--U-210000000041--------------,63,0,06 Jan 2021,0,65,59,60,-3,19846000,1217236300,1310,25.4,60,373900,59,2301200,2000000000,2000000000,2000000000,0,0,0,0,0
45,ARMY,Armidian Karyatama Tbk.,--U-210000000061-----L--------,50,0,06 Jan 2021,0,0,0,50,0,0,0,0,16.7,0,0,0,0,9006250000,9006250000,9006250000,0,0,0,0,0
46,ARNA,Arwana Citramulia Tbk.,--M-113500000032--------------,660,0,06 Jan 2021,0,665,640,655,-5,1684500,1102262500,115,4451.8,660,634100,650,69500,7341430976,7341430976,7341430976,797100,0,0,0,0
47,ARTA,Arthavest Tbk,--U-210000000094--------------,256,0,06 Jan 2021,0,260,260,260,4,600,156000,2,150.8,300,2500,262,2200,446674175,446674175,446674175,0,0,0,0,0
