No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--S-11AE106000D232------------,6975,0,16 Apr 2024,0,6950,6775,6800,-175,1073000,7313650000,883,552.4,6800,83000,6775,70100,1924688333,1924688333,390711732,256100,135500,0,0,0
2,ABBA,Mahaka Media Tbk.,--U-4100000000E614-E---------X,35,0,16 Apr 2024,0,34,33,33,-2,2068300,69047000,92,72.9,33,272700,32,132100,3935892857,3935892857,1342139464,0,0,0,0,0
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U-4105000000G412-----------X,5000,0,16 Apr 2024,0,0,0,5000,0,0,0,0,1141.5,4990,200,0,0,620806680,620806680,31474899,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,--S-1805000000A121------------,4040,0,16 Apr 2024,0,4140,4000,4060,20,5063100,20758809000,2324,108.3,4080,18600,4060,139800,2753165000,2753165000,568803889,2401100,836100,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,--SO1SK5MD0000E743------------,950,935,16 Apr 2024,930,935,885,910,-40,96657400,87882955500,6812,1109.8,915,344900,910,1256300,17150000000,17150000000,6832560000,59540600,42528700,24940300,22670410500,5
6,ACRO,Samcro Hyosung Adilestari Tbk.,--U-2130000000E413------------,93,0,16 Apr 2024,0,95,85,92,-1,2724300,248546400,451,85.2,93,472800,92,29500,3469138591,731863096,746211711,54100,369700,0,0,0
7,ACST,Acset Indonusa Tbk.,--U-1135000000J211------------,134,0,16 Apr 2024,0,134,125,129,-5,3561600,462708500,447,9.5,131,46200,129,1062300,12675160000,12675160000,1560312196,362900,75600,0,0,0
8,ADCP,Adhi Commuter Properti Tbk.,--U-1135000000H111------------,50,0,16 Apr 2024,0,50,50,50,0,134900,6745000,104,38.5,50,29160600,0,0,22222222200,22222222200,2222222220,0,0,0,0,0
9,ADES,Akasha Wira International Tbk.,--U-4135000000D212-----------X,9600,0,16 Apr 2024,0,9575,9425,9425,-175,30500,288735000,51,489.6,9450,3800,9425,200,589896800,589896800,48961434,0,0,0,0,0
10,ADHI,Adhi Karya (Persero) Tbk.,--S-180M700000J211------------,282,0,16 Apr 2024,0,282,274,276,-6,18177900,5025910800,1990,237.5,278,262000,276,3900,8407608979,8407608979,2998994123,1650300,176600,0,0,0
11,ADMF,Adira Dinamika Multi Finance Tbk.,--U-1105000000G211------------,14275,0,16 Apr 2024,0,14225,12400,13200,-1075,1275600,16518867500,1424,567.7,13200,49900,13000,11200,1000000000,1000000000,79200000,208300,276500,0,0,0
12,ADMG,Polychem Indonesia Tbk,--U-1130000000B111------------,131,0,16 Apr 2024,0,131,126,130,-1,582000,74102800,72,11.6,130,114200,126,83400,3889179559,3889179559,520372225,0,3100,0,0,0
13,ADMR,Adaro Minerals Indonesia Tbk.,--U-1K70F30000A121------------,1340,0,16 Apr 2024,0,1445,1325,1440,100,45559500,63912354000,7738,1440.0,1440,286100,1435,94900,40882331500,40882331500,6606584770,4093700,19084700,36400,50778000,1
14,ADRO,Adaro Energy Indonesia Tbk.,--SO1XDAQ70000A121------------,2700,2740,16 Apr 2024,2730,2840,2730,2810,110,136392000,380449785000,20136,255.5,2810,5980000,2800,835500,31985962000,31985962000,12810377781,80443100,56928800,3036799,8396573280,11
15,AEGS,Anugerah Spareparts Sejahtera Tbk.,--U-3000000000E111------------,72,0,16 Apr 2024,0,72,65,65,-7,9273500,603319600,328,65.0,66,700,65,49500,1006003070,400003070,0,143700,200,0,0,0
16,AGAR,Asia Sejahtera Mina Tbk.,--U-4130000000D231-----------X,91,0,16 Apr 2024,0,91,91,91,0,60500,5505500,6,82.7,91,1300,0,0,1000000000,1000000000,250100000,0,0,0,0,0
17,AGII,Samator Indo Gas Tbk.,--U-1135000000B111---L--------,1720,0,16 Apr 2024,0,1745,1700,1730,10,215800,371982000,137,157.3,1730,24800,1720,11000,3066660000,3066660000,229999500,1000,2900,0,0,0
18,AGRO,Bank Raya Indonesia Tbk.,--U-1805300000G111------------,268,0,16 Apr 2024,0,268,254,258,-10,27214800,7044700600,2553,429.9,260,440900,258,329200,24493093216,24493093216,3208595211,785000,1385100,5000,1270000,1
