No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--S-11AE106000D232------------,6900,0,01 Apr 2024,0,6925,6800,6925,25,610100,4185380000,411,562.6,6925,344800,6825,100,1924688333,1924688333,390711732,9800,5900,0,0,0
2,ABBA,Mahaka Media Tbk.,--U-4100000000E614-E---------X,34,0,01 Apr 2024,0,31,31,31,-3,725900,22502900,78,68.5,31,3463600,0,0,3935892857,3935892857,1342139464,0,0,0,0,0
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U-4105000000G412-----------X,5000,0,01 Apr 2024,0,0,0,5000,0,0,0,0,1141.5,5000,74200,4650,100,620806680,620806680,31474899,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,--S-1805000000A121------------,3810,0,01 Apr 2024,0,4150,3830,3900,90,3413400,13215387000,1368,104.0,3910,13200,3900,19200,2753165000,2753165000,568803889,1015600,867100,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,--SO1SK5MD0000E743------------,880,880,01 Apr 2024,880,910,855,910,30,60908600,54064414000,6694,1109.8,910,3136800,905,187100,17150000000,17150000000,6832560000,18399600,16791100,0,0,0
6,ACRO,Samcro Hyosung Adilestari Tbk.,--U-2130000000E413------------,100,0,01 Apr 2024,0,102,96,97,-3,9971500,981686200,1130,89.8,98,466400,97,31300,3469138591,731863096,746211711,1973800,538000,0,0,0
7,ACST,Acset Indonusa Tbk.,--U-1135000000J211------------,135,0,01 Apr 2024,0,135,133,134,-1,2217400,297193100,174,9.9,135,248700,134,1064300,12675160000,12675160000,1560312196,100000,0,0,0,0
8,ADCP,Adhi Commuter Properti Tbk.,--U-1135000000H111------------,50,0,01 Apr 2024,0,50,50,50,0,825900,41295000,74,38.5,50,25185800,0,0,22222222200,22222222200,2222222220,0,0,0,0,0
9,ADES,Akasha Wira International Tbk.,--U-4135000000D212-----------X,9100,0,01 Apr 2024,0,9400,9150,9400,300,42100,389490000,72,488.3,9475,100,9400,11600,589896800,589896800,48961434,0,0,0,0,0
10,ADHI,Adhi Karya (Persero) Tbk.,--S-180M700000J211------------,292,0,01 Apr 2024,0,296,284,288,-4,28703600,8279921400,2741,247.8,290,6700,288,21000,8407608979,8407608979,2998994123,4847400,1309100,27,7803,1
