No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--M-18AEM16000D232------------,8375,0,03 Mar 2023,0,8400,8300,8350,-25,607600,5082022500,797,678.3,8350,129800,8325,9900,1924688333,1924688333,390711732,129400,151300,0,0,0
2,ABBA,Mahaka Media Tbk.,--U-2100000000E614------------,126,0,03 Mar 2023,0,127,125,126,0,2108900,265775400,301,278.4,126,3300,125,762700,3935892857,3935892857,1342139464,10100,0,0,0,0
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U-2105000000G412------------,6500,0,03 Mar 2023,0,6500,6500,6500,0,100,650000,1,1484.0,6650,4700,0,0,620806680,620806680,31474899,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,--M-1835000000C311------------,2900,0,03 Mar 2023,0,2940,2830,2870,-30,1763500,5076388000,859,76.5,2880,11300,2870,50400,2753165000,2753165000,568803889,334700,139900,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,--MO1S35MD0000E743------------,494,494,03 Mar 2023,492,510,486,496,2,109066300,54173611400,11845,604.9,498,834900,496,5347700,17150000000,17150000000,6832560000,23190700,24491400,0,0,0
6,ACST,Acset Indonusa Tbk.,--U-1135000000J211------------,154,0,03 Mar 2023,0,154,152,153,-1,951700,145594700,121,11.3,154,587600,153,482800,12675160000,12675160000,2259981028,0,0,0,0,0
7,ADCP,Adhi Commuter Properti Tbk.,--U-1135000000H111------------,67,0,03 Mar 2023,0,69,66,67,0,3625300,243633700,369,51.5,67,887400,66,1980800,22222222200,22222222200,2222222220,0,100000,0,0,0
8,ADES,Akasha Wira International Tbk.,--U-2135000000D212------------,7125,0,03 Mar 2023,0,7200,7025,7100,-25,98200,699697500,84,368.8,7100,8500,7075,2800,589896800,589896800,48961434,2000,1200,0,0,0
9,ADHI,Adhi Karya (Persero) Tbk.,--M-1805700000J211------------,450,0,03 Mar 2023,0,462,450,454,4,6455800,2934278600,1371,390.6,454,42300,452,116200,8407608979,8407608979,2998994123,404700,411100,0,0,0
10,ADMF,Adira Dinamika Multi Finance Tbk.,--U-110F000000G211------------,9975,0,03 Mar 2023,0,10200,9975,9975,0,70800,708232500,104,429.0,10025,2000,9975,5600,1000000000,1000000000,79200000,38900,0,0,0,0
11,ADMG,Polychem Indonesia Tbk,--U-1130000000B111------------,142,0,03 Mar 2023,0,145,141,141,-1,127800,18231300,117,12.6,143,3200,141,8700,3889179559,3889179559,520372225,0,0,0,0,0
12,ADMR,Adaro Minerals Indonesia Tbk.,--U-2810530000A121------------,1315,0,03 Mar 2023,0,1345,1270,1280,-35,92720400,119803907500,12584,1280.0,1285,188700,1280,755300,40882331500,40882331500,6606584770,30865900,2840600,2045900,2622135600,2
13,ADRO,Adaro Energy Indonesia Tbk.,--MO1XDAQ70000A121------------,2990,3090,03 Mar 2023,3090,3130,3020,3020,30,113137800,347465613000,18418,274.5,3030,287500,3020,2364600,31985962000,31985962000,12979903380,33229100,23496400,309090,925744200,10
14,AGAR,Asia Sejahtera Mina Tbk.,--U-2130000000D231-----------X,268,0,03 Mar 2023,0,268,268,268,0,400,107200,4,243.6,268,2600,264,100,1000000000,1000000000,250100000,0,0,0,0,0
15,AGII,Samator Indo Gas Tbk.,--M-1835443000B111------------,2170,0,03 Mar 2023,0,2200,2150,2160,-10,1247400,2710363000,620,196.4,2160,1000,2150,35700,3066660000,3066660000,598612032,400900,565300,0,0,0
16,AGRO,Bank Raya Indonesia Tbk.,--U-1805300000G111------------,408,0,03 Mar 2023,0,418,404,406,-2,10738800,4408201200,1577,676.5,408,43000,406,10600,24492706736,24492706736,3201480612,668200,481600,99,29700,1
17,AGRS,Bank IBK Indonesia Tbk.,--U-2105000000G111------------,90,0,03 Mar 2023,0,90,88,89,-1,2406000,214413700,124,115.2,90,1242000,89,17900,27357208711,27357208711,2084619304,0,0,0,0,0
