No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--S1K--1,13000,0,27 Nov 2019,0,12900,12025,12125,-875,1058100,13263427500,1048,985.0,12150,1700,12125,29300,1924688333,1924688333,1924688333.0,382900,137000,1226100,15610466900,8
2,ABBA,Mahaka Media Tbk.,--U9---2,112,0,27 Nov 2019,0,116,106,107,-5,37495200,4138329400,4087,187.7,108,122200,107,315600,2755125000,2755125000,2755125000.0,1652600,18500,0,0,0
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U8---2,6975,0,27 Nov 2019,0,0,0,6975,0,0,0,0,1592.4,6975,2700,5600,100,620806680,620806680,620806680.0,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,--U9---1,1500,0,27 Nov 2019,0,0,0,1500,0,0,0,0,40.0,1470,200,1205,500,2753165000,2753165000,2753165000.0,0,0,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,--S9KB-1,1730,0,27 Nov 2019,0,1725,1660,1675,-55,52459700,87950660000,6602,2042.7,1680,5000,1675,708800,17150000000,17150000000,17150000000.0,38943000,41129000,88336998,152737432660,13
6,ACST,Acset Indonusa Tbk.,--U6---1,1050,0,27 Nov 2019,0,1050,1005,1030,-20,388600,400251000,39,43.3,1030,500,1020,200,700000000,700000000,700000000.0,368900,0,0,0,0
7,ADES,Akasha Wira International Tbk.,--U5---2,1050,0,27 Nov 2019,0,1050,1030,1030,-20,1600,1650000,7,53.5,1050,9900,1025,2100,589896800,589896800,589896800.0,0,0,0,0,0
8,ADHI,Adhi Karya (Persero) Tbk.,--S6K--1,1180,0,27 Nov 2019,0,1190,1135,1135,-45,10291100,11809006000,1597,891.4,1140,10000,1135,97800,3560849376,3560849376,3560849376.0,212100,143600,53,63070,1
9,ADMF,Adira Dinamika Multi Finance Tbk.,--U8---1,10450,0,27 Nov 2019,0,10550,10350,10450,0,32100,334937500,66,449.5,10450,4100,10400,200,1000000000,1000000000,1000000000.0,12200,0,0,0,0
10,ADMG,Polychem Indonesia Tbk,--U3---1,190,0,27 Nov 2019,0,194,184,187,-3,2119500,394213000,97,16.7,187,15500,186,71800,3889179559,3889179559,3889179559.0,0,1726900,0,0,0
11,ADRO,Adaro Energy Tbk.,--S2BXO1,1315,1320,27 Nov 2019,1325,1345,1280,1295,-20,39437500,51862869000,3343,117.7,1295,158900,1290,15100,31985962000,31985962000,31985962000.0,8233900,20308100,574739,755781515,4
12,AGII,Aneka Gas Industri Tbk.,--S3---1,580,0,27 Nov 2019,0,585,565,575,-5,81800,46982500,114,52.3,580,900,575,800,3066660000,3066660000,3066660000.0,40000,40900,0,0,0
13,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,--M8---1,152,0,27 Nov 2019,0,152,145,145,-7,7373200,1083449200,707,236.9,145,128000,144,222500,21129857328,21129857328,21129857328.0,0,0,0,0,0
14,AGRS,Bank IBK Indonesia Tbk.,--U8---2,171,0,27 Nov 2019,0,178,168,170,-1,41400,7115300,24,154.5,168,10000,167,500,7037266148,7037266148,7037266148.0,0,0,0,0,0
15,AHAP,Asuransi Harta Aman Pratama Tbk.,--U8---2,62,0,27 Nov 2019,0,67,59,62,0,105000,6500300,70,233.8,63,106000,62,500,2940000000,2940000000,2940000000.0,0,0,0,0,0
