Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq,year,month
AALI,--S1K--1,12350,0,22 Jan 2020,12500,12150,12425,75,967100,11908282500,953,2020,01
ABBA,--U9---2,97,0,22 Jan 2020,97,92,92,-5,11651600,1096694700,850,2020,01
ABDA,--U8---2,6800,0,22 Jan 2020,6800,6800,6800,0,100,680000,1,2020,01
ABMM,--U9---1,1490,0,22 Jan 2020,0,0,1490,0,0,0,0,2020,01
ACES,--S9KB-1,1645,0,22 Jan 2020,1675,1625,1640,-5,15311000,25237789500,4032,2020,01
ACST,--U6---1,925,0,22 Jan 2020,990,915,990,65,92100,89608000,28,2020,01
ADES,--U5---2,915,0,22 Jan 2020,1000,945,980,65,48100,46596500,55,2020,01
ADHI,--U6K--1,1100,0,22 Jan 2020,1130,1100,1100,0,4966100,5526756000,1172,2020,01
ADMF,--U8---1,10300,0,22 Jan 2020,10400,10100,10300,0,146900,1512010000,89,2020,01
ADMG,--U3---1,180,0,22 Jan 2020,182,178,179,-1,471200,84550600,51,2020,01
ADRO,XDS2BXO1,1415,1415,22 Jan 2020,1420,1360,1365,-50,63630500,87521990500,6405,2020,01
AGAR,--U9---2,392,0,22 Jan 2020,396,380,396,4,222500,85767400,56,2020,01
AGII,--S3---1,600,0,22 Jan 2020,625,595,600,0,97600,59599000,52,2020,01
AGRO,--M8---1,176,0,22 Jan 2020,179,170,170,-6,2738800,469322400,412,2020,01
AGRS,--U8---2,160,0,22 Jan 2020,160,155,155,-5,24500,3888400,18,2020,01
AHAP,--U8---2,58,0,22 Jan 2020,63,57,57,-1,2084400,124278600,414,2020,01
AIMS,--U9---2,180,0,22 Jan 2020,0,0,180,0,0,0,0,2020,01
AISA,--U5---1,168,0,22 Jan 2020,0,0,168,0,0,0,0,2020,01
AKKU,--U9---2,50,0,22 Jan 2020,0,0,50,0,0,0,0,2020,01
AKPI,--U3---2,382,0,22 Jan 2020,0,0,382,0,0,0,0,2020,01
AKRA,--S9XXO1,3370,3370,22 Jan 2020,3440,3360,3390,20,15113500,51172864000,1790,2020,01
AKSI,--U7---2,620,0,22 Jan 2020,620,505,510,-110,45100,24543500,40,2020,01
ALDO,--U3---2,384,0,22 Jan 2020,400,398,400,16,67500,26970600,29,2020,01
ALKA,--U3---2,350,0,22 Jan 2020,350,350,350,0,200,70000,2,2020,01
ALMI,--U3---2,350,0,22 Jan 2020,0,0,350,0,0,0,0,2020,01
ALTO,--U5---1,374,0,22 Jan 2020,374,374,374,0,14000000,5236000000,13,2020,01
AMAG,--U8---2,304,0,22 Jan 2020,304,304,304,0,100,30400,1,2020,01
AMAR,--U8---2,560,0,22 Jan 2020,690,436,494,-66,23739100,14299103000,7239,2020,01
AMFG,--U3---1,3300,0,22 Jan 2020,3400,3300,3400,100,16100,54240000,8,2020,01
AMIN,--U4---2,288,0,22 Jan 2020,360,300,360,72,31600,10786600,15,2020,01
AMOR,--U8---2,2730,0,22 Jan 2020,2850,2730,2810,80,1328100,3712376000,653,2020,01
AMRT,--U9---1,845,0,22 Jan 2020,855,845,850,5,107700,91552500,9,2020,01
ANDI,--U1---2,50,0,22 Jan 2020,50,50,50,0,131300,6565000,32,2020,01
ANJT,--U1---1,875,0,22 Jan 2020,0,0,875,0,0,0,0,2020,01
ANTM,--S2XXO1,795,800,22 Jan 2020,805,755,770,-25,129107000,99874591000,9681,2020,01
APEX,--U2---2,272,0,22 Jan 2020,292,270,270,-2,3200,872200,5,2020,01
APIC,--U8---2,700,0,22 Jan 2020,705,700,705,5,19781400,13919233500,1305,2020,01
APII,--U9---2,214,0,22 Jan 2020,212,210,212,-2,5100,1071200,2,2020,01
APLI,--U3---1,168,0,22 Jan 2020,169,150,167,-1,173800,28553100,31,2020,01
APLN,--M6K--1,168,0,22 Jan 2020,170,161,165,-3,22231300,3677888200,1355,2020,01
APOL,--U7---1,50,0,22 Jan 2020,0,0,50,0,0,0,0,2020,01
ARGO,--U4---2,825,0,22 Jan 2020,0,0,825,0,0,0,0,2020,01
ARII,--U2---2,730,0,22 Jan 2020,0,0,730,0,0,0,0,2020,01
ARKA,--U4---2,2040,0,22 Jan 2020,2020,1970,2020,-20,1128300,2260847000,760,2020,01
ARMY,--U6---2,50,0,22 Jan 2020,0,0,50,0,0,0,0,2020,01
ARNA,--U3---1,430,0,22 Jan 2020,430,424,430,0,143900,61730000,32,2020,01
ARTA,--U9---2,330,0,22 Jan 2020,340,340,340,10,200,68000,2,2020,01
ARTI,--U2---1,50,0,22 Jan 2020,50,50,50,0,200,10000,2,2020,01
ARTO,--U8---2,2950,0,22 Jan 2020,3200,2950,3190,240,57400,181340000,78,2020,01
ASBI,--U8---2,298,0,22 Jan 2020,286,230,230,-68,200,51600,2,2020,01
ASDM,--U8---1,1075,0,22 Jan 2020,1095,1095,1095,20,100,109500,1,2020,01
ASGR,--U9---1,955,0,22 Jan 2020,1020,955,1015,60,295000,284791000,144,2020,01
ASII,--S4BXO1,7025,7025,22 Jan 2020,7075,6975,7000,-25,20100300,140669095000,3926,2020,01
