Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
AALI,--S1K--1,13700,0,14 Jan 2020,13900,13200,13200,-500,1623200,21712682500,1854
ABBA,--U9---2,102,0,14 Jan 2020,104,100,101,-1,10317900,1043023900,574
ABDA,--U8---2,6925,0,14 Jan 2020,0,0,6925,0,0,0,0
ABMM,--U9---1,1515,0,14 Jan 2020,0,0,1515,0,0,0,0
ACES,--S9KB-1,1490,0,14 Jan 2020,1590,1490,1590,100,61989800,96799549000,9069
ACST,--U6---1,1010,0,14 Jan 2020,1010,980,990,-20,47800,47143000,16
ADES,--U5---2,1040,0,14 Jan 2020,1040,1020,1040,0,63000,64280500,12
ADHI,--U6K--1,1215,0,14 Jan 2020,1230,1205,1205,-10,6358800,7751843500,1472
ADMF,--U8---1,10350,0,14 Jan 2020,10450,10300,10425,75,48400,502092500,73
ADMG,--U3---1,189,0,14 Jan 2020,190,187,187,-2,284200,53594200,43
ADRO,XDS2BXO1,1565,1580,14 Jan 2020,1585,1535,1560,-5,68815800,107586613000,7430
AGAR,--U9---2,388,0,14 Jan 2020,388,378,382,-6,35800,13560200,14
AGII,--S3---1,610,0,14 Jan 2020,610,605,610,0,39100,23750500,26
AGRO,--M8---1,195,0,14 Jan 2020,202,193,193,-2,8618100,1694749800,849
AGRS,--U8---2,161,0,14 Jan 2020,161,151,158,-3,50000,7942700,10
AHAP,--U8---2,57,0,14 Jan 2020,59,56,58,1,75900,4315100,39
AIMS,--U9---2,180,0,14 Jan 2020,0,0,180,0,0,0,0
AISA,--U5---1,168,0,14 Jan 2020,0,0,168,0,0,0,0
AKKU,--U9---2,50,0,14 Jan 2020,50,50,50,0,2600,130000,17
AKPI,--U3---2,410,0,14 Jan 2020,410,410,410,0,100,41000,1
AKRA,--S9XXO1,3600,3600,14 Jan 2020,3620,3520,3540,-60,9316500,33202865000,2062
AKSI,--U7---2,610,0,14 Jan 2020,700,575,650,40,17500,10588000,29
ALDO,--U3---2,400,0,14 Jan 2020,0,0,400,0,0,0,0
ALKA,--U3---2,400,0,14 Jan 2020,400,400,400,0,400,160000,1
ALMI,--U3---2,310,0,14 Jan 2020,350,350,350,40,100,35000,1
ALTO,--U5---1,398,0,14 Jan 2020,398,398,398,0,12208000,4858784000,6
AMAG,--U8---2,300,0,14 Jan 2020,306,284,302,2,7200,2082000,10
AMAR,--U8---2,456,0,14 Jan 2020,570,460,570,114,20505200,10594699900,4302
AMFG,--U3---1,3500,0,14 Jan 2020,3500,3420,3470,-30,25800,90268000,8
AMIN,--U4---2,350,0,14 Jan 2020,360,300,360,10,9700,3396200,17
AMOR,--U8---2,1900,0,14 Jan 2020,2850,2370,2850,950,5979700,17019409000,395
AMRT,--U9---1,850,0,14 Jan 2020,855,845,855,5,16300,13874500,22
ANDI,--U1---2,50,0,14 Jan 2020,53,50,50,0,80428100,4058058000,2951
ANJT,--U1---1,875,0,14 Jan 2020,880,850,875,0,10900,9455000,18
ANTM,--S2XXO1,870,870,14 Jan 2020,870,845,850,-20,98284800,84141619000,8941
APEX,--U2---2,300,0,14 Jan 2020,300,264,300,0,29600,8759600,13
APIC,--U8---2,715,0,14 Jan 2020,720,700,705,-10,22528300,15936282000,1885
APII,--U9---2,175,0,14 Jan 2020,236,170,224,49,442900,90312300,50
APLI,--U3---1,150,0,14 Jan 2020,160,140,160,10,20900,3227700,17
APLN,--M6K--1,176,0,14 Jan 2020,179,175,175,-1,21045800,3713232200,981
APOL,--U7---1,50,0,14 Jan 2020,0,0,50,0,0,0,0
ARGO,--U4---2,825,0,14 Jan 2020,0,0,825,0,0,0,0
ARII,--U2---2,730,0,14 Jan 2020,0,0,730,0,0,0,0
ARKA,--U4---2,1995,0,14 Jan 2020,2010,2000,2010,15,1519700,3048939000,1882
ARMY,--U6---2,50,0,14 Jan 2020,0,0,50,0,0,0,0
ARNA,--U3---1,424,0,14 Jan 2020,428,416,418,-6,685300,288487600,92
ARTA,--U9---2,420,0,14 Jan 2020,418,418,418,-2,100,41800,1
ARTI,--U2---1,50,0,14 Jan 2020,50,50,50,0,400,20000,3
ARTO,--U8---2,2870,0,14 Jan 2020,3010,2870,2880,10,9100,26588000,16
ASBI,--U8---2,304,0,14 Jan 2020,304,300,300,-4,1700,512800,4
ASDM,--U8---1,1055,0,14 Jan 2020,1060,1055,1060,5,600,634500,3
ASGR,--U9---1,990,0,14 Jan 2020,1005,950,975,-15,35900,35044500,36
ASII,--S4BXO1,6925,6975,14 Jan 2020,7175,6925,7175,250,41214400,289957785000,7213
ASJT,--U8---2,125,0,14 Jan 2020,129,125,125,0,186000,23430100,35
ASMI,--U8---1,1240,0,14 Jan 2020,1270,1245,1265,25,75100,94211500,34
ASRI,--S6K--1,246,0,14 Jan 2020,250,244,246,0,16779300,4153427000,1655
ASRM,--U8---2,2010,0,14 Jan 2020,2010,2000,2000,-10,400,803000,4
ASSA,--S7---1,630,0,14 Jan 2020,650,635,640,10,6013200,3850055500,365
ATIC,--U9---1,710,0,14 Jan 2020,0,0,710,0,0,0,0
AUTO,--M4---1,1260,0,14 Jan 2020,1285,1260,1270,10,282900,359192500,195
BABP,--U8---2,50,0,14 Jan 2020,50,50,50,0,12400,620000,4
BACA,--U8---2,308,0,14 Jan 2020,314,308,310,2,11315800,3516354600,2545
BAJA,--U3---2,61,0,14 Jan 2020,62,60,60,-1,1193700,72175500,197
BALI,--U7---2,810,0,14 Jan 2020,810,810,810,0,4400,3564000,4
BAPA,--U6---1,72,0,14 Jan 2020,73,72,72,0,33012000,2376864200,21
BAPI,--U6---2,50,0,14 Jan 2020,50,50,50,0,3040700,152035000,103
BATA,--U4---1,580,0,14 Jan 2020,600,580,580,0,35900,20855500,23
BAYU,--U9---2,1000,0,14 Jan 2020,1075,1050,1050,50,600,632500,6
BBCA,--S8B3O1,33725,33725,14 Jan 2020,34425,33700,34350,625,18716400,637646440000,9144
BBHI,--U8---2,122,0,14 Jan 2020,130,120,120,-2,40100,4930700,25
BBKP,--S8---1,250,0,14 Jan 2020,266,250,256,6,20872700,5419589000,1194
BBLD,--U8---2,420,0,14 Jan 2020,0,0,420,0,0,0,0
BBMD,--U8---1,2380,0,14 Jan 2020,0,0,2380,0,0,0,0
BBNI,--S8B3O1,7775,7825,14 Jan 2020,7850,7725,7850,75,20143400,157188920000,4683
BBRI,--S8B3O1,4510,4540,14 Jan 2020,4600,4520,4570,60,158414200,723842665000,13581
BBRM,--U7---1,50,0,14 Jan 2020,0,0,50,0,0,0,0
BBTN,--S8LKO1,2150,2160,14 Jan 2020,2170,2130,2160,10,15971700,34379421000,3070
BBYB,--U8---1,268,0,14 Jan 2020,264,254,264,-4,6600,1725400,7
BCAP,--M8---1,140,0,14 Jan 2020,139,135,139,-1,244100,33439500,18
BCIC,--U8---2,450,0,14 Jan 2020,0,0,450,0,0,0,0
BCIP,--U6---2,50,0,14 Jan 2020,51,50,50,0,6737800,337025700,135
BDMN,--U8K--1,3860,0,14 Jan 2020,4110,3880,4070,210,9869700,39821332000,4040
BEEF,--S1---2,440,0,14 Jan 2020,444,396,400,-40,14235800,5808243800,1968
BEKS,--U8---2,50,0,14 Jan 2020,50,50,50,0,3400,170000,5
BELL,--U4---2,530,0,14 Jan 2020,530,530,530,0,1000,530000,1
BEST,--S6K--1,202,0,14 Jan 2020,214,202,210,8,31316100,6550992600,1458
BFIN,--S8---2,560,0,14 Jan 2020,570,555,565,5,313800,176015000,48
BGTG,--U8---2,62,0,14 Jan 2020,64,61,63,1,1360400,84470400,93
BHIT,--S9K--1,66,0,14 Jan 2020,67,64,64,-2,11814500,779271200,984
BIKA,--U6---2,195,0,14 Jan 2020,196,196,196,1,100,19600,1
BIMA,--U4---2,50,0,14 Jan 2020,50,50,50,0,100,5000,1
BINA,--U8---1,835,0,14 Jan 2020,0,0,835,0,0,0,0
BIPI,--U2---2,50,0,14 Jan 2020,50,50,50,0,2600,130000,1
BIPP,--U6---2,50,0,14 Jan 2020,50,50,50,0,50400,2520000,5
