Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
AALI,--M1K--1,8325,0,02 Jul 2020,8525,8300,8450,125,1235500,10389362500,1399
ABBA,--U9---2,50,0,02 Jul 2020,51,50,50,0,878200,44032900,87
ABDA,--U8---2,6000,0,02 Jul 2020,0,0,6000,0,0,0,0
ABMM,XDU9---1,1400,0,02 Jul 2020,0,0,1400,0,0,0,0
ACES,--M9B3-1,1465,0,02 Jul 2020,1500,1465,1500,35,7339200,10868781500,2399
ACST,--U6---1,254,0,02 Jul 2020,296,254,276,22,6155700,1717712800,1413
ADES,--U5---2,855,0,02 Jul 2020,890,845,850,-5,31800,27110500,44
ADHI,XDM6K--1,605,0,02 Jul 2020,665,605,665,60,60490500,38910733000,4253
ADMF,--U8---1,7175,0,02 Jul 2020,7250,7100,7175,0,134600,963287500,127
ADMG,--U3---1,101,0,02 Jul 2020,112,100,101,0,4856000,513791100,641
ADRO,--M2BX-1,1045,0,02 Jul 2020,1080,1045,1050,5,170254500,180825370000,15849
AGAR,--U9---2,486,0,02 Jul 2020,484,484,484,-2,1000,484000,1
AGII,--M3---1,560,0,02 Jul 2020,615,565,610,50,8355900,5043503000,648
AGRO,--M8---1,123,0,02 Jul 2020,125,123,123,0,3779400,466905500,288
AGRS,--U8---2,93,0,02 Jul 2020,99,93,99,6,60300,5708600,20
AHAP,--U8---2,50,0,02 Jul 2020,51,50,50,0,35600,1780100,9
AIMS,--U9---2,180,0,02 Jul 2020,0,0,180,0,0,0,0
AISA,--U5---1,168,0,02 Jul 2020,0,0,168,0,0,0,0
AKKU,--U9---2,50,0,02 Jul 2020,0,0,50,0,0,0,0
AKPI,--U3---2,296,0,02 Jul 2020,0,0,296,0,0,0,0
AKRA,--M9XX-1,2480,0,02 Jul 2020,2510,2450,2480,0,12067100,29995240000,1629
AKSI,--U7---2,510,0,02 Jul 2020,510,476,476,-34,149700,71898200,92
ALDO,--U3---2,372,0,02 Jul 2020,372,372,372,0,100,37200,1
ALKA,--U3---2,430,0,02 Jul 2020,0,0,430,0,0,0,0
ALMI,--U3---2,214,0,02 Jul 2020,230,200,214,0,62300,13154600,32
ALTO,--U5---1,386,0,02 Jul 2020,0,0,386,0,0,0,0
AMAG,--U8---2,270,0,02 Jul 2020,274,268,268,-2,3500,941000,4
AMAN,--U6---1,197,0,02 Jul 2020,197,196,196,-1,325000,63898900,17
AMAR,--U8---2,292,0,02 Jul 2020,308,292,308,16,82300,24809800,51
AMFG,--U3---1,3070,0,02 Jul 2020,3250,3070,3070,0,3800,11774000,7
AMIN,--U4---2,264,0,02 Jul 2020,264,264,264,0,1200,316800,3
AMOR,--U8---2,2000,0,02 Jul 2020,2000,1970,2000,0,16000,31603000,13
AMRT,--M9---1,795,0,02 Jul 2020,805,790,795,0,72600,57701000,89
ANDI,--U1---2,50,0,02 Jul 2020,50,50,50,0,1200,60000,5
ANJT,--U1---1,540,0,02 Jul 2020,540,535,535,-5,2100,1133500,10
ANTM,--M2XX-1,600,0,02 Jul 2020,610,590,610,10,41575700,24997725000,3632
APEX,--U2---2,200,0,02 Jul 2020,200,186,190,-10,145600,27760500,58
APIC,--U8---2,815,0,02 Jul 2020,825,805,805,-10,11513000,9391232000,2264
APII,--U9---2,210,0,02 Jul 2020,0,0,210,0,0,0,0
APLI,--U3---1,98,0,02 Jul 2020,105,92,95,-3,4100,392400,27
APLN,--M6K--1,112,0,02 Jul 2020,115,110,114,2,16535200,1876334700,919
ARGO,--U4---2,810,0,02 Jul 2020,820,820,820,10,100,82000,1
ARII,--U2---2,530,0,02 Jul 2020,545,540,540,10,500,270500,3
ARKA,--U4---2,400,0,02 Jul 2020,390,372,372,-28,1200,466200,5
ARMY,--U6---2,50,0,02 Jul 2020,0,0,50,0,0,0,0
ARNA,--M3---1,380,0,02 Jul 2020,384,378,380,0,480200,182597600,49
ARTA,--U9---2,344,0,02 Jul 2020,322,320,320,-24,7400,2370200,9
ARTI,--U2---1,50,0,02 Jul 2020,0,0,50,0,0,0,0
ARTO,--U8---2,2210,0,02 Jul 2020,2760,2210,2760,550,5611800,14450379000,2789
ASBI,--U8---2,324,0,02 Jul 2020,324,320,322,-2,600,193000,6
ASDM,XDU8---1,940,0,02 Jul 2020,910,905,910,-30,200,181500,2
ASGR,XDU9---1,675,0,02 Jul 2020,685,665,670,-5,741500,497432500,192
ASII,XDM4BX-1,4810,0,02 Jul 2020,4890,4810,4870,60,26575000,129136576000,5158
ASJT,--U8---2,138,0,02 Jul 2020,130,130,130,-8,200,26000,2
ASMI,--U8---1,1215,0,02 Jul 2020,1215,1200,1200,-15,27700,33374500,27
ASPI,--U6---2,368,0,02 Jul 2020,374,366,366,-2,8009700,2966193000,675
ASRI,--M6---1,128,0,02 Jul 2020,131,125,131,3,56711300,7296591400,1655
ASRM,--U8---2,1875,0,02 Jul 2020,1985,1980,1985,110,4000,7927000,8
ASSA,--M7K--1,400,0,02 Jul 2020,412,398,408,8,7092900,2877844400,437
ATIC,--U9---1,870,0,02 Jul 2020,0,0,870,0,0,0,0
AUTO,XDM4---1,860,0,02 Jul 2020,895,865,895,35,788900,697198500,263
AYLS,--U9---2,50,0,02 Jul 2020,50,50,50,0,1800,90000,5
BABP,--U8---2,50,0,02 Jul 2020,50,50,50,0,33800,1690000,7
BACA,--U8---2,410,0,02 Jul 2020,408,382,392,-18,3867500,1569823800,71
BAJA,--U3---2,59,0,02 Jul 2020,60,57,58,-1,355700,20439900,31
BALI,--U7---2,895,0,02 Jul 2020,890,835,840,-55,6000,5069000,15
BAPA,--U6---1,50,0,02 Jul 2020,0,0,50,0,0,0,0
BAPI,--U6---2,50,0,02 Jul 2020,50,50,50,0,8100,405000,5
BATA,--U4---1,550,0,02 Jul 2020,550,550,550,0,1200,660000,4
BAYU,--U9---2,1045,0,02 Jul 2020,1055,1055,1055,10,100,105500,1
BBCA,--M8B3-1,29000,0,02 Jul 2020,29350,28800,29350,350,15117100,441561452500,10300
BBHI,--U8---2,80,0,02 Jul 2020,105,81,103,23,842600,83631500,138
BBKP,--M8---1,186,0,02 Jul 2020,190,182,184,-2,36477200,6767448800,2207
BBLD,--U8---2,370,0,02 Jul 2020,0,0,370,0,0,0,0
BBMD,--U8---1,1310,0,02 Jul 2020,1400,1320,1400,90,6900,9435000,18
BBNI,--M8B3-1,4540,0,02 Jul 2020,4600,4540,4590,50,28618200,130945524000,6142
BBRI,--M8B3-1,3060,0,02 Jul 2020,3090,3040,3060,0,169484600,519383340000,11855
BBRM,--U7---1,50,0,02 Jul 2020,0,0,50,0,0,0,0
BBSS,--U6---2,147,0,02 Jul 2020,148,141,146,-1,11974900,1750787000,864
BBTN,--M8LK-1,1250,0,02 Jul 2020,1270,1240,1250,0,53822900,67334189500,3946
BBYB,XRU8---1,244,0,02 Jul 2020,262,244,256,12,905100,226510400,125
BCAP,--M8---1,157,0,02 Jul 2020,160,156,158,1,14895100,2370905100,16080
BCIC,--U8---2,450,0,02 Jul 2020,0,0,450,0,0,0,0
BCIP,--U6---2,50,0,02 Jul 2020,50,50,50,0,5000,250000,1
BDMN,--U8---1,2730,0,02 Jul 2020,2770,2720,2770,40,688400,1889062000,419
BEEF,--M1---2,224,0,02 Jul 2020,226,220,222,-2,955300,211640800,142
BEKS,--U8---2,50,0,02 Jul 2020,50,50,50,0,11400,570000,9
BELL,XDU4---2,695,0,02 Jul 2020,700,700,700,5,316300,221410000,141
BESS,--U7---2,230,0,02 Jul 2020,236,230,232,2,381500,88778400,109
BEST,--M6K--1,112,0,02 Jul 2020,117,111,117,5,13230100,1527819900,616
BFIN,--M8---1,280,0,02 Jul 2020,290,280,284,4,16343500,4640249600,661
BGTG,--U8---2,50,0,02 Jul 2020,50,50,50,0,3400,170000,3
BHAT,--U8---2,446,0,02 Jul 2020,450,442,446,0,102875700,45947560800,3450
BHIT,--M9---1,50,0,02 Jul 2020,50,50,50,0,139800,6990000,16
BIKA,--U6---2,176,0,02 Jul 2020,195,168,188,12,15300,2647700,35
BIMA,--U4---2,50,0,02 Jul 2020,0,0,50,0,0,0,0
BINA,--U8---1,935,0,02 Jul 2020,935,930,930,-5,20300,18902000,21
BIPI,--U2---2,50,0,02 Jul 2020,50,50,50,0,1100,55000,2
BIPP,--U6---2,55,0,02 Jul 2020,65,55,59,4,322500,19161100,91
BIRD,--M7---1,1105,0,02 Jul 2020,1130,1095,1100,-5,618600,685076000,235
BISI,--U1---1,825,0,02 Jul 2020,820,815,820,-5,64300,52645500,36
BJBR,--M8K--1,765,0,02 Jul 2020,770,765,765,0,1872000,1436074000,511
BJTM,--M8K--1,505,0,02 Jul 2020,505,498,500,-5,12120800,6062893200,2357
BKDP,--U6---2,55,0,02 Jul 2020,52,52,52,-3,10700,556400,7
BKSL,--U6K--1,50,0,02 Jul 2020,50,50,50,0,3101800,155090000,37
BKSW,--U8---2,68,0,02 Jul 2020,72,68,68,0,25000,1705600,6
BLTA,--U7---1,50,0,02 Jul 2020,50,50,50,0,80000,4000000,2
BLTZ,--U9---2,3300,0,02 Jul 2020,0,0,3300,0,0,0,0
BLUE,--U9---2,500,0,02 Jul 2020,500,498,500,0,84500,42241600,82
BMAS,--U8---2,244,0,02 Jul 2020,268,252,256,12,15200,3884600,14
BMRI,--M8B3-1,4990,0,02 Jul 2020,5025,4960,5000,10,40303300,201311950000,5120
BMSR,--U9---1,56,0,02 Jul 2020,54,54,54,-2,900,48600,4
BMTR,--M9K--1,188,0,02 Jul 2020,190,186,189,1,17381400,3261377800,933
BNBA,--U8---1,290,0,02 Jul 2020,290,286,288,-2,387300,111605400,36
BNBR,--U9---2,50,0,02 Jul 2020,0,0,50,0,0,0,0
BNGA,--M8K--1,740,0,02 Jul 2020,740,730,735,-5,988100,724610000,315
BNII,--U8---1,161,0,02 Jul 2020,161,160,161,0,239400,38342500,36
BNLI,--M8K--1,1270,0,02 Jul 2020,1270,1265,1265,-5,17565900,22294740500,242
BOGA,--U9K--2,1345,0,02 Jul 2020,1355,1335,1335,-10,64316400,86822533500,3982
BOLA,--U9---2,168,0,02 Jul 2020,174,160,168,0,43700,7245300,14
BOLT,--U4---2,920,0,02 Jul 2020,935,885,885,-35,1300,1174000,8
BOSS,--U2---2,80,0,02 Jul 2020,89,76,87,7,29513200,2504162800,2142
BPFI,--U8---2,1185,0,02 Jul 2020,0,0,1185,0,0,0,0
BPII,--U8---2,10000,0,02 Jul 2020,0,0,10000,0,0,0,0
BPTR,--M7---1,77,0,02 Jul 2020,82,73,76,-1,14800,1114900,11
BRAM,XDU4---1,5800,0,02 Jul 2020,5800,5800,5800,0,200,1160000,1
