,Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
0,AALI,0.0,4.23,19,01 Dec 2020,30 Dec 2020,757315795000,63161800,51567,12--,2020,12
1,ABBA,15.49,-14.58,19,01 Dec 2020,30 Dec 2020,193259189900,2333006500,71304,95--,2020,12
2,ABDA,-6.69,-20.07,19,01 Dec 2020,30 Dec 2020,48355000,8500,31,84--,2020,12
3,ABMM,7.8,-66.52,19,01 Dec 2020,30 Dec 2020,10577053000,12132700,3034,98--,2020,12
4,ACES,8.2,15.1,19,01 Dec 2020,30 Dec 2020,669991022000,387753100,106877,93--,2020,12
5,ACST,70.54,-71.7,19,01 Dec 2020,30 Dec 2020,1372817811400,3744579900,179568,62--,2020,12
6,ADES,15.42,58.7,19,01 Dec 2020,30 Dec 2020,6976392500,4735800,3105,51--,2020,12
7,ADHI,40.83,-3.15,19,01 Dec 2020,30 Dec 2020,2078195632500,1464093700,196605,62--,2020,12
8,ADMF,3.16,-1.37,19,01 Dec 2020,30 Dec 2020,32733445000,3739300,6106,82--,2020,12
9,ADMG,58.11,-25.48,19,01 Dec 2020,30 Dec 2020,85173674000,362033200,22358,34--,2020,12
10,ADRO,2.88,17.7,19,01 Dec 2020,30 Dec 2020,5706495920000,3812829700,398747,21--,2020,12
11,AGAR,-11.56,261.82,19,01 Dec 2020,30 Dec 2020,58580000,142600,322,91--,2020,12
12,AGII,0.0,32.35,19,01 Dec 2020,30 Dec 2020,20871236000,23706200,8009,34--,2020,12
13,AGRO,91.67,233.87,19,01 Dec 2020,30 Dec 2020,3753853696000,4896606000,302347,81--,2020,12
14,AGRS,30.77,-14.29,19,01 Dec 2020,30 Dec 2020,837190800,4692300,1201,81--,2020,12
15,AHAP,20.69,-17.65,19,01 Dec 2020,30 Dec 2020,168541900,2784000,1038,84--,2020,12
16,AIMS,-3.9,-17.78,19,01 Dec 2020,30 Dec 2020,33951300,239000,212,91--,2020,12
17,AISA,37.32,132.14,19,01 Dec 2020,30 Dec 2020,888534952400,2226006100,132000,51--,2020,12
18,AKKU,0.0,0.0,19,01 Dec 2020,30 Dec 2020,62350000,1247000,174,94--,2020,12
19,AKPI,49.19,-26.0,19,01 Dec 2020,30 Dec 2020,179227300,415200,395,35--,2020,12
20,AKRA,9.28,-25.87,19,01 Dec 2020,30 Dec 2020,2400634297000,736462200,123994,91--,2020,12
21,AKSI,5.08,5.08,19,01 Dec 2020,30 Dec 2020,1713019200,4266200,798,74--,2020,12
22,ALDO,46.15,-14.93,19,01 Dec 2020,30 Dec 2020,971192100,2300600,385,38--,2020,12
23,ALKA,-9.03,-12.67,19,01 Dec 2020,30 Dec 2020,163440400,591500,384,33--,2020,12
24,ALMI,-0.8,-38.0,19,01 Dec 2020,30 Dec 2020,141084200,560300,267,33--,2020,12
25,ALTO,4.05,-23.0,19,01 Dec 2020,30 Dec 2020,83121600,275000,283,51--,2020,12
26,AMAG,7.62,-30.67,19,01 Dec 2020,30 Dec 2020,3584197000,15950800,1458,84--,2020,12
27,AMAN,1.96,183.64,19,01 Dec 2020,30 Dec 2020,1381471000,4517300,531,61--,2020,12
28,AMAR,-10.69,63.22,19,01 Dec 2020,30 Dec 2020,1397712400,4729400,1161,81--,2020,12
29,AMFG,0.0,-26.83,19,01 Dec 2020,30 Dec 2020,916660000,330400,251,32--,2020,12
30,AMIN,-8.57,-40.19,19,01 Dec 2020,30 Dec 2020,18536000,65400,113,41--,2020,12
31,AMOR,11.49,53.16,19,01 Dec 2020,30 Dec 2020,51716482000,17625800,5221,83--,2020,12
32,AMRT,12.68,-14.44,19,01 Dec 2020,30 Dec 2020,64156404500,82336900,16732,93--,2020,12
33,ANDI,6.0,-97.35,19,01 Dec 2020,30 Dec 2020,148112087900,2428959500,62908,12--,2020,12
34,ANJT,13.08,-36.09,19,01 Dec 2020,30 Dec 2020,763128500,1088900,980,12--,2020,12
35,ANTM,69.0,152.94,19,01 Dec 2020,30 Dec 2020,19616911019000,11747859800,1000235,23--,2020,12
36,APEX,148.48,-75.6,19,01 Dec 2020,30 Dec 2020,3272020400,7543500,3586,22--,2020,12
37,APIC,-5.42,45.37,19,01 Dec 2020,30 Dec 2020,177038710000,224568400,31905,89--,2020,12
38,APII,-3.14,-17.2,19,01 Dec 2020,30 Dec 2020,573646500,3685900,485,91--,2020,12
39,APLI,40.43,135.71,19,01 Dec 2020,30 Dec 2020,960837500,5597500,569,35--,2020,12
40,APLN,11.24,23.68,19,01 Dec 2020,30 Dec 2020,905000272500,4597631600,142504,61--,2020,12
41,ARGO,-1.76,136.97,19,01 Dec 2020,30 Dec 2020,650874500,344800,439,43--,2020,12
42,ARII,-14.29,-56.0,19,01 Dec 2020,30 Dec 2020,1678305200,4060500,693,21--,2020,12
43,ARKA,-23.61,-76.69,19,01 Dec 2020,30 Dec 2020,26790211900,387002700,19636,41--,2020,12
44,ARMY,0.0,-84.28,19,01 Dec 2020,30 Dec 2020,0,0,0,61--,2020,12
45,ARNA,27.1,61.9,19,01 Dec 2020,30 Dec 2020,47049912000,80670600,6014,32--,2020,12
46,ARTA,-10.49,-80.46,19,01 Dec 2020,30 Dec 2020,19909800,68300,74,94--,2020,12
