Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
AALI,4.61,-32.77,21,01 Jul 2021,30 Jul 2021,369277745000,46936700,35107,D232,2021,07
ABBA,152.1,525.0,21,01 Jul 2021,30 Jul 2021,783206439500,1989944800,166932,E614,2021,07
ABDA,-1.42,-0.36,21,01 Jul 2021,30 Jul 2021,2780000,400,3,G412,2021,07
ABMM,55.0,-45.37,21,01 Jul 2021,30 Jul 2021,22088801000,18959000,8568,C311,2021,07
ACES,5.6,-11.41,21,01 Jul 2021,30 Jul 2021,529829142000,372162800,80891,E743,2021,07
ACST,19.23,-84.05,21,01 Jul 2021,30 Jul 2021,306876124000,1148109100,96643,J211,2021,07
ADES,23.59,161.96,21,01 Jul 2021,30 Jul 2021,13357689000,5641800,5483,D212,2021,07
ADHI,-9.27,-56.78,21,01 Jul 2021,30 Jul 2021,349062181500,480684200,68250,J211,2021,07
ADMF,-5.81,-15.38,21,01 Jul 2021,30 Jul 2021,34102007500,4285400,7055,G211,2021,07
ADMG,20.67,-31.21,21,01 Jul 2021,30 Jul 2021,83078731100,371002800,44553,B111,2021,07
ADRO,10.79,9.88,21,01 Jul 2021,30 Jul 2021,1769204853000,1392068900,166043,A121,2021,07
AGAR,0.0,261.82,21,01 Jul 2021,30 Jul 2021,88985800,202300,486,D231,2021,07
AGII,34.08,163.24,21,01 Jul 2021,30 Jul 2021,2509880809500,1540433100,355785,B111,2021,07
AGRO,28.53,706.45,21,01 Jul 2021,30 Jul 2021,6718933016500,3009605700,549329,G111,2021,07
AGRS,20.0,10.92,21,01 Jul 2021,30 Jul 2021,898596008400,3687229300,228643,G111,2021,07
AHAP,-6.35,-30.59,21,01 Jul 2021,30 Jul 2021,3141116000,50476400,4433,G412,2021,07
AIMS,17.32,133.33,21,01 Jul 2021,30 Jul 2021,8396641000,18278300,9887,A121,2021,07
AISA,6.19,22.62,21,01 Jul 2021,30 Jul 2021,98198901100,450434500,36937,D222,2021,07
AKKU,0.0,0.0,21,01 Jul 2021,30 Jul 2021,976930600,19434800,2207,E512,2021,07
AKPI,11.11,-13.33,21,01 Jul 2021,30 Jul 2021,1631540000,2535300,2039,B113,2021,07
AKRA,14.29,-16.08,21,01 Jul 2021,30 Jul 2021,715721724000,213323800,64972,A112,2021,07
AKSI,-13.17,7.11,21,01 Jul 2021,30 Jul 2021,262680500,570000,956,K211,2021,07
ALDO,-7.97,-5.22,21,01 Jul 2021,30 Jul 2021,31549779500,48709000,9043,B131,2021,07
ALKA,-8.13,-24.67,21,01 Jul 2021,30 Jul 2021,40889000,173300,305,B141,2021,07
ALMI,12.5,-32.5,21,01 Jul 2021,30 Jul 2021,107274000,418900,383,B141,2021,07
ALTO,-11.35,-18.0,21,01 Jul 2021,30 Jul 2021,209492800,648400,371,D212,2021,07
AMAG,-18.07,-16.56,21,01 Jul 2021,30 Jul 2021,12653293200,38917300,10792,G412,2021,07
AMAN,28.57,292.73,21,01 Jul 2021,30 Jul 2021,19260175000,49922800,7268,H111,2021,07
AMAR,17.89,66.67,21,01 Jul 2021,30 Jul 2021,84196104600,284497900,34027,G111,2021,07
AMFG,4.48,1.08,21,01 Jul 2021,30 Jul 2021,1260235000,352500,135,C121,2021,07
AMIN,-6.19,-53.97,21,01 Jul 2021,30 Jul 2021,2148616700,9304500,4558,C143,2021,07
AMOR,-6.57,72.11,21,01 Jul 2021,30 Jul 2021,103089660000,30790500,19632,G311,2021,07
AMRT,8.0,44.39,21,01 Jul 2021,30 Jul 2021,1398056361500,1055930500,110440,D113,2021,07
ANDI,0.0,-97.5,21,01 Jul 2021,30 Jul 2021,66655000,1333100,399,D232,2021,07
ANJT,-3.05,-44.78,21,01 Jul 2021,30 Jul 2021,415394000,666300,503,D232,2021,07
ANTM,9.57,229.41,21,01 Jul 2021,30 Jul 2021,6978970173000,2749534800,373371,B146,2021,07
APEX,-0.79,-62.5,21,01 Jul 2021,30 Jul 2021,1146560500,1746900,2404,A131,2021,07
APIC,0.6,54.63,21,01 Jul 2021,30 Jul 2021,235696911000,284589300,46811,G511,2021,07
APII,-5.95,-6.45,21,01 Jul 2021,30 Jul 2021,657020000,3720800,786,C143,2021,07
APLI,1.01,138.1,21,01 Jul 2021,30 Jul 2021,458949700,2219700,249,B113,2021,07
APLN,-5.15,-15.13,21,01 Jul 2021,30 Jul 2021,43139182400,332849600,20260,H111,2021,07
ARCI,-13.33,-13.33,21,01 Jul 2021,30 Jul 2021,451657588500,642581900,34576,B143,2021,07
ARGO,29.12,123.03,21,01 Jul 2021,30 Jul 2021,581677000,340100,679,E413,2021,07
ARII,12.32,-65.56,21,01 Jul 2021,30 Jul 2021,6970615000,21777000,7597,A121,2021,07
ARKA,0.0,-78.81,21,01 Jul 2021,30 Jul 2021,3980566900,79606600,7666,C143,2021,07
ARMY,0.0,-84.28,21,01 Jul 2021,30 Jul 2021,0,0,0,H111,2021,07
ARNA,2.72,79.76,21,01 Jul 2021,30 Jul 2021,30298203500,40215900,8015,C121,2021,07
ARTA,-3.29,-64.12,21,01 Jul 2021,30 Jul 2021,4188201300,7041000,5974,E512,2021,07
ARTI,0.0,0.0,21,01 Jul 2021,30 Jul 2021,119710000,2394200,290,A132,2021,07
ARTO,31.74,9655.43,21,01 Jul 2021,30 Jul 2021,5607305357500,357089900,245118,G111,2021,07
ASBI,0.0,16.0,21,01 Jul 2021,30 Jul 2021,658843200,2245600,2591,G412,2021,07
