Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
CLAY,-0.7,56.67,17,05 Jun 2023,27 Jun 2023,7025400,23200,66,E512,2023,06
CLEO,17.48,113.03,17,05 Jun 2023,27 Jun 2023,53665047000,94426500,20500,D212,2023,06
CLPI,4.06,60.16,17,05 Jun 2023,27 Jun 2023,4087835500,4056700,1725,B113,2023,06
CMNP,1.47,34.38,17,05 Jun 2023,27 Jun 2023,1952234500,1117400,1354,J112,2023,06
CMNT,10.19,27.21,17,05 Jun 2023,27 Jun 2023,590781622500,688731900,20555,B121,2023,06
CMPP,-1.41,-32.69,17,05 Jun 2023,27 Jun 2023,1132342800,8078100,1642,K111,2023,06
CMRY,-3.23,36.04,17,05 Jun 2023,27 Jun 2023,53122913000,12291100,11764,D221,2023,06
CNKO,0.0,0.0,17,05 Jun 2023,27 Jun 2023,18075000,361500,110,A122,2023,06
CNTB,0.0,0.0,17,05 Jun 2023,27 Jun 2023,0,0,0,E413,2023,06
CNTX,-28.24,-74.15,17,05 Jun 2023,27 Jun 2023,19899300,141000,40,E413,2023,06
COAL,-4.21,-9.0,17,05 Jun 2023,27 Jun 2023,91544198400,1002595000,77162,A121,2023,06
COCO,-1.68,18.18,17,05 Jun 2023,27 Jun 2023,346750200,1414400,894,D222,2023,06
COWL,0.0,-88.04,17,05 Jun 2023,27 Jun 2023,0,0,0,H111,2023,06
CPIN,6.57,-26.99,17,05 Jun 2023,27 Jun 2023,695897593500,136477600,50808,D231,2023,06
CPRI,0.0,-60.0,17,05 Jun 2023,27 Jun 2023,900000,18000,22,H111,2023,06
CPRO,1.96,4.0,17,05 Jun 2023,27 Jun 2023,57746285700,1098540400,16003,D231,2023,06
CRAB,3.48,58.67,17,05 Jun 2023,27 Jun 2023,18985327400,80526100,3152,D231,2023,06
CSAP,0.0,26.61,17,05 Jun 2023,27 Jun 2023,3296026000,4920600,462,E743,2023,06
CSIS,3.45,-81.01,17,05 Jun 2023,27 Jun 2023,2295175400,37925300,4794,H111,2023,06
CSMI,0.0,1507.14,17,05 Jun 2023,27 Jun 2023,0,0,0,E515,2023,06
CSRA,10.95,272.8,17,05 Jun 2023,27 Jun 2023,894331600,1964300,1614,D232,2023,06
CTBN,11.56,-48.37,17,05 Jun 2023,27 Jun 2023,126246500,57300,269,B144,2023,06
CTRA,-0.93,4.95,17,05 Jun 2023,27 Jun 2023,670590844500,592005500,48164,H111,2023,06
CTTH,0.0,-57.98,17,05 Jun 2023,27 Jun 2023,2300000,46000,21,C121,2023,06
CUAN,-3.43,284.09,17,05 Jun 2023,27 Jun 2023,164780580000,182141900,39631,A121,2023,06
DADA,0.0,-50.98,17,05 Jun 2023,27 Jun 2023,9230000,184600,44,H111,2023,06
DART,1.61,-47.93,17,05 Jun 2023,27 Jun 2023,46684500,376000,231,H111,2023,06
DAYA,-5.45,-9.05,17,05 Jun 2023,27 Jun 2023,309927600,1569000,675,D111,2023,06
DCII,3.54,8775.0,17,05 Jun 2023,27 Jun 2023,964535000,25800,83,I121,2023,06
DEAL,0.0,-90.57,17,05 Jun 2023,27 Jun 2023,38605000,772100,1219,K211,2023,06
DEFI,0.0,-20.05,17,05 Jun 2023,27 Jun 2023,0,0,0,G211,2023,06
DEPO,1.79,-5.81,17,05 Jun 2023,27 Jun 2023,535152200,1205300,471,E743,2023,06
DEWA,4.0,4.0,17,05 Jun 2023,27 Jun 2023,373626543700,6472097200,72552,A132,2023,06
DEWI,-66.15,9.0,17,05 Jun 2023,27 Jun 2023,446960673100,1360303300,145762,D231,2023,06
DFAM,4.11,-91.36,17,05 Jun 2023,27 Jun 2023,3783953400,47336500,8245,E512,2023,06
DGIK,-1.52,160.0,17,05 Jun 2023,27 Jun 2023,51290022800,388998300,26556,J211,2023,06
DGNS,-0.51,-1.5,17,05 Jun 2023,27 Jun 2023,472655200,2395500,1580,F121,2023,06
DIGI,0.0,-97.22,17,05 Jun 2023,27 Jun 2023,1040000,20800,41,E614,2023,06
DILD,12.38,-23.38,17,05 Jun 2023,27 Jun 2023,203700766000,881647900,58788,H111,2023,06
DIVA,-13.22,-83.7,17,05 Jun 2023,27 Jun 2023,680517000,1249200,922,I111,2023,06
