Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
AALI,0.67,-4.86,19,01 Feb 2021,26 Feb 2021,384147232500,34121400,34660,D232,2021,02
ABBA,32.14,-22.92,19,01 Feb 2021,26 Feb 2021,155859165000,2032241400,60802,E614,2021,02
ABDA,10.17,-6.81,19,01 Feb 2021,26 Feb 2021,190000000,31600,30,G412,2021,02
ABMM,4.9,-66.96,19,01 Feb 2021,26 Feb 2021,2632572500,3575300,1031,C311,2021,02
ACES,-2.24,2.35,19,01 Feb 2021,26 Feb 2021,1567463440000,998671900,126929,E743,2021,02
ACST,9.2,-75.56,19,01 Feb 2021,26 Feb 2021,451789101600,1147818500,88104,J211,2021,02
ADES,13.27,80.98,19,01 Feb 2021,26 Feb 2021,4225143500,2563500,2381,D212,2021,02
ADHI,1.47,-12.62,19,01 Feb 2021,26 Feb 2021,848748125500,579362300,122084,J211,2021,02
ADMF,1.49,-6.32,19,01 Feb 2021,26 Feb 2021,23015052500,2711000,4894,G211,2021,02
ADMG,18.79,-43.63,19,01 Feb 2021,26 Feb 2021,6784885500,39371500,8092,B111,2021,02
ADRO,-1.67,-2.88,19,01 Feb 2021,26 Feb 2021,2870682964000,2387389300,311518,A121,2021,02
AGAR,-0.48,274.55,19,01 Feb 2021,26 Feb 2021,24244600,62700,260,D231,2021,02
AGII,4.62,100.0,19,01 Feb 2021,26 Feb 2021,1227813537500,858079800,191378,B111,2021,02
AGRO,68.32,337.1,19,01 Feb 2021,26 Feb 2021,6773415065000,6119801900,655491,G111,2021,02
AGRS,70.48,50.42,19,01 Feb 2021,26 Feb 2021,9583442400,32683200,8924,G111,2021,02
AHAP,6.9,-27.06,19,01 Feb 2021,26 Feb 2021,489785500,8427800,2767,G412,2021,02
AIMS,-6.76,-23.33,19,01 Feb 2021,26 Feb 2021,513221100,3047700,1886,A121,2021,02
AISA,29.17,84.52,19,01 Feb 2021,26 Feb 2021,681495303600,2405474000,143972,D222,2021,02
AKKU,0.0,0.0,19,01 Feb 2021,26 Feb 2021,6860000,137200,95,E512,2021,02
AKPI,7.39,-34.13,19,01 Feb 2021,26 Feb 2021,75792200,155000,396,B113,2021,02
AKRA,18.66,-21.45,19,01 Feb 2021,26 Feb 2021,1673933921000,499992900,99256,A112,2021,02
AKSI,23.53,86.55,19,01 Feb 2021,26 Feb 2021,5333431500,7408600,2192,K211,2021,02
ALDO,-3.43,-32.84,19,01 Feb 2021,26 Feb 2021,923529700,2034400,962,B131,2021,02
ALKA,-5.69,-22.67,19,01 Feb 2021,26 Feb 2021,55750800,229500,352,B141,2021,02
ALMI,1.55,-34.5,19,01 Feb 2021,26 Feb 2021,85467400,338200,320,B141,2021,02
ALTO,1.18,-14.0,19,01 Feb 2021,26 Feb 2021,32349400,98500,181,D212,2021,02
AMAG,1.77,-29.45,19,01 Feb 2021,26 Feb 2021,390971600,1714000,509,G412,2021,02
AMAN,-8.7,167.27,19,01 Feb 2021,26 Feb 2021,1252228400,4069900,502,H111,2021,02
AMAR,9.76,55.17,19,01 Feb 2021,26 Feb 2021,27468955800,90300300,11112,G111,2021,02
AMFG,18.93,-9.76,19,01 Feb 2021,26 Feb 2021,7463995000,2347900,484,C121,2021,02
AMIN,-10.53,-44.39,19,01 Feb 2021,26 Feb 2021,213172000,783800,675,C143,2021,02
AMOR,-2.2,63.68,19,01 Feb 2021,26 Feb 2021,103415410000,32430600,14090,G311,2021,02
AMRT,30.77,9.09,19,01 Feb 2021,26 Feb 2021,74670702500,78728100,16102,D113,2021,02
ANDI,-3.85,-97.5,19,01 Feb 2021,26 Feb 2021,9686768500,187967000,8095,D232,2021,02
ANJT,3.91,-42.17,19,01 Feb 2021,26 Feb 2021,411143500,632800,623,D232,2021,02
ANTM,27.93,271.24,19,01 Feb 2021,26 Feb 2021,40640837958000,15172405700,1913253,B146,2021,02
APEX,-26.57,-68.75,19,01 Feb 2021,26 Feb 2021,3420229500,6030400,3600,A131,2021,02
APIC,5.81,51.85,19,01 Feb 2021,26 Feb 2021,326612577000,398967900,28600,G511,2021,02
APII,2.35,-6.45,19,01 Feb 2021,26 Feb 2021,581773000,3354400,899,C143,2021,02
APLI,2.11,130.95,19,01 Feb 2021,26 Feb 2021,822926500,4044800,597,B113,2021,02
APLN,12.18,15.13,19,01 Feb 2021,26 Feb 2021,318824249800,1790128400,76479,H111,2021,02
ARGO,1.4,118.79,19,01 Feb 2021,26 Feb 2021,410433000,228100,664,E413,2021,02
ARII,-22.94,-81.33,19,01 Feb 2021,26 Feb 2021,816747000,4637700,1492,A121,2021,02
ARKA,0.0,-78.81,19,01 Feb 2021,26 Feb 2021,333175000,6663500,564,C143,2021,02
ARMY,0.0,-84.28,19,01 Feb 2021,26 Feb 2021,0,0,0,H111,2021,02
ARNA,12.12,76.19,19,01 Feb 2021,26 Feb 2021,43269666000,60479900,6865,C121,2021,02
ARTA,6.4,-79.69,19,01 Feb 2021,26 Feb 2021,51878800,185900,258,E512,2021,02
ARTI,0.0,0.0,19,01 Feb 2021,26 Feb 2021,13955000,279100,291,A132,2021,02
ARTO,49.25,5334.78,19,01 Feb 2021,26 Feb 2021,1362063442500,149912200,94903,G111,2021,02
ASBI,0.0,16.8,19,01 Feb 2021,26 Feb 2021,11586800,39600,81,G412,2021,02
ASDM,-1.68,-24.46,19,01 Feb 2021,26 Feb 2021,37231000,41900,116,G412,2021,02
ASGR,3.25,-40.23,19,01 Feb 2021,26 Feb 2021,6537512500,8258400,1878,C224,2021,02
ASII,-11.48,-34.35,19,01 Feb 2021,26 Feb 2021,7556039252500,1293447600,348438,C311,2021,02
ASJT,29.81,-25.0,19,01 Feb 2021,26 Feb 2021,1370115000,6129400,1311,G412,2021,02
ASMI,-0.53,34.29,19,01 Feb 2021,26 Feb 2021,202636500,213600,250,G412,2021,02
ASPI,3.12,-37.14,19,01 Feb 2021,26 Feb 2021,4922274300,73858600,4218,H111,2021,02
ASRI,22.92,-24.36,19,01 Feb 2021,26 Feb 2021,774975985300,3301734200,154427,H111,2021,02
ASRM,5.08,-34.04,19,01 Feb 2021,26 Feb 2021,58018000,37300,129,G412,2021,02
ASSA,55.9,244.78,19,01 Feb 2021,26 Feb 2021,732683023500,643177300,97961,K132,2021,02
ATAP,7.41,16.0,19,01 Feb 2021,26 Feb 2021,1601688100,12894200,2743,H111,2021,02
ATIC,12.98,-17.78,19,01 Feb 2021,26 Feb 2021,384749500,508400,921,I121,2021,02
AUTO,3.96,-28.57,19,01 Feb 2021,26 Feb 2021,53098358500,50160500,13049,E111,2021,02
AYLS,0.0,-50.0,19,01 Feb 2021,26 Feb 2021,657082700,12747600,669,B121,2021,02
BABP,40.0,40.0,19,01 Feb 2021,26 Feb 2021,288235098800,4201517000,103821,G111,2021,02
BACA,110.11,163.33,19,01 Feb 2021,26 Feb 2021,966887104200,1456649200,125781,G111,2021,02
BAJA,3.39,7.96,19,01 Feb 2021,26 Feb 2021,1447628700,11912600,2600,B144,2021,02
BALI,-8.97,-54.49,19,01 Feb 2021,26 Feb 2021,1265512000,1783700,967,J321,2021,02
BANK,1880.58,1880.58,19,01 Feb 2021,26 Feb 2021,2254326303400,1656370900,345269,G111,2021,02
BAPA,0.0,-54.13,19,01 Feb 2021,26 Feb 2021,170507900,3392900,124,H111,2021,02
BAPI,0.0,-66.67,19,01 Feb 2021,26 Feb 2021,67060000,1341200,153,H111,2021,02
