,Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
0,AALI,13.33,4.23,21,02 Nov 2020,30 Nov 2020,812449212500,72450000,54838,12--,2020,11
1,ABBA,42.0,-26.04,21,02 Nov 2020,30 Nov 2020,49851525000,717263400,22037,95--,2020,11
2,ABDA,-7.36,-14.34,21,02 Nov 2020,30 Nov 2020,22957500,3800,20,84--,2020,11
3,ABMM,-15.57,-68.94,21,02 Nov 2020,30 Nov 2020,1068606500,1462800,732,98--,2020,11
4,ACES,1.28,6.38,21,02 Nov 2020,30 Nov 2020,560141733500,337274000,103257,93--,2020,11
5,ACST,30.3,-83.41,21,02 Nov 2020,30 Nov 2020,848559886200,3512963300,138607,62--,2020,11
6,ADES,8.58,37.5,21,02 Nov 2020,30 Nov 2020,5045524500,4029400,2620,51--,2020,11
7,ADHI,89.57,-31.23,21,02 Nov 2020,30 Nov 2020,1631128628000,1783631200,168246,62--,2020,11
8,ADMF,15.23,-4.4,21,02 Nov 2020,30 Nov 2020,26021837500,3166500,4738,82--,2020,11
9,ADMG,10.45,-52.87,21,02 Nov 2020,30 Nov 2020,8284167700,55654900,5984,34--,2020,11
10,ADRO,23.56,14.4,21,02 Nov 2020,30 Nov 2020,3347107047000,2658843700,255977,21--,2020,11
11,AGAR,-10.0,309.09,21,02 Nov 2020,30 Nov 2020,48288600,109100,143,91--,2020,11
12,AGII,39.53,32.35,21,02 Nov 2020,30 Nov 2020,49192321000,59532600,7528,34--,2020,11
13,AGRO,45.16,74.19,21,02 Nov 2020,30 Nov 2020,1587602964000,3431855600,207936,81--,2020,11
14,AGRS,-9.83,-34.45,21,02 Nov 2020,30 Nov 2020,179985700,1124400,642,81--,2020,11
15,AHAP,1.75,-31.76,21,02 Nov 2020,30 Nov 2020,108144500,1913700,668,84--,2020,11
16,AIMS,17.56,-14.44,21,02 Nov 2020,30 Nov 2020,37725500,259900,286,91--,2020,11
17,AISA,32.71,69.05,21,02 Nov 2020,30 Nov 2020,669385521200,2507618500,105444,51--,2020,11
18,AKKU,0.0,0.0,21,02 Nov 2020,30 Nov 2020,8670000,173400,88,94--,2020,11
19,AKPI,30.07,-50.4,21,02 Nov 2020,30 Nov 2020,97824600,288300,197,35--,2020,11
20,AKRA,8.58,-32.17,21,02 Nov 2020,30 Nov 2020,2004550299000,696794900,93215,91--,2020,11
21,AKSI,9.44,0.0,21,02 Nov 2020,30 Nov 2020,181807000,467800,565,74--,2020,11
22,ALDO,-7.14,-41.79,21,02 Nov 2020,30 Nov 2020,695692400,1669000,132,38--,2020,11
23,ALKA,37.14,-4.0,21,02 Nov 2020,30 Nov 2020,100591400,380000,334,33--,2020,11
24,ALMI,4.17,-37.5,21,02 Nov 2020,30 Nov 2020,101608800,409700,225,33--,2020,11
25,ALTO,-4.52,-26.0,21,02 Nov 2020,30 Nov 2020,189962000,645900,236,51--,2020,11
26,AMAG,7.69,-35.58,21,02 Nov 2020,30 Nov 2020,829715600,3921300,978,84--,2020,11
27,AMAN,18.6,178.18,21,02 Nov 2020,30 Nov 2020,4530636600,16339200,1935,61--,2020,11
28,AMAR,4.61,82.76,21,02 Nov 2020,30 Nov 2020,622923600,1984600,618,81--,2020,11
29,AMFG,12.97,-26.83,21,02 Nov 2020,30 Nov 2020,2293114000,867100,204,32--,2020,11
30,AMIN,-6.67,-34.58,21,02 Nov 2020,30 Nov 2020,11507000,41300,139,41--,2020,11
31,AMOR,14.98,37.37,21,02 Nov 2020,30 Nov 2020,26460902000,10526500,3304,83--,2020,11
32,AMRT,4.41,-24.06,21,02 Nov 2020,30 Nov 2020,11786380000,16513600,5658,93--,2020,11
33,ANDI,0.0,-97.5,21,02 Nov 2020,30 Nov 2020,21007598200,414858900,7852,12--,2020,11
34,ANJT,10.17,-43.48,21,02 Nov 2020,30 Nov 2020,797853000,1229200,733,12--,2020,11
35,ANTM,8.53,49.67,21,02 Nov 2020,30 Nov 2020,9529037036000,7997572900,465524,23--,2020,11
36,APEX,3.12,-90.18,21,02 Nov 2020,30 Nov 2020,176749300,1114200,480,22--,2020,11
