Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
AALI,-22.92,-19.66,247,04 Jan 2021,30 Dec 2021,5827431010000,578974100,497045,D232,2021,0
ABBA,331.71,268.75,247,04 Jan 2021,30 Dec 2021,4388441810400,17999680900,1101707,E614,2021,0
ABDA,4.93,-16.13,247,04 Jan 2021,30 Dec 2021,1182437500,193800,237,G412,2021,0
ABMM,86.84,-37.44,247,04 Jan 2021,30 Dec 2021,1233843566000,870675000,116529,C311,2021,0
ACES,-25.36,-14.09,247,04 Jan 2021,30 Dec 2021,8246981496000,5604780500,1058520,E743,2021,0
ACST,-52.27,-86.5,247,04 Jan 2021,30 Dec 2021,3532103579600,10031745000,778896,J211,2021,0
ADES,125.34,257.61,247,04 Jan 2021,30 Dec 2021,140844143000,59060700,44756,D212,2021,0
ADHI,-41.69,-43.53,247,04 Jan 2021,30 Dec 2021,7926668143000,6666622900,1138589,J211,2021,0
ADMF,-14.21,-15.38,247,04 Jan 2021,30 Dec 2021,280955932500,34617600,53125,G211,2021,0
ADMG,-13.68,-35.67,247,04 Jan 2021,30 Dec 2021,364271478100,1674698600,212458,B111,2021,0
ADRO,57.34,85.19,247,04 Jan 2021,30 Dec 2021,43426591482500,28527507900,2999763,A121,2021,0
AGAR,-7.54,234.55,247,04 Jan 2021,30 Dec 2021,1835898000,4311200,6164,D231,2021,0
AGII,68.33,122.79,247,04 Jan 2021,30 Dec 2021,8016852121500,5297251400,1309583,B111,2021,0
AGRO,74.88,483.87,247,04 Jan 2021,30 Dec 2021,49367286075000,32203047700,4418194,G111,2021,0
AGRS,-18.63,-30.25,247,04 Jan 2021,30 Dec 2021,2683824980800,10616704400,790800,G111,2021,0
AHAP,5.71,-12.94,247,04 Jan 2021,30 Dec 2021,180950937900,2482730100,232047,G412,2021,0
AIMS,171.62,123.33,247,04 Jan 2021,30 Dec 2021,83886785700,194239400,76460,A121,2021,0
AISA,-50.77,14.29,247,04 Jan 2021,30 Dec 2021,2240494839500,8045057700,550985,D222,2021,0
AKKU,0.0,0.0,247,04 Jan 2021,30 Dec 2021,10579316900,195173000,19000,E512,2021,0
AKPI,103.6,50.67,247,04 Jan 2021,30 Dec 2021,12372112000,16394000,14257,B113,2021,0
AKRA,29.25,-4.2,247,04 Jan 2021,30 Dec 2021,11271002879000,3145700100,761194,A112,2021,0
AKSI,113.77,124.62,247,04 Jan 2021,30 Dec 2021,21032677700,30589200,17366,K211,2021,0
ALDO,75.44,49.25,247,04 Jan 2021,30 Dec 2021,1092153925500,1328260900,224139,B131,2021,0
ALKA,-2.29,-14.67,247,04 Jan 2021,30 Dec 2021,2703054000,10544900,9503,B141,2021,0
ALMI,20.97,-25.0,247,04 Jan 2021,30 Dec 2021,1860943200,7182800,5517,B141,2021,0
ALTO,-9.09,-30.0,247,04 Jan 2021,30 Dec 2021,2615826600,8657000,4697,D212,2021,0
AMAG,48.67,3.07,247,04 Jan 2021,30 Dec 2021,45143892400,146105900,28017,G412,2021,0
AMAN,68.27,377.27,247,04 Jan 2021,30 Dec 2021,123274131900,282099800,26527,H111,2021,0
AMAR,36.62,122.99,247,04 Jan 2021,30 Dec 2021,1268219243500,3298217300,405858,G111,2021,0
AMFG,64.44,20.33,247,04 Jan 2021,30 Dec 2021,74938520000,19541100,6438,C121,2021,0
AMIN,-25.78,-55.61,247,04 Jan 2021,30 Dec 2021,18344361400,78908200,32670,C143,2021,0
AMOR,-35.74,-1.58,247,04 Jan 2021,30 Dec 2021,1447800808000,413153000,255959,G311,2021,0
AMRT,51.88,29.95,247,04 Jan 2021,30 Dec 2021,6959955205000,5711236600,754960,D113,2021,0
ANDI,-5.66,-97.5,247,04 Jan 2021,30 Dec 2021,172246240200,3191889400,100697,D232,2021,0
ANJT,34.69,-13.91,247,04 Jan 2021,30 Dec 2021,12872002500,15260500,10559,D232,2021,0
ANTM,16.28,194.12,247,04 Jan 2021,30 Dec 2021,163749391963000,63397506800,8801270,B146,2021,0
APEX,107.32,-49.4,247,04 Jan 2021,30 Dec 2021,63592532700,81878200,56189,A131,2021,0
APIC,42.04,106.48,247,04 Jan 2021,30 Dec 2021,2416241072500,2824952000,372533,G511,2021,0
APII,42.86,18.28,247,04 Jan 2021,30 Dec 2021,40408140000,187068100,41166,C143,2021,0
APLI,4.04,145.24,247,04 Jan 2021,30 Dec 2021,8094276800,39977900,4711,B113,2021,0
APLN,-35.11,-19.74,247,04 Jan 2021,30 Dec 2021,1702685612500,9751403700,468640,H111,2021,0
ARGO,-16.11,98.79,247,04 Jan 2021,30 Dec 2021,3322215500,1860100,4269,E413,2021,0
ARII,-36.87,-72.22,247,04 Jan 2021,30 Dec 2021,39937795000,117650000,38431,A121,2021,0
ARKA,-1.82,-77.12,247,04 Jan 2021,30 Dec 2021,810195141000,10689010500,518301,C143,2021,0
ARMY,0.0,-84.28,247,04 Jan 2021,30 Dec 2021,0,0,0,H111,2021,0
ARNA,17.65,90.48,247,04 Jan 2021,30 Dec 2021,393899254500,524274500,103415,C121,2021,0
ARTA,837.5,83.21,247,04 Jan 2021,30 Dec 2021,40467750800,39147700,27247,E512,2021,0
ARTI,0.0,0.0,247,04 Jan 2021,30 Dec 2021,392930000,7858600,2565,A132,2021,0
ARTO,272.09,8595.65,247,04 Jan 2021,30 Dec 2021,64749539296000,4660996500,2787866,G111,2021,0
ASBI,-5.16,17.6,247,04 Jan 2021,30 Dec 2021,36051140200,105005600,41164,G412,2021,0
ASDM,7.3,-18.03,247,04 Jan 2021,30 Dec 2021,5343554000,5599200,6181,G412,2021,0
ASGR,3.12,-37.97,247,04 Jan 2021,30 Dec 2021,117029759500,155777500,36512,C224,2021,0
ASII,-5.39,-30.7,247,04 Jan 2021,30 Dec 2021,67400383852500,12019462100,2482674,C311,2021,0
ASJT,-30.5,-61.39,247,04 Jan 2021,30 Dec 2021,85396646100,512559400,71359,G412,2021,0
ASMI,-73.74,-62.86,247,04 Jan 2021,30 Dec 2021,52322677000,171627100,49444,G412,2021,0
ASPI,-26.0,-29.52,247,04 Jan 2021,30 Dec 2021,222619671000,3076792600,244406,H111,2021,0
ASRI,-33.06,-48.08,247,04 Jan 2021,30 Dec 2021,3698739403300,16974639900,890671,H111,2021,0
ASRM,0.89,-27.87,247,04 Jan 2021,30 Dec 2021,1982733500,1216700,2355,G412,2021,0
ASSA,422.83,812.09,247,04 Jan 2021,30 Dec 2021,11158096734000,5225555800,1132465,K132,2021,0
ATAP,19.08,81.0,247,04 Jan 2021,30 Dec 2021,277241293200,1462590900,243388,H111,2021,0
ATIC,39.13,-11.11,247,04 Jan 2021,30 Dec 2021,174730296500,182205200,89541,I121,2021,0
AUTO,3.59,-21.43,247,04 Jan 2021,30 Dec 2021,763363658000,654571700,194361,E111,2021,0
AYLS,648.0,274.0,247,04 Jan 2021,30 Dec 2021,2653892486400,13124187600,1232876,B121,2021,0
BABP,272.0,272.0,247,04 Jan 2021,30 Dec 2021,26044928960300,94467703700,6149091,G111,2021,0
BACA,-29.26,-11.33,247,04 Jan 2021,30 Dec 2021,11439380038500,23354334400,2000759,G111,2021,0
BAJA,187.93,195.58,247,04 Jan 2021,30 Dec 2021,656772658100,1877127900,337793,B144,2021,0
BALI,9.38,-43.91,247,04 Jan 2021,30 Dec 2021,377363161000,449092800,93220,J321,2021,0
BAPA,36.0,-37.61,247,04 Jan 2021,30 Dec 2021,343336732700,4955058000,258635,H111,2021,0
BAPI,0.0,-66.67,247,04 Jan 2021,30 Dec 2021,1445840000,28916800,3639,H111,2021,0
BATA,-22.52,-18.0,247,04 Jan 2021,30 Dec 2021,1892548200,3164200,2730,E412,2021,0
BAYU,1.35,-41.6,247,04 Jan 2021,30 Dec 2021,1235625000,1122600,1599,E513,2021,0
BBCA,-78.43,-71.92,247,04 Jan 2021,30 Dec 2021,135523368557500,7307128900,3709005,G111,2021,0
BBHI,1568.63,4037.43,247,04 Jan 2021,30 Dec 2021,7204803821800,2588977500,1026184,G111,2021,0
BBKP,-53.04,-0.74,247,04 Jan 2021,30 Dec 2021,36616685834400,73676828500,3795749,G111,2021,0
BBLD,0.54,-21.61,247,04 Jan 2021,30 Dec 2021,7870433400,20242100,5500,G211,2021,0
BBMD,33.33,44.93,247,04 Jan 2021,30 Dec 2021,11821931000,7020900,5649,G111,2021,0
BBNI,9.31,-23.3,247,04 Jan 2021,30 Dec 2021,46155373076000,7708785900,2217714,G111,2021,0
BBRI,-1.44,12.3,247,04 Jan 2021,30 Dec 2021,158146748416000,38058526600,5775628,G111,2021,0
BBRM,0.0,0.0,247,04 Jan 2021,30 Dec 2021,6377619700,121069400,13318,A122,2021,0
BBSI,418.07,795.83,247,04 Jan 2021,30 Dec 2021,108478979500,32670400,36799,G111,2021,0
BBSS,-50.98,-58.33,247,04 Jan 2021,30 Dec 2021,266050808400,4012937400,190079,H111,2021,0
BBTN,0.29,-31.89,247,04 Jan 2021,30 Dec 2021,18316317522500,10859463500,1511789,G111,2021,0
BBYB,782.55,826.06,247,04 Jan 2021,30 Dec 2021,30016834910300,22066568300,3059812,G111,2021,0
BCAP,-54.07,-58.94,247,04 Jan 2021,30 Dec 2021,3283961518100,22103601400,2025871,G511,2021,0
BCIC,-70.57,-54.22,247,04 Jan 2021,30 Dec 2021,721749855200,2771498200,292987,G111,2021,0
BCIP,22.67,3.37,247,04 Jan 2021,30 Dec 2021,1196272879100,11925275100,569328,H111,2021,0
BDMN,-25.16,-69.08,247,04 Jan 2021,30 Dec 2021,2845109670000,1078189800,369385,G111,2021,0
BEEF,-52.5,-77.65,247,04 Jan 2021,30 Dec 2021,359170479500,3508468900,282725,D222,2021,0
BEKS,-44.9,8.0,247,04 Jan 2021,30 Dec 2021,9304015743000,98033225000,1841361,G111,2021,0
