,Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
285,IPCM,-20.0,-20.0,22,02 Jan 2019,31 Jan 2019,17362722200,40842400,1649,,2019,01
286,IPOL,2.25,2.25,22,02 Jan 2019,31 Jan 2019,869172000,9495100,1188,,2019,01
287,ISAT,62.61,62.61,22,02 Jan 2019,31 Jan 2019,1010997789000,417585700,90008,,2019,01
288,ISSP,44.05,44.05,22,02 Jan 2019,31 Jan 2019,95947700400,900666700,31139,,2019,01
289,ITMA,-5.45,-5.45,22,02 Jan 2019,31 Jan 2019,1265563000,1557500,679,,2019,01
290,ITMG,12.59,12.59,22,02 Jan 2019,31 Jan 2019,930666165000,42479100,67686,,2019,01
291,ITTG,0.0,0.0,22,02 Jan 2019,31 Jan 2019,0,0,0,,2019,01
292,JAWA,0.0,0.0,22,02 Jan 2019,31 Jan 2019,25339900,180200,167,,2019,01
293,JECC,-3.76,-3.76,22,02 Jan 2019,31 Jan 2019,72472000,11600,12,,2019,01
294,JGLE,0.0,0.0,22,02 Jan 2019,31 Jan 2019,11915000,238300,47,,2019,01
295,JIHD,4.51,4.51,22,02 Jan 2019,31 Jan 2019,76710200,155800,106,,2019,01
296,JKON,9.89,9.89,22,02 Jan 2019,31 Jan 2019,117859000,304300,305,,2019,01
297,JKSW,-1.69,-1.69,22,02 Jan 2019,31 Jan 2019,227820800,3726900,1112,,2019,01
298,JMAS,-0.56,-0.56,22,02 Jan 2019,31 Jan 2019,92719500,101900,120,,2019,01
299,JPFA,36.28,36.28,22,02 Jan 2019,31 Jan 2019,780570969000,316658300,68093,,2019,01
300,JRPT,-21.62,-21.62,22,02 Jan 2019,31 Jan 2019,37604319000,57338500,3722,,2019,01
301,JSKY,-1.47,-1.47,22,02 Jan 2019,31 Jan 2019,30386701000,32842600,5413,,2019,01
302,JSMR,14.95,14.95,22,02 Jan 2019,31 Jan 2019,937078280500,192787600,70075,,2019,01
303,JSPT,3.09,3.09,22,02 Jan 2019,31 Jan 2019,80376000,79700,100,,2019,01
304,JTPE,27.02,27.02,22,02 Jan 2019,31 Jan 2019,125473588600,227054600,13921,,2019,01
305,KAEF,13.46,13.46,22,02 Jan 2019,31 Jan 2019,196807763000,62894500,12049,,2019,01
306,KARW,3.57,3.57,22,02 Jan 2019,31 Jan 2019,174088600,2034700,480,,2019,01
307,KBLI,1.32,1.32,22,02 Jan 2019,31 Jan 2019,57433307800,178308200,15214,,2019,01
308,KBLM,-0.8,-0.8,22,02 Jan 2019,31 Jan 2019,1286904600,5212800,1370,,2019,01
309,KBLV,-28.57,-28.57,22,02 Jan 2019,31 Jan 2019,419381500,671000,242,,2019,01
310,KBRI,0.0,0.0,22,02 Jan 2019,31 Jan 2019,31155000,623100,241,,2019,01
311,KDSI,-3.0,-3.0,22,02 Jan 2019,31 Jan 2019,7282651000,7668600,2425,,2019,01
312,KIAS,0.0,0.0,22,02 Jan 2019,31 Jan 2019,0,0,0,,2019,01
313,KICI,0.7,0.7,22,02 Jan 2019,31 Jan 2019,24146600,91100,64,,2019,01
314,KIJA,-5.8,-5.8,22,02 Jan 2019,31 Jan 2019,31973109400,122184900,4280,,2019,01
315,KINO,6.79,6.79,22,02 Jan 2019,31 Jan 2019,50732352000,17234600,5538,,2019,01
316,KIOS,-46.92,-46.92,22,02 Jan 2019,31 Jan 2019,3023043000,1289700,759,,2019,01
317,KKGI,-3.95,-3.95,22,02 Jan 2019,31 Jan 2019,2162046600,6072600,177,,2019,01
318,KLBF,5.26,5.26,22,02 Jan 2019,31 Jan 2019,697773657500,437044100,63462,,2019,01
319,KMTR,31.11,31.11,22,02 Jan 2019,31 Jan 2019,5087078400,14365000,4044,,2019,01
320,KOBX,9.32,9.32,22,02 Jan 2019,31 Jan 2019,2996510000,16892900,3483,,2019,01
321,KOIN,8.62,8.62,22,02 Jan 2019,31 Jan 2019,934400,4600,26,,2019,01
322,KONI,-44.17,-44.17,22,02 Jan 2019,31 Jan 2019,203263900,419900,571,,2019,01
323,KOPI,2.05,2.05,22,02 Jan 2019,31 Jan 2019,644028000,873100,960,,2019,01
324,KPAL,0.0,0.0,22,02 Jan 2019,31 Jan 2019,6164080200,18480500,4500,,2019,01
325,KPAS,-63.6,-63.6,22,02 Jan 2019,31 Jan 2019,706214958000,2518059600,264096,,2019,01
326,KPIG,-2.88,-2.88,22,02 Jan 2019,31 Jan 2019,609262900,4630300,476,,2019,01
327,KRAH,3.69,3.69,22,02 Jan 2019,31 Jan 2019,635846000,256000,357,,2019,01
328,KRAS,22.89,22.89,22,02 Jan 2019,31 Jan 2019,198669407200,425805300,26756,,2019,01
329,KREN,-5.34,-5.34,22,02 Jan 2019,31 Jan 2019,1663165143500,2681057600,107028,,2019,01
330,LAND,27.84,27.84,22,02 Jan 2019,31 Jan 2019,30616171000,27813700,14266,,2019,01
331,LAPD,0.0,0.0,22,02 Jan 2019,31 Jan 2019,16275000,325500,269,,2019,01
332,LCGP,-0.77,-0.77,22,02 Jan 2019,31 Jan 2019,18647023800,143435000,3497,,2019,01
333,LCKM,15.11,15.11,22,02 Jan 2019,31 Jan 2019,217281000,711000,172,,2019,01
334,LEAD,28.0,28.0,22,02 Jan 2019,31 Jan 2019,104955935000,1588694000,42193,,2019,01
335,LINK,-11.02,-11.02,22,02 Jan 2019,31 Jan 2019,30564628000,6848800,9499,,2019,01
336,LION,-4.41,-4.41,22,02 Jan 2019,31 Jan 2019,39794500,65500,28,,2019,01
337,LMAS,3.45,3.45,22,02 Jan 2019,31 Jan 2019,283926800,4828400,229,,2019,01
338,LMPI,1.39,1.39,22,02 Jan 2019,31 Jan 2019,10639300,75500,66,,2019,01
339,LMSH,3.45,3.45,22,02 Jan 2019,31 Jan 2019,15027000,26300,20,,2019,01
340,LPCK,61.36,61.36,22,02 Jan 2019,31 Jan 2019,92199580500,40700000,18082,,2019,01
341,LPGI,0.0,0.0,22,02 Jan 2019,31 Jan 2019,1290000,300,3,,2019,01
342,LPIN,-9.55,-9.55,22,02 Jan 2019,31 Jan 2019,28878500,31100,74,,2019,01
343,LPKR,10.24,10.24,22,02 Jan 2019,31 Jan 2019,281219277200,999098500,38601,,2019,01
344,LPLI,6.54,6.54,22,02 Jan 2019,31 Jan 2019,86259400,804400,333,,2019,01
345,LPPF,25.0,25.0,22,02 Jan 2019,31 Jan 2019,874349202500,137070700,69143,,2019,01
346,LPPS,2.94,2.94,22,02 Jan 2019,31 Jan 2019,689181600,6612900,1196,,2019,01
347,LRNA,1.87,1.87,22,02 Jan 2019,31 Jan 2019,42388900,399400,366,,2019,01
348,LSIP,17.6,17.6,22,02 Jan 2019,31 Jan 2019,464945675500,329111500,39049,,2019,01
349,LTLS,-5.69,-5.69,22,02 Jan 2019,31 Jan 2019,3113337500,5432700,511,,2019,01
350,LUCK,-2.11,-2.11,22,02 Jan 2019,31 Jan 2019,2804193500,4001600,1198,,2019,01
351,MABA,-37.27,-37.27,22,02 Jan 2019,31 Jan 2019,4186298914600,23944716600,19929,,2019,01
352,MAGP,0.0,0.0,22,02 Jan 2019,31 Jan 2019,96910000,1938200,277,,2019,01
353,MAIN,26.16,26.16,22,02 Jan 2019,31 Jan 2019,363881397000,235462800,43111,,2019,01
354,MAMI,9.17,9.17,22,02 Jan 2019,31 Jan 2019,236534598200,1838133400,18442,,2019,01
355,MAMIP,0.0,0.0,22,02 Jan 2019,31 Jan 2019,0,0,0,,2019,01
356,MAPA,16.22,16.22,22,02 Jan 2019,31 Jan 2019,858250000,215300,109,,2019,01
357,MAPB,3.35,3.35,22,02 Jan 2019,31 Jan 2019,137224500,75900,180,,2019,01
358,MAPI,24.84,24.84,22,02 Jan 2019,31 Jan 2019,561982837500,604566700,44021,,2019,01
359,MARI,-4.65,-4.65,22,02 Jan 2019,31 Jan 2019,54725410000,218281900,3672,,2019,01
360,MARK,8.31,8.31,22,02 Jan 2019,31 Jan 2019,13635860000,6716900,3058,,2019,01
361,MASA,5.56,5.56,22,02 Jan 2019,31 Jan 2019,258525168000,340768100,18857,,2019,01
362,MAYA,-1.78,-1.78,22,02 Jan 2019,31 Jan 2019,1390000,200,2,,2019,01
363,MBAP,4.91,4.91,22,02 Jan 2019,31 Jan 2019,6389317000,2149900,1709,,2019,01
364,MBSS,22.95,22.95,22,02 Jan 2019,31 Jan 2019,41205031500,73130900,11119,,2019,01
365,MBTO,14.29,14.29,22,02 Jan 2019,31 Jan 2019,200392200,1562200,356,,2019,01
366,MCAS,0.31,0.31,22,02 Jan 2019,31 Jan 2019,278273539000,89830600,10267,,2019,01
367,MCOR,19.01,19.01,22,02 Jan 2019,31 Jan 2019,20055309600,121631500,6864,,2019,01
368,MDIA,0.74,0.74,22,02 Jan 2019,31 Jan 2019,4449408800,32164100,1708,,2019,01
369,MDKA,-1.71,-1.71,22,02 Jan 2019,31 Jan 2019,13013826000,3970000,1538,,2019,01
370,MDKI,-7.41,-7.41,22,02 Jan 2019,31 Jan 2019,271981400,1067600,405,,2019,01
371,MDLN,0.0,0.0,22,02 Jan 2019,31 Jan 2019,68760318000,302255000,7257,,2019,01
372,MDRN,0.0,0.0,22,02 Jan 2019,31 Jan 2019,10540000,210800,18,,2019,01
373,MEDC,47.45,47.45,22,02 Jan 2019,31 Jan 2019,1002693597000,1139532800,77815,,2019,01
374,MEGA,-1.43,-1.43,22,02 Jan 2019,31 Jan 2019,27635000,5700,10,,2019,01
375,MERK,-0.7,-0.7,22,02 Jan 2019,31 Jan 2019,44646348000,10471800,13274,,2019,01
376,META,4.85,4.85,22,02 Jan 2019,31 Jan 2019,7075253400,32048700,1833,,2019,01
377,MFIN,11.3,11.3,22,02 Jan 2019,31 Jan 2019,4485537500,4719400,916,,2019,01
378,MFMI,-15.0,-15.0,22,02 Jan 2019,31 Jan 2019,51594000,72200,80,,2019,01
379,MGNA,0.0,0.0,22,02 Jan 2019,31 Jan 2019,653171800,12782700,1137,,2019,01
380,MGRO,0.5,0.5,22,02 Jan 2019,31 Jan 2019,297585065000,312900600,43473,,2019,01
381,MICE,1.08,1.08,22,02 Jan 2019,31 Jan 2019,2542201400,6767100,2099,,2019,01
382,MIDI,-4.67,-4.67,22,02 Jan 2019,31 Jan 2019,10414720000,10214400,14,,2019,01
383,MIKA,-4.13,-4.13,22,02 Jan 2019,31 Jan 2019,102243352500,63364300,13007,,2019,01
384,MINA,-14.19,-14.19,22,02 Jan 2019,31 Jan 2019,17245399000,22128000,1728,,2019,01
385,MIRA,0.0,0.0,22,02 Jan 2019,31 Jan 2019,27300000,546000,86,,2019,01
386,MITI,4.0,4.0,22,02 Jan 2019,31 Jan 2019,7820153100,140551000,8295,,2019,01
387,MKNT,-7.69,-7.69,22,02 Jan 2019,31 Jan 2019,2801035600,15183000,925,,2019,01
388,MKPI,-24.56,-24.56,22,02 Jan 2019,31 Jan 2019,259925000,14700,73,,2019,01
389,MLBI,1.25,1.25,22,02 Jan 2019,31 Jan 2019,3439835000,215100,443,,2019,01
390,MLIA,4.15,4.15,22,02 Jan 2019,31 Jan 2019,15151787500,12545300,4968,,2019,01
391,MLPL,60.81,60.81,22,02 Jan 2019,31 Jan 2019,45899048700,451812400,15697,,2019,01
392,MLPT,-1.09,-1.09,22,02 Jan 2019,31 Jan 2019,96265500,102600,108,,2019,01
393,MMLP,-7.69,-7.69,22,02 Jan 2019,31 Jan 2019,3740142200,7494000,699,,2019,01
394,MNCN,22.46,22.46,22,02 Jan 2019,31 Jan 2019,697535302000,863195800,58806,,2019,01
395,MOLI,-1.82,-1.82,22,02 Jan 2019,31 Jan 2019,5625508500,5276100,528,,2019,01
396,MPMX,0.55,0.55,22,02 Jan 2019,31 Jan 2019,33110121500,36301400,3056,,2019,01
397,MPOW,-5.26,-5.26,22,02 Jan 2019,31 Jan 2019,68941700,639200,347,,2019,01
398,MPPA,19.74,19.74,22,02 Jan 2019,31 Jan 2019,27130665500,147844200,14325,,2019,01
399,MPRO,0.65,0.65,22,02 Jan 2019,31 Jan 2019,5029127000,6450100,1685,,2019,01
400,MRAT,-7.82,-7.82,22,02 Jan 2019,31 Jan 2019,3375735100,19507900,1471,,2019,01
401,MREI,33.33,33.33,22,02 Jan 2019,31 Jan 2019,73455000,13100,23,,2019,01
402,MSIN,-4.49,-4.49,22,02 Jan 2019,31 Jan 2019,2295114800,7517200,1948,,2019,01
403,MSKY,21.19,21.19,22,02 Jan 2019,31 Jan 2019,16874810000,20567500,345,,2019,01
404,MTDL,3.47,3.47,22,02 Jan 2019,31 Jan 2019,72789163500,84070900,10049,,2019,01
405,MTFN,0.0,0.0,22,02 Jan 2019,31 Jan 2019,0,0,0,,2019,01
406,MTLA,0.0,0.0,22,02 Jan 2019,31 Jan 2019,399069200,938600,162,,2019,01
407,MTRA,6.11,6.11,22,02 Jan 2019,31 Jan 2019,1815900800,4863100,854,,2019,01
408,MTSM,-26.09,-26.09,22,02 Jan 2019,31 Jan 2019,123332700,650900,900,,2019,01
409,MTWI,11.48,11.48,22,02 Jan 2019,31 Jan 2019,856398900,12810800,2759,,2019,01
410,MYOH,13.88,13.88,22,02 Jan 2019,31 Jan 2019,12299437000,10513100,2648,,2019,01
411,MYOR,-1.53,-1.53,22,02 Jan 2019,31 Jan 2019,124163917000,47288900,25046,,2019,01
412,MYRX,-9.24,-9.24,22,02 Jan 2019,31 Jan 2019,1558621194100,14171364500,23716,,2019,01
413,MYRXP,0.0,0.0,22,02 Jan 2019,31 Jan 2019,845000,16900,13,,2019,01
414,MYTX,-13.21,-13.21,22,02 Jan 2019,31 Jan 2019,341164200,3504900,470,,2019,01
415,NAGA,35.59,35.59,22,02 Jan 2019,31 Jan 2019,55456036000,164034100,14139,,2019,01
