,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Periode
318,KINO,-6.69,19,01 Feb 2019,28 Feb 2019,22595446000,7789500,4281,,201902
319,KIOS,9.78,19,01 Feb 2019,28 Feb 2019,682960500,459400,276,,201902
320,KKGI,-5.88,19,01 Feb 2019,28 Feb 2019,1185093000,3641600,276,,201902
321,KLBF,-6.56,19,01 Feb 2019,28 Feb 2019,742287708500,477584400,45117,,201902
322,KMTR,3.95,19,01 Feb 2019,28 Feb 2019,10932119200,27153500,7016,,201902
323,KOBX,7.95,19,01 Feb 2019,28 Feb 2019,17875060900,84047100,10789,,201902
324,KOIN,5.56,19,01 Feb 2019,28 Feb 2019,50828000,184700,156,,201902
325,KONI,27.61,19,01 Feb 2019,28 Feb 2019,130499200,298500,351,,201902
326,KOPI,-6.04,19,01 Feb 2019,28 Feb 2019,727117500,994100,1018,,201902
327,KPAL,-4.0,19,01 Feb 2019,28 Feb 2019,435406800,1466500,505,,201902
328,KPAS,-8.91,19,01 Feb 2019,28 Feb 2019,95944485300,489465100,42539,,201902
329,KPIG,-3.7,19,01 Feb 2019,28 Feb 2019,1006715500,7701900,341,,201902
330,KRAH,-1.58,19,01 Feb 2019,28 Feb 2019,552439000,220600,380,,201902
331,KRAS,-3.24,19,01 Feb 2019,28 Feb 2019,186726805500,374921200,23604,,201902
332,KREN,-0.81,19,01 Feb 2019,28 Feb 2019,1146632476500,1808741200,23159,,201902
333,LAND,8.89,19,01 Feb 2019,28 Feb 2019,86905229500,69312000,28582,,201902
334,LAPD,0.0,19,01 Feb 2019,28 Feb 2019,2670000,53400,11,,201902
335,LCGP,-2.33,19,01 Feb 2019,28 Feb 2019,6589634500,51257600,1179,,201902
336,LCKM,1.88,19,01 Feb 2019,28 Feb 2019,58684000,180700,69,,201902
337,LEAD,32.81,19,01 Feb 2019,28 Feb 2019,395140331700,4823522900,100461,,201902
338,LINK,-1.38,19,01 Feb 2019,28 Feb 2019,43128820000,9920600,8220,,201902
339,LION,-1.54,19,01 Feb 2019,28 Feb 2019,5798000,9500,30,,201902
340,LMAS,0.0,19,01 Feb 2019,28 Feb 2019,235791600,3991900,406,,201902
341,LMPI,2.74,19,01 Feb 2019,28 Feb 2019,91088300,619400,73,,201902
342,LMSH,-2.5,19,01 Feb 2019,28 Feb 2019,11066000,19100,34,,201902
