Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
AALI,5.26,-11.21,22,01 Agt 2019,30 Agt 2019,324549377500,30511100,22385,,2019,08
ABBA,-9.03,46.88,22,01 Agt 2019,30 Agt 2019,69413256800,459798400,34549,,2019,08
ABDA,0.0,0.36,22,01 Agt 2019,30 Agt 2019,1375000,200,2,,2019,08
ABMM,-1.63,-20.04,22,01 Agt 2019,30 Agt 2019,15639000,9100,46,,2019,08
ACES,-5.99,15.77,22,01 Agt 2019,30 Agt 2019,435000141500,248395700,85752,,2019,08
ACST,-9.09,-22.83,22,01 Agt 2019,30 Agt 2019,4995960500,4028500,1969,,2019,08
ADES,-4.41,17.93,22,01 Agt 2019,30 Agt 2019,3061896500,2773200,1468,,2019,08
ADHI,-10.1,-15.77,22,01 Agt 2019,30 Agt 2019,243242432500,173470900,34406,,2019,08
ADMF,0.0,15.93,22,01 Agt 2019,30 Agt 2019,48910995000,4618400,1261,,2019,08
ADMG,-9.68,-28.66,22,01 Agt 2019,30 Agt 2019,5702396000,24007100,3707,,2019,08
ADRO,-11.42,-7.41,22,01 Agt 2019,30 Agt 2019,1541460668000,1407692100,128931,,2019,08
AGII,-8.21,-9.56,22,01 Agt 2019,30 Agt 2019,3621146000,5652800,1363,,2019,08
AGRO,-7.14,-16.13,22,01 Agt 2019,30 Agt 2019,26602741000,100270000,12302,,2019,08
AGRS,-23.08,-15.97,22,01 Agt 2019,30 Agt 2019,2097641800,8389700,2682,,2019,08
AHAP,-3.57,-36.47,22,01 Agt 2019,30 Agt 2019,122738800,2202000,331,,2019,08
AIMS,0.0,0.0,22,01 Agt 2019,30 Agt 2019,0,0,0,,2019,08
AISA,0.0,0.0,22,01 Agt 2019,30 Agt 2019,0,0,0,,2019,08
AKKU,0.0,0.0,22,01 Agt 2019,30 Agt 2019,52815000,1056300,1370,,2019,08
AKPI,-0.92,-42.67,22,01 Agt 2019,30 Agt 2019,75581800,174200,141,,2019,08
AKRA,6.75,-0.47,22,01 Agt 2019,30 Agt 2019,558768765000,140861600,39762,,2019,08
AKSI,4.68,-9.14,22,01 Agt 2019,30 Agt 2019,24299200,71200,76,,2019,08
ALDO,-7.0,-44.48,22,01 Agt 2019,30 Agt 2019,911650400,2433200,368,,2019,08
ALKA,18.18,73.33,22,01 Agt 2019,30 Agt 2019,212155600,437400,189,,2019,08
ALMI,-4.95,20.0,22,01 Agt 2019,30 Agt 2019,14394000,30400,41,,2019,08
ALTO,-1.04,-5.0,22,01 Agt 2019,30 Agt 2019,1231918800,3193100,57,,2019,08
AMAG,0.0,-5.52,22,01 Agt 2019,30 Agt 2019,9463200,31500,35,,2019,08
AMFG,-5.66,35.5,22,01 Agt 2019,30 Agt 2019,1078695500,216800,96,,2019,08
AMIN,-7.26,-22.43,22,01 Agt 2019,30 Agt 2019,69493200,195700,164,,2019,08
AMRT,-7.29,-4.81,22,01 Agt 2019,30 Agt 2019,3582163000,4020500,900,,2019,08
ANDI,4.29,9.5,22,01 Agt 2019,30 Agt 2019,27363817500,13326400,222,,2019,08
ANJT,-12.78,-31.74,22,01 Agt 2019,30 Agt 2019,299836500,368300,180,,2019,08
ANTM,14.44,39.87,22,01 Agt 2019,30 Agt 2019,3698154526500,3567699800,180247,,2019,08
APEX,-25.0,-68.75,22,01 Agt 2019,30 Agt 2019,55953600,90700,151,,2019,08
APIC,5.3,28.7,22,01 Agt 2019,30 Agt 2019,391395595000,589011900,104215,,2019,08
APII,-2.37,-11.29,22,01 Agt 2019,30 Agt 2019,18293000,107900,103,,2019,08
APLI,0.0,42.86,22,01 Agt 2019,30 Agt 2019,412451200,3491200,243,,2019,08
APLN,-7.92,22.37,22,01 Agt 2019,30 Agt 2019,335501653500,1723949900,76426,,2019,08
APOL,0.0,-13.79,22,01 Agt 2019,30 Agt 2019,13345000,266900,15,,2019,08
ARGO,0.0,0.0,22,01 Agt 2019,30 Agt 2019,0,0,0,,2019,08
ARII,-4.61,-19.44,22,01 Agt 2019,30 Agt 2019,660010500,875100,176,,2019,08
ARKA,70.39,643.64,22,01 Agt 2019,30 Agt 2019,10653212000,7461100,7010,,2019,08
ARMY,-10.4,-29.56,22,01 Agt 2019,30 Agt 2019,303306750200,1298067900,2561,,2019,08
ARNA,-0.88,33.33,22,01 Agt 2019,30 Agt 2019,6137767000,11355300,804,,2019,08
ARTA,-2.5,-70.23,22,01 Agt 2019,30 Agt 2019,13795200,36100,76,,2019,08
ARTI,0.0,0.0,22,01 Agt 2019,30 Agt 2019,18080000,361600,73,,2019,08
ARTO,385.38,351.09,22,01 Agt 2019,30 Agt 2019,608662300,1838200,366,,2019,08
ASBI,1.21,33.6,22,01 Agt 2019,30 Agt 2019,3973600,12300,29,,2019,08
ASDM,0.0,-12.88,22,01 Agt 2019,30 Agt 2019,97919000,94100,67,,2019,08
ASGR,-13.16,-25.56,22,01 Agt 2019,30 Agt 2019,2707619000,2629700,1215,,2019,08
ASII,-4.64,-18.84,22,01 Agt 2019,30 Agt 2019,5235602540000,787575000,151164,,2019,08
ASJT,-2.68,-39.44,22,01 Agt 2019,30 Agt 2019,304504800,1401900,241,,2019,08
ASMI,20.69,50.0,22,01 Agt 2019,30 Agt 2019,25020970500,27140800,6780,,2019,08
ASRI,-6.02,0.0,22,01 Agt 2019,30 Agt 2019,41747967800,132975700,13962,,2019,08
ASRM,-1.67,0.43,22,01 Agt 2019,30 Agt 2019,74007000,32300,37,,2019,08
ASSA,-4.05,128.02,22,01 Agt 2019,30 Agt 2019,24245935000,29915600,2375,,2019,08
ATIC,-6.9,-10.0,22,01 Agt 2019,30 Agt 2019,45569500,56300,39,,2019,08
ATPK,0.0,0.0,22,01 Agt 2019,30 Agt 2019,0,0,0,,2019,08
AUTO,-6.97,-9.18,22,01 Agt 2019,30 Agt 2019,21335342500,15616700,4463,,2019,08
BABP,20.0,20.0,22,01 Agt 2019,30 Agt 2019,25283974900,422061000,7581,,2019,08
BACA,-0.67,-0.67,22,01 Agt 2019,30 Agt 2019,28950400,104900,42,,2019,08
BAJA,-16.13,-30.97,22,01 Agt 2019,30 Agt 2019,300446700,3573800,667,,2019,08
BALI,-2.34,7.05,22,01 Agt 2019,30 Agt 2019,14679028500,8756600,2136,,2019,08
BAPA,-1.12,-19.27,22,01 Agt 2019,30 Agt 2019,65136500,735700,389,,2019,08
BATA,3.85,12.5,22,01 Agt 2019,30 Agt 2019,487124500,745300,399,,2019,08
BAYU,30.2,-17.57,22,01 Agt 2019,30 Agt 2019,202989500,167000,150,,2019,08
BBCA,-1.45,17.31,22,01 Agt 2019,30 Agt 2019,9167000222500,305066600,156816,,2019,08
BBHI,6.83,0.58,22,01 Agt 2019,30 Agt 2019,390192200,2300900,345,,2019,08
BBKP,-6.71,2.21,22,01 Agt 2019,30 Agt 2019,30624030800,107509600,9961,,2019,08
BBLD,-7.02,-4.66,22,01 Agt 2019,30 Agt 2019,3405800,7500,10,,2019,08
BBMD,4.35,73.91,22,01 Agt 2019,30 Agt 2019,226721000,97600,11,,2019,08
BBNI,-9.14,-12.5,22,01 Agt 2019,30 Agt 2019,3832709137500,488197500,107961,,2019,08
BBRI,-4.69,16.67,22,01 Agt 2019,30 Agt 2019,10000267013000,2367194500,262464,,2019,08
BBRM,0.0,0.0,22,01 Agt 2019,30 Agt 2019,76775100,1535500,62,,2019,08
BBTN,-18.7,-21.26,22,01 Agt 2019,30 Agt 2019,931075462500,422526200,72539,,2019,08
BBYB,-0.7,-0.7,22,01 Agt 2019,30 Agt 2019,564540000,2018500,204,,2019,08
BCAP,-7.96,37.75,22,01 Agt 2019,30 Agt 2019,408324400,1897600,466,,2019,08
BCIC,0.0,0.0,22,01 Agt 2019,30 Agt 2019,0,0,0,,2019,08
BCIP,0.0,-5.62,22,01 Agt 2019,30 Agt 2019,2902179300,35109000,1410,,2019,08
BDMN,-5.22,-36.71,22,01 Agt 2019,30 Agt 2019,503287462000,100998800,39126,,2019,08
BEEF,3.68,-0.59,22,01 Agt 2019,30 Agt 2019,159124043600,458620000,40535,,2019,08
BEKS,0.0,0.0,22,01 Agt 2019,30 Agt 2019,134275000,2685500,224,,2019,08
BELL,1.98,114.58,22,01 Agt 2019,30 Agt 2019,1872409100,3787700,1333,,2019,08
BEST,-1.89,50.0,22,01 Agt 2019,30 Agt 2019,107480277400,352681000,20650,,2019,08
BFIN,-5.88,-15.79,22,01 Agt 2019,30 Agt 2019,4181828500,7337900,1637,,2019,08
BGTG,-4.05,-13.41,22,01 Agt 2019,30 Agt 2019,9435577500,128834300,6412,,2019,08
BHIT,-5.13,27.59,22,01 Agt 2019,30 Agt 2019,29225446900,392972000,9158,,2019,08
BIKA,-16.2,-30.38,22,01 Agt 2019,30 Agt 2019,370618400,1687600,1414,,2019,08
BIMA,2.0,-8.93,22,01 Agt 2019,30 Agt 2019,14979000,294900,127,,2019,08
BINA,-8.2,25.37,22,01 Agt 2019,30 Agt 2019,938013000,1061800,268,,2019,08
BIPI,0.0,0.0,22,01 Agt 2019,30 Agt 2019,748675000,14973500,777,,2019,08
BIPP,-5.8,-26.14,22,01 Agt 2019,30 Agt 2019,74111900,1083700,261,,2019,08
BIRD,-4.63,-6.62,22,01 Agt 2019,30 Agt 2019,105483693000,38816300,5285,,2019,08
BISI,-2.11,-17.01,22,01 Agt 2019,30 Agt 2019,6986167500,4963700,1214,,2019,08
BJBR,-0.31,-22.68,22,01 Agt 2019,30 Agt 2019,333937189000,216460100,10537,,2019,08
BJTM,-0.78,-7.97,22,01 Agt 2019,30 Agt 2019,70252405500,111629400,14242,,2019,08
BKDP,0.0,-6.56,22,01 Agt 2019,30 Agt 2019,19477600,349100,108,,2019,08
BKSL,-18.79,11.01,22,01 Agt 2019,30 Agt 2019,271332901300,2022136800,40369,,2019,08
BKSW,-5.71,-9.34,22,01 Agt 2019,30 Agt 2019,9494100,52600,44,,2019,08
BLTA,0.0,-74.49,22,01 Agt 2019,30 Agt 2019,141440000,2828800,1418,,2019,08
BLTZ,5.26,-14.89,22,01 Agt 2019,30 Agt 2019,1510000,400,3,,2019,08
BLUE,3.31,380.77,22,01 Agt 2019,30 Agt 2019,6098823000,9899500,3493,,2019,08
BMAS,0.0,-18.48,22,01 Agt 2019,30 Agt 2019,7693200,25700,41,,2019,08
BMRI,-9.09,-1.69,22,01 Agt 2019,30 Agt 2019,6779414412500,925098700,125810,,2019,08
BMSR,-20.59,-52.35,22,01 Agt 2019,30 Agt 2019,580323000,6839600,873,,2019,08
BMTR,-12.89,39.67,22,01 Agt 2019,30 Agt 2019,227547354600,620379500,40345,,2019,08
BNBA,5.71,6.47,22,01 Agt 2019,30 Agt 2019,3207242200,10924500,741,,2019,08
BNBR,0.0,0.0,22,01 Agt 2019,30 Agt 2019,97710000,1954200,179,,2019,08
BNGA,-2.33,14.75,22,01 Agt 2019,30 Agt 2019,49029892500,45923400,7273,,2019,08
BNII,-10.08,12.62,22,01 Agt 2019,30 Agt 2019,15127057400,60817700,7812,,2019,08
BNLI,2.65,55.2,22,01 Agt 2019,30 Agt 2019,1140394741000,1155005700,56553,,2019,08
BOGA,19.85,17.27,22,01 Agt 2019,30 Agt 2019,80068640000,107241000,18599,,2019,08
BOLA,-1.59,112.57,22,01 Agt 2019,30 Agt 2019,3447063400,9302800,1771,,2019,08
BOLT,4.12,-8.76,22,01 Agt 2019,30 Agt 2019,2485874500,2881700,2536,,2019,08
BORN,0.0,0.0,22,01 Agt 2019,30 Agt 2019,0,0,0,,2019,08
BOSS,-31.25,-65.62,22,01 Agt 2019,30 Agt 2019,39409084500,47320600,12874,,2019,08
BPFI,10.7,59.23,22,01 Agt 2019,30 Agt 2019,471453500,470000,60,,2019,08
BPII,-0.31,22.69,22,01 Agt 2019,30 Agt 2019,4797500,600,2,,2019,08
BPTR,-13.89,8.14,22,01 Agt 2019,30 Agt 2019,4612319900,40373400,7093,,2019,08
BRAM,-7.69,22.95,22,01 Agt 2019,30 Agt 2019,37050000,5100,30,,2019,08
BRIS,-14.06,-17.33,22,01 Agt 2019,30 Agt 2019,45082793200,95689600,19194,,2019,08
BRMS,4.0,4.0,22,01 Agt 2019,30 Agt 2019,71632765600,1371805200,11334,,2019,08
BRNA,-0.92,-10.0,22,01 Agt 2019,30 Agt 2019,7729500,7400,7,,2019,08
BRPT,-76.68,-62.13,22,01 Agt 2019,30 Agt 2019,1415098672000,1581954800,124314,,2019,08
BSDE,-4.93,7.57,22,01 Agt 2019,30 Agt 2019,418646769000,307881300,47742,,2019,08
BSIM,-7.69,9.09,22,01 Agt 2019,30 Agt 2019,226325000,390100,143,,2019,08
BSSR,1.82,-28.42,22,01 Agt 2019,30 Agt 2019,119154000,78800,132,,2019,08
