,Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
0,AALI,10.28,6.55,21,01 Nov 2019,29 Nov 2019,318459555000,25464000,23229,,2019,11
1,ABBA,-20.83,18.75,21,01 Nov 2019,29 Nov 2019,143856618700,1216400100,85638,,2019,11
2,ABDA,0.0,0.0,21,01 Nov 2019,29 Nov 2019,697500,100,1,,2019,11
3,ABMM,-3.33,-36.12,21,01 Nov 2019,29 Nov 2019,26809000,19100,71,,2019,11
4,ACES,-6.51,6.04,21,01 Nov 2019,29 Nov 2019,2002761474500,1174839200,144212,,2019,11
5,ACST,-12.93,-35.05,21,01 Nov 2019,29 Nov 2019,8939825500,8156900,2624,,2019,11
6,ADES,-6.48,9.78,21,01 Nov 2019,29 Nov 2019,826536000,778200,482,,2019,11
7,ADHI,-14.0,-32.18,21,01 Nov 2019,29 Nov 2019,123821682000,104210400,25682,,2019,11
8,ADMF,-2.8,14.29,21,01 Nov 2019,29 Nov 2019,59243777500,5617500,1029,,2019,11
9,ADMG,-6.6,-41.4,21,01 Nov 2019,29 Nov 2019,2280275100,12023300,1213,,2019,11
10,ADRO,-6.11,1.23,21,01 Nov 2019,29 Nov 2019,1245583193000,929095000,94165,,2019,11
11,AGII,-1.68,-13.97,21,01 Nov 2019,29 Nov 2019,731460000,1250500,819,,2019,11
12,AGRO,-34.58,-54.84,21,01 Nov 2019,29 Nov 2019,15109906800,85463900,9790,,2019,11
13,AGRS,-8.43,-31.51,21,01 Nov 2019,29 Nov 2019,257207400,1520000,749,,2019,11
14,AHAP,-14.49,-30.59,21,01 Nov 2019,29 Nov 2019,1786304200,25424400,3660,,2019,11
15,AIMS,0.0,0.0,21,01 Nov 2019,29 Nov 2019,0,0,0,,2019,11
16,AISA,0.0,0.0,21,01 Nov 2019,29 Nov 2019,0,0,0,,2019,11
17,AKKU,0.0,0.0,21,01 Nov 2019,29 Nov 2019,35150000,703000,376,,2019,11
18,AKPI,-7.37,-53.07,21,01 Nov 2019,29 Nov 2019,114938400,289500,168,,2019,11
19,AKRA,-14.14,-20.75,21,01 Nov 2019,29 Nov 2019,885658067000,248453900,49626,,2019,11
20,AKSI,18.07,148.73,21,01 Nov 2019,29 Nov 2019,51057467500,60577100,4515,,2019,11
21,ALDO,5.24,-40.0,21,01 Nov 2019,29 Nov 2019,405250400,1055500,252,,2019,11
22,ALKA,4.42,73.33,21,01 Nov 2019,29 Nov 2019,54147600,113800,109,,2019,11
23,ALMI,-22.87,-27.5,21,01 Nov 2019,29 Nov 2019,223069400,706900,124,,2019,11
24,ALTO,-0.53,-5.5,21,01 Nov 2019,29 Nov 2019,26322392600,69891400,2602,,2019,11
25,AMAG,-2.58,-7.36,21,01 Nov 2019,29 Nov 2019,26477200,94300,30,,2019,11
26,AMFG,-15.5,-8.4,21,01 Nov 2019,29 Nov 2019,3361941000,954000,346,,2019,11
