,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Periode
0,AALI,-5.18,22,01 Agt 2022,31 Agt 2022,436005860000,46770300,45382,D232,202208
1,ABBA,3.33,22,01 Agt 2022,31 Agt 2022,506841452200,1840797300,112123,E614,202208
2,ABDA,-10.59,22,01 Agt 2022,31 Agt 2022,10150000,1700,12,G412,202208
3,ABMM,4.96,22,01 Agt 2022,31 Agt 2022,217735204000,84456000,36578,C311,202208
4,ACES,1.41,22,01 Agt 2022,31 Agt 2022,1140968707000,1598407400,140226,E743,202208
5,ACST,29.56,22,01 Agt 2022,31 Agt 2022,81601394300,430650100,48399,J211,202208
6,ADCP,2.7,22,01 Agt 2022,31 Agt 2022,38976357200,508206800,33710,H111,202208
7,ADES,12.96,22,01 Agt 2022,31 Agt 2022,21476977500,3398700,4080,D212,202208
8,ADHI,9.46,22,01 Agt 2022,31 Agt 2022,277051381500,352288800,54682,J211,202208
9,ADMF,-0.31,22,01 Agt 2022,31 Agt 2022,17344117500,2126700,2855,G211,202208
10,ADMG,0.0,22,01 Agt 2022,31 Agt 2022,2061280200,11834100,1935,B111,202208
11,ADMR,-7.05,22,01 Agt 2022,31 Agt 2022,3943929931000,2318686800,375358,A121,202208
12,ADRO,8.92,22,01 Agt 2022,31 Agt 2022,7236328511000,2200487300,322308,A121,202208
13,AGAR,-5.73,22,01 Agt 2022,31 Agt 2022,61319600,201900,462,D231,202208
14,AGII,-12.18,22,01 Agt 2022,31 Agt 2022,220509495000,96748300,42248,B111,202208
15,AGRO,-16.57,22,01 Agt 2022,31 Agt 2022,706011585500,862946900,114954,G111,202208
16,AGRS,-0.85,22,01 Agt 2022,31 Agt 2022,111733852300,978691800,32434,G111,202208
17,AHAP,20.75,22,01 Agt 2022,31 Agt 2022,254134304900,2168381000,136942,G412,202208
18,AIMS,-0.8,22,01 Agt 2022,31 Agt 2022,334779600,1316100,1082,A121,202208
