Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
AALI,11.15,-30.44,21,02 Jun 2020,30 Jun 2020,357751625000,43079400,32336,,2020,06
ABBA,0.0,-47.92,21,02 Jun 2020,30 Jun 2020,7644107700,147275400,5845,,2020,06
ABDA,4.35,-13.98,21,02 Jun 2020,30 Jun 2020,34425000,5800,8,,2020,06
ABMM,-5.72,-38.33,21,02 Jun 2020,30 Jun 2020,44187500,30000,63,,2020,06
ACES,-2.89,1.34,21,02 Jun 2020,30 Jun 2020,517883002000,343379900,79137,,2020,06
ACST,4.92,-83.54,21,02 Jun 2020,30 Jun 2020,11858495200,43135700,5711,,2020,06
ADES,-9.9,-5.98,21,02 Jun 2020,30 Jun 2020,1856732500,2152200,1209,,2020,06
ADHI,22.0,-61.51,21,02 Jun 2020,30 Jun 2020,507584180000,816553700,63444,,2020,06
ADMF,9.09,-20.88,21,02 Jun 2020,30 Jun 2020,36343305000,5175200,6113,,2020,06
ADMG,10.99,-67.83,21,02 Jun 2020,30 Jun 2020,4106743600,39455700,3502,,2020,06
ADRO,-9.55,-18.11,21,02 Jun 2020,30 Jun 2020,1557934211000,1432615100,182113,,2020,06
AGAR,-0.41,341.82,21,02 Jun 2020,30 Jun 2020,8851800,18300,31,,2020,06
AGII,29.9,-22.06,21,02 Jun 2020,30 Jun 2020,5385809800,11194200,2482,,2020,06
AGRO,1.67,-60.65,21,02 Jun 2020,30 Jun 2020,41125851100,322142100,21496,,2020,06
AGRS,-9.43,-59.66,21,02 Jun 2020,30 Jun 2020,112528500,1114100,319,,2020,06
AHAP,-12.28,-41.18,21,02 Jun 2020,30 Jun 2020,54995200,1090100,287,,2020,06
AIMS,0.0,0.0,21,02 Jun 2020,30 Jun 2020,0,0,0,,2020,06
AISA,0.0,0.0,21,02 Jun 2020,30 Jun 2020,0,0,0,,2020,06
AKKU,0.0,0.0,21,02 Jun 2020,30 Jun 2020,265000,5300,22,,2020,06
AKPI,-16.93,-58.13,21,02 Jun 2020,30 Jun 2020,8039000,21600,49,,2020,06
AKRA,8.09,-40.79,21,02 Jun 2020,30 Jun 2020,1042300700000,416413700,52280,,2020,06
AKSI,365.81,38.32,21,02 Jun 2020,30 Jun 2020,4270377800,12810600,4034,,2020,06
ALDO,-10.73,-45.37,21,02 Jun 2020,30 Jun 2020,385590600,1011600,127,,2020,06
ALKA,7.5,43.33,21,02 Jun 2020,30 Jun 2020,763200,1900,12,,2020,06
ALMI,6.54,-43.0,21,02 Jun 2020,30 Jun 2020,360829400,1623800,297,,2020,06
ALTO,-2.53,-3.5,21,02 Jun 2020,30 Jun 2020,205266400,521300,32,,2020,06
AMAG,2.24,-15.95,21,02 Jun 2020,30 Jun 2020,124508600,470700,149,,2020,06
AMAN,3.16,78.18,21,02 Jun 2020,30 Jun 2020,1980927900,9881800,683,,2020,06
AMAR,49.74,67.82,21,02 Jun 2020,30 Jun 2020,1467913600,4692000,1478,,2020,06
AMFG,5.77,-10.57,21,02 Jun 2020,30 Jun 2020,342476000,110800,84,,2020,06
AMIN,-34.0,-38.32,21,02 Jun 2020,30 Jun 2020,22870800,78300,113,,2020,06
AMOR,1.76,6.32,21,02 Jun 2020,30 Jun 2020,2591980500,1312700,186,,2020,06
AMRT,-12.64,-14.97,21,02 Jun 2020,30 Jun 2020,6394760500,7902800,4819,,2020,06
ANDI,0.0,-97.5,21,02 Jun 2020,30 Jun 2020,34415000,688300,252,,2020,06
ANJT,12.96,-57.57,21,02 Jun 2020,30 Jun 2020,164327400,344600,139,,2020,06
ANTM,13.08,-20.92,21,02 Jun 2020,30 Jun 2020,1210189120000,2024318400,146093,,2020,06
APEX,126.97,-87.98,21,02 Jun 2020,30 Jun 2020,1266451000,7815400,1941,,2020,06
APIC,-18.36,56.48,21,02 Jun 2020,30 Jun 2020,415736146000,432839900,74285,,2020,06
APII,-8.18,8.6,21,02 Jun 2020,30 Jun 2020,38030600,188900,75,,2020,06
APLI,-24.46,25.0,21,02 Jun 2020,30 Jun 2020,91628200,758700,171,,2020,06
APLN,16.33,-25.0,21,02 Jun 2020,30 Jun 2020,93925904300,790573500,30872,,2020,06
ARGO,-1.82,-1.82,21,02 Jun 2020,30 Jun 2020,246000,300,3,,2020,06
ARII,-22.06,-41.11,21,02 Jun 2020,30 Jun 2020,232717000,403000,120,,2020,06
ARKA,-66.92,82.2,21,02 Jun 2020,30 Jun 2020,92647500,148400,148,,2020,06
ARMY,0.0,-84.28,21,02 Jun 2020,30 Jun 2020,0,0,0,,2020,06
ARNA,-3.05,-9.05,21,02 Jun 2020,30 Jun 2020,5288135400,13653000,1589,,2020,06
ARTA,-10.24,-71.91,21,02 Jun 2020,30 Jun 2020,14966200,42800,67,,2020,06
ARTI,0.0,0.0,21,02 Jun 2020,30 Jun 2020,0,0,0,,2020,06
ARTO,102.29,861.96,21,02 Jun 2020,30 Jun 2020,11412015500,8503900,2761,,2020,06
ASBI,22.22,32.0,21,02 Jun 2020,30 Jun 2020,327563400,912300,247,,2020,06
ASDM,-12.14,-22.32,21,02 Jun 2020,30 Jun 2020,147467000,151000,209,,2020,06
ASGR,-2.86,-48.87,21,02 Jun 2020,30 Jun 2020,15181583000,20878500,3822,,2020,06
ASII,0.63,-41.64,21,02 Jun 2020,30 Jun 2020,4693943469500,964913600,201509,,2020,06
ASJT,27.52,-61.39,21,02 Jun 2020,30 Jun 2020,340453800,2656200,1570,,2020,06
ASMI,12.33,75.71,21,02 Jun 2020,30 Jun 2020,1116989000,1021700,468,,2020,06
ASPI,-24.59,250.48,21,02 Jun 2020,30 Jun 2020,146292059800,334711500,38265,,2020,06
ASRI,21.7,-58.65,21,02 Jun 2020,30 Jun 2020,260247545600,1920047000,65158,,2020,06
