,Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
0,AALI,6.29,-28.54,20,02 Agt 2021,31 Agt 2021,241791427500,29258500,23110,D232,2021,08
1,ABBA,10.0,587.5,20,02 Agt 2021,31 Agt 2021,545375492700,909858300,105765,E614,2021,08
2,ABDA,0.0,-0.36,20,02 Agt 2021,31 Agt 2021,19460000,2800,6,G412,2021,08
3,ABMM,9.27,-40.31,20,02 Agt 2021,31 Agt 2021,7685254000,5891300,3890,C311,2021,08
4,ACES,5.3,-6.71,20,02 Agt 2021,31 Agt 2021,491123042500,350257100,63763,E743,2021,08
5,ACST,3.23,-83.54,20,02 Agt 2021,31 Agt 2021,379366576400,1428330000,120238,J211,2021,08
6,ADES,31.95,245.65,20,02 Agt 2021,31 Agt 2021,14624284000,5325500,5614,D212,2021,08
7,ADHI,7.3,-53.63,20,02 Agt 2021,31 Agt 2021,214351074000,303880200,44844,J211,2021,08
8,ADMF,-0.65,-15.93,20,02 Agt 2021,31 Agt 2021,20615032500,2675000,2756,G211,2021,08
9,ADMG,-1.85,-32.48,20,02 Agt 2021,31 Agt 2021,71143140000,305269200,37045,B111,2021,08
10,ADRO,-5.62,3.7,20,02 Agt 2021,31 Agt 2021,2018964404000,1530601200,172881,A121,2021,08
11,AGAR,-5.53,241.82,20,02 Agt 2021,31 Agt 2021,1029071300,2215600,1892,D231,2021,08
12,AGII,-26.54,93.38,20,02 Agt 2021,31 Agt 2021,509475435000,334906500,89264,B111,2021,08
13,AGRO,-6.0,658.06,20,02 Agt 2021,31 Agt 2021,5639467657500,2379331800,426595,G111,2021,08
14,AGRS,2.27,13.45,20,02 Agt 2021,31 Agt 2021,864339195200,2769095800,227689,G111,2021,08
15,AHAP,0.0,-30.59,20,02 Agt 2021,31 Agt 2021,1396749300,23159100,3481,G412,2021,08
16,AIMS,-17.14,93.33,20,02 Agt 2021,31 Agt 2021,6367076600,14921900,6911,A121,2021,08
17,AISA,-0.97,21.43,20,02 Agt 2021,31 Agt 2021,57365340000,270856300,25159,D222,2021,08
18,AKKU,0.0,0.0,20,02 Agt 2021,31 Agt 2021,348975000,6979500,1310,E512,2021,08
19,AKPI,-3.85,-16.67,20,02 Agt 2021,31 Agt 2021,236885500,381600,582,B113,2021,08
20,AKRA,8.06,-9.32,20,02 Agt 2021,31 Agt 2021,695033579000,189331100,53613,A112,2021,08
21,AKSI,0.47,7.61,20,02 Agt 2021,31 Agt 2021,86632800,200900,572,K211,2021,08
22,ALDO,17.32,11.19,20,02 Agt 2021,31 Agt 2021,151101833500,200433800,36039,B131,2021,08
23,ALKA,-1.77,-26.0,20,02 Agt 2021,31 Agt 2021,34154800,152700,426,B141,2021,08
24,ALMI,-8.89,-38.5,20,02 Agt 2021,31 Agt 2021,250606200,986700,719,B141,2021,08
25,ALTO,-0.61,-18.5,20,02 Agt 2021,31 Agt 2021,138332600,448000,416,D212,2021,08
26,AMAG,12.5,-6.13,20,02 Agt 2021,31 Agt 2021,3245329600,10961700,3197,G412,2021,08
27,AMAN,4.63,310.91,20,02 Agt 2021,31 Agt 2021,13086350800,29603800,4313,H111,2021,08
28,AMAR,4.14,73.56,20,02 Agt 2021,31 Agt 2021,161131969000,480864300,61463,G111,2021,08
29,AMFG,5.09,6.23,20,02 Agt 2021,31 Agt 2021,1400381000,360700,145,C121,2021,08
30,AMIN,-2.03,-54.91,20,02 Agt 2021,31 Agt 2021,823101000,3996200,2246,C143,2021,08
31,AMOR,12.54,93.68,20,02 Agt 2021,31 Agt 2021,97745761000,30174000,17566,G311,2021,08
32,AMRT,0.0,44.39,20,02 Agt 2021,31 Agt 2021,731582435000,541288300,76730,D113,2021,08
33,ANDI,0.0,-97.5,20,02 Agt 2021,31 Agt 2021,53375000,1067500,428,D232,2021,08
34,ANJT,11.81,-38.26,20,02 Agt 2021,31 Agt 2021,908366500,1311600,883,D232,2021,08
35,ANTM,-5.16,212.42,20,02 Agt 2021,31 Agt 2021,3722307421000,1582837700,272347,B146,2021,08
36,APEX,-15.87,-68.45,20,02 Agt 2021,31 Agt 2021,666901500,1159500,1437,A131,2021,08
37,APIC,4.19,61.11,20,02 Agt 2021,31 Agt 2021,161666083000,190743700,41782,G511,2021,08
38,APII,3.45,-3.23,20,02 Agt 2021,31 Agt 2021,700221700,3905200,1120,C143,2021,08
39,APLI,5.0,150.0,20,02 Agt 2021,31 Agt 2021,561561100,2688500,359,B113,2021,08
40,APLN,-4.65,-19.08,20,02 Agt 2021,31 Agt 2021,27804883500,220573400,15354,H111,2021,08
41,ARCI,-5.38,-18.0,20,02 Agt 2021,31 Agt 2021,240098181500,392808900,20644,B143,2021,08
42,ARGO,-0.54,121.82,20,02 Agt 2021,31 Agt 2021,439558500,243600,447,E413,2021,08
43,ARII,-6.45,-67.78,20,02 Agt 2021,31 Agt 2021,607871600,2082700,1184,A121,2021,08
44,ARKA,0.0,-78.81,20,02 Agt 2021,31 Agt 2021,6635030000,132700600,15333,C143,2021,08
45,ARMY,0.0,-84.28,20,02 Agt 2021,31 Agt 2021,0,0,0,H111,2021,08
46,ARNA,0.66,80.95,20,02 Agt 2021,31 Agt 2021,40380901500,50911300,11282,C121,2021,08
47,ARTA,129.79,-17.56,20,02 Agt 2021,31 Agt 2021,6589907600,7725200,6142,E512,2021,08
48,ARTI,0.0,0.0,20,02 Agt 2021,31 Agt 2021,13910000,278200,110,A132,2021,08
49,ARTO,-15.46,8147.28,20,02 Agt 2021,31 Agt 2021,6616503407500,404166500,305000,G111,2021,08
50,ASBI,-6.9,8.0,20,02 Agt 2021,31 Agt 2021,316109000,1139900,1262,G412,2021,08
