Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
AALI,23.26,23.26,245,02 Jan 2019,30 Dec 2019,2567630882500,218824400,207339,,2019,0
ABBA,10.42,10.42,245,02 Jan 2019,30 Dec 2019,1897695594100,12265009500,718972,,2019,0
ABDA,0.0,0.0,245,02 Jan 2019,30 Dec 2019,120297500,22600,55,,2019,0
ABMM,-32.6,-32.6,245,02 Jan 2019,30 Dec 2019,1380052500,817800,1069,,2019,0
ACES,0.34,0.34,245,02 Jan 2019,30 Dec 2019,7594236357500,4451148700,1035963,,2019,0
ACST,-37.62,-37.62,245,02 Jan 2019,30 Dec 2019,118120087000,85724500,27563,,2019,0
ADES,13.59,13.59,245,02 Jan 2019,30 Dec 2019,19301106000,17839600,12170,,2019,0
ADHI,-25.87,-25.87,245,02 Jan 2019,30 Dec 2019,3276491123500,2147321800,404932,,2019,0
ADMF,14.29,14.29,245,02 Jan 2019,30 Dec 2019,518072725000,50663500,16301,,2019,0
ADMG,-40.76,-40.76,245,02 Jan 2019,30 Dec 2019,118104607600,426904100,50823,,2019,0
ADRO,27.98,27.98,245,02 Jan 2019,30 Dec 2019,19176242195000,14319625700,1330615,,2019,0
AGII,2.21,2.21,245,02 Jan 2019,30 Dec 2019,107397355000,179949200,26154,,2019,0
AGRO,-36.13,-36.13,245,02 Jan 2019,30 Dec 2019,309290007900,1123418500,133870,,2019,0
AGRS,-43.28,-43.28,245,02 Jan 2019,30 Dec 2019,8430782300,27921000,10713,,2019,0
AHAP,-29.41,-29.41,245,02 Jan 2019,30 Dec 2019,26102939700,325461800,35914,,2019,0
AIMS,0.0,0.0,245,02 Jan 2019,30 Dec 2019,0,0,0,,2019,0
AISA,0.0,0.0,245,02 Jan 2019,30 Dec 2019,0,0,0,,2019,0
AKKU,0.0,0.0,245,02 Jan 2019,30 Dec 2019,8567913300,158266600,7984,,2019,0
AKPI,-50.67,-50.67,245,02 Jan 2019,30 Dec 2019,1409911500,3272800,1744,,2019,0
AKRA,-7.93,-7.93,245,02 Jan 2019,30 Dec 2019,7988110521500,1882625100,501774,,2019,0
AKSI,190.61,190.61,245,02 Jan 2019,30 Dec 2019,180292727800,212835800,21372,,2019,0
ALDO,-36.12,-36.12,245,02 Jan 2019,30 Dec 2019,20615506600,40346500,12877,,2019,0
ALKA,39.33,39.33,245,02 Jan 2019,30 Dec 2019,842162900,2020300,1841,,2019,0
ALMI,-10.5,-10.5,245,02 Jan 2019,30 Dec 2019,24471367300,41766500,3995,,2019,0
ALTO,-0.5,-0.5,245,02 Jan 2019,30 Dec 2019,103340611800,271593400,5796,,2019,0
AMAG,-9.2,-9.2,245,02 Jan 2019,30 Dec 2019,446650000,1570600,550,,2019,0
AMFG,-7.05,-7.05,245,02 Jan 2019,30 Dec 2019,26693092500,5932000,2066,,2019,0
AMIN,-27.1,-27.1,245,02 Jan 2019,30 Dec 2019,3377533000,7649500,1965,,2019,0
AMRT,-5.88,-5.88,245,02 Jan 2019,30 Dec 2019,78475684000,89618500,15387,,2019,0
ANDI,-97.5,-97.5,245,02 Jan 2019,30 Dec 2019,3701850303000,2735082400,113933,,2019,0
ANJT,-13.04,-13.04,245,02 Jan 2019,30 Dec 2019,21753306000,23418300,3872,,2019,0
ANTM,9.8,9.8,245,02 Jan 2019,30 Dec 2019,22500774455000,23820712400,1469251,,2019,0
APEX,-79.4,-79.4,245,02 Jan 2019,30 Dec 2019,820058200,1349400,1415,,2019,0
APIC,27.78,27.78,245,02 Jan 2019,30 Dec 2019,2408176590500,3768551100,502903,,2019,0
APII,-1.08,-1.08,245,02 Jan 2019,30 Dec 2019,5873149400,28695100,14881,,2019,0
APLI,113.1,113.1,245,02 Jan 2019,30 Dec 2019,8151826200,78007600,21663,,2019,0
APLN,16.45,16.45,245,02 Jan 2019,30 Dec 2019,2507847803600,11390347600,522135,,2019,0
APOL,-13.79,-13.79,245,02 Jan 2019,30 Dec 2019,233021000,4660400,198,,2019,0
ARGO,0.0,0.0,245,02 Jan 2019,30 Dec 2019,0,0,0,,2019,0
ARII,-21.67,-21.67,245,02 Jan 2019,30 Dec 2019,6063464500,7561800,1610,,2019,0
ARMY,-84.28,-84.28,245,02 Jan 2019,30 Dec 2019,5599747408000,21541259700,59957,,2019,0
ARNA,3.81,3.81,245,02 Jan 2019,30 Dec 2019,104550287400,215117100,21435,,2019,0
ARTA,-65.65,-65.65,245,02 Jan 2019,30 Dec 2019,491458100,688000,1374,,2019,0
ARTI,0.0,0.0,245,02 Jan 2019,30 Dec 2019,517895000,10357900,7212,,2019,0
ARTO,1584.78,1584.78,245,02 Jan 2019,30 Dec 2019,20985461200,18762500,10737,,2019,0
ASBI,23.2,23.2,245,02 Jan 2019,30 Dec 2019,293503600,891600,665,,2019,0
ASDM,-6.44,-6.44,245,02 Jan 2019,30 Dec 2019,701374000,656400,539,,2019,0
ASGR,-28.57,-28.57,245,02 Jan 2019,30 Dec 2019,61601561000,51208600,14455,,2019,0
ASII,-15.81,-15.81,245,02 Jan 2019,30 Dec 2019,57516009425000,7970208800,1387682,,2019,0
ASJT,-66.94,-66.94,245,02 Jan 2019,30 Dec 2019,9204813000,52150000,7492,,2019,0
ASMI,83.57,83.57,245,02 Jan 2019,30 Dec 2019,213428563500,279729000,35744,,2019,0
ASRI,-23.72,-23.72,245,02 Jan 2019,30 Dec 2019,735179758400,2286539700,191770,,2019,0
ASRM,-14.47,-14.47,245,02 Jan 2019,30 Dec 2019,2049396000,937600,937,,2019,0
ASSA,103.3,103.3,245,02 Jan 2019,30 Dec 2019,1525209752200,2200754200,94226,,2019,0
ATIC,-28.89,-28.89,245,02 Jan 2019,30 Dec 2019,596959500,728400,1036,,2019,0
ATPK,0.0,0.0,181,02 Jan 2019,27 Sep 2019,0,0,0,,2019,0
AUTO,-15.65,-15.65,245,02 Jan 2019,30 Dec 2019,290186003500,207026900,66551,,2019,0
BABP,0.0,0.0,245,02 Jan 2019,30 Dec 2019,135456538600,2357298700,72181,,2019,0
BACA,0.0,0.0,245,02 Jan 2019,30 Dec 2019,56394855600,187387600,27663,,2019,0
BAJA,-45.13,-45.13,245,02 Jan 2019,30 Dec 2019,19498210400,200906200,28532,,2019,0
BALI,-30.13,-30.13,245,02 Jan 2019,30 Dec 2019,398268129500,272512300,8616,,2019,0
BAPA,-34.86,-34.86,245,02 Jan 2019,30 Dec 2019,17644629900,224261700,13488,,2019,0
BATA,10.0,10.0,245,02 Jan 2019,30 Dec 2019,5517506500,9129000,4157,,2019,0
BAYU,-39.02,-39.02,245,02 Jan 2019,30 Dec 2019,7733400500,4906000,3020,,2019,0
BBCA,28.56,28.56,245,02 Jan 2019,30 Dec 2019,94764196087500,3241032300,1589713,,2019,0
BBHI,-26.9,-26.9,245,02 Jan 2019,30 Dec 2019,7632470700,44740400,7991,,2019,0
BBKP,-17.65,-17.65,245,02 Jan 2019,30 Dec 2019,671934529800,2076312000,158592,,2019,0
BBLD,-14.41,-14.41,245,02 Jan 2019,30 Dec 2019,221573700,489700,470,,2019,0
BBMD,102.9,102.9,245,02 Jan 2019,30 Dec 2019,1994101000,1165100,136,,2019,0
BBNI,-10.8,-10.8,245,02 Jan 2019,30 Dec 2019,44606034235000,5342161400,1082343,,2019,0
BBNP,2.27,2.27,80,02 Jan 2019,30 Apr 2019,450000,200,1,,2019,0
BBRI,20.22,20.22,245,02 Jan 2019,30 Dec 2019,108261941138000,26402140700,2368202,,2019,0
BBRM,0.0,0.0,245,02 Jan 2019,30 Dec 2019,1541376600,30382700,1729,,2019,0
BBTN,-16.54,-16.54,245,02 Jan 2019,30 Dec 2019,14217287213000,6076005600,883522,,2019,0
BBYB,0.0,0.0,245,02 Jan 2019,30 Dec 2019,35878417600,125421100,6469,,2019,0
BCAP,-0.66,-0.66,245,02 Jan 2019,30 Dec 2019,61735237200,378278600,204213,,2019,0
BCIC,0.0,0.0,245,02 Jan 2019,30 Dec 2019,0,0,0,,2019,0
BCIP,-28.09,-28.09,245,02 Jan 2019,30 Dec 2019,88115821200,1006484200,87596,,2019,0
BDMN,-48.03,-48.03,245,02 Jan 2019,30 Dec 2019,9865158447000,1725933400,534315,,2019,0
BEKS,0.0,0.0,245,02 Jan 2019,30 Dec 2019,2188505000,43770100,3846,,2019,0
BELL,116.67,116.67,245,02 Jan 2019,30 Dec 2019,68080142200,186639600,16834,,2019,0
BEST,3.85,3.85,245,02 Jan 2019,30 Dec 2019,1091968335200,4057402700,230594,,2019,0
BFIN,-15.79,-15.79,245,02 Jan 2019,30 Dec 2019,173323351900,287946100,20558,,2019,0
BGTG,-19.51,-19.51,245,02 Jan 2019,30 Dec 2019,167364481800,1906491800,231407,,2019,0
BHIT,10.34,10.34,245,02 Jan 2019,30 Dec 2019,655145029900,8252423500,522921,,2019,0
BIKA,-24.62,-24.62,245,02 Jan 2019,30 Dec 2019,661449200,3040900,3036,,2019,0
BIMA,-10.71,-10.71,245,02 Jan 2019,30 Dec 2019,849745500,16068400,4360,,2019,0
BINA,28.36,28.36,245,02 Jan 2019,30 Dec 2019,60607303500,79064600,7602,,2019,0
BIPI,0.0,0.0,245,02 Jan 2019,30 Dec 2019,417681104400,7280972400,126257,,2019,0
BIPP,-43.18,-43.18,245,02 Jan 2019,30 Dec 2019,3960742500,56843200,2959,,2019,0
BIRD,-13.24,-13.24,245,02 Jan 2019,30 Dec 2019,828673095500,297737400,85038,,2019,0
BISI,-37.31,-37.31,245,02 Jan 2019,30 Dec 2019,110662222500,81440500,21334,,2019,0
