,Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
0,AALI,17.93,-17.97,22,01 Jul 2020,30 Jul 2020,526396592500,57155400,43705,12--,2020,07
1,ABBA,0.0,-47.92,22,01 Jul 2020,30 Jul 2020,1508054700,30030900,1477,95--,2020,07
2,ABDA,17.08,0.72,22,01 Jul 2020,30 Jul 2020,69400000,10700,24,84--,2020,07
3,ABMM,-23.21,-52.64,22,01 Jul 2020,30 Jul 2020,199166500,172000,223,98--,2020,07
4,ACES,15.89,17.45,22,01 Jul 2020,30 Jul 2020,410687599000,255217700,78463,93--,2020,07
5,ACST,3.91,-82.89,22,01 Jul 2020,30 Jul 2020,14576418800,51130500,8330,62--,2020,07
6,ADES,14.45,7.61,22,01 Jul 2020,30 Jul 2020,2265655000,2453400,1777,51--,2020,07
7,ADHI,-1.64,-62.15,22,01 Jul 2020,30 Jul 2020,342367178500,534765100,47555,62--,2020,07
8,ADMF,9.72,-13.19,22,01 Jul 2020,30 Jul 2020,22773527500,3008400,4285,82--,2020,07
9,ADMG,13.86,-63.38,22,01 Jul 2020,30 Jul 2020,9725241400,82690600,7528,34--,2020,07
10,ADRO,9.05,-10.7,22,01 Jul 2020,30 Jul 2020,1820205818500,1653905200,164403,21--,2020,07
11,AGAR,2.47,352.73,22,01 Jul 2020,30 Jul 2020,26444500,53700,76,91--,2020,07
12,AGII,2.83,-19.85,22,01 Jul 2020,30 Jul 2020,8443425000,14312900,2416,34--,2020,07
13,AGRO,90.16,-25.16,22,01 Jul 2020,30 Jul 2020,448894654100,2231795400,96969,81--,2020,07
14,AGRS,61.46,-34.87,22,01 Jul 2020,30 Jul 2020,766842600,5863600,1886,81--,2020,07
15,AHAP,6.0,-37.65,22,01 Jul 2020,30 Jul 2020,103343300,1991000,401,84--,2020,07
16,AIMS,0.0,0.0,22,01 Jul 2020,30 Jul 2020,0,0,0,91--,2020,07
17,AISA,0.0,0.0,22,01 Jul 2020,30 Jul 2020,0,0,0,51--,2020,07
18,AKKU,0.0,0.0,22,01 Jul 2020,30 Jul 2020,275000,5500,24,94--,2020,07
19,AKPI,-7.01,-61.07,22,01 Jul 2020,30 Jul 2020,43165600,132300,91,35--,2020,07
20,AKRA,13.39,-32.87,22,01 Jul 2020,30 Jul 2020,1076383599000,409054400,59598,91--,2020,07
21,AKSI,-50.46,-31.47,22,01 Jul 2020,30 Jul 2020,1019545700,3532400,1378,74--,2020,07
22,ALDO,6.56,-41.79,22,01 Jul 2020,30 Jul 2020,434116400,1086400,55,38--,2020,07
23,ALKA,-16.28,20.0,22,01 Jul 2020,30 Jul 2020,6100400,15600,34,33--,2020,07
24,ALMI,-9.65,-48.5,22,01 Jul 2020,30 Jul 2020,206209800,968300,238,33--,2020,07
25,ALTO,-11.92,-15.0,22,01 Jul 2020,30 Jul 2020,17885600,53400,59,51--,2020,07
26,AMAG,-9.49,-23.93,22,01 Jul 2020,30 Jul 2020,9410353800,32437700,4472,84--,2020,07
27,AMAN,0.0,78.18,22,01 Jul 2020,30 Jul 2020,1063143800,5435200,216,61--,2020,07
28,AMAR,28.08,114.94,22,01 Jul 2020,30 Jul 2020,5553669200,13192700,4419,81--,2020,07
29,AMFG,-18.18,-26.83,22,01 Jul 2020,30 Jul 2020,2757926000,1018800,461,32--,2020,07
30,AMIN,1.52,-37.38,22,01 Jul 2020,30 Jul 2020,34772000,133400,194,41--,2020,07
31,AMOR,-2.48,3.68,22,01 Jul 2020,30 Jul 2020,33088240500,15260700,267,83--,2020,07
32,AMRT,-6.92,-20.86,22,01 Jul 2020,30 Jul 2020,8081808000,10542600,4086,93--,2020,07
33,ANDI,0.0,-97.5,22,01 Jul 2020,30 Jul 2020,540550000,10811000,1124,12--,2020,07
34,ANJT,21.93,-48.26,22,01 Jul 2020,30 Jul 2020,220184200,364400,196,12--,2020,07
35,ANTM,20.66,-4.58,22,01 Jul 2020,30 Jul 2020,1451616572500,2134313500,146649,23--,2020,07
36,APEX,-18.32,-90.18,22,01 Jul 2020,30 Jul 2020,311970700,1669200,692,22--,2020,07
37,APIC,-1.18,54.63,22,01 Jul 2020,30 Jul 2020,279103151000,334179600,49811,89--,2020,07
38,APII,14.85,24.73,22,01 Jul 2020,30 Jul 2020,378153800,1608400,576,91--,2020,07
39,APLI,11.43,39.29,22,01 Jul 2020,30 Jul 2020,24385100,214100,282,35--,2020,07
40,APLN,2.63,-23.03,22,01 Jul 2020,30 Jul 2020,76114348000,648168500,26117,61--,2020,07
41,ARGO,83.33,80.0,22,01 Jul 2020,30 Jul 2020,9273500,8000,31,43--,2020,07
42,ARII,-9.06,-46.44,22,01 Jul 2020,30 Jul 2020,233340300,470400,247,21--,2020,07
43,ARKA,-33.02,22.03,22,01 Jul 2020,30 Jul 2020,87803200,261200,156,41--,2020,07
44,ARMY,0.0,-84.28,22,01 Jul 2020,30 Jul 2020,0,0,0,61--,2020,07
45,ARNA,10.47,0.48,22,01 Jul 2020,30 Jul 2020,14726736600,36005000,3591,32--,2020,07
46,ARTA,-17.39,-76.79,22,01 Jul 2020,30 Jul 2020,17311200,53400,106,94--,2020,07
47,ARTI,0.0,0.0,22,01 Jul 2020,30 Jul 2020,0,0,0,22--,2020,07
48,ARTO,58.19,1421.74,22,01 Jul 2020,30 Jul 2020,66453507500,24245800,13118,81--,2020,07
49,ASBI,-9.09,20.0,22,01 Jul 2020,30 Jul 2020,37414200,122400,126,84--,2020,07
50,ASDM,2.76,-20.17,22,01 Jul 2020,30 Jul 2020,34980000,37800,81,84--,2020,07
51,ASGR,-2.94,-50.38,22,01 Jul 2020,30 Jul 2020,11547569000,17384500,3620,97--,2020,07
52,ASII,7.29,-37.39,22,01 Jul 2020,30 Jul 2020,3761642587500,741740200,149621,42--,2020,07
53,ASJT,-15.83,-67.5,22,01 Jul 2020,30 Jul 2020,85224100,719100,285,84--,2020,07
54,ASMI,-4.88,67.14,22,01 Jul 2020,30 Jul 2020,1055486000,886800,884,84--,2020,07
