,Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
0,AALI,21.31,-37.42,16,04 May 2020,29 May 2020,372603517500,55741900,34686,,2020,05
1,ABBA,0.0,-47.92,16,04 May 2020,29 May 2020,929041600,18564600,983,,2020,05
2,ABDA,3.14,-17.56,16,04 May 2020,29 May 2020,8297500,1500,6,,2020,05
3,ABMM,3.12,-34.58,16,04 May 2020,29 May 2020,1201000,800,6,,2020,05
4,ACES,2.3,4.36,16,04 May 2020,29 May 2020,366363068500,265307400,69176,,2020,05
5,ACST,-2.4,-84.31,16,04 May 2020,29 May 2020,3573454000,14202400,3010,,2020,05
6,ADES,21.52,4.35,16,04 May 2020,29 May 2020,689200000,780800,540,,2020,05
7,ADHI,-9.09,-68.45,16,04 May 2020,29 May 2020,132196311700,257341800,25321,,2020,05
8,ADMF,6.88,-27.47,16,04 May 2020,29 May 2020,20439100000,3186800,4279,,2020,05
9,ADMG,-9.9,-71.02,16,04 May 2020,29 May 2020,9097149700,101413900,7987,,2020,05
10,ADRO,19.57,-9.47,16,04 May 2020,29 May 2020,1227063574000,1231599000,135387,,2020,05
11,AGAR,8.93,343.64,16,04 May 2020,29 May 2020,1247084000,2864000,489,,2020,05
12,AGII,-6.85,-40.0,16,04 May 2020,29 May 2020,5186120000,12785800,2300,,2020,05
13,AGRO,21.21,-61.29,16,04 May 2020,29 May 2020,78974586800,636610300,46120,,2020,05
14,AGRS,2.91,-55.46,16,04 May 2020,29 May 2020,62130400,551900,289,,2020,05
15,AHAP,14.0,-32.94,16,04 May 2020,29 May 2020,13247400,253300,73,,2020,05
16,AIMS,0.0,0.0,16,04 May 2020,29 May 2020,0,0,0,,2020,05
17,AISA,0.0,0.0,16,04 May 2020,29 May 2020,0,0,0,,2020,05
18,AKKU,0.0,0.0,16,04 May 2020,29 May 2020,5285000,105700,42,,2020,05
19,AKPI,-7.35,-49.6,16,04 May 2020,29 May 2020,389800,1000,7,,2020,05
20,AKRA,-2.08,-45.22,16,04 May 2020,29 May 2020,605325605000,254171400,34998,,2020,05
21,AKSI,-30.36,-70.3,16,04 May 2020,29 May 2020,568598300,4802800,1161,,2020,05
22,ALDO,-2.38,-38.81,16,04 May 2020,29 May 2020,500660600,1183500,73,,2020,05
23,ALKA,-6.54,33.33,16,04 May 2020,29 May 2020,1258800,3100,17,,2020,05
24,ALMI,-10.83,-46.5,16,04 May 2020,29 May 2020,8532800,31600,38,,2020,05
25,ALTO,0.51,-1.0,16,04 May 2020,29 May 2020,1344200,3400,8,,2020,05
26,AMAG,-6.29,-17.79,16,04 May 2020,29 May 2020,19047200,73400,59,,2020,05
27,AMAN,-3.55,72.73,16,04 May 2020,29 May 2020,867717100,4424100,481,,2020,05
