Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
AALI,0.33,-35.73,22,01 Agt 2023,31 Agt 2023,85830837500,11212900,11995,D232,2023,08
ABBA,-11.9,-22.92,22,01 Agt 2023,31 Agt 2023,12396449400,161764500,14163,E614,2023,08
ABDA,0.0,-12.54,22,01 Agt 2023,31 Agt 2023,0,0,0,G412,2023,08
ABMM,7.1,72.69,22,01 Agt 2023,31 Agt 2023,301396870000,76088300,33640,A121,2023,08
ACES,1.39,-51.01,22,01 Agt 2023,31 Agt 2023,1058835121000,1468615000,143375,E743,2023,08
ACST,10.0,-90.1,22,01 Agt 2023,31 Agt 2023,21669646500,144185500,12472,J211,2023,08
ADCP,1.72,-54.62,22,01 Agt 2023,31 Agt 2023,8304867900,142565600,7934,H111,2023,08
ADES,-12.79,1122.83,22,01 Agt 2023,31 Agt 2023,42789240000,3629900,6504,D212,2023,08
ADHI,-9.24,-72.74,22,01 Agt 2023,31 Agt 2023,140582847200,316986300,43395,J211,2023,08
ADMF,-7.02,23.63,22,01 Agt 2023,31 Agt 2023,19787290000,1704900,3287,G211,2023,08
ADMG,-3.87,-52.55,22,01 Agt 2023,31 Agt 2023,3069723000,19988900,4779,B111,2023,08
ADMR,47.03,1260.0,22,01 Agt 2023,31 Agt 2023,1609345444000,1375784200,163622,A121,2023,08
ADRO,10.79,119.75,22,01 Agt 2023,31 Agt 2023,2558926140000,999088100,200023,A121,2023,08
AGAR,-3.91,56.36,22,01 Agt 2023,31 Agt 2023,283700,1600,8,D231,2023,08
AGII,-5.06,175.74,22,01 Agt 2023,31 Agt 2023,10491505500,5527600,3668,B111,2023,08
AGRO,-9.33,12.9,22,01 Agt 2023,31 Agt 2023,106486647000,292666600,29270,G111,2023,08
AGRS,-5.32,-62.61,22,01 Agt 2023,31 Agt 2023,8811430700,96546900,4369,G111,2023,08
AHAP,61.4,8.24,22,01 Agt 2023,31 Agt 2023,63877758800,735568900,42786,G412,2023,08
AIMS,-22.7,58.89,22,01 Agt 2023,31 Agt 2023,574638600,1689400,1589,A121,2023,08
AISA,-8.97,-21.43,22,01 Agt 2023,31 Agt 2023,23122143200,170310400,58081,D222,2023,08
AKKU,0.0,0.0,22,01 Agt 2023,31 Agt 2023,242580000,4851600,2303,E512,2023,08
AKPI,-4.06,26.0,22,01 Agt 2023,31 Agt 2023,359443500,380500,494,B113,2023,08
AKRA,1.08,-67.37,22,01 Agt 2023,31 Agt 2023,1269846258500,963685200,193356,A112,2023,08
AKSI,-15.84,-56.85,22,01 Agt 2023,31 Agt 2023,331715300,1816000,1197,K211,2023,08
ALDO,-0.74,0.75,22,01 Agt 2023,31 Agt 2023,1679138000,2479300,1105,B131,2023,08
ALKA,-24.71,118.33,22,01 Agt 2023,31 Agt 2023,7085014500,8702400,7590,B141,2023,08
ALMI,-3.6,-46.5,22,01 Agt 2023,31 Agt 2023,704801600,3081900,1323,B141,2023,08
ALTO,0.0,-87.5,22,01 Agt 2023,31 Agt 2023,18000000,360000,146,D212,2023,08
AMAG,-0.58,4.91,22,01 Agt 2023,31 Agt 2023,2729233600,8061700,1143,G412,2023,08
AMAN,2.46,13.64,22,01 Agt 2023,31 Agt 2023,26014335800,202758600,23776,H111,2023,08
AMAR,-10.67,54.02,22,01 Agt 2023,31 Agt 2023,52094860600,181706900,11767,G111,2023,08
AMFG,-10.16,49.73,22,01 Agt 2023,31 Agt 2023,23128345000,4127800,3100,C121,2023,08
AMIN,3.2,-69.86,22,01 Agt 2023,31 Agt 2023,1260114900,10202300,3222,C143,2023,08
AMMN,61.21,167.26,22,01 Agt 2023,31 Agt 2023,5215850684000,1513899300,248696,B142,2023,08
AMMS,7.89,-59.0,22,01 Agt 2023,31 Agt 2023,2071894300,57206200,4119,D231,2023,08
AMOR,-2.28,-43.68,22,01 Agt 2023,31 Agt 2023,723322000,675100,659,G311,2023,08
AMRT,7.41,210.16,22,01 Agt 2023,31 Agt 2023,1255368566000,434454100,90805,D113,2023,08
ANDI,0.0,-97.5,22,01 Agt 2023,31 Agt 2023,15225000,304500,58,D232,2023,08
ANJT,-4.94,-33.04,22,01 Agt 2023,31 Agt 2023,51288095500,65857800,14043,D232,2023,08
ANTM,0.25,160.13,22,01 Agt 2023,31 Agt 2023,1838280027500,920700200,168095,B146,2023,08
APEX,-16.67,-90.77,22,01 Agt 2023,31 Agt 2023,3829113600,22226400,4226,A131,2023,08
APIC,2.3,105.56,22,01 Agt 2023,31 Agt 2023,78686780500,72270500,6999,G511,2023,08
APII,0.52,3.23,22,01 Agt 2023,31 Agt 2023,346620000,1804000,408,C143,2023,08
APLI,0.96,525.0,22,01 Agt 2023,31 Agt 2023,2000974100,3680100,2181,B113,2023,08
APLN,-10.06,-5.92,22,01 Agt 2023,31 Agt 2023,106227656100,687271900,36408,H111,2023,08
ARCI,1.72,-52.8,22,01 Agt 2023,31 Agt 2023,173983379600,454324100,33689,B143,2023,08
ARGO,3.24,-38.18,22,01 Agt 2023,31 Agt 2023,22356200,43900,31,E413,2023,08
ARII,68.0,-62.67,22,01 Agt 2023,31 Agt 2023,35078025900,114026100,26693,A121,2023,08
