,Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
0,AALI,6.03,-3.38,23,01 Oct 2019,31 Oct 2019,170890247500,15679100,15802,,2019,10
1,ABBA,9.09,50.0,23,01 Oct 2019,31 Oct 2019,554022314100,2918337900,158259,,2019,10
2,ABDA,0.0,0.0,23,01 Oct 2019,31 Oct 2019,2790000,400,4,,2019,10
3,ABMM,-26.47,-33.92,23,01 Oct 2019,31 Oct 2019,152249000,97300,293,,2019,10
4,ACES,-4.52,13.42,23,01 Oct 2019,31 Oct 2019,659651916500,369614600,112468,,2019,10
5,ACST,9.95,-25.4,23,01 Oct 2019,31 Oct 2019,8081882000,7219000,3061,,2019,10
6,ADES,2.37,17.39,23,01 Oct 2019,31 Oct 2019,558365000,516600,755,,2019,10
7,ADHI,-6.37,-21.14,23,01 Oct 2019,31 Oct 2019,216241351500,170980900,29521,,2019,10
8,ADMF,0.94,17.58,23,01 Oct 2019,31 Oct 2019,45972692500,4365600,763,,2019,10
9,ADMG,4.23,-37.26,23,01 Oct 2019,31 Oct 2019,4054390000,20637000,2681,,2019,10
10,ADRO,1.55,7.82,23,01 Oct 2019,31 Oct 2019,1047312128000,796299200,84555,,2019,10
11,AGII,-4.03,-12.5,23,01 Oct 2019,31 Oct 2019,2682642500,4478800,1077,,2019,10
12,AGRO,-1.83,-30.97,23,01 Oct 2019,31 Oct 2019,13032195800,61520900,7320,,2019,10
13,AGRS,1.14,-25.21,23,01 Oct 2019,31 Oct 2019,607815200,3223700,1608,,2019,10
14,AHAP,4.55,-18.82,23,01 Oct 2019,31 Oct 2019,6306827500,82086300,11599,,2019,10
15,AIMS,0.0,0.0,23,01 Oct 2019,31 Oct 2019,0,0,0,,2019,10
16,AISA,0.0,0.0,23,01 Oct 2019,31 Oct 2019,0,0,0,,2019,10
17,AKKU,0.0,0.0,23,01 Oct 2019,31 Oct 2019,22265000,445300,615,,2019,10
18,AKPI,-5.0,-49.33,23,01 Oct 2019,31 Oct 2019,285773000,778400,174,,2019,10
19,AKRA,4.21,-7.69,23,01 Oct 2019,31 Oct 2019,508047607000,124490100,36869,,2019,10
20,AKSI,15.28,110.66,23,01 Oct 2019,31 Oct 2019,59197815000,77022000,8216,,2019,10
21,ALDO,0.0,-42.99,23,01 Oct 2019,31 Oct 2019,288960400,760300,208,,2019,10
22,ALKA,12.67,66.0,23,01 Oct 2019,31 Oct 2019,32705600,69000,113,,2019,10
23,ALMI,-0.53,-6.0,23,01 Oct 2019,31 Oct 2019,99739400,290900,88,,2019,10
24,ALTO,0.0,-5.0,23,01 Oct 2019,31 Oct 2019,6337630800,16974000,1506,,2019,10
25,AMAG,1.31,-4.91,23,01 Oct 2019,31 Oct 2019,3668200,12400,36,,2019,10
26,AMFG,-6.1,8.4,23,01 Oct 2019,31 Oct 2019,2280496000,572100,219,,2019,10
27,AMIN,12.24,-22.9,23,01 Oct 2019,31 Oct 2019,36590000,117000,237,,2019,10
28,AMRT,-10.05,-4.28,23,01 Oct 2019,31 Oct 2019,3105867000,3389200,925,,2019,10
29,ANDI,-17.95,-20.0,23,01 Oct 2019,31 Oct 2019,1859579000500,941463400,10269,,2019,10
30,ANJT,0.0,-28.7,23,01 Oct 2019,31 Oct 2019,2068497000,2509100,377,,2019,10
31,ANTM,-8.72,16.34,23,01 Oct 2019,31 Oct 2019,1868269752000,1958823400,137885,,2019,10
32,APEX,-22.74,-73.1,23,01 Oct 2019,31 Oct 2019,206663100,390600,222,,2019,10
33,APIC,-2.67,35.19,23,01 Oct 2019,31 Oct 2019,334587518500,464508000,58702,,2019,10
34,APII,4.6,-2.15,23,01 Oct 2019,31 Oct 2019,689262900,4004400,104,,2019,10
35,APLI,22.45,42.86,23,01 Oct 2019,31 Oct 2019,263678200,2806900,367,,2019,10
36,APLN,-15.75,40.79,23,01 Oct 2019,31 Oct 2019,148843231400,633842700,55883,,2019,10
37,APOL,0.0,-13.79,23,01 Oct 2019,31 Oct 2019,1405000,28100,22,,2019,10
38,ARGO,0.0,0.0,23,01 Oct 2019,31 Oct 2019,0,0,0,,2019,10
39,ARII,-9.86,-28.89,23,01 Oct 2019,31 Oct 2019,383795000,560400,140,,2019,10
40,ARKA,0.63,580.08,23,01 Oct 2019,31 Oct 2019,9634181500,5731100,2854,,2019,10
41,ARMY,-20.08,-38.68,23,01 Oct 2019,31 Oct 2019,686683481000,3259134000,6438,,2019,10
42,ARNA,-2.35,18.57,23,01 Oct 2019,31 Oct 2019,1696285800,3313200,565,,2019,10
43,ARTA,0.52,-70.23,23,01 Oct 2019,31 Oct 2019,7536600,19700,48,,2019,10
44,ARTI,0.0,0.0,23,01 Oct 2019,31 Oct 2019,10105000,202100,631,,2019,10
45,ARTO,142.4,1329.35,23,01 Oct 2019,31 Oct 2019,1395167000,769900,390,,2019,10
46,ASBI,-0.65,23.2,23,01 Oct 2019,31 Oct 2019,6157600,19100,31,,2019,10
47,ASDM,4.9,-8.15,23,01 Oct 2019,31 Oct 2019,4389000,4100,33,,2019,10
48,ASGR,-1.99,-25.94,23,01 Oct 2019,31 Oct 2019,3782684000,3781600,1274,,2019,10
49,ASII,5.3,-15.5,23,01 Oct 2019,31 Oct 2019,3511091432500,530412100,97464,,2019,10
50,ASJT,0.55,-48.89,23,01 Oct 2019,31 Oct 2019,100987600,552200,330,,2019,10
51,ASMI,-11.52,37.14,23,01 Oct 2019,31 Oct 2019,5325814000,5485600,1018,,2019,10
52,ASRI,-5.52,-12.18,23,01 Oct 2019,31 Oct 2019,35948065000,127334100,12002,,2019,10
53,ASRM,-2.3,-9.79,23,01 Oct 2019,31 Oct 2019,74147500,35700,107,,2019,10
54,ASSA,-2.53,111.54,23,01 Oct 2019,31 Oct 2019,50775328500,65952900,5176,,2019,10
55,ATIC,-11.88,-21.67,23,01 Oct 2019,31 Oct 2019,12560500,16800,43,,2019,10
56,AUTO,2.0,-13.27,23,01 Oct 2019,31 Oct 2019,50706796000,41399700,13335,,2019,10
57,BABP,0.0,0.0,23,01 Oct 2019,31 Oct 2019,4157886800,82811800,2428,,2019,10
58,BACA,10.29,0.0,23,01 Oct 2019,31 Oct 2019,478525800,1780900,133,,2019,10
59,BAJA,23.88,-26.55,23,01 Oct 2019,31 Oct 2019,12454041300,128521000,16889,,2019,10
60,BALI,-2.11,-10.58,23,01 Oct 2019,31 Oct 2019,1905343000,1376600,425,,2019,10
61,BAPA,0.0,-26.61,23,01 Oct 2019,31 Oct 2019,144919100,1808700,307,,2019,10
62,BAPI,-31.51,-66.67,23,01 Oct 2019,31 Oct 2019,214981084300,3831517100,60722,,2019,10
63,BATA,-1.41,16.67,23,01 Oct 2019,31 Oct 2019,145345000,208900,192,,2019,10
64,BAYU,-5.81,-20.41,23,01 Oct 2019,31 Oct 2019,1393895000,1076600,581,,2019,10
65,BBCA,3.62,20.96,23,01 Oct 2019,31 Oct 2019,7703547235000,249822700,130344,,2019,10
66,BBHI,-1.1,5.26,23,01 Oct 2019,31 Oct 2019,496949000,2760000,554,,2019,10
67,BBKP,-1.49,-2.94,23,01 Oct 2019,31 Oct 2019,14855933400,55867600,7178,,2019,10
68,BBLD,0.9,-5.51,23,01 Oct 2019,31 Oct 2019,23879800,54900,46,,2019,10
69,BBMD,-0.82,76.09,23,01 Oct 2019,31 Oct 2019,974000,400,3,,2019,10
70,BBNI,4.42,-12.78,23,01 Oct 2019,31 Oct 2019,4132790262500,564209600,112137,,2019,10
71,BBRI,2.18,15.03,23,01 Oct 2019,31 Oct 2019,9786740808000,2423888300,250225,,2019,10
72,BBRM,0.0,0.0,23,01 Oct 2019,31 Oct 2019,3555000,71100,8,,2019,10
73,BBTN,-5.1,-26.77,23,01 Oct 2019,31 Oct 2019,1110889314500,580214900,90245,,2019,10
74,BBYB,7.91,5.63,23,01 Oct 2019,31 Oct 2019,395555200,1358800,271,,2019,10
75,BCAP,0.0,1.99,23,01 Oct 2019,31 Oct 2019,13081853000,84568900,65448,,2019,10
76,BCIC,0.0,0.0,23,01 Oct 2019,31 Oct 2019,0,0,0,,2019,10
77,BCIP,6.02,-1.12,23,01 Oct 2019,31 Oct 2019,2173849300,25834700,931,,2019,10
78,BDMN,-11.58,-44.74,23,01 Oct 2019,31 Oct 2019,276249986000,61045100,31042,,2019,10
79,BEEF,-6.9,-4.71,23,01 Oct 2019,31 Oct 2019,26903561000,79984500,7921,,2019,10
80,BEKS,0.0,0.0,23,01 Oct 2019,31 Oct 2019,26105000,522100,213,,2019,10
81,BELL,-1.9,114.58,23,01 Oct 2019,31 Oct 2019,509947000,987100,524,,2019,10
82,BEST,-0.78,22.12,23,01 Oct 2019,31 Oct 2019,57401904800,218550600,17304,,2019,10
83,BFIN,12.04,-9.02,23,01 Oct 2019,31 Oct 2019,12794994400,21614600,1283,,2019,10
84,BGTG,-1.43,-15.85,23,01 Oct 2019,31 Oct 2019,4574432500,68194100,4325,,2019,10
85,BHIT,2.82,25.86,23,01 Oct 2019,31 Oct 2019,36394626500,508410700,24703,,2019,10
86,BIKA,1.51,-22.31,23,01 Oct 2019,31 Oct 2019,14001200,71100,152,,2019,10
87,BIMA,0.0,-10.71,23,01 Oct 2019,31 Oct 2019,16758500,335100,501,,2019,10
88,BINA,-7.87,22.39,23,01 Oct 2019,31 Oct 2019,1121972000,1315100,227,,2019,10
89,BIPI,0.0,0.0,23,01 Oct 2019,31 Oct 2019,299990000,5999800,491,,2019,10
90,BIPP,7.14,-14.77,23,01 Oct 2019,31 Oct 2019,106361400,1563100,248,,2019,10
91,BIRD,-6.15,-20.21,23,01 Oct 2019,31 Oct 2019,25858932000,10833700,3587,,2019,10
92,BISI,-7.64,-20.6,23,01 Oct 2019,31 Oct 2019,1540171000,1133900,663,,2019,10
93,BJBR,15.29,-11.71,23,01 Oct 2019,31 Oct 2019,374420782000,215870300,13066,,2019,10
94,BJTM,8.66,0.0,23,01 Oct 2019,31 Oct 2019,127848481000,190129000,15412,,2019,10
95,BKDP,0.0,-6.56,23,01 Oct 2019,31 Oct 2019,16999900,295400,156,,2019,10
96,BKSL,1.74,7.34,23,01 Oct 2019,31 Oct 2019,426388308200,3608208000,35401,,2019,10
97,BKSW,13.0,24.18,23,01 Oct 2019,31 Oct 2019,117534000,543400,206,,2019,10
98,BLTA,0.0,-74.49,23,01 Oct 2019,31 Oct 2019,2980000,59600,53,,2019,10
99,BLTZ,-25.0,-36.17,23,01 Oct 2019,31 Oct 2019,3210000,1000,6,,2019,10
100,BLUE,-34.48,192.31,23,01 Oct 2019,31 Oct 2019,1992521600,3742900,1590,,2019,10
101,BMAS,4.96,-19.57,23,01 Oct 2019,31 Oct 2019,50115200,187300,116,,2019,10
102,BMRI,0.72,-4.75,23,01 Oct 2019,31 Oct 2019,7007606757500,1041579200,129723,,2019,10
103,BMSR,-10.53,-50.0,23,01 Oct 2019,31 Oct 2019,125772100,1436600,471,,2019,10
104,BMTR,10.0,54.55,23,01 Oct 2019,31 Oct 2019,298102783600,810942800,61294,,2019,10
105,BNBA,3.97,12.95,23,01 Oct 2019,31 Oct 2019,2792169600,8936500,823,,2019,10
106,BNBR,0.0,0.0,23,01 Oct 2019,31 Oct 2019,62545000,1250900,235,,2019,10
107,BNGA,-2.99,6.56,23,01 Oct 2019,31 Oct 2019,53716228500,54144800,10177,,2019,10
108,BNII,1.83,7.77,23,01 Oct 2019,31 Oct 2019,3125103400,14267700,2267,,2019,10
109,BNLI,20.27,113.6,23,01 Oct 2019,31 Oct 2019,1166411828500,925948800,42565,,2019,10
110,BOGA,-5.78,17.27,23,01 Oct 2019,31 Oct 2019,167498494000,205878100,26719,,2019,10
111,BOLA,-2.7,105.71,23,01 Oct 2019,31 Oct 2019,1713968000,4726500,1034,,2019,10
112,BOLT,0.57,-9.28,23,01 Oct 2019,31 Oct 2019,2189211500,2511900,2755,,2019,10
113,BORN,0.0,0.0,23,01 Oct 2019,31 Oct 2019,0,0,0,,2019,10
114,BOSS,-28.29,-77.29,23,01 Oct 2019,31 Oct 2019,49914297100,82184400,8433,,2019,10
115,BPFI,-0.43,76.15,23,01 Oct 2019,31 Oct 2019,163603000,142700,38,,2019,10
116,BPII,25.0,53.85,23,01 Oct 2019,31 Oct 2019,44250000,4700,7,,2019,10
117,BPTR,1.96,20.93,23,01 Oct 2019,31 Oct 2019,21189196400,186128000,53426,,2019,10
118,BRAM,39.13,162.3,23,01 Oct 2019,31 Oct 2019,201450000,13000,32,,2019,10
119,BRIS,-4.46,-26.48,23,01 Oct 2019,31 Oct 2019,63077065600,158804000,21098,,2019,10
120,BRMS,8.0,8.0,23,01 Oct 2019,31 Oct 2019,121438689400,2165906300,20298,,2019,10
121,BRNA,-0.93,-10.83,23,01 Oct 2019,31 Oct 2019,15659000,15300,16,,2019,10
122,BRPT,-4.04,-60.25,23,01 Oct 2019,31 Oct 2019,1477330316000,1543303300,105818,,2019,10
123,BSDE,1.8,12.75,23,01 Oct 2019,31 Oct 2019,327289356000,231957000,37687,,2019,10
124,BSIM,-4.13,5.45,23,01 Oct 2019,31 Oct 2019,77704500,137500,147,,2019,10
125,BSSR,-1.64,-23.08,23,01 Oct 2019,31 Oct 2019,65707500,36700,210,,2019,10
126,BSWD,0.0,0.0,23,01 Oct 2019,31 Oct 2019,0,0,0,,2019,10
127,BTEK,25.37,-44.0,23,01 Oct 2019,31 Oct 2019,297073880000,4002418000,13334,,2019,10
128,BTEL,0.0,0.0,23,01 Oct 2019,31 Oct 2019,0,0,0,,2019,10
129,BTON,-2.88,-12.17,23,01 Oct 2019,31 Oct 2019,358810000,1754900,391,,2019,10
130,BTPN,-1.54,-6.98,23,01 Oct 2019,31 Oct 2019,1546706000,481600,783,,2019,10
131,BTPS,16.36,113.93,23,01 Oct 2019,31 Oct 2019,2878566328000,780862800,117731,,2019,10
132,BUDI,0.0,4.17,23,01 Oct 2019,31 Oct 2019,2476117100,24681500,570,,2019,10
133,BUKK,-5.56,-10.53,23,01 Oct 2019,31 Oct 2019,449996000,251500,412,,2019,10
134,BULL,-3.57,61.54,23,01 Oct 2019,31 Oct 2019,166938074700,857285100,14561,,2019,10
135,BUMI,-5.56,-17.48,23,01 Oct 2019,31 Oct 2019,483560991200,5479081400,69552,,2019,10
136,BUVA,4.88,-58.25,23,01 Oct 2019,31 Oct 2019,397171500,4598600,670,,2019,10
137,BVIC,-4.62,-13.16,23,01 Oct 2019,31 Oct 2019,36487018300,196656300,1275,,2019,10
138,BWPT,-3.17,-25.61,23,01 Oct 2019,31 Oct 2019,51669739800,421876900,16729,,2019,10
139,BYAN,-17.17,-30.82,23,01 Oct 2019,31 Oct 2019,156920000,10500,33,,2019,10
140,CAKK,-10.28,2.13,23,01 Oct 2019,31 Oct 2019,6676001900,66293600,6425,,2019,10
141,CAMP,-6.93,24.28,23,01 Oct 2019,31 Oct 2019,7963801200,19051600,6328,,2019,10
142,CANI,-25.24,-40.53,23,01 Oct 2019,31 Oct 2019,17354400,102900,161,,2019,10
143,CARS,-5.83,-91.93,23,01 Oct 2019,31 Oct 2019,5101142200,22653200,1800,,2019,10
144,CASA,-2.02,25.16,23,01 Oct 2019,31 Oct 2019,77595715400,196810500,18220,,2019,10
145,CASS,-4.65,-13.38,23,01 Oct 2019,31 Oct 2019,25313500,39500,60,,2019,10
146,CCSI,-9.27,9.6,23,01 Oct 2019,31 Oct 2019,50850345200,175566500,20673,,2019,10
147,CEKA,4.67,14.18,23,01 Oct 2019,31 Oct 2019,4355153500,2810400,1782,,2019,10
148,CENT,-2.5,-9.3,23,01 Oct 2019,31 Oct 2019,6787247000,83905600,5215,,2019,10
149,CFIN,-2.67,-7.01,23,01 Oct 2019,31 Oct 2019,1342445800,4582400,769,,2019,10
150,CINT,-3.88,-12.68,23,01 Oct 2019,31 Oct 2019,440202800,1753400,433,,2019,10
