Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
AALI,--M-183PM10000D232------------,11875,0,06 Jun 2022,12075,11775,11800,-75,1748000,20797957500,2379
ABBA,--U-2100000000E614---L--------,194,0,06 Jun 2022,197,185,187,-7,6764200,1289808400,876
ABDA,CDU-2105000000G412-----------X,5900,0,06 Jun 2022,5950,5900,5950,50,500,2970000,4
ABMM,XDM-1115000000C311------------,2650,0,06 Jun 2022,2740,2470,2660,10,14008500,37120207000,5684
ACES,--M-187EMN6000E743------------,1000,0,06 Jun 2022,1005,970,980,-20,32436000,32001580500,4581
ACST,--U-1105000000J211------------,166,0,06 Jun 2022,168,164,164,-2,3806200,627942900,354
ADCP,--U-1130000000H111------------,78,0,06 Jun 2022,80,77,79,1,11692400,917137100,1183
ADES,--U-2135000000D212------------,5700,0,06 Jun 2022,6425,5575,6350,650,1035000,6290407500,714
ADHI,--M-1835K52000J211------------,730,0,06 Jun 2022,730,715,725,-5,7230900,5227808000,1667
ADMF,--U-1115200000G211------------,8275,0,06 Jun 2022,8300,8225,8250,-25,158200,1306540000,167
ADMG,--U-1130000000B111------------,182,0,06 Jun 2022,183,179,180,-2,662000,119706000,194
ADMR,--U-2135000000A121------------,2150,0,06 Jun 2022,2200,2060,2130,-20,202803100,428765726000,24100
ADRO,XDMO1XD2Q60000A121------------,3520,3520,06 Jun 2022,3590,3440,3460,-60,128510900,449761334000,20219
AGAR,--U-2130000000D231------------,344,0,06 Jun 2022,340,320,340,-4,12200,3995200,30
AGII,--M-1835F20000B111------------,2290,0,06 Jun 2022,2320,2230,2280,-10,5098900,11616152000,2422
AGRO,--U-1105000000G111------------,910,0,06 Jun 2022,925,905,915,5,9494900,8682102000,1560
AGRS,--U-2105000000G111------------,125,0,06 Jun 2022,126,121,124,-1,5031100,619024900,584
AHAP,--U-2100000000G412------------,62,0,06 Jun 2022,63,60,61,-1,5207300,318832800,340
AIMS,--U-2130000000A121------------,256,0,06 Jun 2022,262,254,254,-2,67200,17306800,59
AISA,--U-1135000000D222------------,156,0,06 Jun 2022,163,154,157,1,20198100,3200853900,16216
AKKU,--U-2130000000E512---L-------X,50,0,06 Jun 2022,50,50,50,0,1200,60000,7
AKPI,--U-2130000000B113------------,1700,0,06 Jun 2022,1725,1585,1700,0,274600,455460500,402
AKRA,--M-18GXM86000A112------------,1070,0,06 Jun 2022,1115,1060,1115,45,48171700,53000633500,5507
AKSI,--U-2130000000K211------------,330,0,06 Jun 2022,350,320,320,-10,921700,303058800,445
ALDO,--U-2135000000B131------------,960,0,06 Jun 2022,965,940,940,-20,993100,951656000,323
ALKA,--U-2130000000B141------------,296,0,06 Jun 2022,318,296,298,2,51800,15697800,97
ALMI,--U-2105000000B141------------,282,0,06 Jun 2022,286,282,284,2,50500,14337600,10
ALTO,--U-1100000000D212------------,204,0,06 Jun 2022,254,200,252,48,911100,213991600,114
AMAG,--U-2105000000G412------------,402,0,06 Jun 2022,406,400,406,4,99700,40145800,63
AMAN,--M-1135000000H111------------,515,0,06 Jun 2022,515,510,515,0,174500,89867000,21
AMAR,--U-2105000000G111------------,336,0,06 Jun 2022,336,320,334,-2,9700900,3184265200,1204
AMFG,--U-1105000000C121------------,8025,0,06 Jun 2022,8475,8000,8300,275,400800,3319095000,381
AMIN,--U-2130000000C143------------,135,0,06 Jun 2022,143,132,133,-2,755600,103926200,506
AMOR,--M-2105000000G311------------,1565,0,06 Jun 2022,1600,1500,1525,-40,12100,18505000,34
AMRT,CDMO1U05906000D113------------,1815,1815,06 Jun 2022,1845,1790,1820,5,34761700,62908672000,8720
ANDI,--U-2130000000D232-----------X,50,0,06 Jun 2022,50,50,50,0,216300,10815000,18
ANJT,--M-1135000000D232------------,1005,0,06 Jun 2022,1025,1000,1025,20,2805000,2859836500,602
ANTM,--MO1XDPXC6000B146------------,2500,2460,06 Jun 2022,2490,2400,2450,-50,93793800,228407052000,19664
APEX,--U-2135000000A131------------,406,0,06 Jun 2022,412,402,402,-4,263800,106572400,191
APIC,--M-2105000000G511------------,1135,0,06 Jun 2022,1140,1110,1125,-10,16529100,18542370500,1668
APII,--M-2130000000C143------------,254,0,06 Jun 2022,286,238,238,-16,84386200,22263995400,44964
APLI,--U-1130000000B113------------,192,0,06 Jun 2022,195,195,195,3,2300,448500,6
APLN,--M-1135000000H111------------,113,0,06 Jun 2022,123,112,120,7,86854200,10391806400,5466
ARCI,--M-1835000000B143------------,380,0,06 Jun 2022,382,378,380,0,2555500,971602600,338
ARGO,--U-2100000000E413-E-L-------X,1465,0,06 Jun 2022,1400,1370,1400,-65,200,277000,2
ARII,--U-2130000000A121------------,220,0,06 Jun 2022,230,222,228,8,30000,6812200,27
ARKA,--U-2100000000C143------------,50,0,06 Jun 2022,50,50,50,0,1515900,75795000,49
ARMY,--U-2130000000H111---L-------X,50,0,06 Jun 2022,0,0,50,0,0,0,0
ARNA,--M-1135000000C121------------,1070,0,06 Jun 2022,1085,1050,1050,-20,1263700,1348684500,590
ARTA,--U-2100000000E512---L--------,1770,0,06 Jun 2022,1790,1770,1790,20,2100,3757000,5
ARTI,--U-2100000000A132-E---------X,50,0,06 Jun 2022,0,0,50,0,0,0,0
ARTO,--U-2800000000G111------------,9000,0,06 Jun 2022,9075,8375,8500,-500,19772300,170008352500,13483
ASBI,--U-2100000000G412------------,298,0,06 Jun 2022,298,286,298,0,506600,148641800,41
ASDM,--U-1100000000G412------------,1035,0,06 Jun 2022,1040,1020,1040,5,14000,14457000,21
ASGR,--M-1135000000C224------------,970,0,06 Jun 2022,1000,970,990,20,1143300,1120379000,322
ASHA,--U-2130000000D231------------,380,0,06 Jun 2022,468,354,354,-26,278763600,116949889200,21722
ASII,--MO1UBAC76000C311------------,7300,7200,06 Jun 2022,7250,7075,7225,-75,53388400,381146515000,8834
ASJT,--U-1100000000G412------------,133,0,06 Jun 2022,135,130,134,1,151900,19982700,52
ASLC,--U-2130000000E745------------,186,0,06 Jun 2022,189,180,180,-6,47634300,8725250000,1539
ASMI,--U-1105000000G412------------,140,0,06 Jun 2022,140,131,131,-9,519900,68859500,115
ASPI,--U-2130000000H111------------,77,0,06 Jun 2022,81,77,80,3,2878900,229658000,202
ASRI,--M-1835M40000H111------------,171,0,06 Jun 2022,187,171,184,13,168060700,30455205100,9243
ASRM,--U-2100000000G412-----------X,1540,0,06 Jun 2022,1590,1525,1570,30,7700,11904500,33
ASSA,--M-2825946000K132------------,2280,0,06 Jun 2022,2310,2230,2250,-30,8973000,20162574000,4583
ATAP,--U-2130000000H111------------,107,0,06 Jun 2022,112,103,106,-1,1147000,124969700,353
ATIC,--U-1105000000I121---L--------,430,0,06 Jun 2022,448,420,430,0,76600,32867400,48
AUTO,--M-1135000000E111------------,1160,0,06 Jun 2022,1200,1160,1195,35,4607400,5463292000,1364
AVIA,--M-1130000000B113------------,765,0,06 Jun 2022,785,765,775,10,51034200,39464349000,2800
AYLS,--U-2130000000B121------------,230,0,06 Jun 2022,230,218,224,-6,6213600,1379909800,1457
BABP,--U-2105000000G111------------,150,0,06 Jun 2022,154,142,144,-6,51145000,7547264300,3961
BACA,--U-2105000000G111------------,166,0,06 Jun 2022,167,157,158,-8,17452400,2793998700,1404
BAJA,--U-2100000000B144------------,194,0,06 Jun 2022,195,191,192,-2,494700,95267200,226
BALI,--M-1135000000J321------------,800,0,06 Jun 2022,810,800,810,10,593600,477749500,92
BANK,XRU-2135400000G111------------,2020,0,06 Jun 2022,2040,1980,2030,10,24974200,50026104500,2042
BAPA,--U-1130000000H111------------,90,0,06 Jun 2022,90,88,89,-1,3500800,312370800,425
BAPI,--U-2130000000H111-----------X,50,0,06 Jun 2022,50,50,50,0,2200,110000,7
BATA,--U-1130000000E412---L--------,484,0,06 Jun 2022,525,484,484,0,10800,5383900,32
BAUT,--U-2130000000E743------------,50,0,06 Jun 2022,51,50,50,0,9904100,495631300,738
BAYU,--U-2130000000E513------------,1180,0,06 Jun 2022,1175,1170,1170,-10,1300,1526000,3
BBCA,--MO1UQNCN6000G111------------,7600,7550,06 Jun 2022,7575,7425,7450,-150,81140300,607825602500,21744
BBHI,--U-2100000000G111------------,4400,0,06 Jun 2022,4450,4100,4100,-300,8390900,34961498000,5681
BBKP,--U-1105000000G111------------,206,0,06 Jun 2022,208,202,204,-2,50608300,10329430200,1935
BBLD,--U-2100000000G211------------,418,0,06 Jun 2022,444,412,430,12,119600,50658000,18
BBMD,--U-1105000000G111------------,2060,0,06 Jun 2022,2030,2030,2030,-30,100,203000,1
BBNI,--MO1UQSP46000G111------------,8950,8900,06 Jun 2022,8975,8700,8900,-50,35484500,312483690000,8171
BBRI,--MO1UQSPB6000G111------------,4520,4470,06 Jun 2022,4510,4400,4430,-90,157277700,697349609000,29691
BBRM,--U-1130000000A122-----------X,50,0,06 Jun 2022,50,50,50,0,1167300,58365000,20
