Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
AALI,--M-1M3PM10000D232------------,11350,0,01 Mar 2022,11800,11400,11775,425,5019600,58692342500,3183
ABBA,XRU-2100000000E614------------,308,0,01 Mar 2022,326,302,306,-2,44386800,13775091200,3282
ABDA,--U-2105000000G412------------,6600,0,01 Mar 2022,0,0,6600,0,0,0,0
ABMM,--M-1115000000C311------------,1755,0,01 Mar 2022,1865,1750,1840,85,5230500,9459640000,1401
ACES,--M-187EMN6000E743------------,1070,0,01 Mar 2022,1110,1070,1110,40,42862500,46803145500,6094
ACST,--U-1105000000J211------------,191,0,01 Mar 2022,194,190,191,0,2680000,513081100,385
ADCP,--U-1130000000H111------------,107,0,01 Mar 2022,106,100,100,-7,83775700,8442302300,6349
ADES,--U-2135000000D212------------,3790,0,01 Mar 2022,3900,3790,3860,70,123200,473902000,93
ADHI,--M-1835K52000J211------------,760,0,01 Mar 2022,785,760,765,5,15540100,11947680500,3019
ADMF,--U-1115200000G211------------,7875,0,01 Mar 2022,7975,7875,7925,50,236900,1879350000,342
ADMG,--U-1130000000B111------------,195,0,01 Mar 2022,200,188,190,-5,1856300,360812500,436
ADMR,--U-2135000000A121------------,1250,0,01 Mar 2022,1390,1260,1285,35,220549800,291108152500,34367
ADRO,--MO1XD0Q60000A121------------,2450,2560,01 Mar 2022,2720,2500,2580,130,357287400,935518731000,38446
AGAR,--U-2130000000D231------------,376,0,01 Mar 2022,378,352,374,-2,6500,2426600,27
AGII,--M-1835F20000B111------------,1440,0,01 Mar 2022,1500,1445,1490,50,9235100,13694634500,2576
AGRO,--U-1105000000G111------------,1400,0,01 Mar 2022,1485,1400,1450,50,50653000,73108963000,8227
AGRS,--U-2105000000G111------------,148,0,01 Mar 2022,154,148,149,1,9374400,1407225000,853
AHAP,--U-2100000000G412------------,66,0,01 Mar 2022,68,63,67,1,3007500,201192500,195
AIMS,--U-2130000000A121------------,356,0,01 Mar 2022,358,350,358,2,3133700,1115617600,688
AISA,--U-1135000000D222------------,191,0,01 Mar 2022,195,187,190,-1,9384700,1786165200,1214
AKKU,--U-2130000000E512------------,50,0,01 Mar 2022,50,50,50,0,900,45000,4
AKPI,--U-2130000000B113------------,1020,0,01 Mar 2022,1020,1000,1005,-15,20900,20935500,36
AKRA,--M-18GXM86000A112------------,755,0,01 Mar 2022,765,725,740,-15,80765600,60113558000,8916
AKSI,--U-2130000000K211------------,570,0,01 Mar 2022,595,555,565,-5,92500,53522000,121
ALDO,--U-2135000000B131------------,1105,0,01 Mar 2022,1115,1075,1085,-20,4745800,5217215500,914
ALKA,--U-2130000000B141------------,278,0,01 Mar 2022,294,278,290,12,11100,3201200,30
ALMI,--U-2105000000B141-E----------,288,0,01 Mar 2022,298,288,298,10,2100,622600,8
ALTO,--U-1100000000D212------------,266,0,01 Mar 2022,260,248,248,-18,47300,11850400,22
AMAG,--U-2105000000G412------------,370,0,01 Mar 2022,370,366,370,0,21500,7936800,39
AMAN,--M-1135000000H111------------,525,0,01 Mar 2022,525,520,525,0,1013600,532014500,61
AMAR,--U-2105000000G111------------,350,0,01 Mar 2022,364,334,354,4,57844400,20177808200,6480
AMFG,--U-1105000000C121------------,4900,0,01 Mar 2022,5275,4910,5125,225,274200,1396574500,90
AMIN,--U-2130000000C143------------,170,0,01 Mar 2022,172,169,169,-1,178600,30454400,58
AMOR,XDM-2105000000G311------------,1705,0,01 Mar 2022,1700,1650,1670,-35,6900,11604500,36
AMRT,--MO1U05906000D113------------,1090,1100,01 Mar 2022,1115,1085,1090,0,8136600,8921196000,3730
ANDI,--U-2130000000D232------------,50,0,01 Mar 2022,50,50,50,0,210500,10525000,13
ANJT,--U-1135000000D232------------,1040,0,01 Mar 2022,1070,1035,1045,5,758500,793678000,146
ANTM,--MO1XDPXC6000B146------------,2220,2240,01 Mar 2022,2300,2230,2260,40,137694700,311194909000,19319
APEX,--U-2135000000A131------------,695,0,01 Mar 2022,755,695,700,5,122600,86833000,89
APIC,--M-2105000000G511------------,1155,0,01 Mar 2022,1175,1155,1165,10,17212500,20093643500,1168
APII,--M-2130000000C143------------,193,0,01 Mar 2022,198,192,193,0,275100,53073600,55
APLI,--U-1130000000B113------------,197,0,01 Mar 2022,206,196,200,3,81200,16203100,22
APLN,--M-1135000000H111------------,115,0,01 Mar 2022,117,114,116,1,4240300,489414400,400
ARCI,--M-1835000000B143------------,494,0,01 Mar 2022,510,494,496,2,4693500,2342178600,772
ARGO,--U-2100000000E413-E----------,1595,0,01 Mar 2022,1535,1490,1535,-60,700,1060500,5
ARII,--U-2130000000A121------------,246,0,01 Mar 2022,248,240,248,2,86200,21336800,28
ARKA,--U-2100000000C143------------,50,0,01 Mar 2022,50,50,50,0,780500,39025000,80
ARMY,--U-2130000000H111------------,50,0,01 Mar 2022,0,0,50,0,0,0,0
ARNA,--M-1135000000C121------------,895,0,01 Mar 2022,905,835,880,-15,7277700,6340151000,1535
ARTA,--U-2100000000E512------------,1695,0,01 Mar 2022,1720,1695,1720,25,3700,6320500,9
ARTI,--U-1100000000A132-E-L--------,50,0,01 Mar 2022,0,0,50,0,0,0,0
ARTO,--U-2800000000G111------------,16175,0,01 Mar 2022,16900,15925,16500,325,53067400,862638132500,26262
ASBI,--U-2100000000G412------------,300,0,01 Mar 2022,300,288,290,-10,4300,1252400,7
ASDM,--U-1100000000G412------------,965,0,01 Mar 2022,980,965,965,0,400,387500,4
ASGR,--M-1135000000C224------------,810,0,01 Mar 2022,855,810,830,20,3386000,2835008500,414
ASII,--MO1UBAC76000C311------------,5800,5800,01 Mar 2022,5950,5700,5700,-100,101227600,587405980000,18738
ASJT,--U-2100000000G412------------,130,0,01 Mar 2022,131,129,129,-1,244600,31700600,68
ASLC,--U-2130000000E745------------,266,0,01 Mar 2022,270,262,268,2,15186200,4041686200,982
ASMI,--U-1105000000G412------------,200,0,01 Mar 2022,210,199,206,6,192000,39007900,71
ASPI,--U-2130000000H111------------,64,0,01 Mar 2022,69,64,67,3,1525300,101433900,530
ASRI,--M-1835M00000H111------------,152,0,01 Mar 2022,155,151,152,0,10039500,1531434100,907
ASRM,--U-2100000000G412------------,1565,0,01 Mar 2022,1590,1545,1590,25,2900,4521500,11
ASSA,--M-1825946000K132------------,2540,0,01 Mar 2022,2650,2540,2540,0,9729700,25219334000,3822
ATAP,--U-2130000000H111------------,140,0,01 Mar 2022,142,138,139,-1,2610700,365377400,692
ATIC,--U-1105000000I121------------,550,0,01 Mar 2022,560,535,560,10,208000,114526500,100
AUTO,--M-1135000000E111------------,1055,0,01 Mar 2022,1070,1055,1060,5,3784300,4015556000,1228
AVIA,--U-1130000000B113------------,815,0,01 Mar 2022,820,805,810,-5,45469900,36976216500,2495
