Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
AALI,--M-18APM16000D232------------,9100,0,23 Agt 2022,9175,9075,9150,50,1394000,12709732500,1842
ABBA,--U-2105000000E614------------,270,0,23 Agt 2022,278,252,268,-2,42208300,11385127200,2492
ABDA,--U-2105000000G412-----------X,6050,0,23 Agt 2022,0,0,6050,0,0,0,0
ABMM,--M-1175000000C311------------,2420,0,23 Agt 2022,2540,2410,2520,100,3669800,9124625000,2298
ACES,--M-187EMD0000E743------------,750,0,23 Agt 2022,760,740,760,10,49756000,37522928500,3939
ACST,--U-1135000000J211------------,185,0,23 Agt 2022,189,184,186,1,5236100,976440100,519
ADCP,--U-1135000000H111------------,75,0,23 Agt 2022,77,75,76,1,18338900,1388059600,864
ADES,--U-2135000000D212------------,6175,0,23 Agt 2022,6225,6150,6225,50,44300,274142500,91
ADHI,--M-1835V50000J211------------,770,0,23 Agt 2022,795,750,785,15,10880800,8520887500,1740
ADMF,--U-110F200000G211------------,8100,0,23 Agt 2022,8150,8075,8100,0,117200,949422500,106
ADMG,--U-1130000000B111------------,173,0,23 Agt 2022,176,173,174,1,463800,81055500,62
ADMR,--U-2100000000A121------------,1645,0,23 Agt 2022,1695,1635,1685,40,93780300,156963930000,15166
ADRO,--MO1XDAQG0000A121------------,3150,3170,23 Agt 2022,3380,3160,3350,200,175076900,578894008000,22339
AGAR,--U-2130000000D231------------,312,0,23 Agt 2022,312,298,312,0,700,215600,5
AGII,XDM-1835F20000B111------------,2220,0,23 Agt 2022,2280,2180,2240,20,3167900,7082322000,1447
AGRO,--U-1805300000G111------------,740,0,23 Agt 2022,750,720,745,5,12185700,9058961500,2450
AGRS,XRU-2105000000G111------------,112,0,23 Agt 2022,112,111,112,0,14539700,1625866400,565
AHAP,--U-2100000000G412------------,117,0,23 Agt 2022,126,109,126,9,168695900,19801514600,8317
AIMS,--U-2130000000A121------------,252,0,23 Agt 2022,252,250,252,0,4300,1079400,9
AISA,--U-1135000000D222------------,158,0,23 Agt 2022,158,154,155,-3,6902000,1070244700,693
AKKU,--U-2100000000E512-------Y---X,50,0,23 Agt 2022,50,50,50,0,3400,170000,4
AKPI,--U-2130000000B113------------,1540,0,23 Agt 2022,1540,1500,1535,-5,19100,28869000,36
AKRA,XDM-18AXM46000A112------------,1170,0,23 Agt 2022,1225,1165,1215,45,60971200,74008038500,10098
AKSI,--U-2130000000K211------------,268,0,23 Agt 2022,268,260,268,0,119500,31462800,76
ALDO,--U-2135000000B131------------,720,0,23 Agt 2022,720,695,720,0,401800,282911000,204
ALKA,--U-2130000000B141------------,286,0,23 Agt 2022,296,288,294,8,26500,7652600,25
ALMI,--U-2135000000B141------------,294,0,23 Agt 2022,296,294,294,0,500,147400,3
ALTO,--U-1100000000D212------------,192,0,23 Agt 2022,192,191,192,0,4900,939500,10
AMAG,--U-2105000000G412------------,360,0,23 Agt 2022,368,358,362,2,184500,66781200,95
AMAN,XDU-1135000000H111------------,560,0,23 Agt 2022,595,560,595,35,2360400,1371131500,516
AMAR,--U-2805000000G111------------,282,0,23 Agt 2022,282,268,270,-12,14735000,4025427800,1574
AMFG,--U-1135000000C121------------,5900,0,23 Agt 2022,5875,5650,5750,-150,664600,3813275000,349
AMIN,--U-2130000000C143------------,118,0,23 Agt 2022,120,118,118,0,18400,2172800,16
AMMS,--U-3000000000D231------------,103,0,23 Agt 2022,107,101,106,3,14649000,1540570800,1428
AMOR,--U-2105000000G311------------,1395,0,23 Agt 2022,1395,1320,1395,0,1100,1517500,7
AMRT,--MO1U00526000D113------------,2090,2090,23 Agt 2022,2140,2070,2100,10,79963400,168178867000,7281
ANDI,--U-2130000000D232-----------X,50,0,23 Agt 2022,50,50,50,0,14100,705000,4
ANJT,--M-1135000000D232------------,800,0,23 Agt 2022,800,785,795,-5,2260400,1794241000,693
ANTM,--MO1XDPX56000B146------------,1985,1985,23 Agt 2022,2050,1965,2030,45,87682800,176940553000,12535
APEX,--U-2130000000A131------------,324,0,23 Agt 2022,336,302,322,-2,234000,74575800,167
APIC,--M-2105000000G511------------,1155,0,23 Agt 2022,1175,1155,1165,10,12562500,14643385500,674
APII,--M-2130000000C143------------,192,0,23 Agt 2022,193,190,193,1,130000,24845600,93
APLI,--U-1130000000B113------------,196,0,23 Agt 2022,200,200,200,4,900,180000,3
APLN,--M-1135000000H111------------,115,0,23 Agt 2022,120,114,117,2,13075500,1541046900,770
ARCI,--M-1135000000B143------------,374,0,23 Agt 2022,378,370,376,2,2992500,1119711000,305
ARGO,--U-2100000000E413-E---------X,1125,0,23 Agt 2022,1125,1125,1125,0,3900,4387500,6
ARII,--U-2130000000A121------------,214,0,23 Agt 2022,220,214,218,4,117800,25246000,23
ARKA,--U-2100000000C143------------,50,0,23 Agt 2022,50,50,50,0,93000,4650000,32
ARKO,--U-2105000000J411-------Y----,670,0,23 Agt 2022,685,625,625,-45,65136000,43093010500,4206
ARMY,--U-2100000000H111---L-------X,50,0,23 Agt 2022,0,0,50,0,0,0,0
ARNA,--M-1135000000C121------------,955,0,23 Agt 2022,960,950,950,-5,1291800,1232784000,1073
ARTA,--U-2105000000E512------------,2480,0,23 Agt 2022,2500,2460,2480,0,28200,70201000,34
ARTI,--U-2100000000A132-E---------X,50,0,23 Agt 2022,0,0,50,0,0,0,0
ARTO,--UO2HM0500000G111------------,9075,9075,23 Agt 2022,9175,8925,9000,-75,9971500,89883547500,6800
ASBI,--U-2100000000G412------------,376,0,23 Agt 2022,392,366,388,12,146600,56306600,167
ASDM,--U-1100000000G412------------,965,0,23 Agt 2022,975,970,970,5,5800,5654000,6
ASGR,--M-1135000000C224------------,900,0,23 Agt 2022,905,890,900,0,373900,335787000,130
ASHA,--U-2135000000D231------------,224,0,23 Agt 2022,230,218,228,4,128862700,28928798800,20642
ASII,--MO1UBAC76000C311------------,6925,6900,23 Agt 2022,7025,6850,6975,50,56381000,391013075000,6711
ASJT,--U-1100000000G412------------,133,0,23 Agt 2022,134,129,133,0,110000,14538100,23
ASLC,--U-2135000000E745------------,196,0,23 Agt 2022,200,184,198,2,85128100,16404376700,3814
ASMI,--U-1105000000G412------------,121,0,23 Agt 2022,124,119,122,1,9300,1126400,16
ASPI,--U-2130000000H111------------,91,0,23 Agt 2022,92,87,90,-1,3487500,313101900,135
ASRI,--M-1135140000H111------------,172,0,23 Agt 2022,176,166,174,2,29032400,5016890600,1523
ASRM,--U-2100000000G412-----------X,1660,0,23 Agt 2022,1660,1660,1660,0,100,166000,1
ASSA,--M-280F9B0000K132------------,1545,0,23 Agt 2022,1565,1515,1530,-15,8650800,13323294000,2444
ATAP,XDU-2130000000H111------------,106,0,23 Agt 2022,107,105,105,-1,1378600,145326100,302
