Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq,year,month
SMDR,--M-1135000000K211------------,1585,0,04 Apr 2022,1730,1585,1730,145,20251800,33848470500,5377,2022,04
SMGR,--MO1XNXV96000B121------------,6775,6775,04 Apr 2022,6850,6725,6850,75,5069900,34408682500,2981,2022,04
SMKL,--U-1135000000B131------------,424,0,04 Apr 2022,424,412,412,-12,118200,49108600,77,2022,04
SMKM,--U-3000000000J211------------,254,0,04 Apr 2022,260,244,244,-10,5033700,1267022200,499,2022,04
SMMA,--U-1100000000G511------------,12050,0,04 Apr 2022,0,0,12050,0,0,0,0,2022,04
SMMT,--U-2135000000A121------------,1075,0,04 Apr 2022,0,0,1075,0,0,0,0,2022,04
SMRA,--M-183PM00000H111------------,740,0,04 Apr 2022,750,720,740,0,105965100,77560125000,7109,2022,04
SMRU,--U-2100000000A132------------,50,0,04 Apr 2022,0,0,50,0,0,0,0,2022,04
SMSM,--M-1135000000E111------------,1385,0,04 Apr 2022,1425,1380,1415,30,1109900,1559611000,587,2022,04
SNLK,--U-2130000000E512------------,500,0,04 Apr 2022,525,505,515,15,44100,22528000,43,2022,04
SOCI,--M-1135000000A112------------,208,0,04 Apr 2022,222,208,216,8,52785400,11392226600,6495,2022,04
SOFA,--U-3000000000E211------------,38,0,04 Apr 2022,38,36,37,-1,372400,13771400,121,2022,04
SOHO,--U-1135000000F211------------,6500,0,04 Apr 2022,6500,6500,6500,0,3400,22100000,9,2022,04
SONA,--U-1105000000E731------------,3350,0,04 Apr 2022,0,0,3350,0,0,0,0,2022,04
SOSS,--U-2130000000C231------------,412,0,04 Apr 2022,412,388,412,0,1000,402400,10,2022,04
SOTS,--U-2130000000E512------------,232,0,04 Apr 2022,238,232,238,6,1600,375400,4,2022,04
SPMA,--M-1135000000B131------------,720,0,04 Apr 2022,720,705,710,-10,1625800,1157253500,439,2022,04
SPTO,--M-2135000000C121------------,590,0,04 Apr 2022,600,575,590,0,577500,337100500,153,2022,04
SQMI,--U-2100000000B143-E----------,75,0,04 Apr 2022,77,71,74,-1,63315200,4673923500,3478,2022,04
SRAJ,--U-1135000000F121------------,218,0,04 Apr 2022,222,216,218,0,288800,62730400,134,2022,04
SRIL,--U-1105000000E413---L--------,146,0,04 Apr 2022,0,0,146,0,0,0,0,2022,04
SRSN,--U-1100000000B111------------,56,0,04 Apr 2022,57,55,57,1,2734100,152565600,224,2022,04
SRTG,--M-18059G0000G512------------,2800,0,04 Apr 2022,2830,2780,2800,0,6348500,17818073000,2657,2022,04
SSIA,--M-1835400000J211------------,384,0,04 Apr 2022,396,374,396,12,5242800,2013889800,995,2022,04
SSMS,--M-1815100000D232------------,1090,0,04 Apr 2022,1150,1080,1150,60,16723400,18750901500,1614,2022,04
SSTM,--U-2130000000E413------------,790,0,04 Apr 2022,825,820,825,35,14000,11537500,2,2022,04
STAA,--U-1130000000D232------------,795,0,04 Apr 2022,840,785,835,40,25378600,20689365500,1907,2022,04
STAR,--U-1100000000G511------------,140,0,04 Apr 2022,139,137,139,-1,1300,178700,3,2022,04
STTP,--U-2135000000D222------------,7250,0,04 Apr 2022,7275,7250,7250,0,1800,13067500,12,2022,04
SUGI,--U-2105000000A111---L---Y----,50,0,04 Apr 2022,0,0,50,0,0,0,0,2022,04
SULI,--U-1100000000B151-E----------,50,0,04 Apr 2022,50,50,50,0,2700,135000,18,2022,04
SUPR,--U-2105000000J321-----------X,47500,0,04 Apr 2022,44175,44175,44175,-3325,100,4417500,1,2022,04
SURE,--U-2135000000A111------------,1975,0,04 Apr 2022,1900,1900,1900,-75,600,1140000,3,2022,04
SWAT,--U-2100000000B152------------,105,0,04 Apr 2022,109,105,107,2,4321600,462319100,591,2022,04
TALF,--U-2100000000B131------------,300,0,04 Apr 2022,310,302,310,10,3300,1022200,3,2022,04
TAMA,--U-2130000000J211------------,56,0,04 Apr 2022,58,56,57,1,2837200,161569000,133,2022,04
TAMU,--U-2135000000A132------------,50,0,04 Apr 2022,50,50,50,0,100,5000,1,2022,04
TAPG,--M-183CM30000D232------------,700,0,04 Apr 2022,705,665,665,-35,62479700,42167006000,4684,2022,04
TARA,--U-1130000000H111------------,50,0,04 Apr 2022,50,50,50,0,45700,2285000,9,2022,04
TAXI,--U-1100000000K132-E----------,50,0,04 Apr 2022,50,50,50,0,1000,50000,4,2022,04
TAYS,--U-2100000000D222------------,204,0,04 Apr 2022,204,198,204,0,70600,14098500,55,2022,04
TBIG,--MO1H475B1000J321------------,2920,2930,04 Apr 2022,2930,2870,2880,-40,26126700,75626084000,4227,2022,04
TBLA,--M-1105000000D222------------,810,0,04 Apr 2022,825,810,820,10,848000,693986000,203,2022,04
TBMS,--U-2130000000B142------------,1740,0,04 Apr 2022,1740,1635,1740,0,5600,9682500,13,2022,04
TCID,--U-1135000000D421------------,4860,0,04 Apr 2022,4860,4800,4850,-10,31000,149107000,21,2022,04
TCPI,--U-2130000000A122------------,10800,0,04 Apr 2022,11025,10200,10300,-500,3864700,41684280000,7557,2022,04
TDPM,--U-1105000000B111M--L---Y---X,119,0,04 Apr 2022,0,0,119,0,0,0,0,2022,04
TEBE,--U-2130000000A122------------,725,0,04 Apr 2022,775,700,720,-5,928500,689810500,366,2022,04
TECH,--U-2135000000I121------------,4230,0,04 Apr 2022,4300,4060,4120,-110,2482200,10351322000,486,2022,04
TELE,--U-1100000000E742-E----------,121,0,04 Apr 2022,0,0,121,0,0,0,0,2022,04
TFAS,--U-2135000000I111------------,4770,0,04 Apr 2022,4690,4460,4460,-310,25200,113494000,59,2022,04
TFCO,--U-2135000000E413------------,765,0,04 Apr 2022,765,715,755,-10,1900,1442000,10,2022,04
TGKA,--U-2135000000D222------------,7050,0,04 Apr 2022,7100,7050,7075,25,2000,14167500,8,2022,04
TGRA,--U-1130000000J411------------,71,0,04 Apr 2022,73,71,73,2,7928500,570975900,310,2022,04
TIFA,--U-2105000000G211------------,565,0,04 Apr 2022,565,540,560,-5,8600,4777500,9,2022,04
