Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
KINO,--M-1135000000D421------------,3230,0,22 Feb 2022,3420,3230,3230,0,1497300,4978137000,905
KIOS,--U-2130000000I111------------,488,0,22 Feb 2022,490,470,476,-12,3617000,1731366800,1130
KJEN,--U-2100000000K211------------,775,0,22 Feb 2022,775,735,735,-40,400,298000,3
KKGI,--U-1135000000A121------------,342,0,22 Feb 2022,342,320,338,-4,4485800,1473501600,316
KLBF,--MO1XS3Q36000F211------------,1590,1590,22 Feb 2022,1650,1585,1620,30,51416700,83338903000,6151
KMDS,--U-2130000000D112------------,436,0,22 Feb 2022,436,436,436,0,600,261600,3
KMTR,--U-2105000000B153------------,286,0,22 Feb 2022,294,280,282,-4,92300,26412400,48
KOBX,--U-1100000000C141------------,280,0,22 Feb 2022,286,278,278,-2,2398200,673039400,518
KOIN,--U-2130000000C121------------,156,0,22 Feb 2022,156,153,155,-1,20800,3242800,11
KONI,--U-2130000000C223-----------X,2260,0,22 Feb 2022,2480,2110,2480,220,115700,269806000,283
KOPI,--U-2130000000A112------------,660,0,22 Feb 2022,825,660,670,10,437600,323581500,509
KOTA,--U-1100000000H111------------,50,0,22 Feb 2022,52,50,50,0,229416800,11582010500,4805
KPAL,--U-1100000000C141---L---Y----,50,0,22 Feb 2022,0,0,50,0,0,0,0
KPAS,--U-2130000000D421------------,62,0,22 Feb 2022,0,0,62,0,0,0,0
KPIG,--M-2135400000E512------------,134,0,22 Feb 2022,136,125,128,-6,724835200,92949993900,21580
KRAH,--U-2100000000C143B--L---Y----,436,0,22 Feb 2022,0,0,436,0,0,0,0
KRAS,--U-1105000000B144------------,382,0,22 Feb 2022,382,372,374,-8,5104200,1917125000,813
KREN,--U-1135000000I111------------,80,0,22 Feb 2022,81,78,79,-1,2886400,228731300,293
KUAS,--U-2100000000C121------------,80,0,22 Feb 2022,81,78,79,-1,10098900,796833400,722
LABA,--U-2130000000C143------------,138,0,22 Feb 2022,142,133,134,-4,9775800,1345482600,1613
LAND,--U-2130000000H111------------,71,0,22 Feb 2022,73,71,72,1,1596900,114561700,237
LAPD,--U-2100000000J411-ED-S------X,50,0,22 Feb 2022,0,0,50,0,0,0,0
LCGP,--U-2130000000H111------------,114,0,22 Feb 2022,0,0,114,0,0,0,0
LCKM,--U-2130000000J321------------,290,0,22 Feb 2022,290,284,284,-6,2100,597600,5
LEAD,--U-1100000000A112------------,54,0,22 Feb 2022,55,51,53,-1,28598200,1494407700,844
LFLO,--U-3000000000E211------------,114,0,22 Feb 2022,125,109,125,11,2450000,303157100,432
LIFE,--U-1105000000G413------------,6200,0,22 Feb 2022,0,0,6200,0,0,0,0
LINK,--M-1875400000J311------------,4360,0,22 Feb 2022,4370,4330,4370,10,3222600,14001028000,625
