Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
AALI,CDS-183E806000D232------------,7500,0,02 Oct 2023,7550,7425,7500,0,692000,5173497500,779
ABBA,--U-4100000000E614-E---------X,80,0,02 Oct 2023,84,77,83,3,16440300,1343738200,792
ABDA,--U-4105000000G412-----------X,6100,0,02 Oct 2023,0,0,6100,0,0,0,0
ABMM,--S-1835403000A121------------,3940,0,02 Oct 2023,3950,3840,3880,-60,1338700,5200268000,1555
ACES,--SO1S75MD0000E743------------,750,755,02 Oct 2023,790,755,785,35,49641000,38489425000,5791
ACST,--U-1135000000J211------------,202,0,02 Oct 2023,246,202,234,32,510892200,116723957400,20620
ADCP,--U-1135000000H111------------,58,0,02 Oct 2023,60,57,60,2,32101400,1876250200,875
ADES,--U-2135000000D212------------,10625,0,02 Oct 2023,10650,10400,10450,-175,83400,876127500,203
ADHI,--S-1805700000J211------------,476,0,02 Oct 2023,480,460,474,-2,39300800,18490865600,3783
ADMF,--U-110F000000G211------------,10525,0,02 Oct 2023,10625,10425,10500,-25,99500,1046105000,164
ADMG,--U-1130000000B111------------,151,0,02 Oct 2023,153,145,148,-3,55300,8370100,77
ADMR,--U-2835930000A121------------,1305,0,02 Oct 2023,1320,1220,1315,10,69607000,88690702000,12065
ADRO,--SO1XDAQ70000A121------------,2850,2830,02 Oct 2023,2830,2780,2810,-40,31881300,89414300000,10474
AEGS,--U-3000000000E111------------,64,0,02 Oct 2023,66,60,63,-1,5761500,359729600,484
AGAR,--U-4130000000D231-----------X,170,0,02 Oct 2023,168,168,168,-2,100,16800,1
AGII,--U-1835403000B111------------,1780,0,02 Oct 2023,1795,1770,1785,5,801200,1426558500,158
AGRO,--U-1855300000G111------------,304,0,02 Oct 2023,306,302,304,0,7136300,2161879200,883
AGRS,--U-2105000000G111------------,86,0,02 Oct 2023,87,85,86,0,3059000,262057300,186
AHAP,--U-2100000000G412------------,108,0,02 Oct 2023,123,107,120,12,79332000,9237988200,5024
AIMS,--U-2130000000A121------------,278,0,02 Oct 2023,288,264,288,10,37500,10582200,123
AISA,--U-1135000000D222------------,117,0,02 Oct 2023,120,116,117,0,2909100,342520500,392
AKKU,--U-4100000000E512-----------X,50,0,02 Oct 2023,50,50,50,0,1392100,69605000,511
AKPI,--U-2130000000B113------------,795,0,02 Oct 2023,830,630,660,-135,1213200,858024500,4203
AKRA,--SO1XKXMBS000A112------------,1545,1545,02 Oct 2023,1550,1510,1515,-30,27063700,41125409000,4072
AKSI,--U-2130000000K211------------,170,0,02 Oct 2023,171,168,170,0,107700,18177600,35
ALDO,--U-2130000000B131------------,745,0,02 Oct 2023,750,735,745,0,335500,247691000,23
ALKA,--U-2130000000B141------------,645,0,02 Oct 2023,660,600,640,-5,41500,26397000,57
ALMI,--U-2130000000B141------------,214,0,02 Oct 2023,214,202,214,0,12000,2528600,12
ALTO,--U-1100000000D212------------,50,0,02 Oct 2023,50,50,50,0,6200,310000,5
AMAG,--U-2105000000G412------------,340,0,02 Oct 2023,338,334,336,-4,17100,5743800,28
AMAN,--U-2130000000H111------------,127,0,02 Oct 2023,129,123,125,-2,3503300,439528200,587
AMAR,--U-2105000000G111------------,292,0,02 Oct 2023,294,286,292,0,1394900,404483200,144
AMFG,--U-1135000000C121------------,5500,0,02 Oct 2023,5550,5375,5500,0,195600,1070790000,84
AMIN,--U-2130000000C143------------,124,0,02 Oct 2023,129,124,124,0,143100,18010000,56
AMMN,--U-1130000000B142------------,5925,0,02 Oct 2023,6100,5600,6100,175,76950900,448431540000,14177
AMMS,--U-3000000000D231------------,44,0,02 Oct 2023,45,40,44,0,5601200,231794000,467
AMOR,--U-2105000000G311------------,930,0,02 Oct 2023,980,930,950,20,33900,32484500,21
