Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq,year,month
AALI,--S-18AEM16000D232------------,7475,0,17 May 2023,7525,7375,7375,-100,815700,6051252500,1035,2023,05
ABBA,--U-2100000000E614-E----------,100,0,17 May 2023,103,96,98,-2,4720900,466752700,565,2023,05
ABDA,--U-2105000000G412------------,6450,0,17 May 2023,0,0,6450,0,0,0,0,2023,05
ABMM,CDS-1835000000C311------------,3440,0,17 May 2023,3480,3270,3340,-100,9209600,30701612000,4011,2023,05
ACES,--SO1S35MD0000E743------------,570,570,17 May 2023,600,560,595,25,251407600,147825963000,13437,2023,05
ACST,--U-1135000000J211------------,129,0,17 May 2023,130,127,128,-1,3203700,410388100,212,2023,05
ADCP,--U-1135000000H111------------,59,0,17 May 2023,60,59,59,0,4401400,259746700,231,2023,05
ADES,--U-2135000000D212------------,8225,0,17 May 2023,8275,8150,8150,-75,44800,366577500,80,2023,05
ADHI,--S-1805700000J211------------,382,0,17 May 2023,384,370,370,-12,13074700,4905435000,1774,2023,05
ADMF,--U-110F000000G211------------,10175,0,17 May 2023,10200,10075,10150,-25,97100,982235000,124,2023,05
ADMG,--U-1130000000B111------------,146,0,17 May 2023,150,140,145,-1,193000,28349300,210,2023,05
ADMR,--U-2810530000A121------------,840,0,17 May 2023,890,830,880,40,47040900,40571705000,9750,2023,05
ADRO,--SO1XDAQ70000A121------------,2670,2710,17 May 2023,2710,2540,2540,-130,143418900,371779858000,30960,2023,05
AGAR,--U-2130000000D231-----------X,220,0,17 May 2023,220,214,214,-6,28500,6117600,12,2023,05
AGII,--M-1835403000B111------------,1905,0,17 May 2023,1910,1870,1870,-35,512900,967203500,378,2023,05
AGRO,--U-1805300000G111------------,366,0,17 May 2023,378,360,368,2,17957200,6656635000,3037,2023,05
AGRS,--U-2105000000G111------------,84,0,17 May 2023,85,81,84,0,5743400,471762200,250,2023,05
AHAP,--U-2100000000G412------------,52,0,17 May 2023,53,52,52,0,777400,40511000,86,2023,05
AIMS,--U-2130000000A121------------,242,0,17 May 2023,278,238,266,24,43100,10607400,38,2023,05
AISA,--U-1135000000D222------------,142,0,17 May 2023,146,139,142,0,7661100,1095067800,395,2023,05
AKKU,--U-2100000000E512---L-------X,50,0,17 May 2023,50,50,50,0,700,35000,7,2023,05
AKPI,--U-2130000000B113------------,1025,0,17 May 2023,1040,1020,1020,-5,25200,25774000,25,2023,05
AKRA,XDSO1X3XM4S000A112------------,1300,1300,17 May 2023,1330,1280,1325,25,51236100,67390628500,5100,2023,05
AKSI,--U-2130000000K211------------,228,0,17 May 2023,224,220,220,-8,120300,26521600,44,2023,05
ALDO,--U-2135000000B131------------,605,0,17 May 2023,625,605,625,20,22400,13814500,38,2023,05
ALKA,--U-2130000000B141------------,346,0,17 May 2023,358,330,346,0,113000,38102000,66,2023,05
ALMI,--U-2135000000B141------------,222,0,17 May 2023,222,214,222,0,5000,1109200,5,2023,05
ALTO,--U-1100000000D212---L--------,50,0,17 May 2023,50,50,50,0,49900,2495000,10,2023,05
AMAG,--U-2105000000G412------------,372,0,17 May 2023,372,364,370,-2,78700,29062800,79,2023,05
AMAN,--U-2135000000H111------------,284,0,17 May 2023,292,266,266,-18,8099000,2226852400,1723,2023,05
