Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq,year,month
AALI,XDS-18AEM16000D232------------,7700,0,03 May 2023,7725,7650,7675,-25,747000,5735502500,583,2023,05
ABBA,--U-2100000000E614------------,108,0,03 May 2023,109,106,106,-2,5048800,540068400,376,2023,05
ABDA,--U-2105000000G412------------,6450,0,03 May 2023,0,0,6450,0,0,0,0,2023,05
ABMM,--S-1835000000C311------------,3200,0,03 May 2023,3600,3380,3400,200,6954800,24086542000,2301,2023,05
ACES,--SO1S35MD0000E743------------,444,444,03 May 2023,456,444,450,6,76527900,34531649000,5009,2023,05
ACST,--U-1135000000J211------------,132,0,03 May 2023,132,129,130,-2,1639400,213134700,191,2023,05
ADCP,--U-1135000000H111------------,61,0,03 May 2023,61,59,60,-1,6367500,380483100,445,2023,05
ADES,--U-2135000000D212------------,8375,0,03 May 2023,8700,8000,8100,-275,301000,2498752500,396,2023,05
ADHI,--S-1805700000J211------------,414,0,03 May 2023,414,400,402,-12,16331500,6600704400,1987,2023,05
ADMF,XDU-110F000000G211------------,10400,0,03 May 2023,10425,10250,10300,-100,65600,681040000,120,2023,05
ADMG,--U-1130000000B111------------,145,0,03 May 2023,146,135,141,-4,1333000,188283800,288,2023,05
ADMR,--U-2810530000A121------------,1040,0,03 May 2023,1055,1005,1010,-30,38452700,39194459500,5675,2023,05
ADRO,--SO1XDAQ70000A121------------,2980,2980,03 May 2023,3050,2930,2940,-40,68670100,203670271000,13218,2023,05
AGAR,--U-2130000000D231-----------X,248,0,03 May 2023,246,244,244,-4,700,171800,3,2023,05
AGII,--M-1835403000B111------------,1920,0,03 May 2023,1920,1880,1920,0,898700,1709834500,441,2023,05
AGRO,--U-1805300000G111------------,418,0,03 May 2023,424,406,414,-4,21796900,9057023600,2037,2023,05
AGRS,--U-2105000000G111------------,86,0,03 May 2023,87,84,86,0,3569400,303610900,192,2023,05
