No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--M-18APM16000D232------------,9075,0,31 Agt 2022,0,9150,9075,9150,75,548200,5002752500,618,743.3,9150,76400,9125,50500,1924688333,1924688333,390711732,179200,221900,0,0,0
2,ABBA,Mahaka Media Tbk.,--U-2105000000E614------------,254,0,31 Agt 2022,0,254,242,248,-6,21216900,5259808400,1387,547.9,248,600000,246,1792600,3935892857,3935892857,1342926643,853700,1821000,0,0,0
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U-2105000000G412-----------X,5675,0,31 Agt 2022,0,5700,5700,5700,25,200,1140000,1,1301.3,6025,200,5700,200,620806680,620806680,78594126,0,0,386924893,885671080077,1
4,ABMM,ABM Investama Tbk.,--M-1175000000C311------------,2670,0,31 Agt 2022,0,2800,2600,2750,80,16785800,45654608000,4977,73.3,2750,210700,2740,16500,2753165000,2753165000,568803889,1095600,973200,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,--M-187EMD0000E743------------,725,0,31 Agt 2022,0,730,700,720,-5,55377200,39700151000,4179,878.0,725,108200,720,147400,17150000000,17150000000,6835990000,21571800,27825600,0,0,0
6,ACST,Acset Indonusa Tbk.,--U-1135000000J211------------,198,0,31 Agt 2022,0,218,198,206,8,68929900,14332298800,5698,15.2,208,2316200,206,3800,12675160000,12675160000,2259981028,87200,34200,0,0,0
7,ADCP,Adhi Commuter Properti Tbk.,--U-1135000000H111------------,76,0,31 Agt 2022,0,77,75,76,0,19013200,1445093700,672,58.5,76,202800,75,8143400,22222222200,22222222200,2222222220,151200,215300,0,0,0
8,ADES,Akasha Wira International Tbk.,--U-2135000000D212------------,6925,0,31 Agt 2022,0,7150,6775,6975,50,170400,1183545000,369,362.3,7000,12800,6975,5800,589896800,589896800,48961434,18900,2100,0,0,0
9,ADHI,Adhi Karya (Persero) Tbk.,--M-1835V50000J211------------,790,0,31 Agt 2022,0,825,790,810,20,32903800,26702367000,5138,636.1,815,1274100,810,532000,3560849376,3560849376,1744816194,1710400,4784200,0,0,0
10,ADMF,Adira Dinamika Multi Finance Tbk.,--U-110F200000G211------------,8125,0,31 Agt 2022,0,8225,8125,8150,25,79400,649480000,137,350.5,8200,2000,8150,35600,1000000000,1000000000,79100000,2300,0,0,0,0
11,ADMG,Polychem Indonesia Tbk,--U-1130000000B111------------,174,0,31 Agt 2022,0,175,173,174,0,405400,70503700,45,15.5,175,263600,174,100,3889179559,3889179559,520372225,0,0,0,0,0
12,ADMR,Adaro Minerals Indonesia Tbk.,--U-2100000000A121------------,1655,0,31 Agt 2022,0,1720,1610,1715,60,157331000,263274364000,14907,1715.0,1715,6638500,1710,1200,40882331500,40882331500,6606584770,22711400,49650600,465447,761747300,7
13,ADRO,Adaro Energy Indonesia Tbk.,--MO1XDAQG0000A121------------,3540,3510,31 Agt 2022,3510,3570,3480,3540,0,101731600,358515432000,12942,321.8,3550,734400,3540,1974000,31985962000,31985962000,13981063990,36748000,41401400,7866514,27758846860,12
14,AGAR,Asia Sejahtera Mina Tbk.,--U-2130000000D231------------,300,0,31 Agt 2022,0,312,288,296,-4,24400,7280200,92,269.1,296,2400,294,100,1000000000,1000000000,250200000,0,0,0,0,0
15,AGII,Aneka Gas Industri Tbk.,XDM-1835F20000B111------------,2130,0,31 Agt 2022,0,2180,2090,2090,-40,2640800,5626843000,1063,190.0,2100,9500,2090,91400,3066660000,3066660000,597385368,1079600,947200,0,0,0
16,AGRO,Bank Raya Indonesia Tbk.,--U-1805300000G111------------,720,0,31 Agt 2022,0,725,705,705,-15,12949200,9197970000,1897,1174.6,710,488600,705,6405100,22520433863,22520433863,3193374706,7167700,2155100,48,48,1
17,AGRS,Bank IBK Indonesia Tbk.,--U-2105000000G111------------,112,0,31 Agt 2022,0,117,108,117,5,41951700,4727275400,2034,151.4,117,4756100,116,3418300,27301346945,27301346945,2207937005,769800,5250800,0,0,0
18,AHAP,Asuransi Harta Aman Pratama Tbk.,--U-2100000000G412------------,124,0,31 Agt 2022,0,131,116,128,4,97975000,12118039600,4185,614.7,128,752800,127,895200,4900000000,4900000000,909930000,6330300,7089800,0,0,0
19,AIMS,Akbar Indo Makmur Stimec Tbk,--U-2130000000A121------------,248,0,31 Agt 2022,0,252,246,248,0,15700,3892600,17,198.4,252,53000,248,9800,220000000,220000000,38786000,0,0,0,0,0
20,AISA,FKS Food Sejahtera Tbk.,--U-1135000000D222------------,144,0,31 Agt 2022,0,151,144,147,3,13477900,1979431200,8357,17.9,148,450800,147,211500,9311800000,9311800000,2576575060,3472600,11300,0,0,0
21,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-2100000000E512-------Y---X,50,0,31 Agt 2022,0,50,50,50,0,2900,145000,9,75.9,50,23620400,0,0,6449463636,6449463636,1663316672,0,0,51600,1702800,1
22,AKPI,Argha Karya Prima Industry Tbk.,--U-2130000000B113------------,1545,0,31 Agt 2022,0,1575,1530,1530,-15,29500,45567000,55,201.8,1545,200,1530,6700,612248000,612248000,26816462,0,5000,0,0,0
23,AKRA,AKR Corporindo Tbk.,--M-18AXM46000A112------------,1220,0,31 Agt 2022,0,1235,1165,1200,-20,97112200,115353690000,9957,4782.0,1200,21025700,1195,208900,20073474600,20073474600,7491420721,36934000,50358000,1249004,1470077800,2
24,AKSI,Mineral Sumberdaya Mandiri Tbk.,--U-2130000000K211------------,286,0,31 Agt 2022,0,334,294,304,18,4891400,1558538800,1660,152.0,306,15300,302,200,720000000,720000000,57528000,0,0,0,0,0
25,ALDO,Alkindo Naratama Tbk.,--U-2135000000B131------------,695,0,31 Agt 2022,0,705,685,700,5,373400,258254500,126,535.3,700,211000,695,1300,1316856070,1316856070,288654840,6500,0,0,0,0
26,ALKA,Alakasa Industrindo Tbk,--U-2130000000B141------------,286,0,31 Agt 2022,0,290,278,290,4,534000,151457800,23,48.8,290,130900,284,300,507665055,507665055,38074879,0,0,0,0,0
27,ALMI,Alumindo Light Metal Industry Tbk.,--U-2135000000B141------------,302,0,31 Agt 2022,0,350,286,330,28,135700,43136600,66,50.8,330,59600,328,1700,3816000000,3816000000,169048800,200,0,0,0,0
28,ALTO,Tri Banyan Tirta Tbk.,--U-1100000000D212------------,192,0,31 Agt 2022,0,191,186,191,-1,49000,9245200,49,95.4,191,10300,190,10300,2191870558,2191870558,590270741,0,4000,0,0,0
29,AMAG,Asuransi Multi Artha Guna Tbk.,--U-2105000000G412------------,364,0,31 Agt 2022,0,364,358,364,0,56500,20447200,48,346.7,364,101200,360,5700,5001552516,5001552516,424131653,0,5000,0,0,0
