No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--M-18AEM16000D232------------,8825,0,09 Nov 2022,0,8900,8675,8700,-125,1725600,15067640000,1779,706.8,8725,12500,8700,14600,1924688333,1924688333,390711732,910000,27400,0,0,0
2,ABBA,Mahaka Media Tbk.,--U-2105000000E614------------,179,0,09 Nov 2022,0,182,175,180,1,15031400,2684794700,1253,397.7,181,231500,180,17300,3935892857,3935892857,1342139464,205100,174200,0,0,0
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U-2105000000G412-----------X,6600,0,09 Nov 2022,0,0,0,6600,0,0,0,0,1506.8,6750,8000,6700,10000,620806680,620806680,78594126,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,--M-1175000000C311------------,3610,0,09 Nov 2022,0,3600,3480,3510,-100,2057000,7250174000,1536,93.6,3520,7400,3510,62100,2753165000,2753165000,568803889,315700,965200,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,--M-187EMD3000E743------------,570,0,09 Nov 2022,0,570,560,565,-5,30658800,17312344500,3324,689.0,570,2561700,565,84300,17150000000,17150000000,6832560000,15889900,14787300,0,0,0
6,ACST,Acset Indonusa Tbk.,--U-1135000000J211------------,180,0,09 Nov 2022,0,184,178,182,2,1680800,305061200,339,13.4,183,160000,182,619800,12675160000,12675160000,2259981028,0,0,0,0,0
7,ADCP,Adhi Commuter Properti Tbk.,--U-1135000000H111------------,73,0,09 Nov 2022,0,74,72,73,0,8228500,600359200,629,56.2,74,3987200,73,90200,22222222200,22222222200,2222222220,86300,0,0,0,0
8,ADES,Akasha Wira International Tbk.,--U-2135000000D212------------,7225,0,09 Nov 2022,0,7400,7150,7250,25,67600,486710000,72,376.6,7350,500,7250,400,589896800,589896800,48961434,300,0,0,0,0
9,ADHI,Adhi Karya (Persero) Tbk.,--M-1835V50000J211------------,555,0,09 Nov 2022,0,555,540,540,-15,125980100,68725431500,6602,464.6,545,2969600,540,793000,7876337564,7876337564,5196626550,19020200,2045900,0,0,0
10,ADMF,Adira Dinamika Multi Finance Tbk.,--U-110F200000G211------------,8700,0,09 Nov 2022,0,8800,8700,8775,75,84300,738845000,110,377.4,8775,5900,8750,10400,1000000000,1000000000,79200000,5200,0,0,0,0
