No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--M-1M3PM10000D232------------,12150,0,17 Mar 2022,0,12425,12050,12150,0,2888300,35190877500,3045,987.0,12150,612000,12125,1700,1924688333,1924688333,1004302372,1668500,1560500,90,1093500,1
2,ABBA,Mahaka Media Tbk.,--U-2100000000E614------------,298,0,17 Mar 2022,0,312,298,302,4,23157600,7045114400,2372,667.2,304,587800,302,944500,3935892857,3935892857,2177729519,710000,1174200,2777500,499950000,1
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U-2105000000G412------------,6200,0,17 Mar 2022,0,0,0,6200,0,0,0,0,1415.5,6750,500000,6400,100,620806680,620806680,388004175,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,--M-1115000000C311------------,1605,0,17 Mar 2022,0,1625,1585,1615,10,1157800,1861064500,433,43.1,1620,40900,1615,3300,2753165000,2753165000,1442383144,226400,283900,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,--M-187EMN6000E743------------,1045,0,17 Mar 2022,0,1070,1030,1060,15,32347000,34175294000,8547,1292.7,1060,459100,1055,197200,17150000000,17150000000,10962280000,24829100,17280200,12159400,12913282800,2
6,ACST,Acset Indonusa Tbk.,--U-1105000000J211------------,192,0,17 Mar 2022,0,196,193,194,2,3087100,600045300,361,14.3,194,116100,193,332500,12675160000,12675160000,6426306120,0,567900,0,0,0
7,ADCP,Adhi Commuter Properti Tbk.,--U-1130000000H111------------,96,0,17 Mar 2022,0,97,94,94,-2,22297000,2121040900,2333,72.3,95,1950700,94,4204200,22222222200,22222222200,10222222200,100,0,0,0,0
8,ADES,Akasha Wira International Tbk.,--U-2135000000D212------------,3710,0,17 Mar 2022,0,3750,3690,3690,-20,100400,371645000,83,191.7,3690,5100,3680,8900,589896800,589896800,265335581,500,0,0,0,0
9,ADHI,Adhi Karya (Persero) Tbk.,--M-1835K52000J211------------,780,0,17 Mar 2022,0,800,785,790,10,11764700,9353729500,1829,620.4,795,539700,790,285500,3560849376,3560849376,2471229467,923000,1484500,40100,40100,1
10,ADMF,Adira Dinamika Multi Finance Tbk.,--U-1115200000G211------------,8150,0,17 Mar 2022,0,8250,8125,8175,25,200400,1640702500,242,351.6,8200,500,8175,11300,1000000000,1000000000,447500000,0,28600,0,0,0
11,ADMG,Polychem Indonesia Tbk,--U-1130000000B111------------,182,0,17 Mar 2022,0,189,182,186,4,5504300,1026087700,2218,16.6,186,567900,185,223400,3889179559,3889179559,1867972942,0,0,0,0,0
12,ADMR,Adaro Minerals Indonesia Tbk.,--U-2135000000A121------------,1695,0,17 Mar 2022,0,1715,1655,1700,5,94165000,157679727000,12895,1700.0,1700,20200,1695,96200,40882331500,40882331500,20317181500,19404200,13431100,0,0,0
13,ADRO,Adaro Energy Tbk.,--MO1XD0Q60000A121------------,2820,2800,17 Mar 2022,2790,2820,2730,2740,-80,86651700,238987743000,11414,249.1,2750,297000,2740,10579100,31985962000,31985962000,21184302633,28697200,25715000,155,430140,3
14,AGAR,Asia Sejahtera Mina Tbk.,--U-2130000000D231------------,374,0,17 Mar 2022,0,374,358,360,-14,61000,21867000,15,327.3,360,43900,350,1000,1000000000,1000000000,550100000,0,0,0,0,0
15,AGII,Aneka Gas Industri Tbk.,--M-1835F20000B111------------,1455,0,17 Mar 2022,0,1470,1450,1465,10,2127500,3096016000,586,133.2,1465,100,1460,38900,3066660000,3066660000,1565836596,29700,1285500,0,0,0
16,AGRO,Bank Raya Indonesia Tbk.,--U-1105000000G111------------,1275,0,17 Mar 2022,0,1325,1285,1320,45,25022400,32739097000,4064,2199.3,1325,1085400,1320,624100,22520054593,22520054593,10917722467,485600,5734500,4,3200,1
