No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--M-18AEM16000D232------------,8375,0,20 Feb 2023,0,8500,8350,8375,0,571400,4796927500,832,680.4,8375,63700,8350,95200,1924688333,1924688333,390711732,81600,153800,0,0,0
2,ABBA,Mahaka Media Tbk.,--U-2100000000E614------------,132,0,20 Feb 2023,0,134,129,130,-2,6040900,785762100,781,287.2,130,421000,129,4500,3935892857,3935892857,1342139464,191800,22500,0,0,0
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U-2105000000G412------------,6500,0,20 Feb 2023,0,0,0,6500,0,0,0,0,1484.0,6500,400,6100,200,620806680,620806680,31474899,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,--M-1835000000C311------------,2660,0,20 Feb 2023,0,2710,2600,2680,20,659500,1753687000,434,71.5,2680,29300,2670,11500,2753165000,2753165000,568803889,66100,148900,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,--MO1S35MD0000E743------------,540,540,20 Feb 2023,540,550,530,540,0,80457800,43633284000,5600,658.5,545,1343000,540,1126400,17150000000,17150000000,6832560000,9315700,25610400,7700013,4196507020,2
6,ACST,Acset Indonusa Tbk.,--U-1135000000J211------------,162,0,20 Feb 2023,0,163,160,162,0,897700,145452000,140,12.0,163,730200,162,15800,12675160000,12675160000,2259981028,0,0,0,0,0
7,ADCP,Adhi Commuter Properti Tbk.,--U-1135000000H111------------,70,0,20 Feb 2023,0,72,69,69,-1,9188800,642641800,4494,53.1,70,1100500,69,4017700,22222222200,22222222200,2222222220,4700,100000,0,0,0
8,ADES,Akasha Wira International Tbk.,--U-2135000000D212------------,7175,0,20 Feb 2023,0,7200,7075,7150,-25,54000,384535000,80,371.4,7150,5800,7125,4000,589896800,589896800,48961434,0,0,0,0,0
9,ADHI,Adhi Karya (Persero) Tbk.,--M-1805700000J211------------,468,0,20 Feb 2023,0,478,466,474,6,9109200,4311343200,1250,407.9,474,396300,472,1201300,8407608979,8407608979,2998994123,382700,2244900,8430300,3995962200,1
10,ADMF,Adira Dinamika Multi Finance Tbk.,--U-110F000000G211------------,10100,0,20 Feb 2023,0,10200,9975,10150,50,34700,351767500,95,436.6,10150,400,10100,1400,1000000000,1000000000,79200000,0,0,0,0,0
11,ADMG,Polychem Indonesia Tbk,--U-1130000000B111------------,145,0,20 Feb 2023,0,145,144,145,0,62300,9004400,107,12.9,145,48200,144,12200,3889179559,3889179559,520372225,0,0,0,0,0
12,ADMR,Adaro Minerals Indonesia Tbk.,--U-2810530000A121------------,1450,0,20 Feb 2023,0,1465,1420,1440,-10,20591400,29577347000,4223,1440.0,1440,88500,1435,550100,40882331500,40882331500,6606584770,2662200,1084200,0,0,0
13,ADRO,Adaro Energy Indonesia Tbk.,--MO1XDAQ70000A121------------,2880,2870,20 Feb 2023,2870,2910,2820,2900,20,67556000,193393296000,11368,263.6,2900,749100,2890,395500,31985962000,31985962000,12979903380,22247000,11538500,50198,150568740,7
14,AGAR,Asia Sejahtera Mina Tbk.,--U-2130000000D231-----------X,266,0,20 Feb 2023,0,266,266,266,0,100,26600,1,241.8,284,100,260,400,1000000000,1000000000,250100000,0,0,0,0,0
15,AGII,Samator Indo Gas Tbk.,--M-1835443000B111------------,2150,0,20 Feb 2023,0,2170,2080,2130,-20,6651600,14139146000,1425,193.6,2130,151100,2120,21800,3066660000,3066660000,598612032,679000,477400,0,0,0
16,AGRO,Bank Raya Indonesia Tbk.,--U-1805300000G111------------,442,0,20 Feb 2023,0,456,436,438,-4,67064100,29813037000,5724,729.8,438,915400,436,1912500,24492706736,24492706736,3201480612,11687100,2470900,99,40986,1
17,AGRS,Bank IBK Indonesia Tbk.,--U-2105000000G111------------,92,0,20 Feb 2023,0,92,91,92,0,1216800,111195300,93,119.0,92,1653800,91,569100,27357208711,27357208711,2084619304,0,8400,0,0,0
18,AHAP,Asuransi Harta Aman Pratama Tbk.,--U-2100000000G412------------,71,0,20 Feb 2023,0,72,67,68,-3,9481500,657782800,689,326.6,69,15300,68,840500,4900000000,4900000000,1201970000,0,18600,0,0,0
19,AIMS,Akbar Indo Makmur Stimec Tbk,--U-2130000000A121------------,326,0,20 Feb 2023,0,326,304,326,0,315300,96799800,125,260.8,326,12600,324,4000,220000000,220000000,38786000,0,0,0,0,0
20,AISA,FKS Food Sejahtera Tbk.,--U-1135000000D222------------,160,0,20 Feb 2023,0,170,160,167,7,50574300,8424288400,4423,20.3,168,779500,167,641000,9311800000,9311800000,2507667740,2000,300,0,0,0
21,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-2100000000E512-----------X,50,0,20 Feb 2023,0,50,50,50,0,300,15000,3,75.9,50,29159700,0,0,6449463636,6449463636,1663316672,0,0,0,0,0
22,AKPI,Argha Karya Prima Industry Tbk.,--U-2130000000B113------------,1215,0,20 Feb 2023,0,1230,1215,1225,10,19100,23236000,25,161.6,1230,100,1215,100,612248000,612248000,26816462,0,0,0,0,0
23,AKRA,AKR Corporindo Tbk.,--MO1X3XM4S000A112------------,1320,1320,20 Feb 2023,1325,1325,1305,1310,-10,14775200,19432642000,2231,5220.4,1310,81300,1305,852400,20073474600,20073474600,7445251729,3738200,1289100,0,0,0
24,AKSI,Mineral Sumberdaya Mandiri Tbk.,--U-2130000000K211------------,272,0,20 Feb 2023,0,278,272,274,2,34100,9323600,55,137.0,274,5100,272,21100,720000000,720000000,57528000,0,0,0,0,0
25,ALDO,Alkindo Naratama Tbk.,--U-2135000000B131------------,775,0,20 Feb 2023,0,785,755,765,-10,149000,115105000,71,585.1,785,2300,765,17400,1316856312,1316856312,291815351,0,0,0,0,0
26,ALKA,Alakasa Industrindo Tbk,--U-2130000000B141------------,400,0,20 Feb 2023,0,400,390,398,-2,46600,18347400,65,67.0,398,5700,392,7800,507665055,507665055,38074879,0,0,0,0,0
27,ALMI,Alumindo Light Metal Industry Tbk.,--U-2135000000B141------------,258,0,20 Feb 2023,0,264,256,260,2,15500,4030000,18,40.0,260,2500,258,500,3816000000,3816000000,169048800,0,0,0,0,0
28,ALTO,Tri Banyan Tirta Tbk.,--U-1100000000D212------------,50,0,20 Feb 2023,0,50,50,50,0,24700,1235000,18,25.0,50,10794600,0,0,2191870558,2191870558,666547837,0,0,0,0,0
29,AMAG,Asuransi Multi Artha Guna Tbk.,--U-2105000000G412------------,384,0,20 Feb 2023,0,384,380,380,-4,192400,73466800,37,361.9,382,35200,380,10600,5001552516,5001552516,424131653,168600,0,0,0,0
30,AMAN,Makmur Berkah Amanda Tbk.,--U-2135000000H111------------,750,0,20 Feb 2023,0,935,700,935,185,14200000,11644047000,1980,850.0,935,57900,930,180000,3873500000,3873500000,455136250,10000,44500,0,0,0
31,AMAR,Bank Amar Indonesia Tbk.,--U-2105000000G111------------,276,0,20 Feb 2023,0,282,272,280,4,8675900,2411326000,713,240.2,280,937000,278,11800,18197283760,18197283760,733350536,692200,713200,30,8340,1
32,AMFG,Asahimas Flat Glass Tbk.,--U-1135000000C121------------,5600,0,20 Feb 2023,0,5600,5550,5550,-50,57200,318455000,43,226.5,5575,6700,5550,1100,434000000,434000000,84803600,400,0,0,0,0
