No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--S-183EM16000D232------------,7550,0,26 Jun 2023,0,7575,7475,7475,-75,828700,6226690000,498,607.3,7500,1000,7475,23700,1924688333,1924688333,390711732,326200,78000,0,0,0
2,ABBA,Mahaka Media Tbk.,--U-4100000000E614-E---------X,91,0,26 Jun 2023,0,92,90,91,0,1369900,124361900,109,201.0,91,409600,90,2317200,3935892857,3935892857,1342139464,132300,10100,0,0,0
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U-4105000000G412-----------X,6450,0,26 Jun 2023,0,0,0,6450,0,0,0,0,1472.5,6300,6400,0,0,620806680,620806680,31474899,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,--S-1835403000C311------------,3030,0,26 Jun 2023,0,3050,2960,3000,-30,2884700,8646361000,811,80.0,3020,13000,3000,54500,2753165000,2753165000,568803889,122800,557200,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,--SO1S35MD0000E743------------,670,670,26 Jun 2023,675,690,670,680,10,43699500,29672601000,5321,829.3,680,324200,675,7442200,17150000000,17150000000,6832560000,8306100,7633900,0,0,0
6,ACST,Acset Indonusa Tbk.,--U-1135000000J211------------,129,0,26 Jun 2023,0,131,129,130,1,1831000,237174200,150,9.6,130,130200,129,425800,12675160000,12675160000,2259981028,120100,0,0,0,0
7,ADCP,Adhi Commuter Properti Tbk.,--U-1135000000H111------------,60,0,26 Jun 2023,0,60,59,59,-1,5858200,346963800,296,45.4,60,5580700,59,3476800,22222222200,22222222200,2222222220,0,0,0,0,0
8,ADES,Akasha Wira International Tbk.,--U-2135000000D212------------,8450,0,26 Jun 2023,0,8600,8400,8500,50,104500,889047500,161,441.6,8500,100,8450,14200,589896800,589896800,48961434,27200,1300,0,0,0
9,ADHI,Adhi Karya (Persero) Tbk.,--S-1805700000J211------------,460,0,26 Jun 2023,0,466,450,456,-4,22628500,10350725600,2032,392.4,458,557100,456,474200,8407608979,8407608979,2998994123,2006000,3866900,0,0,0
10,ADMF,Adira Dinamika Multi Finance Tbk.,--U-110F000000G211------------,10300,0,26 Jun 2023,0,11900,10400,11700,1400,1333500,15007575000,950,503.2,11725,100,11700,1800,1000000000,1000000000,79200000,151700,71400,0,0,0
11,ADMG,Polychem Indonesia Tbk,--U-1130000000B111------------,140,0,26 Jun 2023,0,143,140,140,0,87400,12360100,156,12.5,142,18800,140,54500,3889179559,3889179559,520372225,0,0,0,0,0
12,ADMR,Adaro Minerals Indonesia Tbk.,--U-2870530000A121------------,955,0,26 Jun 2023,0,970,925,930,-25,19897700,18800798000,3803,930.0,930,189400,925,1105000,40882331500,40882331500,6606584770,9156900,103300,414000,358410000,2
13,ADRO,Adaro Energy Indonesia Tbk.,--SO1XDAQ70000A121------------,2230,2230,26 Jun 2023,2240,2240,2190,2210,-20,25265900,55894808000,6921,200.9,2220,475900,2210,165500,31985962000,31985962000,12979903380,4461900,10656400,203,450510,5
14,AGAR,Asia Sejahtera Mina Tbk.,--U-4130000000D231-----------X,240,0,26 Jun 2023,0,240,240,240,0,1200,288000,3,218.2,240,4900,234,200,1000000000,1000000000,250100000,1200,0,0,0,0
15,AGII,Samator Indo Gas Tbk.,XDM-1835403000B111------------,1895,0,26 Jun 2023,0,1900,1880,1890,-5,175700,331971000,192,171.8,1890,122500,1885,1300,3066660000,3066660000,100279782,101100,0,0,0,0
16,AGRO,Bank Raya Indonesia Tbk.,--U-1805300000G111------------,382,0,26 Jun 2023,0,388,380,386,4,15307400,5890785600,1659,643.1,388,624800,386,33200,24493093216,24493093216,3201196770,3754900,1233500,0,0,0
17,AGRS,Bank IBK Indonesia Tbk.,--U-2105000000G111------------,94,0,26 Jun 2023,0,95,92,94,0,8149900,758157200,510,121.6,94,601300,93,5200,27357208711,27357208711,2084619304,628600,88000,600,54900,5
