No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--M-18AEM16000D232------------,8350,0,06 Mar 2023,0,8350,8275,8300,-50,751000,6239887500,772,674.3,8300,4600,8275,39500,1924688333,1924688333,390711732,28600,162800,0,0,0
2,ABBA,Mahaka Media Tbk.,--U-2100000000E614------------,126,0,06 Mar 2023,0,127,125,127,1,1587800,200173300,217,280.6,127,983700,126,380000,3935892857,3935892857,1342139464,0,0,0,0,0
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U-2105000000G412------------,6500,0,06 Mar 2023,0,0,0,6500,0,0,0,0,1484.0,6500,100,0,0,620806680,620806680,31474899,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,--M-1835000000C311------------,2870,0,06 Mar 2023,0,2870,2770,2810,-60,775800,2176179000,556,74.9,2810,40800,2800,13600,2753165000,2753165000,568803889,174100,53000,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,--MO1S35MD0000E743------------,496,505,06 Mar 2023,505,510,498,498,2,76149200,38151249400,3566,607.3,500,276900,498,5113300,17150000000,17150000000,6832560000,5689600,15081000,0,0,0
6,ACST,Acset Indonusa Tbk.,--U-1135000000J211------------,153,0,06 Mar 2023,0,154,150,150,-3,3646000,548825900,293,11.1,150,8356000,149,605000,12675160000,12675160000,2259981028,0,20000,0,0,0
7,ADCP,Adhi Commuter Properti Tbk.,--U-1135000000H111------------,67,0,06 Mar 2023,0,69,66,66,-1,10595700,712080200,622,50.8,67,1224300,66,1173300,22222222200,22222222200,2222222220,0,0,0,0,0
8,ADES,Akasha Wira International Tbk.,--U-2135000000D212------------,7100,0,06 Mar 2023,0,7300,7000,7100,0,238900,1692835000,195,368.8,7125,1000,7100,1100,589896800,589896800,48961434,1800,1500,0,0,0
9,ADHI,Adhi Karya (Persero) Tbk.,--M-1805700000J211------------,454,0,06 Mar 2023,0,458,436,438,-16,13453200,5977818200,2380,376.9,440,96800,438,30000,8407608979,8407608979,2998994123,1888800,18500,0,0,0
10,ADMF,Adira Dinamika Multi Finance Tbk.,--U-110F000000G211------------,9975,0,06 Mar 2023,0,10000,9925,9950,-25,47600,474767500,119,428.0,9975,100,9950,100,1000000000,1000000000,79200000,19900,0,0,0,0
11,ADMG,Polychem Indonesia Tbk,--U-1130000000B111------------,141,0,06 Mar 2023,0,144,141,141,0,48600,6934800,107,12.6,143,30300,141,18000,3889179559,3889179559,520372225,0,0,0,0,0
12,ADMR,Adaro Minerals Indonesia Tbk.,--U-2810530000A121------------,1280,0,06 Mar 2023,0,1305,1240,1275,-5,43251100,54979133500,8464,1275.0,1275,3614600,1270,317600,40882331500,40882331500,6606584770,8339400,5228500,0,0,0
13,ADRO,Adaro Energy Indonesia Tbk.,--MO1XDAQ70000A121------------,3020,3020,06 Mar 2023,3020,3020,2900,2910,-110,68483600,200637424000,14089,264.5,2920,227800,2910,2148100,31985962000,31985962000,12979903380,41832100,5164300,719314,2106109380,9
14,AGAR,Asia Sejahtera Mina Tbk.,--U-2130000000D231-----------X,268,0,06 Mar 2023,0,276,264,264,-4,1300,344800,10,240.0,264,800,262,100,1000000000,1000000000,250100000,0,0,0,0,0
15,AGII,Samator Indo Gas Tbk.,--M-1835443000B111------------,2160,0,06 Mar 2023,0,2190,2130,2140,-20,428800,921268000,370,194.5,2150,10200,2140,24900,3066660000,3066660000,598612032,120700,1900,0,0,0
16,AGRO,Bank Raya Indonesia Tbk.,--U-1805300000G111------------,406,0,06 Mar 2023,0,410,402,402,-4,9001500,3631681800,1660,669.8,404,897300,402,51800,24492706736,24492706736,3201480612,150800,748800,0,0,0
17,AGRS,Bank IBK Indonesia Tbk.,--U-2105000000G111------------,89,0,06 Mar 2023,0,90,88,89,0,3229300,285165600,170,115.2,89,824900,88,291100,27357208711,27357208711,2084619304,0,0,0,0,0
18,AHAP,Asuransi Harta Aman Pratama Tbk.,--U-2100000000G412------------,74,0,06 Mar 2023,0,76,69,69,-5,14518100,1023385000,721,331.4,69,218100,0,0,4900000000,4900000000,1201970000,0,0,0,0,0
19,AIMS,Akbar Indo Makmur Stimec Tbk,--U-2130000000A121------------,296,0,06 Mar 2023,0,320,294,300,4,51400,15507200,98,240.0,300,12200,298,38800,220000000,220000000,38786000,0,0,0,0,0
