No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--S-183E806000D232------------,7725,0,21 Agt 2023,0,7725,7600,7625,-100,734500,5600640000,858,619.4,7650,1700,7600,167000,1924688333,1924688333,390711732,268700,6200,0,0,0
2,ABBA,Mahaka Media Tbk.,--U-4100000000E614-E---------X,74,0,21 Agt 2023,0,76,72,73,-1,5392100,397559300,338,161.3,74,103400,73,745600,3935892857,3935892857,1342926643,312300,1191000,0,0,0
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U-4105000000G412-----------X,6100,0,21 Agt 2023,0,0,0,6100,0,0,0,0,1392.6,6000,50000,0,0,620806680,620806680,31474899,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,--S-1835403000A121------------,3980,0,21 Agt 2023,0,4040,3920,3960,-20,2615400,10374126000,1368,105.6,3970,23700,3960,20200,2753165000,2753165000,568803889,177600,205100,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,--SO1S75MD0000E743------------,710,710,21 Agt 2023,715,745,710,730,20,134380600,98177118000,8884,890.2,735,1120600,730,5400,17150000000,17150000000,6832560000,45093000,34834400,5245000,3839340000,2
6,ACST,Acset Indonusa Tbk.,--U-1135000000J211------------,160,0,21 Agt 2023,0,162,149,151,-9,12527300,1919744600,1084,11.2,151,260100,150,677700,12675160000,12675160000,2259981028,626000,924000,0,0,0
7,ADCP,Adhi Commuter Properti Tbk.,--U-1135000000H111------------,57,0,21 Agt 2023,0,58,56,57,0,2346800,133434000,290,43.8,58,3198700,57,12100,22222222200,22222222200,2222222220,0,0,0,0,0
8,ADES,Akasha Wira International Tbk.,--U-2135000000D212------------,11800,0,21 Agt 2023,0,11950,11600,11650,-150,106300,1239417500,225,605.2,11700,8700,11650,200,589896800,589896800,48961434,15200,0,0,0,0
9,ADHI,Adhi Karya (Persero) Tbk.,--S-1805700000J211------------,442,0,21 Agt 2023,0,446,430,430,-12,10730200,4668327200,1910,370.0,432,980900,430,539900,8407608979,8407608979,2998994123,2016400,403300,0,0,0
10,ADMF,Adira Dinamika Multi Finance Tbk.,--U-110F000000G211------------,11375,0,21 Agt 2023,0,11375,11325,11325,-50,43500,493465000,94,487.1,11350,1400,11325,4600,1000000000,1000000000,79200000,900,0,0,0,0
11,ADMG,Polychem Indonesia Tbk,--U-1130000000B111------------,157,0,21 Agt 2023,0,158,151,155,-2,1354400,208954700,123,13.8,155,36700,154,17100,3889179559,3889179559,520372225,0,78300,0,0,0
12,ADMR,Adaro Minerals Indonesia Tbk.,--U-2835930000A121------------,1180,0,21 Agt 2023,0,1240,1130,1225,45,79109700,96292710500,10122,1225.0,1225,61100,1220,144800,40882331500,40882331500,6606584770,5797200,11586400,64,71040,1
13,ADRO,Adaro Energy Indonesia Tbk.,--SO1XDAQ70000A121------------,2540,2560,21 Agt 2023,2560,2620,2550,2620,80,77668100,201753957000,10716,238.2,2620,1308700,2610,515800,31985962000,31985962000,12883945494,25882600,18756800,355249,902134240,9
14,AGAR,Asia Sejahtera Mina Tbk.,--U-4130000000D231-----------X,179,0,21 Agt 2023,0,179,179,179,0,100,17900,1,162.7,171,8800,162,100,1000000000,1000000000,250100000,100,0,0,0,0
15,AGII,Samator Indo Gas Tbk.,--M-1835403000B111------------,1885,0,21 Agt 2023,0,1895,1860,1875,-10,674600,1261569000,432,170.5,1875,11100,1865,3100,3066660000,3066660000,229999500,39200,7100,0,0,0
16,AGRO,Bank Raya Indonesia Tbk.,--U-1855300000G111------------,370,0,21 Agt 2023,0,376,362,362,-8,26550500,9730436800,2003,603.1,362,1146800,360,1076800,24493093216,24493093216,3206145902,884800,2064300,0,0,0
17,AGRS,Bank IBK Indonesia Tbk.,--U-2105000000G111------------,92,0,21 Agt 2023,0,92,89,91,-1,8663600,781540200,317,117.8,91,527000,90,10000,37365877065,37365877065,3126928956,1438600,1344100,0,0,0
18,AHAP,Asuransi Harta Aman Pratama Tbk.,--U-2100000000G412------------,85,0,21 Agt 2023,0,89,80,81,-4,21259200,1795493900,1562,389.0,82,1071000,81,312000,4900000000,4900000000,1201970000,1080000,0,0,0,0
19,AIMS,Akbar Indo Makmur Stimec Tbk,--U-2130000000A121---L--------,328,0,21 Agt 2023,0,360,316,346,18,70500,23824600,121,276.8,346,2700,328,1500,220000000,220000000,38786000,0,0,0,0,0
20,AISA,FKS Food Sejahtera Tbk.,--U-1135000000D222------------,136,0,21 Agt 2023,0,136,134,135,-1,2239300,302370200,288,16.4,136,420900,135,250400,9311800000,9311800000,2482525880,86600,4800,0,0,0
21,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-4100000000E512-----------X,50,0,21 Agt 2023,0,50,50,50,0,200,10000,2,75.9,50,21290600,0,0,6449463636,6449463636,1663316672,0,0,0,0,0
22,AKPI,Argha Karya Prima Industry Tbk.,--U-2130000000B113------------,925,0,21 Agt 2023,0,950,925,925,0,66900,61950000,31,122.0,940,10800,930,500,612248000,612248000,63796242,0,1000,0,0,0
23,AKRA,AKR Corporindo Tbk.,XDSO1XKXMBS000A112------------,1300,1300,21 Agt 2023,1300,1310,1280,1290,-10,16886400,21815406500,3679,5140.7,1295,15000,1290,22700,20073474600,20073474600,7445251729,6822800,4529900,249900,322371000,1
24,AKSI,Mineral Sumberdaya Mandiri Tbk.,--U-2130000000K211------------,169,0,21 Agt 2023,0,172,169,170,1,48500,8263000,35,85.0,170,30300,169,5500,720000000,720000000,57528000,0,0,0,0,0
25,ALDO,Alkindo Naratama Tbk.,--U-2130000000B131------------,670,0,21 Agt 2023,0,670,650,670,0,85800,56282500,50,512.4,670,5100,660,100,1316856433,1316856433,286416259,0,0,0,0,0
26,ALKA,Alakasa Industrindo Tbk,--U-2130000000B141------------,670,0,21 Agt 2023,0,720,650,700,30,553100,381539500,504,117.8,700,3900,685,2500,507665055,507665055,38074879,40900,55500,0,0,0
27,ALMI,Alumindo Light Metal Industry Tbk.,--U-2130000000B141------------,218,0,21 Agt 2023,0,234,218,234,16,76400,17032600,30,36.0,234,59900,222,200,3816000000,3816000000,169048800,0,0,0,0,0
28,ALTO,Tri Banyan Tirta Tbk.,--U-1100000000D212------------,50,0,21 Agt 2023,0,50,50,50,0,104500,5225000,15,25.0,50,12306000,0,0,2191870558,2191870558,674219384,0,0,16600,996000,1
29,AMAG,Asuransi Multi Artha Guna Tbk.,--U-2105000000G412------------,340,0,21 Agt 2023,0,344,338,340,0,66800,22604800,41,323.8,340,50100,338,16000,5001552516,5001552516,408626841,0,1000,0,0,0
30,AMAN,Makmur Berkah Amanda Tbk.,--U-2130000000H111------------,130,0,21 Agt 2023,0,131,128,128,-2,5556800,716596400,828,116.4,129,27600,128,82300,3873500000,3873500000,455136250,0,448700,0,0,0
31,AMAR,Bank Amar Indonesia Tbk.,--U-2105000000G111------------,288,0,21 Agt 2023,0,292,284,288,0,7958000,2295247400,336,247.1,290,535300,288,11100,18197283760,18197283760,660561400,131800,1606000,0,0,0
32,AMFG,Asahimas Flat Glass Tbk.,--U-1135000000C121------------,5525,0,21 Agt 2023,0,5600,5500,5525,0,38400,212972500,56,225.5,5575,7000,5500,40700,434000000,434000000,84803600,10500,0,0,0,0
33,AMIN,Ateliers Mecaniques D Indonesie Tbk.,--U-2130000000C143------------,120,0,21 Agt 2023,0,121,119,121,1,147300,17710900,60,94.5,121,9000,120,5100,1080000000,1080000000,187920000,0,0,0,0,0
