,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID
352,MAGP,0.0,245,02 Jan 2019,30 Dec 2019,120820000,2416400,427,
353,MAIN,-27.96,245,02 Jan 2019,30 Dec 2019,2565996915000,2076334200,413555,
354,MAMI,-58.33,245,02 Jan 2019,30 Dec 2019,8163237213400,50614454100,2483487,
355,MAMIP,0.0,245,02 Jan 2019,30 Dec 2019,0,0,0,
356,MAPA,43.24,245,02 Jan 2019,30 Dec 2019,367447939500,65798800,21707,
357,MAPB,-5.59,245,02 Jan 2019,30 Dec 2019,3347740000,1902200,1729,
358,MAPI,31.06,245,02 Jan 2019,30 Dec 2019,3585436936000,3662132900,482445,
359,MARI,-26.36,245,02 Jan 2019,30 Dec 2019,318964349400,1298997800,39831,
360,MARK,-77.23,245,02 Jan 2019,30 Dec 2019,257148677000,502176900,95717,
361,MASA,-36.11,245,02 Jan 2019,30 Dec 2019,863074952500,1095379100,46336,
362,MAYA,29.54,245,02 Jan 2019,30 Dec 2019,2536370000,350900,566,
363,MBAP,-30.53,245,02 Jan 2019,30 Dec 2019,31932376000,12381600,13366,
364,MBSS,-1.23,245,02 Jan 2019,30 Dec 2019,188883545600,317058500,55943,
365,MBTO,-25.4,245,02 Jan 2019,30 Dec 2019,1470235100,11968000,2815,
366,MCAS,-10.28,245,02 Jan 2019,30 Dec 2019,2219144462000,639546600,77209,
367,MCOR,-9.15,245,02 Jan 2019,30 Dec 2019,173432533000,1079901600,67872,
368,MDIA,-63.24,245,02 Jan 2019,30 Dec 2019,61723193500,573411500,18493,
369,MDKA,-69.43,245,02 Jan 2019,30 Dec 2019,10190974384500,3904753600,441174,
370,MDKI,-26.3,245,02 Jan 2019,30 Dec 2019,10297517000,46862000,6551,
371,MDLN,-5.31,245,02 Jan 2019,30 Dec 2019,571005270600,2176635400,93988,
372,MDRN,0.0,245,02 Jan 2019,30 Dec 2019,71775000,1435500,153,
373,MEDC,26.28,245,02 Jan 2019,30 Dec 2019,6067403383500,7205159300,564826,
374,MEGA,29.59,245,02 Jan 2019,30 Dec 2019,1260726500,212000,829,
375,MERK,-33.72,245,02 Jan 2019,30 Dec 2019,95040133000,23789200,29094,
376,META,6.8,245,02 Jan 2019,30 Dec 2019,37464221000,178420700,8128,
377,MFIN,46.89,245,02 Jan 2019,30 Dec 2019,35765750500,33013100,3793,
378,MFMI,-3.75,245,02 Jan 2019,30 Dec 2019,4235550100,5474100,3795,
379,MGNA,0.0,245,02 Jan 2019,30 Dec 2019,1473309600,28606900,4908,
380,MGRO,-9.55,245,02 Jan 2019,30 Dec 2019,1214759846500,1361308900,184472,
381,MICE,-6.49,245,02 Jan 2019,30 Dec 2019,21072542200,55293500,8583,
382,MIDI,7.48,245,02 Jan 2019,30 Dec 2019,21618952500,20957400,250,
383,MIKA,69.52,245,02 Jan 2019,30 Dec 2019,4154743429000,1673619100,285076,
384,MINA,-35.48,245,02 Jan 2019,30 Dec 2019,1649460228800,1174663800,67709,
385,MIRA,0.0,245,02 Jan 2019,30 Dec 2019,614283400,12282900,506,
386,MITI,2.0,245,02 Jan 2019,30 Dec 2019,16252001400,292181300,16764,
387,MKNT,-74.36,245,02 Jan 2019,30 Dec 2019,144518155100,2313096100,187727,
388,MKPI,-28.0,245,02 Jan 2019,30 Dec 2019,1786580000,119600,287,
389,MLBI,-3.12,245,02 Jan 2019,30 Dec 2019,54108260000,3082400,4584,
390,MLIA,-41.91,245,02 Jan 2019,30 Dec 2019,687810391500,545032600,144317,
391,MLPL,14.86,245,02 Jan 2019,30 Dec 2019,332875508400,2867261400,133548,
392,MLPT,-51.04,245,02 Jan 2019,30 Dec 2019,4308387900,5747400,1036,
393,MMLP,-61.92,245,02 Jan 2019,30 Dec 2019,116845031700,377314800,16341,
394,MNCN,136.23,245,02 Jan 2019,30 Dec 2019,12396697046500,10837369900,3761099,
395,MOLI,-15.45,245,02 Jan 2019,30 Dec 2019,19825874000,19315100,2762,
396,MPMX,-26.52,245,02 Jan 2019,30 Dec 2019,1132940221000,1099730300,194249,
397,MPOW,-3.51,245,02 Jan 2019,30 Dec 2019,16975822200,91624700,22613,
398,MPPA,-7.89,245,02 Jan 2019,30 Dec 2019,519086688200,2194767300,218817,
399,MPRO,198.7,245,02 Jan 2019,30 Dec 2019,28074701500,24172200,8702,
400,MRAT,-14.53,245,02 Jan 2019,30 Dec 2019,13499956800,80134200,8276,
401,MREI,-16.08,245,02 Jan 2019,30 Dec 2019,16513196500,3754100,2622,
402,MSIN,28.21,245,02 Jan 2019,30 Dec 2019,347102664300,790951000,376183,
403,MSKY,92.05,245,02 Jan 2019,30 Dec 2019,33614459000,36818000,2907,
404,MTDL,116.18,245,02 Jan 2019,30 Dec 2019,1915985535500,1481196500,230403,
405,MTFN,0.0,245,02 Jan 2019,30 Dec 2019,140600000,2812000,1109,
406,MTLA,29.46,245,02 Jan 2019,30 Dec 2019,140113990200,297996400,6152,
407,MTRA,-6.11,245,02 Jan 2019,30 Dec 2019,6956070800,18901400,3711,
408,MTSM,-2.61,245,02 Jan 2019,30 Dec 2019,461217900,2212700,2940,
409,MTWI,4.92,245,02 Jan 2019,30 Dec 2019,64879274300,704572000,99817,
410,MYOH,23.92,245,02 Jan 2019,30 Dec 2019,133591054500,105334300,23229,
411,MYOR,-21.76,245,02 Jan 2019,30 Dec 2019,1742849942500,732302100,259197,
412,MYRX,-57.98,245,02 Jan 2019,30 Dec 2019,10479557461500,101994523700,246630,
413,MYRXP,0.0,245,02 Jan 2019,30 Dec 2019,35637500,712700,114,
414,MYTX,-47.17,245,02 Jan 2019,30 Dec 2019,3371880700,39124700,4920,
415,NAGA,0.0,155,02 Jan 2019,22 Agt 2019,85226720500,264952800,24673,
416,NASA,18.85,245,02 Jan 2019,30 Dec 2019,1044266537500,1548048300,107093,
417,NELY,6.02,245,02 Jan 2019,30 Dec 2019,1818452000,11955600,2432,
418,NFCX,31.58,245,02 Jan 2019,30 Dec 2019,995281544000,359756200,44174,
419,NICK,109.79,245,02 Jan 2019,30 Dec 2019,29298022800,105012800,3281,
420,NIKL,-81.25,245,02 Jan 2019,30 Dec 2019,629405877400,740262500,190233,
421,NIPS,-22.53,245,02 Jan 2019,30 Dec 2019,57592715800,165912400,28518,
422,NIRO,57.3,245,02 Jan 2019,30 Dec 2019,86494286700,652603300,3850,
423,NISP,-1.17,245,02 Jan 2019,30 Dec 2019,21589353500,24685000,5578,
424,NOBU,-11.0,245,02 Jan 2019,30 Dec 2019,6551031500,6843800,676,
425,NRCA,-0.52,245,02 Jan 2019,30 Dec 2019,47916182800,119761100,16853,
426,NUSA,-50.5,245,02 Jan 2019,30 Dec 2019,7908244863800,106004329300,368184,
427,OASA,14.13,245,02 Jan 2019,30 Dec 2019,64081169000,183601000,3217,
428,OCAP,-16.06,245,02 Jan 2019,30 Dec 2019,358249600,1077900,1158,
429,OKAS,17.37,245,02 Jan 2019,30 Dec 2019,10127004100,43352900,12279,
430,OMRE,-45.25,245,02 Jan 2019,30 Dec 2019,129082000,116100,233,
431,PADI,-67.36,245,02 Jan 2019,30 Dec 2019,392967298800,566578500,22369,
432,PALM,-23.08,245,02 Jan 2019,30 Dec 2019,2308039600,9273100,2574,
433,PANI,-36.16,245,02 Jan 2019,30 Dec 2019,24347747300,195657600,50793,
434,PANR,-9.73,245,02 Jan 2019,30 Dec 2019,110514787800,291927300,52195,
435,PANS,-1.72,245,02 Jan 2019,30 Dec 2019,36445002000,24586500,11113,
436,PBID,-14.78,245,02 Jan 2019,30 Dec 2019,37010787500,35133200,6978,
437,PBRX,-7.27,245,02 Jan 2019,30 Dec 2019,327110062800,510940700,23610,
438,PBSA,-0.71,245,02 Jan 2019,30 Dec 2019,3041194900,5994500,4966,
439,PCAR,-79.44,245,02 Jan 2019,30 Dec 2019,1540155465000,646982000,5256,
440,PDES,-43.87,245,02 Jan 2019,30 Dec 2019,293742000,300400,650,
441,PEGE,25.71,245,02 Jan 2019,30 Dec 2019,1933183900,9882200,1950,
442,PEHA,-61.74,245,02 Jan 2019,30 Dec 2019,41900571500,20616900,18333,
443,PGAS,2.36,245,02 Jan 2019,30 Dec 2019,27036627325500,12294458500,1354657,
444,PGLI,17.27,245,02 Jan 2019,30 Dec 2019,1275488500,5922100,2630,
445,PICO,580.0,245,02 Jan 2019,30 Dec 2019,337044467600,151492500,35067,
446,PJAA,-21.83,245,02 Jan 2019,30 Dec 2019,5831699500,5201700,5114,
447,PKPK,-37.14,245,02 Jan 2019,30 Dec 2019,26064417500,262429400,34589,
448,PLAS,0.0,245,02 Jan 2019,30 Dec 2019,0,0,0,
449,PLIN,14.58,245,02 Jan 2019,30 Dec 2019,6509715500,1747000,3144,
450,PNBN,16.59,245,02 Jan 2019,30 Dec 2019,2115720001000,1563046400,187781,
451,PNBS,0.0,245,02 Jan 2019,30 Dec 2019,79030624900,1285430700,47793,
452,PNIN,4.29,245,02 Jan 2019,30 Dec 2019,272090454500,220060600,39886,
453,PNLF,12.69,245,02 Jan 2019,30 Dec 2019,3238917529000,9580426000,370542,
454,PNSE,-49.7,245,02 Jan 2019,30 Dec 2019,204925900,325100,416,
455,POLA,-88.09,245,02 Jan 2019,30 Dec 2019,15726651800,15413600,10728,
456,POLL,534.29,245,02 Jan 2019,30 Dec 2019,280791034000,39121400,87714,
457,POLY,-60.67,245,02 Jan 2019,30 Dec 2019,127049820800,1102197900,104310,
458,POOL,-96.93,245,02 Jan 2019,30 Dec 2019,42586260750200,20522137900,213988,
459,PORT,-8.18,245,02 Jan 2019,30 Dec 2019,244296800,431500,520,
460,POWR,12.36,245,02 Jan 2019,30 Dec 2019,719409055000,769510700,49320,
461,PPRE,-24.53,245,02 Jan 2019,30 Dec 2019,464316856800,1348372600,393119,
462,PPRO,-41.88,245,02 Jan 2019,30 Dec 2019,1927666429600,17145224400,520154,
463,PRAS,-23.16,245,02 Jan 2019,30 Dec 2019,4497487000,24431200,9422,
464,PRDA,58.77,245,02 Jan 2019,30 Dec 2019,149721303500,45505700,18453,
465,PRIM,-30.58,245,02 Jan 2019,30 Dec 2019,22654280400,47734900,2909,
466,PSAB,28.71,245,02 Jan 2019,30 Dec 2019,1643987941900,6349030000,390325,
467,PSDN,-20.31,245,02 Jan 2019,30 Dec 2019,2163319500,10480100,3345,
468,PSKT,0.0,245,02 Jan 2019,30 Dec 2019,33795000,675900,292,
469,PSSI,20.13,245,02 Jan 2019,30 Dec 2019,165811309200,938456900,70590,
470,PTBA,-38.14,245,02 Jan 2019,30 Dec 2019,17748634178000,5879167800,1123435,
471,PTIS,-39.38,245,02 Jan 2019,30 Dec 2019,169924700,754500,376,
472,PTPP,-12.19,245,02 Jan 2019,30 Dec 2019,11372842578000,5666345700,714368,
473,PTRO,-10.08,245,02 Jan 2019,30 Dec 2019,262964302000,153163800,65841,
474,PTSN,-86.53,245,02 Jan 2019,30 Dec 2019,731842526000,845868500,234249,
475,PTSP,-37.67,245,02 Jan 2019,30 Dec 2019,883829500,121600,45,
476,PUDP,-37.5,245,02 Jan 2019,30 Dec 2019,201869800,547200,508,
477,PWON,-8.06,245,02 Jan 2019,30 Dec 2019,6093920514000,9134857800,845442,
478,PYFA,4.76,245,02 Jan 2019,30 Dec 2019,834719300,4538900,736,
479,PZZA,26.14,245,02 Jan 2019,30 Dec 2019,170020981000,151653200,37705,
480,RAJA,-41.67,245,02 Jan 2019,30 Dec 2019,211445804900,760585400,114697,
481,RALS,-25.0,245,02 Jan 2019,30 Dec 2019,2595174592000,1818109700,365260,
482,RANC,6.37,245,02 Jan 2019,30 Dec 2019,12043283400,34010800,5933,
483,RBMS,-27.66,245,02 Jan 2019,30 Dec 2019,183214266100,1868779300,142296,
484,RDTX,0.91,245,02 Jan 2019,30 Dec 2019,4477982500,779300,839,
485,RELI,-4.59,245,02 Jan 2019,30 Dec 2019,619998100,2193400,1368,
486,RICY,-9.15,245,02 Jan 2019,30 Dec 2019,7652415000,44640700,5299,
487,RIGS,12.77,245,02 Jan 2019,30 Dec 2019,73510762300,239276200,43590,
488,RIMO,-64.29,245,02 Jan 2019,30 Dec 2019,14948754351700,114738328200,165576,
489,RISE,19.8,245,02 Jan 2019,30 Dec 2019,241355617000,419632200,47022,
490,RMBA,5.77,245,02 Jan 2019,30 Dec 2019,2223504400,6091800,3256,
491,RODA,-87.44,245,02 Jan 2019,30 Dec 2019,360696498300,911918900,28310,
492,ROTI,8.33,245,02 Jan 2019,30 Dec 2019,384287901000,304697400,46055,
493,RUIS,-4.62,245,02 Jan 2019,30 Dec 2019,616335400,2533300,873,
494,SAFE,3.52,245,02 Jan 2019,30 Dec 2019,13799762800,67481100,12763,
495,SAME,-55.36,245,02 Jan 2019,30 Dec 2019,202532024000,401100500,107322,
496,SAPX,22.96,245,02 Jan 2019,30 Dec 2019,1329009500,1851300,709,
497,SATU,-37.86,245,02 Jan 2019,30 Dec 2019,30434330600,263532300,15461,
498,SCBD,0.0,245,02 Jan 2019,30 Dec 2019,0,0,0,
499,SCCO,5.46,245,02 Jan 2019,30 Dec 2019,16333427500,1792800,1176,
500,SCMA,-24.6,245,02 Jan 2019,30 Dec 2019,6314215760500,4508405700,688739,
501,SCPI,0.0,245,02 Jan 2019,30 Dec 2019,0,0,0,
502,SDMU,0.0,245,02 Jan 2019,30 Dec 2019,59610703200,946440800,50915,
503,SDPC,0.0,245,02 Jan 2019,30 Dec 2019,1332937200,12507600,1665,
504,SDRA,-3.49,245,02 Jan 2019,30 Dec 2019,342374000,413400,318,
505,SGRO,0.42,245,02 Jan 2019,30 Dec 2019,53873141000,22543100,5790,
506,SHID,-19.77,245,02 Jan 2019,30 Dec 2019,150748742500,41322100,3103,
507,SHIP,-15.47,245,02 Jan 2019,30 Dec 2019,284376925500,350296300,43377,
508,SIAP,0.0,106,02 Jan 2019,14 Jun 2019,0,0,0,
509,SIDO,51.79,245,02 Jan 2019,30 Dec 2019,960220716500,893515900,207877,
510,SILO,93.59,245,02 Jan 2019,30 Dec 2019,967073993500,178818000,109044,
511,SIMA,-45.65,245,02 Jan 2019,30 Dec 2019,1160955327900,4902117500,264116,
512,SIMP,-6.09,245,02 Jan 2019,30 Dec 2019,987669277800,2626978400,195884,
513,SIPD,-17.07,245,02 Jan 2019,30 Dec 2019,3714312000,3884300,1276,
514,SKBM,-41.01,245,02 Jan 2019,30 Dec 2019,760550900,1593900,1389,
515,SKLT,7.33,245,02 Jan 2019,30 Dec 2019,4338000,2800,23,
516,SKRN,21.15,245,02 Jan 2019,30 Dec 2019,205062211800,431646200,62486,
517,SKYB,-62.18,245,02 Jan 2019,30 Dec 2019,55670802400,639380200,96970,
518,SMAR,2.22,245,02 Jan 2019,30 Dec 2019,16058455500,3577900,4599,
519,SMBR,-74.86,245,02 Jan 2019,30 Dec 2019,1744640385900,2135978900,408332,
520,SMCB,-37.4,245,02 Jan 2019,30 Dec 2019,1139236655000,579317800,40403,
521,SMDM,-13.77,245,02 Jan 2019,30 Dec 2019,3039994400,20361200,2985,
522,SMDR,-18.06,245,02 Jan 2019,30 Dec 2019,94649842400,292192700,41989,
523,SMGR,4.35,245,02 Jan 2019,30 Dec 2019,19400495137500,1572113400,841899,
524,SMMA,76.01,245,02 Jan 2019,30 Dec 2019,25746547500,2685600,546,
525,SMMT,-23.12,245,02 Jan 2019,30 Dec 2019,15107530100,107293900,10560,
526,SMRA,24.84,245,02 Jan 2019,30 Dec 2019,4736218813000,4338999900,515634,
527,SMRU,-92.31,245,02 Jan 2019,30 Dec 2019,169743350100,1620061800,94758,
528,SMSM,6.43,245,02 Jan 2019,30 Dec 2019,1739551850500,1146029700,406676,
529,SOCI,31.3,245,02 Jan 2019,30 Dec 2019,1062522955600,5079575400,309249,
530,SONA,4.82,245,02 Jan 2019,30 Dec 2019,8565013000,1431300,450,
531,SOSS,-19.68,245,02 Jan 2019,30 Dec 2019,9500019200,23025200,9116,
532,SOTS,-44.12,245,02 Jan 2019,30 Dec 2019,38677974200,116247800,29649,
533,SPMA,34.68,245,02 Jan 2019,30 Dec 2019,12623515000,41097500,5608,
534,SPTO,-16.0,245,02 Jan 2019,30 Dec 2019,1707063819000,1711190500,115802,
535,SQMI,-5.69,245,02 Jan 2019,30 Dec 2019,1182210899400,3189504400,263156,
536,SRAJ,5.51,245,02 Jan 2019,30 Dec 2019,4498699100,17447900,3105,
537,SRIL,-27.37,245,02 Jan 2019,30 Dec 2019,16668370824000,48638178300,1363001,
538,SRSN,7.94,245,02 Jan 2019,30 Dec 2019,90008309200,1238929700,61759,
539,SRTG,-4.74,245,02 Jan 2019,30 Dec 2019,53203001000,14429800,8773,
540,SSIA,31.0,245,02 Jan 2019,30 Dec 2019,4863876475700,7111633400,363944,
541,SSMS,-32.4,245,02 Jan 2019,30 Dec 2019,12993090310500,12988104400,239631,
542,SSTM,17.26,245,02 Jan 2019,30 Dec 2019,701743100,1716200,1017,
543,STAR,77.91,245,02 Jan 2019,30 Dec 2019,170347906400,1573125700,90793,
544,STTP,20.0,245,02 Jan 2019,30 Dec 2019,42379000,11800,34,
545,SUGI,0.0,245,02 Jan 2019,30 Dec 2019,57940000,1158800,1018,
546,SULI,-50.5,245,02 Jan 2019,30 Dec 2019,56981371300,814894800,43716,
