,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID
0,AALI,-22.92,247,04 Jan 2021,30 Dec 2021,5827431010000,578974100,497045,D232
1,ABBA,331.71,247,04 Jan 2021,30 Dec 2021,4388441810400,17999680900,1101707,E614
2,ABDA,4.93,247,04 Jan 2021,30 Dec 2021,1182437500,193800,237,G412
3,ABMM,86.84,247,04 Jan 2021,30 Dec 2021,1233843566000,870675000,116529,C311
4,ACES,-25.36,247,04 Jan 2021,30 Dec 2021,8246981496000,5604780500,1058520,E743
5,ACST,-52.27,247,04 Jan 2021,30 Dec 2021,3532103579600,10031745000,778896,J211
6,ADES,125.34,247,04 Jan 2021,30 Dec 2021,140844143000,59060700,44756,D212
7,ADHI,-41.69,247,04 Jan 2021,30 Dec 2021,7926668143000,6666622900,1138589,J211
8,ADMF,-14.21,247,04 Jan 2021,30 Dec 2021,280955932500,34617600,53125,G211
9,ADMG,-13.68,247,04 Jan 2021,30 Dec 2021,364271478100,1674698600,212458,B111
10,ADRO,57.34,247,04 Jan 2021,30 Dec 2021,43426591482500,28527507900,2999763,A121
11,AGAR,-7.54,247,04 Jan 2021,30 Dec 2021,1835898000,4311200,6164,D231
12,AGII,68.33,247,04 Jan 2021,30 Dec 2021,8016852121500,5297251400,1309583,B111
13,AGRO,74.88,247,04 Jan 2021,30 Dec 2021,49367286075000,32203047700,4418194,G111
14,AGRS,-18.63,247,04 Jan 2021,30 Dec 2021,2683824980800,10616704400,790800,G111
15,AHAP,5.71,247,04 Jan 2021,30 Dec 2021,180950937900,2482730100,232047,G412
16,AIMS,171.62,247,04 Jan 2021,30 Dec 2021,83886785700,194239400,76460,A121
17,AISA,-50.77,247,04 Jan 2021,30 Dec 2021,2240494839500,8045057700,550985,D222
18,AKKU,0.0,247,04 Jan 2021,30 Dec 2021,10579316900,195173000,19000,E512
19,AKPI,103.6,247,04 Jan 2021,30 Dec 2021,12372112000,16394000,14257,B113
20,AKRA,29.25,247,04 Jan 2021,30 Dec 2021,11271002879000,3145700100,761194,A112
21,AKSI,113.77,247,04 Jan 2021,30 Dec 2021,21032677700,30589200,17366,K211
22,ALDO,75.44,247,04 Jan 2021,30 Dec 2021,1092153925500,1328260900,224139,B131
23,ALKA,-2.29,247,04 Jan 2021,30 Dec 2021,2703054000,10544900,9503,B141
24,ALMI,20.97,247,04 Jan 2021,30 Dec 2021,1860943200,7182800,5517,B141
25,ALTO,-9.09,247,04 Jan 2021,30 Dec 2021,2615826600,8657000,4697,D212
26,AMAG,48.67,247,04 Jan 2021,30 Dec 2021,45143892400,146105900,28017,G412
27,AMAN,68.27,247,04 Jan 2021,30 Dec 2021,123274131900,282099800,26527,H111
28,AMAR,36.62,247,04 Jan 2021,30 Dec 2021,1268219243500,3298217300,405858,G111
29,AMFG,64.44,247,04 Jan 2021,30 Dec 2021,74938520000,19541100,6438,C121
30,AMIN,-25.78,247,04 Jan 2021,30 Dec 2021,18344361400,78908200,32670,C143
31,AMOR,-35.74,247,04 Jan 2021,30 Dec 2021,1447800808000,413153000,255959,G311
32,AMRT,51.88,247,04 Jan 2021,30 Dec 2021,6959955205000,5711236600,754960,D113
33,ANDI,-5.66,247,04 Jan 2021,30 Dec 2021,172246240200,3191889400,100697,D232
34,ANJT,34.69,247,04 Jan 2021,30 Dec 2021,12872002500,15260500,10559,D232
35,ANTM,16.28,247,04 Jan 2021,30 Dec 2021,163749391963000,63397506800,8801270,B146
36,APEX,107.32,247,04 Jan 2021,30 Dec 2021,63592532700,81878200,56189,A131
37,APIC,42.04,247,04 Jan 2021,30 Dec 2021,2416241072500,2824952000,372533,G511
38,APII,42.86,247,04 Jan 2021,30 Dec 2021,40408140000,187068100,41166,C143
39,APLI,4.04,247,04 Jan 2021,30 Dec 2021,8094276800,39977900,4711,B113
40,APLN,-35.11,247,04 Jan 2021,30 Dec 2021,1702685612500,9751403700,468640,H111
41,ARGO,-16.11,247,04 Jan 2021,30 Dec 2021,3322215500,1860100,4269,E413
42,ARII,-36.87,247,04 Jan 2021,30 Dec 2021,39937795000,117650000,38431,A121
43,ARKA,-1.82,247,04 Jan 2021,30 Dec 2021,810195141000,10689010500,518301,C143
44,ARMY,0.0,247,04 Jan 2021,30 Dec 2021,0,0,0,H111
45,ARNA,17.65,247,04 Jan 2021,30 Dec 2021,393899254500,524274500,103415,C121
46,ARTA,837.5,247,04 Jan 2021,30 Dec 2021,40467750800,39147700,27247,E512
47,ARTI,0.0,247,04 Jan 2021,30 Dec 2021,392930000,7858600,2565,A132
48,ARTO,272.09,247,04 Jan 2021,30 Dec 2021,64749539296000,4660996500,2787866,G111
49,ASBI,-5.16,247,04 Jan 2021,30 Dec 2021,36051140200,105005600,41164,G412
50,ASDM,7.3,247,04 Jan 2021,30 Dec 2021,5343554000,5599200,6181,G412
51,ASGR,3.12,247,04 Jan 2021,30 Dec 2021,117029759500,155777500,36512,C224
52,ASII,-5.39,247,04 Jan 2021,30 Dec 2021,67400383852500,12019462100,2482674,C311
53,ASJT,-30.5,247,04 Jan 2021,30 Dec 2021,85396646100,512559400,71359,G412
54,ASMI,-73.74,247,04 Jan 2021,30 Dec 2021,52322677000,171627100,49444,G412
55,ASPI,-26.0,247,04 Jan 2021,30 Dec 2021,222619671000,3076792600,244406,H111
56,ASRI,-33.06,247,04 Jan 2021,30 Dec 2021,3698739403300,16974639900,890671,H111
57,ASRM,0.89,247,04 Jan 2021,30 Dec 2021,1982733500,1216700,2355,G412
58,ASSA,422.83,247,04 Jan 2021,30 Dec 2021,11158096734000,5225555800,1132465,K132
59,ATAP,19.08,247,04 Jan 2021,30 Dec 2021,277241293200,1462590900,243388,H111
60,ATIC,39.13,247,04 Jan 2021,30 Dec 2021,174730296500,182205200,89541,I121
61,AUTO,3.59,247,04 Jan 2021,30 Dec 2021,763363658000,654571700,194361,E111
