,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID
0,AALI,-15.53,246,03 Jan 2022,30 Dec 2022,6036912780000,576828200,528354,D232
1,ABBA,-57.34,246,03 Jan 2022,30 Dec 2022,2531547525100,9440605600,878314,E614
2,ABDA,14.53,246,03 Jan 2022,30 Dec 2022,2512262500,385400,407,G412
3,ABMM,130.99,246,03 Jan 2022,30 Dec 2022,3144477513000,1090551000,419044,C311
4,ACES,-61.25,246,03 Jan 2022,30 Dec 2022,9530222237500,13424430900,1413966,E743
5,ACST,-25.24,246,03 Jan 2022,30 Dec 2022,413944956900,2160894400,281756,J211
6,ADES,118.09,246,03 Jan 2022,30 Dec 2022,285675837500,49147000,54865,D212
7,ADHI,-45.92,246,03 Jan 2022,30 Dec 2022,2988555192500,4307070900,606077,J211
8,ADMF,16.88,246,03 Jan 2022,30 Dec 2022,312958340000,37794600,48784,G211
9,ADMG,-25.25,246,03 Jan 2022,30 Dec 2022,51887185500,286998800,59177,B111
10,ADMR,1595.0,246,03 Jan 2022,30 Dec 2022,62026541548500,33955835800,4492190,A121
11,ADRO,71.11,246,03 Jan 2022,30 Dec 2022,91753386246000,29374469500,3759187,A121
12,AGAR,-24.46,246,03 Jan 2022,30 Dec 2022,985649600,2951300,6304,D231
13,AGII,28.05,246,03 Jan 2022,30 Dec 2022,3549412818000,1794045800,606583,B111
14,AGRO,-77.68,246,03 Jan 2022,30 Dec 2022,8238593744700,8452164000,1295514,G111
15,AGRS,-45.78,246,03 Jan 2022,30 Dec 2022,746675160300,5595200500,408857,G111
16,AHAP,4.05,246,03 Jan 2022,30 Dec 2022,719331613700,6812152500,537123,G412
17,AIMS,-48.76,246,03 Jan 2022,30 Dec 2022,23853476000,66189300,24889,A121
18,AISA,-25.52,246,03 Jan 2022,30 Dec 2022,752434899700,4220001800,483997,D222
19,AKKU,0.0,246,03 Jan 2022,30 Dec 2022,18057144200,361095200,79379,E512
20,AKPI,7.96,246,03 Jan 2022,30 Dec 2022,25004663500,17419100,19187,B113
21,AKRA,-65.94,246,03 Jan 2022,30 Dec 2022,14486441019500,12647817300,1386100,A112
22,AKSI,-67.23,246,03 Jan 2022,30 Dec 2022,66743528800,187481500,58203,K211
23,ALDO,-19.5,246,03 Jan 2022,30 Dec 2022,1123293608000,998167300,204000,B131
24,ALKA,3.91,246,03 Jan 2022,30 Dec 2022,9722607600,29970800,18753,B141
25,ALMI,-9.33,246,03 Jan 2022,30 Dec 2022,9574810200,26622200,16736,B141
26,ALTO,-82.14,246,03 Jan 2022,30 Dec 2022,13907313200,172379500,22006,D212
27,AMAG,7.14,246,03 Jan 2022,30 Dec 2022,15698003800,39813800,19514,G412
28,AMAN,34.29,246,03 Jan 2022,30 Dec 2022,70795078100,121370700,14484,H111
29,AMAR,-40.21,246,03 Jan 2022,30 Dec 2022,4798488020000,11344038600,1964189,G111
30,AMFG,25.0,246,03 Jan 2022,30 Dec 2022,353853902500,60558900,44634,C121
31,AMIN,-44.74,246,03 Jan 2022,30 Dec 2022,15176450000,102572000,37871,C143
32,AMOR,-28.61,246,03 Jan 2022,30 Dec 2022,86318379500,48554000,40452,G311
33,AMRT,118.11,246,03 Jan 2022,30 Dec 2022,25958956975500,13470089000,1790018,D113
34,ANDI,0.0,246,03 Jan 2022,30 Dec 2022,835190000,16703800,3187,D232
35,ANJT,-32.83,246,03 Jan 2022,30 Dec 2022,307499579500,363461000,97383,D232
36,ANTM,-11.78,246,03 Jan 2022,30 Dec 2022,70939780867500,32094937300,4914718,B146
