No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--M1K--1,6825,0,27 May 2020,0,7000,6775,6975,150,3214700,22141395000,2104,566.6,7000,238600,6975,102000,1924688333,1924688333,1924688333,294300,318400,0,0,0
2,ABBA,Mahaka Media Tbk.,--U9---2,50,0,27 May 2020,0,50,50,50,0,285700,14285000,42,87.7,50,7941300,0,0,2755125000,2755125000,2755125000,0,0,0,0,0
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U8---2,5500,0,27 May 2020,0,5750,5750,5750,250,100,575000,1,1312.7,5750,1900,0,0,620806680,620806680,620806680,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,--U9---1,1495,0,27 May 2020,0,0,0,1495,0,0,0,0,39.9,1495,2800,0,0,2753165000,2753165000,2753165000,0,0,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,--M9B3-1,1360,0,27 May 2020,0,1395,1335,1385,25,13720000,18826128500,4770,1689.0,1390,131500,1385,766300,17150000000,17150000000,17150000000,6812400,4016900,500000,677500000,1
6,ACST,Acset Indonusa Tbk.,--U6---1,244,0,27 May 2020,0,250,242,242,-2,462100,112552400,81,10.2,244,12400,242,85000,700000000,700000000,700000000,62000,0,0,0,0
7,ADES,Akasha Wira International Tbk.,--U5---2,815,0,27 May 2020,0,920,810,875,60,222600,195482000,92,45.5,900,16000,875,57700,589896800,589896800,589896800,0,0,0,0,0
8,ADHI,Adhi Karya (Persero) Tbk.,--M6K--1,510,0,27 May 2020,0,520,505,515,5,20719900,10587279000,1937,404.5,515,581400,510,1177400,3560849376,3560849376,3560849376,5200,936700,0,0,0
9,ADMF,Adira Dinamika Multi Finance Tbk.,--U8---1,6475,0,27 May 2020,0,6575,6500,6550,75,79500,519680000,153,281.7,6550,5600,6525,40000,1000000000,1000000000,1000000000,17800,12600,0,0,0
10,ADMG,Polychem Indonesia Tbk,--U3---1,92,0,27 May 2020,0,94,86,90,-2,2187500,195762700,439,8.0,90,32700,89,466500,3889179559,3889179559,3889179559,0,0,0,0,0
11,ADRO,Adaro Energy Tbk.,--M2BX-1,1000,0,27 May 2020,0,1020,990,1000,0,47426900,47520287000,6638,90.9,1005,359200,1000,2213100,31985962000,31985962000,31985962000,23768900,13537300,694206,699697988,9
12,AGAR,Asia Sejahtera Mina Tbk.,--U9---2,488,0,27 May 2020,0,490,488,488,0,1100,537800,3,443.6,486,3800,0,0,1000000000,250000000,1000000000,0,0,0,0,0
13,AGII,Aneka Gas Industri Tbk.,--M3---1,406,0,27 May 2020,0,418,406,418,12,357400,147469400,124,38.0,418,44000,414,4100,3066660000,3066660000,3066660000,0,0,0,0,0
